Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2024-11-17,0.00024691,0.00028,0.00023425,0.00025629,979872579183.0,2024-11-17 23:59:59.999,255577316.77402644,21186899,490882033898.00,128112770.28288002,0
2024-11-18,0.00025629,0.00027022,0.00023907,0.00024874,639753260560.0,2024-11-18 23:59:59.999,163643776.31797449,18951679,321494265602.00,82299073.59012326,0
2024-11-19,0.00024877,0.00026015,0.00024151,0.00024721,462791800382.0,2024-11-19 23:59:59.999,115810326.96230470,16643415,231977534618.00,58077248.79851958,0
2024-11-20,0.0002472,0.00027293,0.00022542,0.00026455,813386325913.0,2024-11-20 23:59:59.999,202097606.11252047,19041716,412535295903.00,102427491.21716927,0
2024-11-21,0.00026453,0.00029,0.00024707,0.00026046,1048725813027.0,2024-11-21 23:59:59.999,277590159.37594329,22454610,522162339367.00,138242979.13755261,0
2024-11-22,0.00026046,0.00026578,0.00024321,0.000249,454346367090.0,2024-11-22 23:59:59.999,115323422.57613493,16815506,218065450610.00,55382415.88796943,0
2024-11-23,0.000249,0.00026599,0.00024154,0.00024659,616095731426.0,2024-11-23 23:59:59.999,156969204.27803348,18827939,306525122382.00,78047175.26488821,0
2024-11-24,0.00024662,0.00025294,0.00022686,0.00023729,390499554400.0,2024-11-24 23:59:59.999,93317622.99518895,16561461,192613872364.00,46014344.27722565,0
2024-11-25,0.0002373,0.00024477,0.00021651,0.0002214,419128051687.0,2024-11-25 23:59:59.999,97948826.60586698,16784212,200088156297.00,46783063.19629147,0
2024-11-26,0.00022138,0.00022825,0.00020351,0.00021406,409103549253.0,2024-11-26 23:59:59.999,88000229.43899797,17241498,202186929928.00,43494547.52233699,0
2024-11-27,0.00021406,0.00022873,0.00020942,0.000226,329191491677.0,2024-11-27 23:59:59.999,72643333.70158463,13947918,167145155555.00,36882418.40924400,0
2024-11-28,0.00022601,0.00023359,0.00021637,0.00022159,263948930742.0,2024-11-28 23:59:59.999,59063641.61416022,12584183,126348156359.00,28283706.14677492,0
2024-11-29,0.0002216,0.00023807,0.00021958,0.0002308,366680680764.0,2024-11-29 23:59:59.999,84328045.79543285,12546283,186342659361.00,42852777.59400569,0
2024-11-30,0.0002308,0.00023727,0.00022534,0.0002303,308490053939.0,2024-11-30 23:59:59.999,71420174.19072859,11906978,148562091951.00,34383890.35864940,0
2024-12-01,0.00023029,0.00025,0.00022442,0.00023747,652213984899.0,2024-12-01 23:59:59.999,155891637.24914380,18735682,327918790041.00,78372722.16477555,0
2024-12-02,0.00023745,0.00024929,0.00021872,0.00022662,577315538347.0,2024-12-02 23:59:59.999,132384006.99651500,19989668,290747460551.00,66698343.72104650,0
2024-12-03,0.00022661,0.00023483,0.00020725,0.0002243,467865433542.0,2024-12-03 23:59:59.999,104413666.59046448,16600568,236059657366.00,52689699.32227749,0
2024-12-04,0.00022431,0.00023694,0.0002219,0.00023632,493228467675.0,2024-12-04 23:59:59.999,113795969.46589346,19472166,242539388237.00,55962022.58865200,0
2024-12-05,0.00023634,0.00024231,0.00021949,0.00023132,488380622218.0,2024-12-05 23:59:59.999,114410877.62677325,19837589,241845627407.00,56654551.33257390,0
2024-12-06,0.00023135,0.00024155,0.00022476,0.00023611,348048122817.0,2024-12-06 23:59:59.999,81498263.87713719,15447857,174354135889.00,40795249.78071441,0
2024-12-07,0.00023611,0.00027321,0.00023261,0.0002571,903780533162.0,2024-12-07 23:59:59.999,233901667.87985810,19357988,461181464033.00,119383616.69847940,0
2024-12-08,0.00025709,0.00026689,0.00024771,0.00025853,424364001707.0,2024-12-08 23:59:59.999,109447440.38346018,16112858,215974210968.00,55734735.29599487,0
2024-12-09,0.00025854,0.00028408,0.00020777,0.00023922,1501215435988.0,2024-12-09 23:59:59.999,390370279.85779329,29082315,751074229893.00,195630182.40721720,0
2024-12-10,0.00023922,0.00024549,0.00020725,0.00022177,948840711553.0,2024-12-10 23:59:59.999,213875722.46959305,24853054,492263773727.00,111035042.51387594,0
