Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2024-09-19,0.548,0.578,0.543,0.568,2368206.03,2024-09-19 23:59:59.999,1330286.54299000,8608,1262199.41000000,710374.26818000,0
2024-09-20,0.568,0.593,0.56,0.579,2717255.16,2024-09-20 23:59:59.999,1569862.25802000,9226,1199186.51000000,692165.47429000,0
2024-09-21,0.579,0.597,0.575,0.594,1778195.65,2024-09-21 23:59:59.999,1041274.12904000,7519,983375.89000000,575951.15023000,0
2024-09-22,0.595,0.595,0.561,0.576,1719958.82,2024-09-22 23:59:59.999,994357.36241000,6329,734267.30000000,424209.01437000,0
2024-09-23,0.577,0.593,0.565,0.59,2050014.15,2024-09-23 23:59:59.999,1198102.45836000,7741,1041738.20000000,609926.25613000,0
2024-09-24,0.59,0.608,0.578,0.605,2338125.0,2024-09-24 23:59:59.999,1388203.68221000,7993,1124845.82000000,668680.14235000,0
2024-09-25,0.604,0.618,0.597,0.601,3485906.21,2024-09-25 23:59:59.999,2124500.14557000,12508,1687566.28000000,1028776.12475000,0
2024-09-26,0.601,0.631,0.592,0.624,2777275.96,2024-09-26 23:59:59.999,1707216.35764000,9900,1391451.23000000,855245.19320000,0
2024-09-27,0.624,0.638,0.62,0.629,2340872.83,2024-09-27 23:59:59.999,1474221.84187000,9610,1079619.98000000,680654.53141000,0
2024-09-28,0.628,0.631,0.604,0.618,1948558.54,2024-09-28 23:59:59.999,1202270.33098000,7146,874552.02000000,540025.76247000,0
2024-09-29,0.618,0.624,0.602,0.616,2645037.9,2024-09-29 23:59:59.999,1623565.78635000,10337,1279984.60000000,786217.70140000,0
2024-09-30,0.617,0.621,0.575,0.582,3609026.1,2024-09-30 23:59:59.999,2155452.36546000,15094,1621684.97000000,968898.52880000,0
2024-10-01,0.581,0.597,0.527,0.539,4735160.43,2024-10-01 23:59:59.999,2654530.42375000,19178,2138516.90000000,1200636.01339000,0
2024-10-02,0.539,0.553,0.518,0.53,4057126.74,2024-10-02 23:59:59.999,2182736.30144000,18026,1822448.33000000,982048.06397000,0
2024-10-03,0.53,0.537,0.509,0.527,3275302.78,2024-10-03 23:59:59.999,1718554.76568000,15420,1323149.11000000,695801.82792000,0
2024-10-04,0.527,0.549,0.524,0.545,2386525.19,2024-10-04 23:59:59.999,1281782.99553000,10361,1226566.44000000,658847.43975000,0
2024-10-05,0.545,0.552,0.539,0.55,1489653.47,2024-10-05 23:59:59.999,812468.17202000,6367,553495.52000000,302170.22780000,0
2024-10-06,0.551,0.557,0.543,0.552,2731732.26,2024-10-06 23:59:59.999,1501544.76930000,9405,1306457.06000000,718725.30868000,0
2024-10-07,0.553,0.563,0.536,0.537,5279872.37,2024-10-07 23:59:59.999,2905625.23758000,13897,2484151.64000000,1369333.42968000,0
2024-10-08,0.538,0.543,0.527,0.538,3670489.43,2024-10-08 23:59:59.999,1964910.68973000,12621,1619848.77000000,868049.92286000,0
2024-10-09,0.537,0.542,0.518,0.527,3457577.96,2024-10-09 23:59:59.999,1838200.02576000,10828,1464222.30000000,779416.62195000,0
2024-10-10,0.527,0.531,0.506,0.524,4100840.7,2024-10-10 23:59:59.999,2134471.50580000,12833,1844048.45000000,959753.68412000,0
2024-10-11,0.523,0.546,0.52,0.543,4110891.47,2024-10-11 23:59:59.999,2192300.00520000,10173,1826135.63000000,974294.91926000,0
2024-10-12,0.544,0.555,0.539,0.551,2077996.24,2024-10-12 23:59:59.999,1139389.45782000,8954,904633.31000000,496217.05638000,0
2024-10-13,0.552,0.553,0.532,0.541,1755489.41,2024-10-13 23:59:59.999,951803.56350000,7306,689270.51000000,373627.91179000,0
2024-10-14,0.542,0.569,0.535,0.565,3552874.22,2024-10-14 23:59:59.999,1981907.12787000,11201,1835005.41000000,1023482.77318000,0
2024-10-15,0.565,0.569,0.537,0.56,5168075.76,2024-10-15 23:59:59.999,2882693.16206000,16547,2312946.98000000,1290592.53667000,0
2024-10-16,0.56,0.563,0.547,0.552,3179577.02,2024-10-16 23:59:59.999,1760738.30550000,9002,1402555.33000000,776732.61599000,0
2024-10-17,0.552,0.556,0.528,0.536,2763202.38,2024-10-17 23:59:59.999,1488258.01882000,9754,1131395.75000000,610653.81637000,0
