Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2025-03-19,1.7819,2.6,1.27,1.7429,17465506.1,2025-03-19 23:59:59.999,30447120.35848000,251470,8752033.40000000,15269116.66463000,0
2025-03-20,1.7405,2.0,1.6365,1.8739,14757426.3,2025-03-20 23:59:59.999,27166164.10226000,261743,7544202.30000000,13928812.04630000,0
2025-03-21,1.8739,1.9475,1.6737,1.833,11225838.5,2025-03-21 23:59:59.999,20342910.75268000,544436,5663111.00000000,10277841.97895000,0
2025-03-22,1.8332,1.91,1.8011,1.8608,6338753.8,2025-03-22 23:59:59.999,11732087.80475000,231537,2784566.50000000,5159505.96749000,0
2025-03-23,1.8606,2.1685,1.714,2.0313,18292032.5,2025-03-23 23:59:59.999,35833683.75161000,611254,9332675.00000000,18300741.82960000,0
2025-03-24,2.0313,2.6555,1.8852,2.4489,24489257.2,2025-03-24 23:59:59.999,55345612.89982000,886539,12136188.50000000,27425695.19566000,0
2025-03-25,2.4496,2.58,2.3411,2.3899,14271421.5,2025-03-25 23:59:59.999,35012806.61271000,471424,6744493.50000000,16572010.74578000,0
2025-03-26,2.39,2.4099,2.2172,2.2811,7113581.0,2025-03-26 23:59:59.999,16497944.45258000,244154,3263901.60000000,7564007.77754000,0
2025-03-27,2.2809,2.5104,2.2469,2.4364,8483099.7,2025-03-27 23:59:59.999,20136472.98546000,234049,4069072.00000000,9660094.45162000,0
2025-03-28,2.4341,2.476,2.2543,2.2574,7459542.6,2025-03-28 23:59:59.999,17688724.88776000,152115,3633030.60000000,8619203.71427000,0
2025-03-29,2.2569,2.2987,2.1703,2.2094,4116760.7,2025-03-29 23:59:59.999,9180883.60099000,94015,1892801.00000000,4224516.43775000,0
2025-03-30,2.2087,2.4118,2.1543,2.3228,5104086.4,2025-03-30 23:59:59.999,11643773.08765000,124075,2431963.60000000,5553467.52007000,0
2025-03-31,2.3229,2.4999,2.2882,2.3191,5573334.8,2025-03-31 23:59:59.999,13291046.79848000,122384,2803395.70000000,6696147.77172000,0
2025-04-01,2.3189,2.4005,2.231,2.2413,3638224.7,2025-04-01 23:59:59.999,8382524.05083000,86109,1738520.80000000,4011497.81575000,0
2025-04-02,2.2403,2.345,1.689,2.1797,7942901.8,2025-04-02 23:59:59.999,17176084.05088000,193235,3526963.40000000,7679329.24535000,0
2025-04-03,2.1816,2.2214,2.0689,2.1859,3092516.4,2025-04-03 23:59:59.999,6603831.36155000,89005,1365703.40000000,2913328.61099000,0
2025-04-04,2.1859,2.2066,2.0517,2.1729,2159894.4,2025-04-04 23:59:59.999,4604458.21683000,66526,1039981.40000000,2217183.86856000,0
2025-04-05,2.1731,2.1916,2.0325,2.1758,4848411.2,2025-04-05 23:59:59.999,10336019.52387000,77598,1528215.40000000,3250203.31693000,0
2025-04-06,2.1758,2.2374,1.8298,1.9181,5189674.6,2025-04-06 23:59:59.999,10257757.98241000,116818,2543154.30000000,5023985.27549000,0
2025-04-07,1.9181,2.1454,1.857,1.9854,13477581.5,2025-04-07 23:59:59.999,26745808.34461000,180064,10171713.60000000,20077870.43976000,0
2025-04-08,1.9848,2.0684,1.8888,1.95,3288150.1,2025-04-08 23:59:59.999,6472148.38298000,192384,1497608.80000000,2950793.33995000,0
2025-04-09,1.9503,2.1636,1.91,2.1324,4169093.5,2025-04-09 23:59:59.999,8482489.02225000,164448,2459520.50000000,5008109.09656000,0
2025-04-10,2.1327,2.1373,1.9416,1.9855,4475354.2,2025-04-10 23:59:59.999,8998846.77960000,235704,2335526.50000000,4693981.92230000,0
2025-04-11,1.9859,2.02,1.9407,1.9618,2618496.1,2025-04-11 23:59:59.999,5179730.27655000,128843,1377937.60000000,2725107.87881000,0
2025-04-12,1.9619,2.099,1.9045,2.065,3630564.7,2025-04-12 23:59:59.999,7277356.77008000,159395,1878121.70000000,3765867.16508000,0
2025-04-13,2.0651,2.0799,1.9302,2.0257,3176518.3,2025-04-13 23:59:59.999,6359937.00278000,135335,1426958.60000000,2857660.27858000,0
2025-04-14,2.026,2.0495,1.9691,2.0232,2141769.1,2025-04-14 23:59:59.999,4283846.46005000,93408,1006253.50000000,2013337.39805000,0
2025-04-15,2.0234,2.025,1.9345,1.975,1871767.9,2025-04-15 23:59:59.999,3722467.33887000,76537,840982.50000000,1673117.91745000,0
2025-04-16,1.9746,2.02,1.9155,1.971,1730741.9,2025-04-16 23:59:59.999,3409911.26314000,88230,819031.10000000,1615785.34488000,0
2025-04-17,1.9709,2.0708,1.9248,2.0252,1652539.4,2025-04-17 23:59:59.999,3297403.88762000,70371,771603.90000000,1540852.08590000,0
2025-04-18,2.0252,2.1762,2.0082,2.0745,2044941.9,2025-04-18 23:59:59.999,4290246.54007000,83296,1007917.60000000,2113632.86958000,0
2025-04-19,2.0746,2.1326,2.0239,2.0635,1891695.7,2025-04-19 23:59:59.999,3933919.72938000,93356,961437.00000000,1999291.14531000,0
2025-04-20,2.0641,2.1274,2.0636,2.075,1026671.3,2025-04-20 23:59:59.999,2149462.82573000,49048,484641.10000000,1015077.98357000,0
2025-04-21,2.075,2.12,2.0469,2.115,1546048.8,2025-04-21 23:59:59.999,3229807.79495000,52653,726309.60000000,1517943.94962000,0
2025-04-22,2.1146,2.1459,2.0584,2.1419,1586993.3,2025-04-22 23:59:59.999,3329086.43160000,44259,669207.30000000,1403541.09076000,0
2025-04-23,2.1419,2.3133,2.0866,2.1489,2997038.1,2025-04-23 23:59:59.999,6486034.96321000,83914,1548181.40000000,3349754.68490000,0
2025-04-24,2.1492,2.16,2.05,2.0884,1762288.6,2025-04-24 23:59:59.999,3712669.77294000,45453,819539.20000000,1728142.65278000,0
2025-04-25,2.0884,2.1425,2.0592,2.0959,2142232.4,2025-04-25 23:59:59.999,4504134.08265000,91000,1143450.80000000,2404288.98357000,0
2025-04-26,2.0957,2.1888,2.0524,2.1472,1606275.6,2025-04-26 23:59:59.999,3390494.20520000,39798,715639.30000000,1512004.85015000,0
