Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2024-09-19,0.6505,0.6837,0.6284,0.6303,121882794.0,2024-09-19 23:59:59.999,79054254.86440000,433697,59807892.00000000,38820509.44160000,0
2024-09-20,0.6303,0.6761,0.6219,0.6411,108967057.0,2024-09-20 23:59:59.999,70388374.86980000,332909,54696868.00000000,35360381.77570000,0
2024-09-21,0.6413,0.7221,0.6171,0.7109,76566518.0,2024-09-21 23:59:59.999,49873160.03340000,265166,37251033.00000000,24322260.05430000,0
2024-09-22,0.7109,0.7156,0.632,0.6552,84591140.0,2024-09-22 23:59:59.999,55809998.18270000,297920,42488965.00000000,28040589.63500000,0
2024-09-23,0.6552,0.6847,0.631,0.6391,83448703.0,2024-09-23 23:59:59.999,54457557.10190000,298321,40373316.00000000,26370961.18650000,0
2024-09-24,0.6389,0.6797,0.6145,0.6645,84510285.0,2024-09-24 23:59:59.999,54448976.11630000,250917,41404924.00000000,26700703.49260000,0
2024-09-25,0.6646,0.7173,0.6508,0.6537,88639160.0,2024-09-25 23:59:59.999,60468573.27360000,287230,44486348.00000000,30368390.38890000,0
2024-09-26,0.6538,0.7373,0.6407,0.69,122621371.0,2024-09-26 23:59:59.999,86112387.02230000,375720,60260965.00000000,42306603.21580000,0
2024-09-27,0.6898,0.7212,0.6708,0.699,83765129.0,2024-09-27 23:59:59.999,58435394.70460000,369589,42657054.00000000,29753218.58400000,0
2024-09-28,0.699,0.7068,0.6623,0.674,45076130.0,2024-09-28 23:59:59.999,30630790.99840000,182453,21812175.00000000,14824566.21150000,0
2024-09-29,0.6741,0.733,0.6523,0.6759,77771348.0,2024-09-29 23:59:59.999,53718420.41030000,352139,38310095.00000000,26463661.84710000,0
2024-09-30,0.676,0.715,0.6577,0.6936,89101675.0,2024-09-30 23:59:59.999,61389721.60100000,379802,45256022.00000000,31179309.37400000,0
2024-10-01,0.6935,0.764,0.6543,0.6687,181307652.0,2024-10-01 23:59:59.999,128883372.45060000,566450,89059787.00000000,63394292.24830000,0
2024-10-02,0.6685,0.7335,0.6415,0.6493,146634764.0,2024-10-02 23:59:59.999,101029320.53130000,428005,72655032.00000000,50083497.71240000,0
2024-10-03,0.6491,0.6648,0.5864,0.6074,125446285.0,2024-10-03 23:59:59.999,77941743.09280000,470915,59832858.00000000,37194025.61280000,0
2024-10-04,0.6073,0.6472,0.5981,0.6318,85607898.0,2024-10-04 23:59:59.999,53341410.40280000,404440,44723432.00000000,27890493.05900000,0
2024-10-05,0.6318,0.6431,0.597,0.6095,47337893.0,2024-10-05 23:59:59.999,29393895.02500000,199094,22829864.00000000,14204441.79840000,0
2024-10-06,0.6096,0.6599,0.6054,0.6561,60540822.0,2024-10-06 23:59:59.999,38639712.30150000,311190,30014254.00000000,19153229.52560000,0
2024-10-07,0.656,0.6959,0.6419,0.6624,96924483.0,2024-10-07 23:59:59.999,65020632.27970000,463894,48536745.00000000,32598514.85820000,0
2024-10-08,0.6625,0.6995,0.6545,0.6788,92598118.0,2024-10-08 23:59:59.999,62874440.26930000,377495,45309877.00000000,30769855.75710000,0
2024-10-09,0.6787,0.7134,0.6617,0.6631,89944978.0,2024-10-09 23:59:59.999,62396457.99150000,391982,42820637.00000000,29712688.59000000,0
