Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2024-11-17,1.9864,2.11,1.8776,1.915,5907912.11,2024-11-17 23:59:59.999,11603782.72895500,88737,2791251.82000000,5503457.02165600,0
2024-11-18,1.9153,2.1,1.9028,1.9967,5878860.62,2024-11-18 23:59:59.999,11709667.42383800,87186,3127009.46000000,6238209.94561400,0
2024-11-19,1.9977,2.3089,1.9851,2.0529,12262923.93,2024-11-19 23:59:59.999,26225835.38366400,177470,6043049.71000000,12947332.26452100,0
2024-11-20,2.0533,2.5,1.9916,2.0869,18982522.41,2024-11-20 23:59:59.999,42382892.64974700,277861,9838720.28000000,22014807.03975300,0
2024-11-21,2.0865,3.05,1.95,2.4862,27723571.03,2024-11-21 23:59:59.999,68074685.11547800,320519,14171142.22000000,34968599.92927200,0
2024-11-22,2.4869,2.97,2.369,2.4764,31409478.69,2024-11-22 23:59:59.999,83974061.68758800,491364,15322322.09000000,41066325.92337500,0
2024-11-23,2.477,2.74,2.3516,2.5568,13127396.14,2024-11-23 23:59:59.999,33177731.86575100,200058,6395742.82000000,16179043.42022100,0
2024-11-24,2.5578,2.68,2.35,2.4534,7274349.99,2024-11-24 23:59:59.999,18183892.62326900,124653,3416153.52000000,8553210.83542600,0
2024-11-25,2.4536,2.5982,2.23,2.274,7229274.1,2024-11-25 23:59:59.999,17897300.10418400,122675,3412303.68000000,8484317.97148900,0
2024-11-26,2.2742,2.4003,2.12,2.2303,5753229.79,2024-11-26 23:59:59.999,13063428.45220800,107864,2823826.35000000,6426568.26840100,0
2024-11-27,2.2322,2.3629,2.1989,2.3261,3895356.28,2024-11-27 23:59:59.999,8915813.09256900,70567,1936846.29000000,4432724.17056800,0
2024-11-28,2.3261,2.3609,2.224,2.2647,2983421.43,2024-11-28 23:59:59.999,6777757.91870600,48330,1410706.91000000,3205030.32003700,0
2024-11-29,2.2655,2.3844,2.2394,2.3325,3846649.42,2024-11-29 23:59:59.999,8876613.15389600,59441,1825818.84000000,4214066.46217300,0
2024-11-30,2.3326,2.46,2.293,2.3877,4085355.68,2024-11-30 23:59:59.999,9666935.86479100,58070,2047034.70000000,4847892.21618200,0
2024-12-01,2.3884,2.6989,2.339,2.5326,8017661.13,2024-12-01 23:59:59.999,20384018.53324000,115816,3918895.79000000,9962594.42140200,0
2024-12-02,2.5326,2.75,2.3884,2.5266,7022921.52,2024-12-02 23:59:59.999,17808133.58854300,115502,3545073.26000000,8995116.45063600,0
2024-12-03,2.5266,2.6881,2.4,2.632,7952742.21,2024-12-03 23:59:59.999,20449198.93867600,110664,3910716.45000000,10064535.74160200,0
2024-12-04,2.6324,2.8219,2.6011,2.6909,7251515.35,2024-12-04 23:59:59.999,19689652.08496700,115340,3740421.04000000,10162215.42193100,0
2024-12-05,2.691,4.4,2.5623,3.4615,47496779.03,2024-12-05 23:59:59.999,169302743.80085500,784247,24534624.66000000,87459753.22411300,0
2024-12-06,3.4642,3.81,3.183,3.3369,17165776.64,2024-12-06 23:59:59.999,59620288.86437100,396812,8253027.85000000,28716196.48462300,0
2024-12-07,3.3353,3.4196,3.15,3.2536,5470240.98,2024-12-07 23:59:59.999,17857967.23571000,155250,2594484.32000000,8479139.13157500,0
2024-12-08,3.2549,3.6149,3.2187,3.4536,9179580.59,2024-12-08 23:59:59.999,31489884.15660700,209816,4502856.83000000,15444047.23363100,0
2024-12-09,3.4538,3.4573,2.7601,2.9965,7486747.37,2024-12-09 23:59:59.999,23698898.70248300,126284,3360948.08000000,10649384.79253000,0
2024-12-10,2.9989,3.0929,2.64,2.9559,8786821.65,2024-12-10 23:59:59.999,25311125.21535600,170023,4187037.74000000,12055489.56179300,0
2024-12-11,2.9549,3.6,2.776,3.2226,11404600.74,2024-12-11 23:59:59.999,37384750.47243000,236109,5632763.29000000,18462695.96633300,0
2024-12-12,3.2226,3.3492,2.95,2.9824,6558085.8,2024-12-12 23:59:59.999,20931348.63613400,143779,2932621.76000000,9372117.26710000,0
2024-12-13,2.983,3.0699,2.8018,2.9335,7703970.84,2024-12-13 23:59:59.999,22554783.81177800,163794,3623901.84000000,10615014.55682400,0
2024-12-14,2.9364,2.9487,2.6597,2.762,5024960.75,2024-12-14 23:59:59.999,14071553.56823500,103700,2293169.20000000,6413914.17237000,0
2024-12-15,2.7617,2.859,2.6553,2.8079,3468055.12,2024-12-15 23:59:59.999,9535632.96700700,74419,1656256.46000000,4558538.04810500,0
2024-12-16,2.8085,3.34,2.5356,2.9121,17876129.66,2024-12-16 23:59:59.999,52018734.83167200,310224,8754176.76000000,25583125.74565300,0
2024-12-17,2.9103,3.33,2.7921,2.8945,14770449.95,2024-12-17 23:59:59.999,44842864.94380900,302124,7261028.33000000,22094759.09684400,0
2024-12-18,2.8967,2.9679,2.55,2.6727,6032137.93,2024-12-18 23:59:59.999,16651828.21770300,109089,2680282.01000000,7415423.03154200,0
2024-12-19,2.671,2.943,2.4902,2.6032,10232528.64,2024-12-19 23:59:59.999,27993439.18120900,195382,4812131.28000000,13193809.92784500,0
2024-12-20,2.6034,2.87,2.4979,2.8294,7536705.46,2024-12-20 23:59:59.999,20108951.33300200,140787,3631973.23000000,9730429.61175700,0
2024-12-21,2.8292,2.97,2.6661,2.7104,4281242.23,2024-12-21 23:59:59.999,12016350.68140400,80376,2109300.27000000,5925710.33933800,0
2024-12-22,2.7139,3.0861,2.7019,2.97,7484763.22,2024-12-22 23:59:59.999,21915600.52795100,151953,3708181.24000000,10858976.47126500,0
2024-12-23,2.9723,3.57,2.9109,3.3563,15067368.77,2024-12-23 23:59:59.999,48993816.93279200,297235,7791268.90000000,25380011.05925600,0
2024-12-24,3.3563,3.3813,3.1016,3.2104,4560772.68,2024-12-24 23:59:59.999,14774389.14922600,94128,2182482.40000000,7077673.65204800,0
2024-12-25,3.211,3.293,3.1,3.2218,2936026.46,2024-12-25 23:59:59.999,9365480.02987800,67524,1409133.19000000,4498863.47580600,0
2024-12-26,3.2211,3.9234,3.1389,3.8002,20005837.55,2024-12-26 23:59:59.999,72082980.73987300,401654,10153824.94000000,36587965.63437000,0
2024-12-27,3.8002,4.1999,3.362,3.4893,13890599.97,2024-12-27 23:59:59.999,51945826.03917200,292593,6652691.79000000,24932376.44975100,0
2024-12-28,3.491,3.58,3.23,3.2962,6953905.63,2024-12-28 23:59:59.999,23295089.39932100,145086,3394782.91000000,11373658.57457400,0
2024-12-29,3.2965,3.8841,3.2957,3.6562,11417103.0,2024-12-29 23:59:59.999,41505073.28371000,262284,5854431.16000000,21298191.16812900,0
2024-12-30,3.6547,3.81,3.3635,3.5678,6507696.23,2024-12-30 23:59:59.999,23214030.94196200,156005,3035190.29000000,10829443.25673900,0
2024-12-31,3.5668,3.88,3.5376,3.711,6248252.09,2024-12-31 23:59:59.999,23199094.69265000,158001,3127773.84000000,11621025.82990400,0
2025-01-01,3.7116,4.038,3.6261,3.8611,7821674.69,2025-01-01 23:59:59.999,29856946.28678000,197600,3944882.03000000,15083750.37447300,0
