Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2024-09-19,0.0189,0.02023,0.01889,0.01957,882070582.0,2024-09-19 23:59:59.999,17133870.61667000,72875,444368208.00000000,8630961.25463000,0
2024-09-20,0.01959,0.02067,0.0191,0.02001,795733286.0,2024-09-20 23:59:59.999,15861036.21343000,88641,384239456.00000000,7674379.40127000,0
2024-09-21,0.02001,0.02095,0.01966,0.02087,672538548.0,2024-09-21 23:59:59.999,13723961.19568000,70774,351768783.00000000,7178794.21851000,0
2024-09-22,0.02086,0.02089,0.01954,0.02028,516474119.0,2024-09-22 23:59:59.999,10458841.72489000,59465,244952641.00000000,4963541.12823000,0
2024-09-23,0.02028,0.02113,0.01978,0.02045,822811622.0,2024-09-23 23:59:59.999,16829102.49517000,77418,409072272.00000000,8368627.65796000,0
2024-09-24,0.02045,0.02223,0.01998,0.02193,1148029203.0,2024-09-24 23:59:59.999,24519181.33852000,112194,585247955.00000000,12505602.98991000,0
2024-09-25,0.02194,0.02249,0.02126,0.02143,752328588.0,2024-09-25 23:59:59.999,16426171.85757000,83400,361264827.00000000,7891733.80498000,0
2024-09-26,0.02143,0.02351,0.02113,0.02318,1014056534.0,2024-09-26 23:59:59.999,22895959.91044000,110596,519598243.00000000,11735781.80693000,0
2024-09-27,0.02318,0.02503,0.02311,0.02459,1078271260.0,2024-09-27 23:59:59.999,26230925.41449000,135086,543250579.00000000,13219049.33130000,0
2024-09-28,0.02459,0.02536,0.02372,0.0242,913110658.0,2024-09-28 23:59:59.999,22215403.12618000,120550,455265415.00000000,11087518.27429000,0
2024-09-29,0.02421,0.02493,0.02316,0.02436,816933198.0,2024-09-29 23:59:59.999,19791213.29550000,103606,400692616.00000000,9728028.86478000,0
2024-09-30,0.02435,0.02461,0.0222,0.02249,1047574985.0,2024-09-30 23:59:59.999,24393830.29044000,117980,480659213.00000000,11188458.40896000,0
2024-10-01,0.02249,0.02383,0.01957,0.02025,1524470989.0,2024-10-01 23:59:59.999,32803512.38927000,197203,723901848.00000000,15618074.34731000,0
2024-10-02,0.02025,0.02104,0.01905,0.01964,1120335286.0,2024-10-02 23:59:59.999,22687296.56566000,134851,514838079.00000000,10438535.18237000,0
2024-10-03,0.01964,0.02015,0.01848,0.01912,782287921.0,2024-10-03 23:59:59.999,14978583.07769000,109089,385939365.00000000,7388814.94850000,0
2024-10-04,0.01912,0.01997,0.01897,0.01982,567516064.0,2024-10-04 23:59:59.999,11112523.38288000,97199,295051106.00000000,5776999.64734000,0
2024-10-05,0.01981,0.02016,0.01898,0.01952,463864819.0,2024-10-05 23:59:59.999,9129386.90260000,82822,222118629.00000000,4376272.75652000,0
2024-10-06,0.01952,0.02096,0.01934,0.02092,570699362.0,2024-10-06 23:59:59.999,11563686.11479000,82243,285530930.00000000,5783339.67690000,0
2024-10-07,0.02091,0.02231,0.02067,0.02116,999814171.0,2024-10-07 23:59:59.999,21495809.26925000,146658,490719338.00000000,10547869.12121000,0
2024-10-08,0.02116,0.02176,0.02021,0.02051,569176832.0,2024-10-08 23:59:59.999,11901870.94997000,98041,270983150.00000000,5666488.39026000,0
2024-10-09,0.02049,0.02112,0.01942,0.01982,563128230.0,2024-10-09 23:59:59.999,11415926.15198000,84403,280002676.00000000,5677508.17464000,0
2024-10-10,0.01982,0.02033,0.01925,0.01999,429182339.0,2024-10-10 23:59:59.999,8503259.51623000,90423,211083072.00000000,4185544.46402000,0
2024-10-11,0.01998,0.0212,0.01987,0.02088,527913818.0,2024-10-11 23:59:59.999,10880304.11940000,76869,274490286.00000000,5650187.66863000,0
2024-10-12,0.02088,0.02217,0.02073,0.02172,612525369.0,2024-10-12 23:59:59.999,13205959.15764000,87437,304442251.00000000,6560761.50807000,0
2024-10-13,0.02172,0.02212,0.02092,0.02176,541290988.0,2024-10-13 23:59:59.999,11638593.03669000,81672,256321563.00000000,5513259.14694000,0
2024-10-14,0.02177,0.02348,0.02148,0.02326,920459072.0,2024-10-14 23:59:59.999,20847280.03117000,147889,470143891.00000000,10650822.50943000,0
2024-10-15,0.02327,0.02377,0.02184,0.02277,1062141598.0,2024-10-15 23:59:59.999,24295317.06570000,186329,505343433.00000000,11565064.80631000,0
2024-10-16,0.02277,0.02298,0.02204,0.0223,552822590.0,2024-10-16 23:59:59.999,12417483.40895000,49938,273010105.00000000,6138323.08953000,0
2024-10-17,0.0223,0.02262,0.02082,0.02125,585154669.0,2024-10-17 23:59:59.999,12636846.74673000,46005,266902928.00000000,5757561.99205000,0
2024-10-18,0.02124,0.02288,0.02111,0.0228,1015045580.0,2024-10-18 23:59:59.999,22230953.08759000,68643,561335626.00000000,12293906.29179000,0
2024-10-19,0.02279,0.02365,0.02256,0.02317,769921549.0,2024-10-19 23:59:59.999,17804022.45855000,58835,375585643.00000000,8687635.85448000,0
2024-10-20,0.02316,0.02481,0.02262,0.02421,1231721386.0,2024-10-20 23:59:59.999,29552196.34421000,90974,600730101.00000000,14418406.16795000,0
2024-10-21,0.02422,0.02487,0.0234,0.02351,1146156247.0,2024-10-21 23:59:59.999,27585766.84967000,83112,584508603.00000000,14096013.73167000,0
2024-10-22,0.02351,0.02432,0.02227,0.02422,1128523597.0,2024-10-22 23:59:59.999,26263943.48330000,81280,516751524.00000000,12032679.34675000,0
2024-10-23,0.02421,0.02463,0.02186,0.02247,1319762226.0,2024-10-23 23:59:59.999,30672684.58378000,109636,615653020.00000000,14323971.69028000,0
2024-10-24,0.02247,0.02336,0.02195,0.02312,623710356.0,2024-10-24 23:59:59.999,14129833.91227000,60040,297489090.00000000,6742806.17619000,0
2024-10-25,0.02312,0.02327,0.01943,0.02033,975156696.0,2024-10-25 23:59:59.999,21049232.06956000,91325,445445691.00000000,9621143.35674000,0
2024-10-26,0.02033,0.02069,0.01957,0.02035,707062842.0,2024-10-26 23:59:59.999,14277652.23613000,50489,377929826.00000000,7635579.91562000,0
