Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2024-11-17,5.143,5.262,4.821,4.933,1192134.5,2024-11-17 23:59:59.999,5981420.83980000,50478,560549.00000000,2814102.36860000,0
2024-11-18,4.937,5.174,4.888,5.102,1035570.6,2024-11-18 23:59:59.999,5210385.22240000,52194,452952.00000000,2280137.75210000,0
2024-11-19,5.104,5.235,4.855,5.007,781640.4,2024-11-19 23:59:59.999,3964542.92960000,36397,382434.30000000,1944494.24010000,0
2024-11-20,5.013,5.015,4.634,4.74,493231.7,2024-11-20 23:59:59.999,2372073.73620000,26007,213086.50000000,1024034.81270000,0
2024-11-21,4.739,5.078,4.558,4.981,720733.4,2024-11-21 23:59:59.999,3506249.20540000,33415,339902.30000000,1655063.72540000,0
2024-11-22,4.984,5.046,4.744,5.044,728672.3,2024-11-22 23:59:59.999,3565932.39050000,47434,354912.10000000,1735962.77290000,0
2024-11-23,5.047,5.392,5.016,5.204,1442351.9,2024-11-23 23:59:59.999,7518318.95730000,82261,677786.00000000,3531673.90740000,0
2024-11-24,5.2,6.873,5.155,6.131,6219804.7,2024-11-24 23:59:59.999,37225602.75190000,299026,3102784.70000000,18567186.75330000,0
2024-11-25,6.128,6.128,5.558,5.753,1590499.5,2024-11-25 23:59:59.999,9289864.37680000,64972,726887.50000000,4238814.04250000,0
2024-11-26,5.746,6.018,5.219,5.61,1716315.1,2024-11-26 23:59:59.999,9712865.62510000,107325,780957.60000000,4440785.48240000,0
2024-11-27,5.608,5.951,5.42,5.951,588394.9,2024-11-27 23:59:59.999,3325272.88700000,37307,258643.60000000,1464793.47310000,0
2024-11-28,5.951,5.952,5.595,5.754,422630.5,2024-11-28 23:59:59.999,2422008.19340000,25126,184924.20000000,1059482.28830000,0
2024-11-29,5.753,6.036,5.624,6.007,757989.9,2024-11-29 23:59:59.999,4430329.27900000,43071,392253.70000000,2291119.79550000,0
2024-11-30,6.006,6.306,5.905,6.123,1562468.6,2024-11-30 23:59:59.999,9563404.05150000,99266,798218.70000000,4896613.00140000,0
2024-12-01,6.124,6.232,5.858,6.124,841319.2,2024-12-01 23:59:59.999,5089868.88230000,51105,351150.40000000,2126183.19130000,0
