Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2024-11-17,0.995,0.996,0.917,0.94,6035833.0,2024-11-17 23:59:59.999,5791511.61060000,43479,2757715.80000000,2646239.19280000,0
2024-11-18,0.94,0.999,0.931,0.981,3378323.9,2024-11-18 23:59:59.999,3261475.62430000,34003,1557460.90000000,1505720.11580000,0
2024-11-19,0.982,0.99,0.904,0.969,5850357.7,2024-11-19 23:59:59.999,5592991.72420000,44271,3201254.40000000,3057175.45560000,0
2024-11-20,0.97,0.975,0.906,0.925,2818532.7,2024-11-20 23:59:59.999,2676114.31210000,25504,1324494.20000000,1256433.36450000,0
2024-11-21,0.924,1.003,0.902,0.958,7158298.2,2024-11-21 23:59:59.999,6862682.75480000,52916,3433444.30000000,3286793.82770000,0
2024-11-22,0.958,0.97,0.916,0.961,2739080.7,2024-11-22 23:59:59.999,2591429.98570000,25203,1349853.80000000,1277047.65970000,0
2024-11-23,0.962,1.042,0.945,1.012,7547289.2,2024-11-23 23:59:59.999,7519941.63450000,63354,3290360.20000000,3279743.65910000,0
2024-11-24,1.013,1.2,1.008,1.128,15611669.4,2024-11-24 23:59:59.999,17391012.55380000,140264,8042049.20000000,8972748.16480000,0
2024-11-25,1.129,1.162,1.065,1.094,5696350.6,2024-11-25 23:59:59.999,6364512.23530000,57797,2830843.60000000,3165455.18250000,0
2024-11-26,1.093,1.109,0.994,1.073,6396992.0,2024-11-26 23:59:59.999,6739994.75930000,54913,3386594.80000000,3566761.32020000,0
2024-11-27,1.073,1.138,1.036,1.107,5265645.7,2024-11-27 23:59:59.999,5663426.89700000,38947,2696374.50000000,2893296.07380000,0
2024-11-28,1.108,1.163,1.097,1.138,4445378.1,2024-11-28 23:59:59.999,5003694.28620000,45766,2124614.20000000,2390838.18520000,0
2024-11-29,1.139,1.145,1.1,1.132,2760765.8,2024-11-29 23:59:59.999,3094070.95380000,24952,1128960.00000000,1265568.24040000,0
2024-11-30,1.132,1.293,1.119,1.199,8134888.8,2024-11-30 23:59:59.999,9869819.99470000,77473,4210194.20000000,5104981.34330000,0
2024-12-01,1.2,1.234,1.167,1.202,2433490.0,2024-12-01 23:59:59.999,2935414.43690000,36256,1114190.00000000,1344167.27160000,0
2024-12-02,1.202,1.322,1.134,1.32,8229219.3,2024-12-02 23:59:59.999,10199370.94000000,79872,4493206.00000000,5572127.37090000,0
2024-12-03,1.319,1.441,1.228,1.386,7368725.3,2024-12-03 23:59:59.999,9697689.24420000,75218,3713398.60000000,4885265.29070000,0
2024-12-04,1.386,1.412,1.321,1.398,6248876.5,2024-12-04 23:59:59.999,8528469.97100000,59918,2984210.10000000,4074971.73200000,0
2024-12-05,1.399,1.401,1.286,1.33,4426074.2,2024-12-05 23:59:59.999,6009141.48920000,47922,2012089.20000000,2729872.52720000,0
2024-12-06,1.331,1.549,1.323,1.499,9188812.1,2024-12-06 23:59:59.999,13671392.45060000,87227,4922655.70000000,7318096.13150000,0
