Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2024-09-19,0.169,0.1788,0.1675,0.1749,7563518.0,2024-09-19 23:59:59.999,1313782.19275000,11653,3817266.50000000,662848.23308000,0
2024-09-20,0.1751,0.184,0.1742,0.1801,8094543.8,2024-09-20 23:59:59.999,1448938.47306000,12281,4016439.80000000,719284.04815000,0
2024-09-21,0.1804,0.1883,0.1755,0.1867,5602297.2,2024-09-21 23:59:59.999,1019021.93331000,9049,2583708.60000000,469324.35447000,0
2024-09-22,0.1863,0.1877,0.1742,0.1775,14949549.6,2024-09-22 23:59:59.999,2726755.77643000,19402,7330707.10000000,1339535.96753000,0
2024-09-23,0.1773,0.1836,0.1741,0.1803,6636889.3,2024-09-23 23:59:59.999,1190303.90761000,9779,3314570.20000000,594418.61628000,0
2024-09-24,0.1805,0.1873,0.1776,0.1863,6340823.8,2024-09-24 23:59:59.999,1161209.90599000,9749,3469004.90000000,635299.10128000,0
2024-09-25,0.1863,0.1916,0.1832,0.1843,5913074.8,2024-09-25 23:59:59.999,1107134.02298000,9146,3000016.40000000,561818.10553000,0
2024-09-26,0.1843,0.1948,0.1824,0.1906,5970418.7,2024-09-26 23:59:59.999,1135295.24762000,9664,3003617.10000000,571341.77970000,0
2024-09-27,0.1905,0.1973,0.1897,0.1953,5062604.2,2024-09-27 23:59:59.999,984357.52612000,8570,2585422.10000000,502562.01200000,0
2024-09-28,0.1953,0.1996,0.1892,0.1913,3863051.7,2024-09-28 23:59:59.999,748759.35721000,7586,1817150.70000000,352031.04332000,0
2024-09-29,0.1912,0.194,0.1867,0.1887,5326275.4,2024-09-29 23:59:59.999,1014584.01407000,9507,2355389.00000000,448763.82535000,0
2024-09-30,0.1884,0.1887,0.1761,0.1776,8727394.5,2024-09-30 23:59:59.999,1589039.92808000,15222,4284344.70000000,780288.93959000,0
2024-10-01,0.1777,0.1848,0.1592,0.1654,13787430.4,2024-10-01 23:59:59.999,2359835.04845000,22026,6587904.40000000,1127503.95793000,0
2024-10-02,0.1654,0.1698,0.158,0.1618,6946800.8,2024-10-02 23:59:59.999,1138765.88921000,12112,3289370.40000000,538491.23339000,0
2024-10-03,0.1616,0.1648,0.1542,0.1584,7665506.6,2024-10-03 23:59:59.999,1218378.65659000,14362,3608581.10000000,572627.14215000,0
2024-10-04,0.1584,0.1651,0.1568,0.1623,6195319.9,2024-10-04 23:59:59.999,997177.47994000,8685,3069933.20000000,493725.58753000,0
2024-10-05,0.1623,0.1643,0.1579,0.1603,4142104.9,2024-10-05 23:59:59.999,667401.37080000,6096,2154122.90000000,347060.35793000,0
2024-10-06,0.1604,0.1689,0.1594,0.1668,6702464.6,2024-10-06 23:59:59.999,1101395.38060000,9695,2804425.30000000,461001.60199000,0
2024-10-07,0.1668,0.1718,0.1641,0.1648,6548580.1,2024-10-07 23:59:59.999,1102071.51782000,10525,3257505.20000000,548337.47408000,0
2024-10-08,0.1648,0.167,0.162,0.1634,5194521.4,2024-10-08 23:59:59.999,854244.75431000,9606,2604076.60000000,428106.46327000,0
2024-10-09,0.1634,0.166,0.1576,0.1602,5841886.6,2024-10-09 23:59:59.999,947343.19216000,10511,3041061.50000000,493527.36561000,0
2024-10-10,0.1602,0.1619,0.1553,0.1594,5292998.6,2024-10-10 23:59:59.999,840157.68600000,9073,2828922.20000000,449041.04585000,0
2024-10-11,0.1592,0.1664,0.1591,0.1643,4690438.2,2024-10-11 23:59:59.999,763050.46398000,7742,2222150.40000000,361711.06152000,0
2024-10-12,0.1643,0.1706,0.164,0.1672,15053734.7,2024-10-12 23:59:59.999,2512192.89522000,15484,7625927.10000000,1273292.24767000,0
2024-10-13,0.1672,0.1684,0.1609,0.1641,5772569.7,2024-10-13 23:59:59.999,948219.58093000,6820,3460350.70000000,567999.98394000,0
2024-10-14,0.1641,0.174,0.162,0.1738,8540228.1,2024-10-14 23:59:59.999,1439236.42557000,11745,4168912.80000000,702053.51933000,0
2024-10-15,0.1738,0.1778,0.1689,0.1722,8353942.4,2024-10-15 23:59:59.999,1444317.50083000,11863,4049031.00000000,700152.81006000,0
2024-10-16,0.1721,0.1728,0.1671,0.168,5155929.1,2024-10-16 23:59:59.999,873677.06528000,7439,2683538.00000000,454780.66973000,0
2024-10-17,0.1679,0.1683,0.1587,0.1607,6535251.7,2024-10-17 23:59:59.999,1065638.98592000,8625,3395275.30000000,553519.37097000,0
2024-10-18,0.1607,0.1659,0.1598,0.1651,6597197.1,2024-10-18 23:59:59.999,1079206.77879000,8898,3135646.00000000,512921.35327000,0
2024-10-19,0.1652,0.1702,0.1644,0.167,6212030.0,2024-10-19 23:59:59.999,1032233.18655000,7133,3531456.20000000,586493.35608000,0
2024-10-20,0.1669,0.1767,0.1649,0.1735,12364150.7,2024-10-20 23:59:59.999,2110717.43276000,14528,6358195.10000000,1085915.21990000,0
2024-10-21,0.1735,0.1753,0.1673,0.1695,7024745.5,2024-10-21 23:59:59.999,1204130.93739000,9894,3445884.80000000,590627.08131000,0
2024-10-22,0.1695,0.1713,0.1621,0.169,12047532.4,2024-10-22 23:59:59.999,2012766.36499000,15522,5975220.70000000,998556.42099000,0
2024-10-23,0.1691,0.1695,0.1593,0.1642,9117831.9,2024-10-23 23:59:59.999,1496471.88930000,11989,4712023.80000000,773096.99281000,0
