Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2024-09-19,0.28,0.3001,0.2789,0.3,4403857.2,2024-09-19 23:59:59.999,1268406.05851000,14990,2150741.60000000,621194.28888000,0
2024-09-20,0.2998,0.3227,0.2948,0.3133,13776349.0,2024-09-20 23:59:59.999,4269514.66246000,42182,7315774.30000000,2272898.33470000,0
2024-09-21,0.3134,0.3775,0.3134,0.3446,41971740.6,2024-09-21 23:59:59.999,14618699.07953000,141445,20477928.00000000,7128513.02100000,0
2024-09-22,0.3447,0.3448,0.3119,0.3176,8217808.0,2024-09-22 23:59:59.999,2679524.43943000,28188,3785716.20000000,1234450.35984000,0
2024-09-23,0.3176,0.3308,0.3111,0.324,9241588.9,2024-09-23 23:59:59.999,2989449.72456000,27315,4486292.90000000,1451792.14859000,0
2024-09-24,0.324,0.3288,0.3148,0.3264,5613495.7,2024-09-24 23:59:59.999,1799628.88132000,18175,2553199.40000000,819132.78738000,0
2024-09-25,0.3268,0.3612,0.3216,0.3473,16917098.2,2024-09-25 23:59:59.999,5782049.17342000,54391,8877778.10000000,3030675.36265000,0
2024-09-26,0.3473,0.3496,0.3332,0.3484,7635875.2,2024-09-26 23:59:59.999,2607294.79445000,21539,3720373.40000000,1270838.39078000,0
2024-09-27,0.3483,0.3619,0.341,0.3615,5311126.1,2024-09-27 23:59:59.999,1857765.01238000,17958,2552248.80000000,893548.82373000,0
2024-09-28,0.3616,0.3625,0.3421,0.3477,3501865.2,2024-09-28 23:59:59.999,1229072.52771000,14964,1701783.00000000,595943.31539000,0
2024-09-29,0.348,0.3813,0.3421,0.3562,21461039.7,2024-09-29 23:59:59.999,7792053.09328000,71231,11021646.10000000,4007742.69480000,0
2024-09-30,0.3561,0.412,0.3561,0.3686,44641116.9,2024-09-30 23:59:59.999,17332256.84883000,136371,22586252.90000000,8757991.41839000,0
2024-10-01,0.3684,0.375,0.321,0.3384,16312703.0,2024-10-01 23:59:59.999,5729339.38680000,49808,7588565.30000000,2663769.42135000,0
2024-10-02,0.3384,0.3415,0.3064,0.3124,8278220.1,2024-10-02 23:59:59.999,2684348.08044000,25671,3447217.20000000,1117294.79553000,0
2024-10-03,0.3125,0.3156,0.2998,0.314,5101438.0,2024-10-03 23:59:59.999,1572866.85584000,17549,2365523.90000000,729932.05720000,0
2024-10-04,0.314,0.3329,0.3111,0.3326,5172436.8,2024-10-04 23:59:59.999,1667332.18013000,17162,2669132.40000000,860023.33033000,0
2024-10-05,0.3326,0.3442,0.3261,0.3324,6300450.7,2024-10-05 23:59:59.999,2121231.57729000,18815,3191207.90000000,1075996.46516000,0
2024-10-06,0.3326,0.3436,0.3267,0.3436,2874425.1,2024-10-06 23:59:59.999,957541.56085000,9667,1420279.30000000,474662.78608000,0
2024-10-07,0.3436,0.3476,0.3292,0.3301,5116767.5,2024-10-07 23:59:59.999,1739626.31858000,15142,2275542.90000000,773850.57272000,0
2024-10-08,0.3303,0.3353,0.3225,0.327,3164239.2,2024-10-08 23:59:59.999,1039578.00041000,10444,1472431.00000000,483661.65126000,0
2024-10-09,0.327,0.3309,0.3135,0.3182,2430145.9,2024-10-09 23:59:59.999,783981.82718000,7631,1098906.80000000,354416.65937000,0
2024-10-10,0.3179,0.3314,0.3069,0.3169,8051636.3,2024-10-10 23:59:59.999,2585220.16249000,24354,4311512.40000000,1385545.07033000,0
2024-10-11,0.3168,0.345,0.3159,0.3426,10178070.0,2024-10-11 23:59:59.999,3394926.35016000,23189,5106926.40000000,1702504.63081000,0
2024-10-12,0.3427,0.3517,0.3386,0.3408,5205636.6,2024-10-12 23:59:59.999,1783543.04429000,13981,2648765.80000000,907927.37510000,0
2024-10-13,0.3409,0.3413,0.3219,0.3308,3365833.2,2024-10-13 23:59:59.999,1114152.81327000,10336,1624591.60000000,537131.62718000,0
2024-10-14,0.3307,0.3462,0.3231,0.3437,4919459.6,2024-10-14 23:59:59.999,1657810.70462000,12349,2461341.20000000,829770.92024000,0
2024-10-15,0.3437,0.3439,0.3198,0.3371,6864813.7,2024-10-15 23:59:59.999,2285102.93574000,16967,3271135.70000000,1087963.13769000,0
2024-10-16,0.3371,0.3379,0.3271,0.3293,4268631.3,2024-10-16 23:59:59.999,1416866.59796000,10647,2304450.80000000,764579.87895000,0
2024-10-17,0.3294,0.3352,0.3205,0.324,4464791.9,2024-10-17 23:59:59.999,1461837.60635000,13551,2492654.40000000,816179.60763000,0
2024-10-18,0.324,0.335,0.3233,0.3349,2675989.5,2024-10-18 23:59:59.999,880215.99954000,7041,1136557.10000000,373778.93334000,0
2024-10-19,0.335,0.3605,0.335,0.3605,14121419.0,2024-10-19 23:59:59.999,4902596.71543000,37745,8039451.10000000,2791833.22388000,0
2024-10-20,0.3602,0.3604,0.344,0.3554,6954649.5,2024-10-20 23:59:59.999,2443062.21065000,16237,3309998.90000000,1163521.04940000,0
2024-10-21,0.355,0.3555,0.3349,0.338,4355856.1,2024-10-21 23:59:59.999,1496856.73856000,13595,1761968.70000000,603670.43632000,0
2024-10-22,0.3379,0.3409,0.3286,0.3401,3569392.6,2024-10-22 23:59:59.999,1194027.17177000,10383,1544793.20000000,516617.89112000,0
2024-10-23,0.3404,0.3413,0.3158,0.3251,3541290.6,2024-10-23 23:59:59.999,1156099.51719000,10779,1595945.90000000,518750.01546000,0
2024-10-24,0.3251,0.3361,0.3233,0.3291,4584444.6,2024-10-24 23:59:59.999,1510808.28438000,11759,2494981.40000000,822785.60373000,0
2024-10-25,0.3293,0.3297,0.2878,0.3026,5975727.9,2024-10-25 23:59:59.999,1856779.25339000,17504,2602633.50000000,805448.89593000,0
2024-10-26,0.302,0.3086,0.2964,0.3052,2739355.0,2024-10-26 23:59:59.999,831642.27871000,8017,1302062.20000000,395053.49080000,0
2024-10-27,0.3052,0.3124,0.3027,0.3105,1595893.6,2024-10-27 23:59:59.999,490394.74292000,4711,798436.90000000,245628.42840000,0
2024-10-28,0.3105,0.3146,0.2983,0.3105,4780423.7,2024-10-28 23:59:59.999,1464425.00906000,15246,2151425.10000000,659357.98815000,0
2024-10-29,0.3105,0.3245,0.3095,0.3217,4074583.2,2024-10-29 23:59:59.999,1295674.33904000,12088,1839416.30000000,584685.52126000,0
2024-10-30,0.3216,0.3218,0.3132,0.3157,3410113.9,2024-10-30 23:59:59.999,1081424.65500000,9565,1614772.30000000,512111.15519000,0
2024-10-31,0.3155,0.3162,0.2942,0.2967,3726374.6,2024-10-31 23:59:59.999,1135289.69001000,9462,1785752.80000000,542862.07839000,0
2024-11-01,0.2966,0.3026,0.289,0.2936,3477192.9,2024-11-01 23:59:59.999,1026160.27225000,8940,1700400.40000000,501686.86999000,0
2024-11-02,0.2935,0.304,0.2835,0.2862,6911488.5,2024-11-02 23:59:59.999,2041766.90229000,17946,3888546.20000000,1152209.54785000,0
2024-11-03,0.2862,0.2876,0.2672,0.2753,5729780.9,2024-11-03 23:59:59.999,1590781.79898000,17367,2824588.30000000,783314.38765000,0
2024-11-04,0.2752,0.2793,0.2637,0.2715,3215368.3,2024-11-04 23:59:59.999,877273.12621000,7408,1767343.50000000,482091.47758000,0
2024-11-05,0.2717,0.2888,0.2708,0.2824,4464359.4,2024-11-05 23:59:59.999,1252670.27694000,9947,2131249.40000000,598504.82004000,0
2024-11-06,0.2826,0.3101,0.2825,0.3081,9240443.7,2024-11-06 23:59:59.999,2762171.43615000,22776,4178706.90000000,1248615.19312000,0
2024-11-07,0.3083,0.3147,0.3011,0.3093,6171764.1,2024-11-07 23:59:59.999,1903575.28061000,15688,3061533.40000000,944607.63596000,0
2024-11-08,0.3094,0.3146,0.3002,0.3146,5294934.3,2024-11-08 23:59:59.999,1629683.68994000,13602,2507512.10000000,772041.10116000,0
2024-11-09,0.3146,0.3223,0.307,0.3213,4992481.3,2024-11-09 23:59:59.999,1576193.88864000,14183,2143403.70000000,677632.16666000,0
2024-11-10,0.3215,0.3446,0.3151,0.3355,18447607.2,2024-11-10 23:59:59.999,6083851.44196000,49302,9669774.40000000,3194442.28601000,0
2024-11-11,0.3351,0.3523,0.3244,0.3519,14962360.0,2024-11-11 23:59:59.999,5087685.55039000,42104,7385721.00000000,2516255.61667000,0
2024-11-12,0.3519,0.3737,0.3254,0.354,24854947.4,2024-11-12 23:59:59.999,8712588.44023000,73085,12434289.70000000,4366279.75317000,0
2024-11-13,0.3535,0.3751,0.3253,0.3472,18741228.0,2024-11-13 23:59:59.999,6502302.17285000,77104,8883684.60000000,3087775.26007000,0
2024-11-14,0.3472,0.3527,0.3151,0.3214,10642371.0,2024-11-14 23:59:59.999,3533064.38450000,45484,4934651.60000000,1632892.25718000,0
2024-11-15,0.3213,0.3419,0.3105,0.3406,5944643.9,2024-11-15 23:59:59.999,1946487.06029000,29258,2753852.50000000,903891.91529000,0
2024-11-16,0.3408,0.3644,0.3382,0.3644,7724205.6,2024-11-16 23:59:59.999,2719362.32558000,41166,3420354.70000000,1205105.22924000,0
2024-11-17,0.3645,0.3646,0.3333,0.3421,9256390.6,2024-11-17 23:59:59.999,3236382.48858000,48069,3968988.10000000,1385347.87878000,0
2024-11-18,0.3423,0.3781,0.34,0.372,13046952.5,2024-11-18 23:59:59.999,4700836.10998000,51612,6220219.10000000,2239782.58443000,0
2024-11-19,0.372,0.4034,0.3557,0.3666,19893603.9,2024-11-19 23:59:59.999,7597420.31515000,75094,10402911.00000000,3989197.02185000,0
2024-11-20,0.3663,0.3664,0.3379,0.346,7296211.4,2024-11-20 23:59:59.999,2562209.22362000,28259,3299121.60000000,1158539.36324000,0
2024-11-21,0.3452,0.3643,0.3355,0.3597,5326288.7,2024-11-21 23:59:59.999,1878045.50630000,24176,2306090.40000000,813005.50625000,0
2024-11-22,0.3597,0.3716,0.3467,0.3715,12563425.9,2024-11-22 23:59:59.999,4530349.75028000,52136,6712653.80000000,2426471.95802000,0
2024-11-23,0.3713,0.392,0.3646,0.383,12674359.6,2024-11-23 23:59:59.999,4781888.85980000,55414,5747597.10000000,2170494.22200000,0
2024-11-24,0.3829,0.4157,0.3673,0.4147,23470998.1,2024-11-24 23:59:59.999,9162205.93336000,91444,11497306.70000000,4493111.89967000,0
2024-11-25,0.4148,0.5245,0.4096,0.463,118797374.9,2024-11-25 23:59:59.999,56395288.23692000,424699,57866310.00000000,27434787.97590000,0
2024-11-26,0.463,0.6718,0.461,0.4955,176596592.0,2024-11-26 23:59:59.999,102389971.52523000,538481,87274700.40000000,50671305.28844000,0
2024-11-27,0.4954,0.5259,0.4694,0.4863,56139767.5,2024-11-27 23:59:59.999,27361611.19775000,202752,27322138.20000000,13347174.61651000,0
2024-11-28,0.486,0.486,0.459,0.4708,21207811.4,2024-11-28 23:59:59.999,9939429.11122000,97382,9213017.00000000,4318101.11449000,0
2024-11-29,0.471,0.5281,0.465,0.4947,30437336.8,2024-11-29 23:59:59.999,14959943.19059000,103930,14948319.00000000,7358842.81632000,0
2024-11-30,0.4949,0.5147,0.4869,0.4972,17798945.8,2024-11-30 23:59:59.999,8876169.60512000,67981,8688110.00000000,4340749.11351000,0
2024-12-01,0.4975,0.5019,0.4747,0.4978,11316418.4,2024-12-01 23:59:59.999,5519231.61913000,48590,5357288.80000000,2615526.66553000,0
2024-12-02,0.4981,0.4995,0.4501,0.4827,18972621.0,2024-12-02 23:59:59.999,8937694.44662000,87057,8706134.10000000,4091707.33137000,0
2024-12-03,0.4828,0.508,0.4478,0.502,40094382.8,2024-12-03 23:59:59.999,19289898.34877000,159238,18508675.00000000,8909407.93831000,0
2024-12-04,0.5022,0.535,0.487,0.5146,38453467.6,2024-12-04 23:59:59.999,19791550.57309000,158015,18293178.40000000,9433703.50005000,0
2024-12-05,0.5147,0.5509,0.4857,0.5042,39077913.9,2024-12-05 23:59:59.999,20115793.41447000,164760,19626287.00000000,10124649.54661000,0
2024-12-06,0.5042,0.5328,0.4951,0.5324,18981089.3,2024-12-06 23:59:59.999,9831897.90562000,88369,9721563.90000000,5033277.96400000,0
2024-12-07,0.5325,0.534,0.509,0.5179,6904225.0,2024-12-07 23:59:59.999,3582120.01489000,37532,3042727.50000000,1578842.59741000,0
2024-12-08,0.517,0.5205,0.4965,0.5119,6670061.5,2024-12-08 23:59:59.999,3380464.25832000,35070,3345295.50000000,1695269.54945000,0
2024-12-09,0.5118,0.5118,0.362,0.4214,30257155.2,2024-12-09 23:59:59.999,13449353.31499000,100790,15145116.30000000,6724971.68849000,0
2024-12-10,0.4214,0.4287,0.3669,0.4086,21073442.2,2024-12-10 23:59:59.999,8404092.83997000,118081,9908588.30000000,3947004.93465000,0
2024-12-11,0.4084,0.4378,0.3874,0.4368,8564828.8,2024-12-11 23:59:59.999,3527287.07231000,53795,4421978.50000000,1826187.84323000,0
2024-12-12,0.4372,0.4516,0.4292,0.439,10517414.4,2024-12-12 23:59:59.999,4653312.95870000,53154,5642098.80000000,2498159.87127000,0
2024-12-13,0.4392,0.4418,0.4222,0.4371,5933966.3,2024-12-13 23:59:59.999,2567510.31582000,33758,2647702.90000000,1145245.07143000,0
