Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2024-11-17,259.9,261.6,250.2,253.7,2652.799,2024-11-17 23:59:59.999,679343.34590000,16265,1505.92300000,385697.58190000,0
2024-11-18,253.4,267.6,250.3,266.8,3641.238,2024-11-18 23:59:59.999,941533.11680000,21065,1840.06000000,475174.04190000,0
2024-11-19,266.8,270.0,254.3,258.3,3160.583,2024-11-19 23:59:59.999,834417.85700000,15989,1500.44200000,395523.24710000,0
2024-11-20,258.1,260.4,244.2,249.0,3419.199,2024-11-20 23:59:59.999,866102.15660000,16494,1908.62400000,483336.42380000,0
2024-11-21,249.0,268.4,246.7,267.2,3359.707,2024-11-21 23:59:59.999,870168.02000000,18614,1774.74300000,459553.85940000,0
2024-11-22,267.4,271.0,257.7,264.6,2420.678,2024-11-22 23:59:59.999,639305.17670000,14155,1351.55400000,357348.42170000,0
2024-11-23,264.6,280.0,263.6,273.3,3678.655,2024-11-23 23:59:59.999,1000994.36040000,21282,1887.89200000,513657.90830000,0
2024-11-24,273.4,278.6,261.4,270.5,3086.974,2024-11-24 23:59:59.999,832509.07530000,23698,1602.70300000,432720.02660000,0
2024-11-25,270.5,281.0,264.2,266.6,4519.785,2024-11-25 23:59:59.999,1236785.87400000,27984,2345.96400000,641992.79810000,0
2024-11-26,266.7,273.1,251.7,261.7,3900.784,2024-11-26 23:59:59.999,1014854.80920000,25192,2101.21500000,546497.98860000,0
2024-11-27,261.6,277.8,258.2,272.5,3699.856,2024-11-27 23:59:59.999,994945.57380000,22684,1987.78800000,534462.07560000,0
2024-11-28,272.5,272.5,263.2,267.4,2568.105,2024-11-28 23:59:59.999,685713.45570000,16735,1235.05100000,329813.37090000,0
2024-11-29,267.5,270.7,264.2,269.8,2416.025,2024-11-29 23:59:59.999,645178.08040000,12429,1520.75000000,406250.94340000,0
2024-11-30,269.5,279.0,267.0,278.2,1907.329,2024-11-30 23:59:59.999,524476.93110000,13276,1063.00900000,292443.34320000,0
2024-12-01,278.4,285.7,273.8,281.1,2960.01,2024-12-01 23:59:59.999,829304.31950000,15601,1726.48300000,483737.99440000,0
2024-12-02,281.1,283.1,264.0,273.1,4055.526,2024-12-02 23:59:59.999,1100458.23510000,21408,2293.59400000,621922.68590000,0
2024-12-03,272.8,277.1,259.2,275.6,5915.94,2024-12-03 23:59:59.999,1598871.95740000,27183,2924.23200000,790708.10060000,0
2024-12-04,275.6,288.2,273.5,284.2,5875.084,2024-12-04 23:59:59.999,1647757.43930000,27056,3391.54300000,951530.15950000,0
2024-12-05,284.4,291.9,277.1,281.4,6301.497,2024-12-05 23:59:59.999,1806214.36500000,27228,3598.52500000,1032240.45500000,0
2024-12-06,281.4,300.9,280.2,295.8,4747.3,2024-12-06 23:59:59.999,1382201.51490000,23366,2627.47000000,765551.64620000,0
2024-12-07,295.9,301.3,293.8,296.9,2972.357,2024-12-07 23:59:59.999,884012.03350000,16181,1601.96300000,476801.05910000,0
2024-12-08,297.0,301.5,292.1,300.5,2864.467,2024-12-08 23:59:59.999,849739.68810000,19073,1482.77000000,439904.80780000,0
2024-12-09,300.6,307.0,257.2,268.2,6127.282,2024-12-09 23:59:59.999,1712085.11020000,26823,3110.77600000,866811.55600000,0
2024-12-10,268.2,273.6,250.0,258.9,7271.861,2024-12-10 23:59:59.999,1914841.00670000,33454,3502.91500000,919772.50980000,0
2024-12-11,258.9,277.9,254.9,276.0,3273.334,2024-12-11 23:59:59.999,869748.89530000,17012,2004.59300000,532686.61540000,0
2024-12-12,276.4,295.9,274.1,287.0,3827.111,2024-12-12 23:59:59.999,1096882.94980000,22195,2070.91300000,592253.64210000,0
2024-12-13,287.2,294.1,284.0,291.7,2967.088,2024-12-13 23:59:59.999,860945.79220000,17804,1698.86600000,493565.65980000,0
2024-12-14,291.6,294.3,279.1,283.0,2071.299,2024-12-14 23:59:59.999,594537.07320000,13202,1046.40100000,300179.53860000,0
2024-12-15,283.0,307.5,272.1,300.5,5676.108,2024-12-15 23:59:59.999,1660065.64610000,27959,2771.21700000,810320.26330000,0
2024-12-16,300.6,307.2,290.5,295.3,5726.51,2024-12-16 23:59:59.999,1707778.46930000,24999,3266.35100000,973796.09060000,0
2024-12-17,295.1,298.8,281.6,284.2,3640.145,2024-12-17 23:59:59.999,1064616.46240000,18339,1601.20000000,468412.63480000,0
2024-12-18,284.2,285.5,260.3,260.8,4668.666,2024-12-18 23:59:59.999,1296806.41420000,19195,2167.67000000,602761.70470000,0
2024-12-19,260.6,269.6,243.7,249.2,5099.586,2024-12-19 23:59:59.999,1309628.05090000,22098,2380.83200000,612415.05760000,0
2024-12-20,249.3,273.1,231.9,272.2,7751.963,2024-12-20 23:59:59.999,1960569.93840000,27309,2552.97800000,641981.62130000,0
2024-12-21,272.4,280.6,259.9,262.4,6928.116,2024-12-21 23:59:59.999,1860129.44110000,23620,1755.69400000,471194.62380000,0
2024-12-22,262.4,270.2,255.0,258.1,2943.196,2024-12-22 23:59:59.999,776815.34450000,16332,1205.47200000,317417.27040000,0
2024-12-23,258.1,271.6,254.0,269.3,2680.911,2024-12-23 23:59:59.999,701058.85380000,15467,1451.54500000,380212.64070000,0
2024-12-24,269.1,281.9,264.0,281.2,2616.968,2024-12-24 23:59:59.999,714235.51540000,15832,1291.75900000,353016.32960000,0
2024-12-25,281.2,293.7,280.9,287.0,2509.34,2024-12-25 23:59:59.999,718609.12640000,16289,1227.13100000,351525.24830000,0
2024-12-26,287.0,289.8,275.4,276.9,2211.293,2024-12-26 23:59:59.999,622793.35850000,11880,912.28300000,256954.92200000,0
2024-12-27,276.9,284.6,273.1,275.9,2659.87,2024-12-27 23:59:59.999,740880.83080000,13443,1256.32000000,350284.81630000,0
2024-12-28,275.9,285.7,272.6,282.8,2324.071,2024-12-28 23:59:59.999,646474.26730000,11860,1127.96800000,313947.74770000,0
2024-12-29,282.8,285.9,273.2,275.1,3166.53,2024-12-29 23:59:59.999,885898.85430000,13528,1439.26900000,402780.67520000,0
2024-12-30,275.1,281.9,270.4,272.7,4034.495,2024-12-30 23:59:59.999,1114920.74640000,16148,1566.65400000,433546.45240000,0
2024-12-31,272.9,276.4,264.9,266.1,2941.378,2024-12-31 23:59:59.999,797884.23000000,12546,1189.53100000,323220.16820000,0
2025-01-01,266.5,275.9,265.3,273.2,3550.766,2025-01-01 23:59:59.999,961074.96250000,12806,1645.42300000,445351.78900000,0
2025-01-02,273.2,287.7,272.7,281.2,4210.925,2025-01-02 23:59:59.999,1188016.19910000,16055,2103.34400000,594045.99170000,0
2025-01-03,281.3,287.5,274.0,286.0,2171.15,2025-01-03 23:59:59.999,610912.46740000,9913,1152.18100000,324929.44760000,0
2025-01-04,286.0,289.0,279.6,287.4,2890.939,2025-01-04 23:59:59.999,824676.88360000,10954,1422.07800000,406021.37420000,0
