Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2024-09-19,0.1471,0.1584,0.1471,0.1539,49541408.0,2024-09-19 23:59:59.999,7592012.99310000,76822,24190647.00000000,3706980.69290000,0
2024-09-20,0.1539,0.1636,0.1505,0.1611,54045187.0,2024-09-20 23:59:59.999,8594856.97450000,92820,29552374.00000000,4702740.60210000,0
2024-09-21,0.161,0.1671,0.1596,0.1663,31015871.0,2024-09-21 23:59:59.999,5075785.34350000,64726,16214663.00000000,2654660.46470000,0
2024-09-22,0.1662,0.1663,0.1549,0.1604,27915497.0,2024-09-22 23:59:59.999,4469605.10470000,58228,13537772.00000000,2164970.58230000,0
2024-09-23,0.1604,0.1794,0.1561,0.1747,84292404.0,2024-09-23 23:59:59.999,14545113.06810000,149660,42595894.00000000,7349412.50090000,0
2024-09-24,0.1747,0.1878,0.1699,0.1873,75136993.0,2024-09-24 23:59:59.999,13465960.64790000,123581,37420668.00000000,6711473.81950000,0
2024-09-25,0.1874,0.1905,0.1773,0.1789,47047211.0,2024-09-25 23:59:59.999,8625311.72900000,91414,23078100.00000000,4232777.35040000,0
2024-09-26,0.1789,0.191,0.1746,0.187,60375836.0,2024-09-26 23:59:59.999,11167944.61170000,108341,32101563.00000000,5943165.83250000,0
2024-09-27,0.187,0.1941,0.1829,0.1885,46889051.0,2024-09-27 23:59:59.999,8838128.02220000,92088,22651810.00000000,4271456.24270000,0
2024-09-28,0.1885,0.1905,0.1814,0.1866,27699285.0,2024-09-28 23:59:59.999,5145055.97320000,55643,13738084.00000000,2552428.92190000,0
2024-09-29,0.1866,0.194,0.1799,0.1884,31279101.0,2024-09-29 23:59:59.999,5835070.45510000,61944,15320213.00000000,2857893.11700000,0
2024-09-30,0.1885,0.1914,0.1736,0.1754,42273794.0,2024-09-30 23:59:59.999,7744195.69520000,86917,20685642.00000000,3783396.67030000,0
2024-10-01,0.1754,0.1816,0.1539,0.1594,87325290.0,2024-10-01 23:59:59.999,14694314.38400000,143939,44742365.00000000,7558671.68960000,0
2024-10-02,0.1593,0.1641,0.1503,0.1536,73716622.0,2024-10-02 23:59:59.999,11627835.61640000,126487,33168108.00000000,5240326.33590000,0
2024-10-03,0.1536,0.1585,0.1477,0.1541,43868314.0,2024-10-03 23:59:59.999,6703333.80750000,91094,21468070.00000000,3282489.97340000,0
2024-10-04,0.1542,0.1612,0.1514,0.1597,38563050.0,2024-10-04 23:59:59.999,6041019.52200000,57262,18474031.00000000,2893540.33130000,0
2024-10-05,0.1598,0.1625,0.1543,0.158,22620316.0,2024-10-05 23:59:59.999,3595418.37940000,47626,11433949.00000000,1818921.60780000,0
2024-10-06,0.1581,0.1656,0.156,0.1643,23891722.0,2024-10-06 23:59:59.999,3861086.78560000,54485,11417945.00000000,1844887.71520000,0
2024-10-07,0.1644,0.1755,0.1631,0.1644,56493063.0,2024-10-07 23:59:59.999,9606708.84990000,95513,28862624.00000000,4906046.77130000,0
2024-10-08,0.1645,0.1684,0.1577,0.1591,34260149.0,2024-10-08 23:59:59.999,5579485.31160000,70407,16057500.00000000,2615899.81870000,0
2024-10-09,0.159,0.1607,0.1535,0.1554,33478479.0,2024-10-09 23:59:59.999,5268621.16950000,59937,16130794.00000000,2538996.44770000,0
2024-10-10,0.1553,0.1588,0.1485,0.1542,32649550.0,2024-10-10 23:59:59.999,5012114.66160000,54240,16026817.00000000,2461275.78920000,0
