Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2024-11-17,0.1723,0.1962,0.1634,0.1647,42529656.0,2024-11-17 23:59:59.999,7619682.12230000,73209,19953437.00000000,3593620.41690000,0
2024-11-18,0.1648,0.173,0.1571,0.1601,19826491.0,2024-11-18 23:59:59.999,3269637.48380000,36875,9171412.00000000,1512700.02740000,0
2024-11-19,0.1601,0.1604,0.1454,0.1489,14832759.0,2024-11-19 23:59:59.999,2271181.44360000,27336,6540800.00000000,1002876.29530000,0
2024-11-20,0.1491,0.166,0.1387,0.1544,37954484.0,2024-11-20 23:59:59.999,5881462.58370000,68271,17907833.00000000,2779046.22420000,0
2024-11-21,0.1544,0.1648,0.1501,0.1555,28729686.0,2024-11-21 23:59:59.999,4501279.65830000,48204,14261285.00000000,2236556.14110000,0
2024-11-22,0.1555,0.1576,0.151,0.1549,10869742.0,2024-11-22 23:59:59.999,1676286.44140000,20786,5192420.00000000,801683.13990000,0
2024-11-23,0.1551,0.1625,0.1538,0.1599,13519792.0,2024-11-23 23:59:59.999,2139263.84280000,23885,6861314.00000000,1085894.35070000,0
2024-11-24,0.1595,0.1642,0.1503,0.1574,13995398.0,2024-11-24 23:59:59.999,2187425.06290000,24125,7008874.00000000,1097650.66530000,0
2024-11-25,0.1574,0.1633,0.1509,0.1527,10108968.0,2024-11-25 23:59:59.999,1593871.59610000,18873,4871668.00000000,769352.48900000,0
2024-11-26,0.1523,0.159,0.1475,0.153,11514629.0,2024-11-26 23:59:59.999,1761836.65320000,21079,5457914.00000000,836092.29640000,0
2024-11-27,0.1526,0.1567,0.1501,0.1562,7236156.0,2024-11-27 23:59:59.999,1113256.50570000,16562,3636804.00000000,559859.08240000,0
2024-11-28,0.1562,0.1583,0.1506,0.1572,8398311.0,2024-11-28 23:59:59.999,1292228.40330000,14767,4098378.00000000,631505.23760000,0
2024-11-29,0.1572,0.1652,0.156,0.1632,12776116.0,2024-11-29 23:59:59.999,2059000.28500000,29138,6518003.00000000,1051919.77020000,0
2024-11-30,0.1632,0.168,0.1601,0.1629,8793108.0,2024-11-30 23:59:59.999,1440332.30720000,26313,4247198.00000000,697604.36400000,0
2024-12-01,0.1629,0.1659,0.1595,0.1651,5854833.0,2024-12-01 23:59:59.999,955650.59210000,16440,2894681.00000000,473343.03560000,0
2024-12-02,0.1649,0.1675,0.151,0.1659,11630834.0,2024-12-02 23:59:59.999,1870534.22070000,30679,5923764.00000000,952870.96160000,0
2024-12-03,0.1658,0.1848,0.1629,0.1827,19929968.0,2024-12-03 23:59:59.999,3435170.72800000,50766,11188554.00000000,1933565.26770000,0
2024-12-04,0.183,0.1899,0.1741,0.1869,16040218.0,2024-12-04 23:59:59.999,2937774.81680000,61199,8400017.00000000,1540472.06550000,0
2024-12-05,0.1868,0.208,0.1801,0.1834,35108483.0,2024-12-05 23:59:59.999,6833333.31980000,105205,17104620.00000000,3334607.84780000,0
2024-12-06,0.1835,0.1945,0.1792,0.1933,8290727.0,2024-12-06 23:59:59.999,1555463.70440000,31624,4336031.00000000,814351.16110000,0
2024-12-07,0.1929,0.2103,0.1899,0.1942,25650026.0,2024-12-07 23:59:59.999,5113656.74970000,59182,12995240.00000000,2592414.91790000,0
2024-12-08,0.1941,0.2086,0.1917,0.2032,22510603.0,2024-12-08 23:59:59.999,4496761.26950000,58876,11562598.00000000,2308717.33930000,0
2024-12-09,0.2032,0.2036,0.155,0.1698,12282851.0,2024-12-09 23:59:59.999,2242073.18080000,48742,5505323.00000000,1005411.98580000,0
2024-12-10,0.1697,0.1738,0.1496,0.1638,8063683.0,2024-12-10 23:59:59.999,1312028.65060000,33523,3915486.00000000,639935.10310000,0
2024-12-11,0.1638,0.1861,0.1576,0.1791,28297561.0,2024-12-11 23:59:59.999,5042668.69760000,75898,14103017.00000000,2515612.94340000,0
2024-12-12,0.1793,0.1906,0.1763,0.189,12201720.0,2024-12-12 23:59:59.999,2242938.90640000,41171,6281740.00000000,1156309.50170000,0
2024-12-13,0.189,0.2418,0.1833,0.2112,59620474.0,2024-12-13 23:59:59.999,12500236.09880000,178814,31216131.00000000,6554571.67050000,0
2024-12-14,0.2113,0.2177,0.1785,0.1827,21213521.0,2024-12-14 23:59:59.999,4065222.59980000,60360,9557852.00000000,1828174.57940000,0
2024-12-15,0.1822,0.1848,0.1713,0.1778,10283737.0,2024-12-15 23:59:59.999,1844319.08630000,28556,5155033.00000000,923532.60910000,0
2024-12-16,0.1778,0.1805,0.1666,0.169,9397886.0,2024-12-16 23:59:59.999,1615437.71500000,27662,4523491.00000000,777818.23200000,0
2024-12-17,0.169,0.1991,0.1623,0.1663,55939064.0,2024-12-17 23:59:59.999,10166296.85820000,121214,27603474.00000000,5027512.95030000,0
2024-12-18,0.1662,0.1713,0.1455,0.1469,21202485.0,2024-12-18 23:59:59.999,3392694.03060000,48760,9899157.00000000,1586494.91730000,0
2024-12-19,0.1469,0.1671,0.1351,0.1396,32191875.0,2024-12-19 23:59:59.999,4813649.36550000,58788,16354167.00000000,2450303.82900000,0
2024-12-20,0.1397,0.1521,0.1284,0.1433,29126749.0,2024-12-20 23:59:59.999,4088395.74930000,56758,14363721.00000000,2011466.64210000,0
2024-12-21,0.1431,0.1511,0.1384,0.1395,6423641.0,2024-12-21 23:59:59.999,931479.13360000,21908,3451177.00000000,501219.19680000,0
2024-12-22,0.1394,0.1511,0.1385,0.1425,9008918.0,2024-12-22 23:59:59.999,1305129.46240000,27398,4587794.00000000,664855.31040000,0
2024-12-23,0.1425,0.1526,0.1409,0.1439,12712766.0,2024-12-23 23:59:59.999,1856792.45950000,30596,6338242.00000000,925707.96940000,0
2024-12-24,0.1436,0.1672,0.141,0.1621,24185518.0,2024-12-24 23:59:59.999,3752519.70960000,45999,11297120.00000000,1753187.92290000,0
2024-12-25,0.1622,0.1625,0.1457,0.1478,15219097.0,2024-12-25 23:59:59.999,2309682.19790000,29118,7243923.00000000,1098401.59360000,0
2024-12-26,0.1478,0.1502,0.1358,0.1379,11352827.0,2024-12-26 23:59:59.999,1600178.15400000,25489,5613553.00000000,792265.75470000,0
2024-12-27,0.1377,0.1448,0.1369,0.1389,5531418.0,2024-12-27 23:59:59.999,781567.13440000,17233,2707876.00000000,383028.29380000,0
2024-12-28,0.1389,0.148,0.138,0.1475,4461651.0,2024-12-28 23:59:59.999,639724.52850000,17595,2587871.00000000,371511.23320000,0
2024-12-29,0.1477,0.15,0.1403,0.1425,4083109.0,2024-12-29 23:59:59.999,595206.79640000,17577,1996552.00000000,291598.25180000,0
2024-12-30,0.1422,0.1468,0.1314,0.1363,9412454.0,2024-12-30 23:59:59.999,1295351.67260000,27802,4400964.00000000,605188.48890000,0
2024-12-31,0.1365,0.1387,0.1311,0.1324,4374267.0,2024-12-31 23:59:59.999,590246.13610000,16620,2168450.00000000,292542.98020000,0
2025-01-01,0.1326,0.157,0.1324,0.1411,48549858.0,2025-01-01 23:59:59.999,6963843.51810000,80788,23695304.00000000,3396158.93550000,0
2025-01-02,0.1412,0.1504,0.1365,0.1405,19788678.0,2025-01-02 23:59:59.999,2827093.42770000,35979,9729488.00000000,1392654.85840000,0
2025-01-03,0.1405,0.1442,0.1368,0.1433,6132994.0,2025-01-03 23:59:59.999,864308.80580000,21574,3086870.00000000,435617.16890000,0
2025-01-04,0.1433,0.1538,0.1423,0.1454,13922488.0,2025-01-04 23:59:59.999,2068442.46240000,43167,7454289.00000000,1108642.91580000,0
2025-01-05,0.1454,0.1467,0.1417,0.1462,5611157.0,2025-01-05 23:59:59.999,810618.99700000,19463,2646120.00000000,382840.65360000,0
2025-01-06,0.146,0.1489,0.1433,0.1465,3958450.0,2025-01-06 23:59:59.999,580488.48650000,13970,1994540.00000000,292584.94670000,0
2025-01-07,0.1465,0.1486,0.1351,0.1356,10112790.0,2025-01-07 23:59:59.999,1443192.46330000,24476,4637246.00000000,661979.58610000,0
2025-01-08,0.1354,0.1377,0.1246,0.1292,11554474.0,2025-01-08 23:59:59.999,1505440.25760000,24965,5662925.00000000,738349.29250000,0
2025-01-09,0.129,0.1304,0.122,0.1274,7193555.0,2025-01-09 23:59:59.999,912218.25030000,21217,4066393.00000000,516240.52740000,0
2025-01-10,0.1274,0.1402,0.1234,0.1257,17615328.0,2025-01-10 23:59:59.999,2320696.38800000,39778,8351188.00000000,1102490.59830000,0
2025-01-11,0.1255,0.1551,0.1252,0.1296,38415053.0,2025-01-11 23:59:59.999,5279618.60150000,68778,18389229.00000000,2535802.00730000,0
2025-01-12,0.1296,0.1301,0.1255,0.1269,6736871.0,2025-01-12 23:59:59.999,860949.39690000,18193,3067700.00000000,392400.58260000,0
2025-01-13,0.1269,0.145,0.1211,0.1404,75336483.0,2025-01-13 23:59:59.999,10155428.54060000,142395,37690935.00000000,5091213.86440000,0
2025-01-14,0.1404,0.1545,0.137,0.1409,31447880.0,2025-01-14 23:59:59.999,4525526.81480000,55915,14170522.00000000,2046507.87440000,0
2025-01-15,0.1408,0.1468,0.1382,0.141,16597591.0,2025-01-15 23:59:59.999,2354093.87370000,34387,7788276.00000000,1105883.95890000,0
2025-01-16,0.1408,0.141,0.1341,0.1358,12641828.0,2025-01-16 23:59:59.999,1737193.98080000,28083,5832315.00000000,802289.10640000,0
2025-01-17,0.1358,0.1394,0.1346,0.139,5322893.0,2025-01-17 23:59:59.999,733676.81670000,15310,2990214.00000000,412531.21920000,0
2025-01-18,0.139,0.1399,0.1267,0.128,7149768.0,2025-01-18 23:59:59.999,940109.13320000,21211,3380865.00000000,444994.82500000,0
2025-01-19,0.1281,0.1535,0.1272,0.1384,49812382.0,2025-01-19 23:59:59.999,7036542.53080000,102957,24737167.00000000,3500916.70920000,0
2025-01-20,0.1384,0.1415,0.1323,0.1337,17613129.0,2025-01-20 23:59:59.999,2413139.24730000,41677,7583438.00000000,1040888.68920000,0
2025-01-21,0.1337,0.137,0.128,0.1328,8235074.0,2025-01-21 23:59:59.999,1095220.18170000,21619,3617137.00000000,481123.90760000,0
2025-01-22,0.1327,0.1373,0.1288,0.1293,6379100.0,2025-01-22 23:59:59.999,846869.93530000,16891,3028776.00000000,402365.63160000,0
2025-01-23,0.1293,0.1479,0.128,0.1308,26817253.0,2025-01-23 23:59:59.999,3658301.97090000,47010,13127876.00000000,1797496.60020000,0
2025-01-24,0.131,0.137,0.1287,0.13,6026826.0,2025-01-24 23:59:59.999,799547.82810000,13895,3114770.00000000,412641.73450000,0
2025-01-25,0.13,0.1387,0.1288,0.1315,5739751.0,2025-01-25 23:59:59.999,765469.87110000,16192,2989525.00000000,399241.57340000,0
2025-01-26,0.1315,0.1358,0.1284,0.1311,6363320.0,2025-01-26 23:59:59.999,838295.76470000,13652,3109055.00000000,409538.47310000,0
2025-01-27,0.1312,0.144,0.1226,0.1268,17630286.0,2025-01-27 23:59:59.999,2301641.50440000,36018,8479636.00000000,1111797.60060000,0
2025-01-28,0.1266,0.131,0.1122,0.1144,7201857.0,2025-01-28 23:59:59.999,884879.69260000,16951,3381301.00000000,416999.70710000,0
2025-01-29,0.1143,0.1216,0.1137,0.1192,4561565.0,2025-01-29 23:59:59.999,536181.71190000,13789,2436340.00000000,286221.42120000,0
2025-01-30,0.1191,0.1229,0.1167,0.1213,4468726.0,2025-01-30 23:59:59.999,539059.59970000,11513,2337469.00000000,282750.09090000,0
2025-01-31,0.1213,0.137,0.121,0.1239,14070906.0,2025-01-31 23:59:59.999,1787873.50180000,27459,7397429.00000000,941021.39760000,0
2025-02-01,0.1237,0.128,0.1152,0.1193,8668816.0,2025-02-01 23:59:59.999,1064045.52920000,21482,3918709.00000000,481930.91480000,0
