Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2024-09-19,0.0508,0.0534,0.0508,0.0517,186189809.0,2024-09-19 23:59:59.999,9684595.76710000,60533,96448997.00000000,5018481.22410000,0
2024-09-20,0.0517,0.0538,0.0509,0.0528,186082412.0,2024-09-20 23:59:59.999,9756009.23480000,60270,91046434.00000000,4777352.64540000,0
2024-09-21,0.0528,0.0562,0.0524,0.056,165310878.0,2024-09-21 23:59:59.999,8982287.12380000,54081,81599614.00000000,4438980.37120000,0
2024-09-22,0.0561,0.0561,0.0524,0.0537,106654099.0,2024-09-22 23:59:59.999,5746200.67480000,42399,47190191.00000000,2541697.99640000,0
2024-09-23,0.0538,0.0581,0.0527,0.0579,227259267.0,2024-09-23 23:59:59.999,12688297.50680000,108323,111538612.00000000,6232479.81350000,0
2024-09-24,0.0578,0.0581,0.0557,0.0578,142258661.0,2024-09-24 23:59:59.999,8107863.90230000,77748,69318776.00000000,3949588.79750000,0
2024-09-25,0.0578,0.0605,0.0572,0.0585,186575426.0,2024-09-25 23:59:59.999,11002590.74200000,96243,87866335.00000000,5181979.30990000,0
2024-09-26,0.0585,0.0622,0.0569,0.0617,155431988.0,2024-09-26 23:59:59.999,9279525.02230000,96193,79541087.00000000,4757943.14520000,0
2024-09-27,0.0617,0.0629,0.0605,0.0619,136882916.0,2024-09-27 23:59:59.999,8436809.38890000,81182,67293027.00000000,4149098.94900000,0
2024-09-28,0.0618,0.0639,0.0601,0.0611,112517227.0,2024-09-28 23:59:59.999,6943098.49720000,68744,56070086.00000000,3460778.07680000,0
2024-09-29,0.0612,0.0626,0.0597,0.0615,108944349.0,2024-09-29 23:59:59.999,6655774.54450000,75036,54095159.00000000,3308168.40330000,0
2024-09-30,0.0615,0.0617,0.0571,0.0575,152962601.0,2024-09-30 23:59:59.999,9100455.09300000,81204,75714984.00000000,4509629.09770000,0
2024-10-01,0.0575,0.0594,0.0519,0.0528,310494818.0,2024-10-01 23:59:59.999,17222747.65450000,132493,152297404.00000000,8460519.11690000,0
2024-10-02,0.0528,0.0548,0.0507,0.0516,231974503.0,2024-10-02 23:59:59.999,12240039.48730000,94938,110621509.00000000,5840382.81880000,0
2024-10-03,0.0516,0.0525,0.05,0.0518,292384444.0,2024-10-03 23:59:59.999,14951042.45180000,103531,142900456.00000000,7308879.07840000,0
2024-10-04,0.0517,0.0549,0.0514,0.0547,183131014.0,2024-10-04 23:59:59.999,9730294.35620000,83071,92630845.00000000,4922800.60530000,0
2024-10-05,0.0547,0.0552,0.0523,0.0531,100409783.0,2024-10-05 23:59:59.999,5384805.01220000,41719,47564259.00000000,2550423.04120000,0
2024-10-06,0.0531,0.0543,0.0523,0.0543,91669419.0,2024-10-06 23:59:59.999,4889276.26910000,39032,47250510.00000000,2520784.87780000,0
2024-10-07,0.0543,0.0557,0.0524,0.0524,190452579.0,2024-10-07 23:59:59.999,10317298.16110000,81360,91388511.00000000,4956247.68160000,0
2024-10-08,0.0524,0.0533,0.0513,0.0524,159126330.0,2024-10-08 23:59:59.999,8330993.47640000,76088,85682717.00000000,4486742.77260000,0
