Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2024-11-17,0.002138,0.002158,0.001979,0.002021,3128983861.0,2024-11-17 23:59:59.999,6501325.94552200,50047,1549484790.00000000,3220179.16213000,0
2024-11-18,0.002022,0.002194,0.002002,0.002166,4253209649.0,2024-11-18 23:59:59.999,9021781.29928600,63095,2243270488.00000000,4759111.08313900,0
2024-11-19,0.002166,0.002191,0.002036,0.002081,2927966297.0,2024-11-19 23:59:59.999,6179577.23358000,40275,1446540161.00000000,3053774.51538600,0
2024-11-20,0.002082,0.002139,0.001941,0.001994,3997895999.0,2024-11-20 23:59:59.999,8177928.60804900,52473,1935301830.00000000,3963958.67328800,0
2024-11-21,0.001995,0.002164,0.001955,0.002135,3949868677.0,2024-11-21 23:59:59.999,8263056.42792500,54833,1886256039.00000000,3946514.25695200,0
2024-11-22,0.002137,0.002208,0.002052,0.002205,4365185425.0,2024-11-22 23:59:59.999,9303312.76697200,60668,2037915259.00000000,4350335.47163300,0
2024-11-23,0.002205,0.0025,0.002187,0.002378,8628762005.0,2024-11-23 23:59:59.999,20471372.37194800,141541,4131150093.00000000,9806793.27459700,0
2024-11-24,0.002376,0.002975,0.002307,0.00281,17676512354.0,2024-11-24 23:59:59.999,46956611.31001000,290738,9085926678.00000000,24150964.67065100,0
2024-11-25,0.002813,0.00323,0.002627,0.002968,18222604109.0,2024-11-25 23:59:59.999,53699596.60461800,314403,9048585192.00000000,26695684.86825100,0
2024-11-26,0.002965,0.003111,0.002598,0.002736,7888161701.0,2024-11-26 23:59:59.999,22044178.93448300,137036,3730199404.00000000,10431039.23221000,0
2024-11-27,0.002732,0.003049,0.002683,0.002893,5748744354.0,2024-11-27 23:59:59.999,16668744.58746200,94795,2673380524.00000000,7751032.70606700,0
2024-11-28,0.002892,0.002932,0.002746,0.002853,4456691872.0,2024-11-28 23:59:59.999,12623201.17565900,61027,2211497550.00000000,6263379.73079800,0
2024-11-29,0.002854,0.003047,0.002827,0.002997,3686840675.0,2024-11-29 23:59:59.999,10745012.90513600,55594,1794641409.00000000,5237034.34932200,0
2024-11-30,0.002996,0.003625,0.002926,0.003316,12422885468.0,2024-11-30 23:59:59.999,41838938.58094500,244272,6276561095.00000000,21159928.36155000,0
2024-12-01,0.003316,0.003447,0.003175,0.003318,5309641372.0,2024-12-01 23:59:59.999,17570603.88400800,87320,2472765444.00000000,8190059.25911900,0
2024-12-02,0.003318,0.003519,0.003012,0.003413,7693644548.0,2024-12-02 23:59:59.999,25084543.33550400,139352,3839382420.00000000,12518659.54544000,0
2024-12-03,0.003414,0.00384,0.003224,0.003803,10165279060.0,2024-12-03 23:59:59.999,36280861.51085500,201220,5144682225.00000000,18386813.59421300,0
2024-12-04,0.003803,0.003817,0.003493,0.00372,6274431066.0,2024-12-04 23:59:59.999,23065905.68874900,125368,3011757836.00000000,11073944.29697000,0
2024-12-05,0.003721,0.003888,0.003501,0.003633,5500081897.0,2024-12-05 23:59:59.999,20349223.33469400,113125,2669741454.00000000,9883415.66378300,0
2024-12-06,0.003629,0.004085,0.00358,0.003866,6570556954.0,2024-12-06 23:59:59.999,25388653.02866100,130892,3223905485.00000000,12479287.74916800,0
2024-12-07,0.003865,0.004015,0.00374,0.003856,3319518401.0,2024-12-07 23:59:59.999,12800318.32672700,73732,1571815672.00000000,6060644.94912300,0
2024-12-08,0.003859,0.003885,0.003632,0.003803,3287006488.0,2024-12-08 23:59:59.999,12254897.09210100,63750,1597551629.00000000,5961123.00424000,0
2024-12-09,0.003803,0.003814,0.002596,0.003031,8130880391.0,2024-12-09 23:59:59.999,26954899.87740800,148083,3737092090.00000000,12316276.38721200,0
2024-12-10,0.003026,0.003131,0.002691,0.003005,6421496309.0,2024-12-10 23:59:59.999,18859722.77711900,92817,3027533711.00000000,8899081.57905100,0
2024-12-11,0.003006,0.003328,0.002879,0.003286,4448431301.0,2024-12-11 23:59:59.999,13939974.54440500,61679,2171361900.00000000,6820516.57647300,0
2024-12-12,0.003284,0.003493,0.003244,0.003316,3834821666.0,2024-12-12 23:59:59.999,12918756.49325900,59768,1871582597.00000000,6314106.86020400,0
2024-12-13,0.003318,0.003358,0.003199,0.003321,3164169986.0,2024-12-13 23:59:59.999,10365163.57033100,46010,1497417462.00000000,4907226.83669000,0
2024-12-14,0.003322,0.003373,0.002995,0.003089,2632042725.0,2024-12-14 23:59:59.999,8276064.08252900,44674,1269215451.00000000,3991997.04057500,0
2024-12-15,0.003088,0.003237,0.002952,0.003173,2776267040.0,2024-12-15 23:59:59.999,8606079.23397900,48028,1316472875.00000000,4083547.99022600,0
2024-12-16,0.003174,0.003252,0.002943,0.003042,3088422449.0,2024-12-16 23:59:59.999,9517705.11490500,49912,1494843089.00000000,4607220.55382200,0
2024-12-17,0.003042,0.00305,0.0028,0.002849,2542256476.0,2024-12-17 23:59:59.999,7494597.37608000,38849,1187569723.00000000,3501846.92885700,0
2024-12-18,0.002851,0.002865,0.002501,0.002562,3421640526.0,2024-12-18 23:59:59.999,9287620.79998800,56651,1790873618.00000000,4869561.94626600,0
2024-12-19,0.002561,0.002645,0.002261,0.002358,4911462953.0,2024-12-19 23:59:59.999,12061518.49883100,69602,2496698214.00000000,6135532.92740600,0
2024-12-20,0.002358,0.002575,0.002034,0.002485,6114029214.0,2024-12-20 23:59:59.999,14165307.68376400,74574,3169974988.00000000,7373901.31133400,0
2024-12-21,0.002485,0.002688,0.002325,0.002367,3479644219.0,2024-12-21 23:59:59.999,8611858.09485700,49045,1699050286.00000000,4204141.93087700,0
2024-12-22,0.002368,0.002435,0.002264,0.002357,2897375526.0,2024-12-22 23:59:59.999,6833971.29056700,36268,1381772909.00000000,3258174.10490900,0
2024-12-23,0.002357,0.002577,0.002284,0.002504,2830218439.0,2024-12-23 23:59:59.999,6836405.70061600,35944,1365620999.00000000,3302955.67994400,0
2024-12-24,0.002504,0.002652,0.002429,0.002599,1939870258.0,2024-12-24 23:59:59.999,4942840.26172500,35922,933503509.00000000,2379729.74460700,0
2024-12-25,0.002598,0.00264,0.002513,0.002557,1403008945.0,2024-12-25 23:59:59.999,3608079.09049500,29408,654078673.00000000,1682131.14511200,0
2024-12-26,0.002557,0.002583,0.00228,0.002342,1401551474.0,2024-12-26 23:59:59.999,3334832.52832500,21443,719281110.00000000,1713842.17438400,0
2024-12-27,0.002345,0.002491,0.002324,0.002371,1639998838.0,2024-12-27 23:59:59.999,3946230.60475100,27405,826435747.00000000,1987198.71083400,0
2024-12-28,0.002373,0.002553,0.002348,0.002523,1254316864.0,2024-12-28 23:59:59.999,3082310.98767200,23910,601349476.00000000,1478697.83103600,0
2024-12-29,0.002522,0.002529,0.00236,0.002392,814369138.0,2024-12-29 23:59:59.999,1990439.08261100,15687,384639137.00000000,940126.74304900,0
2024-12-30,0.002392,0.002467,0.002294,0.002375,1367930684.0,2024-12-30 23:59:59.999,3268450.47774300,19850,661858739.00000000,1580961.50549800,0
2024-12-31,0.002374,0.002425,0.0023,0.002319,1429688889.0,2024-12-31 23:59:59.999,3360881.01999300,25576,697319551.00000000,1638846.90807300,0
2025-01-01,0.002318,0.00242,0.002299,0.002395,1289847019.0,2025-01-01 23:59:59.999,3044873.68406000,25022,641937417.00000000,1515955.89303500,0
2025-01-02,0.002395,0.002541,0.002394,0.002475,2026822544.0,2025-01-02 23:59:59.999,5012711.31724300,39852,932094157.00000000,2307088.83484800,0
2025-01-03,0.002481,0.002652,0.002449,0.002623,2090336136.0,2025-01-03 23:59:59.999,5329876.42586600,36723,1040501937.00000000,2653904.74618900,0
2025-01-04,0.002624,0.002639,0.002558,0.002587,1413114968.0,2025-01-04 23:59:59.999,3671346.50300500,24038,691740407.00000000,1798478.19333800,0
2025-01-05,0.002588,0.002628,0.002514,0.002593,1817002053.0,2025-01-05 23:59:59.999,4667962.00647500,24845,729448281.00000000,1880209.39730400,0
2025-01-06,0.002597,0.002699,0.002545,0.002629,1655455267.0,2025-01-06 23:59:59.999,4348719.42639600,27782,768669362.00000000,2021378.87488000,0
2025-01-07,0.002629,0.002636,0.002326,0.002326,2235454721.0,2025-01-07 23:59:59.999,5561070.97118200,46979,1047225634.00000000,2605649.07133400,0
2025-01-08,0.002327,0.002356,0.002087,0.002201,2402545659.0,2025-01-08 23:59:59.999,5332689.99307600,38920,1139756675.00000000,2533870.95373200,0
2025-01-09,0.002202,0.002248,0.002065,0.002129,2005874758.0,2025-01-09 23:59:59.999,4309149.21772100,26079,989918812.00000000,2128463.12097600,0
2025-01-10,0.002129,0.002211,0.00209,0.00219,1518795224.0,2025-01-10 23:59:59.999,3285228.21214500,26268,742410076.00000000,1606371.11194200,0
2025-01-11,0.00219,0.002257,0.002144,0.002194,1001955433.0,2025-01-11 23:59:59.999,2190093.91707600,16974,531528980.00000000,1164260.44279200,0
2025-01-12,0.002195,0.002199,0.002109,0.002145,652124579.0,2025-01-12 23:59:59.999,1411464.89163600,10306,314071283.00000000,680035.82526300,0
2025-01-13,0.002145,0.002203,0.00192,0.0021,2418563165.0,2025-01-13 23:59:59.999,4876241.03089800,36260,1179544138.00000000,2380208.35625500,0
2025-01-14,0.002099,0.002228,0.002082,0.002206,2076480789.0,2025-01-14 23:59:59.999,4516241.06509900,30220,1075579646.00000000,2341044.01545000,0
2025-01-15,0.002211,0.002357,0.002138,0.002349,2067295375.0,2025-01-15 23:59:59.999,4635195.03227400,35248,1025068895.00000000,2297653.21353700,0
2025-01-16,0.002351,0.002505,0.002278,0.002427,3629729315.0,2025-01-16 23:59:59.999,8648037.02243100,58391,1865590256.00000000,4454952.54240400,0
2025-01-17,0.002429,0.002915,0.002416,0.002729,5777245986.0,2025-01-17 23:59:59.999,15361684.84653800,107062,3020959744.00000000,8039096.43905800,0
2025-01-18,0.002729,0.002809,0.002436,0.002481,3141386461.0,2025-01-18 23:59:59.999,8137538.07400900,63436,1494593479.00000000,3874734.21521200,0
2025-01-19,0.00248,0.002562,0.002218,0.00226,4332105108.0,2025-01-19 23:59:59.999,10313091.97319400,101284,2089585851.00000000,4972661.36656400,0
2025-01-20,0.002257,0.002427,0.002116,0.002189,4664918297.0,2025-01-20 23:59:59.999,10492143.82851300,89799,2299658643.00000000,5169607.97518900,0
2025-01-21,0.002191,0.002459,0.002087,0.002378,3529213191.0,2025-01-21 23:59:59.999,8104254.34551100,65910,1779453601.00000000,4082450.94264800,0
2025-01-22,0.002374,0.0025,0.002297,0.002309,2278870564.0,2025-01-22 23:59:59.999,5463560.18919400,50221,1153063562.00000000,2767711.52727700,0
2025-01-23,0.002309,0.002331,0.002198,0.002291,1837351592.0,2025-01-23 23:59:59.999,4161093.23511300,34228,902578053.00000000,2047170.67905800,0
