Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2024-09-19,8.191,8.42,7.988,8.084,3094302.19,2024-09-19 23:59:59.999,25456426.04511000,130869,1466428.55000000,12071837.10205000,0
2024-09-20,8.086,8.711,7.92,8.486,2892047.25,2024-09-20 23:59:59.999,24167796.53687000,140934,1405375.93000000,11746012.53234000,0
2024-09-21,8.484,8.6,8.242,8.532,1546414.76,2024-09-21 23:59:59.999,13038062.41742000,88706,752749.31000000,6346653.06598000,0
2024-09-22,8.532,8.572,8.022,8.248,1610150.67,2024-09-22 23:59:59.999,13346025.18650000,99721,745896.27000000,6186010.26863000,0
2024-09-23,8.247,8.731,8.06,8.708,3190028.86,2024-09-23 23:59:59.999,27072969.13116000,171288,1659688.08000000,14094381.56399000,0
2024-09-24,8.709,9.561,8.55,9.401,3981839.3,2024-09-24 23:59:59.999,35934470.56477000,217049,2005657.67000000,18109164.82423000,0
2024-09-25,9.402,9.543,9.015,9.055,2339256.83,2024-09-25 23:59:59.999,21717805.39508000,129139,1081020.80000000,10038407.82024000,0
2024-09-26,9.053,9.731,8.967,9.502,3056367.21,2024-09-26 23:59:59.999,28535115.57877000,149570,1545612.89000000,14440836.51076000,0
2024-09-27,9.501,9.981,9.304,9.874,2587837.29,2024-09-27 23:59:59.999,24859782.52948000,149814,1295335.55000000,12457030.25545000,0
2024-09-28,9.881,10.049,9.531,9.67,1767242.22,2024-09-28 23:59:59.999,17286183.10823000,107261,828394.86000000,8111200.98702000,0
2024-09-29,9.668,9.843,9.457,9.537,2043739.42,2024-09-29 23:59:59.999,19704331.56555000,131896,1042754.51000000,10060913.14059000,0
2024-09-30,9.535,9.594,8.905,8.993,2559060.67,2024-09-30 23:59:59.999,23796801.37775000,135630,1203732.92000000,11196347.97775000,0
2024-10-01,8.992,9.427,8.081,8.328,2965490.62,2024-10-01 23:59:59.999,26056142.76225000,161102,1448263.87000000,12742502.98308000,0
2024-10-02,8.327,8.508,7.861,7.991,2657409.08,2024-10-02 23:59:59.999,21717035.47503000,108334,1323453.66000000,10821901.95842000,0
2024-10-03,7.993,8.171,7.686,8.024,2841327.64,2024-10-03 23:59:59.999,22489712.87110000,106470,1418358.36000000,11229158.63240000,0
2024-10-04,8.025,8.447,7.984,8.361,1718152.75,2024-10-04 23:59:59.999,14134694.17572000,80303,924839.79000000,7612049.46214000,0
2024-10-05,8.36,8.371,8.07,8.199,980609.21,2024-10-05 23:59:59.999,8077238.91057000,43335,480094.22000000,3959366.23661000,0
2024-10-06,8.199,8.525,8.125,8.522,842506.49,2024-10-06 23:59:59.999,7016061.44148000,44184,406566.49000000,3384953.07575000,0
2024-10-07,8.522,8.655,8.032,8.053,2400735.87,2024-10-07 23:59:59.999,20050621.26301000,96795,1178975.08000000,9842446.22806000,0
2024-10-08,8.055,8.199,7.906,7.978,2033931.55,2024-10-08 23:59:59.999,16356416.86062000,70571,989280.42000000,7957785.99021000,0
2024-10-09,7.977,8.111,7.737,7.823,1500194.51,2024-10-09 23:59:59.999,11908950.41043000,53294,706704.05000000,5608323.85471000,0
2024-10-10,7.823,8.088,7.713,8.019,2473564.06,2024-10-10 23:59:59.999,19539119.62812000,91438,1301847.87000000,10284197.17970000,0
2024-10-11,8.023,8.263,7.974,8.151,1425284.11,2024-10-11 23:59:59.999,11531167.26862000,58113,688495.89000000,5569843.28641000,0
2024-10-12,8.153,8.316,8.009,8.06,1025394.34,2024-10-12 23:59:59.999,8372544.70241000,47158,495922.02000000,4050923.00438000,0
2024-10-13,8.06,8.116,7.72,7.921,1083050.37,2024-10-13 23:59:59.999,8565357.49015000,54650,465682.02000000,3684173.02409000,0
2024-10-14,7.923,8.425,7.798,8.335,2217812.53,2024-10-14 23:59:59.999,18035507.97354000,88726,1114723.04000000,9063864.56494000,0
2024-10-15,8.335,8.463,7.84,8.124,2977121.69,2024-10-15 23:59:59.999,24275647.58354000,114485,1368021.73000000,11160740.20736000,0
2024-10-16,8.125,8.149,7.861,7.892,2057266.5,2024-10-16 23:59:59.999,16445824.68822000,70005,980567.85000000,7839767.49921000,0
2024-10-17,7.891,7.978,7.495,7.681,2008047.9,2024-10-17 23:59:59.999,15565561.76393000,68480,965376.35000000,7485232.73028000,0
2024-10-18,7.681,8.053,7.64,8.01,1496635.84,2024-10-18 23:59:59.999,11810611.13109000,54386,749865.03000000,5917187.07316000,0
2024-10-19,8.011,8.267,7.955,8.034,926934.97,2024-10-19 23:59:59.999,7499707.06141000,44891,498864.13000000,4036811.96942000,0
2024-10-20,8.035,8.38,7.921,8.348,1438408.57,2024-10-20 23:59:59.999,11763903.15837000,63663,735297.20000000,6013546.81463000,0
2024-10-21,8.348,8.447,7.874,7.97,1730105.08,2024-10-21 23:59:59.999,14080997.70971000,64516,840995.21000000,6851042.01252000,0
2024-10-22,7.969,8.108,7.82,7.958,1804035.19,2024-10-22 23:59:59.999,14336971.56189000,59601,845884.70000000,6723085.51299000,0
2024-10-23,7.962,8.347,7.827,8.137,4217164.74,2024-10-23 23:59:59.999,34106067.48220000,155123,1863379.41000000,15060740.38493000,0
2024-10-24,8.138,8.434,8.04,8.309,1892064.83,2024-10-24 23:59:59.999,15629770.48904000,94163,911032.46000000,7524617.87341000,0
2024-10-25,8.309,8.525,7.4,7.706,2724297.41,2024-10-25 23:59:59.999,22234667.82991000,149982,1284265.22000000,10479878.57463000,0
2024-10-26,7.705,7.889,7.511,7.739,1445712.08,2024-10-26 23:59:59.999,11150043.64374000,76925,698219.49000000,5385371.76637000,0
2024-10-27,7.738,7.919,7.661,7.797,887985.56,2024-10-27 23:59:59.999,6915652.13554000,48561,411069.36000000,3201430.50849000,0
2024-10-28,7.797,7.869,7.592,7.815,1170376.42,2024-10-28 23:59:59.999,9082036.49765000,54854,553431.54000000,4295389.73219000,0
2024-10-29,7.816,8.2,7.785,8.134,1549634.11,2024-10-29 23:59:59.999,12494910.78954000,76354,793005.85000000,6395865.53346000,0
2024-10-30,8.133,8.276,7.967,8.146,1238100.29,2024-10-30 23:59:59.999,10036869.19699000,58914,597037.87000000,4840377.07691000,0
2024-10-31,8.145,8.205,7.759,7.855,1662858.22,2024-10-31 23:59:59.999,13230337.72542000,67932,750270.25000000,5970035.79401000,0
2024-11-01,7.855,8.042,7.687,7.812,1521972.53,2024-11-01 23:59:59.999,11984787.31222000,76218,733404.27000000,5773683.77565000,0
2024-11-02,7.813,7.945,7.455,7.531,1025841.06,2024-11-02 23:59:59.999,7909919.53970000,52446,472290.42000000,3646347.48266000,0
2024-11-03,7.529,7.565,6.912,7.184,1986190.1,2024-11-03 23:59:59.999,14296388.44185000,95679,935266.48000000,6729545.45814000,0
2024-11-04,7.183,7.294,6.83,7.023,1498597.01,2024-11-04 23:59:59.999,10678736.21638000,73914,741678.20000000,5290347.39298000,0
2024-11-05,7.022,7.448,7.014,7.361,1291838.51,2024-11-05 23:59:59.999,9367818.51205000,77017,655022.09000000,4749617.43251000,0
2024-11-06,7.362,8.04,7.358,7.879,4989234.64,2024-11-06 23:59:59.999,38488182.69201000,183009,2843754.09000000,21913235.50942000,0
2024-11-07,7.88,8.121,7.512,7.818,3378852.15,2024-11-07 23:59:59.999,26350319.67551000,130067,1564196.12000000,12211819.87593000,0
2024-11-08,7.823,8.69,7.634,8.616,4170453.69,2024-11-08 23:59:59.999,33765891.28275000,169510,2109805.78000000,17086292.10775000,0
2024-11-09,8.619,8.624,8.103,8.561,3018505.26,2024-11-09 23:59:59.999,25126273.27617000,111371,1500985.39000000,12495725.64558000,0
2024-11-10,8.561,9.478,8.473,9.001,5565069.32,2024-11-10 23:59:59.999,50117624.87816000,244291,2809874.19000000,25342553.39750000,0
2024-11-11,9.002,9.494,8.798,9.488,4356223.83,2024-11-11 23:59:59.999,39778210.15159000,217452,2203202.24000000,20120312.38124000,0
2024-11-12,9.489,9.675,8.562,8.814,5454742.43,2024-11-12 23:59:59.999,49519846.33638000,288307,2666671.88000000,24227441.22074000,0
2024-11-13,8.816,8.948,8.059,8.524,5473709.5,2024-11-13 23:59:59.999,46382777.23815000,247926,2692597.05000000,22824891.27578000,0
2024-11-14,8.524,8.737,7.863,7.986,3470664.13,2024-11-14 23:59:59.999,28841515.71716000,158100,1628413.56000000,13536549.65982000,0
2024-11-15,7.986,8.883,7.823,8.68,4400716.43,2024-11-15 23:59:59.999,36342014.65764000,166556,2364624.64000000,19541182.00842000,0
2024-11-16,8.68,9.52,8.607,9.244,4838690.22,2024-11-16 23:59:59.999,44269359.16782000,190192,2364518.90000000,21629222.92778000,0
2024-11-17,9.246,10.141,8.863,8.986,5612680.55,2024-11-17 23:59:59.999,53074417.57583000,251854,2801116.09000000,26512477.19269000,0
2024-11-18,8.989,9.53,8.891,9.423,4357892.71,2024-11-18 23:59:59.999,40286382.36218000,201954,2087706.94000000,19318901.14188000,0
2024-11-19,9.425,9.797,8.96,9.146,3135205.42,2024-11-19 23:59:59.999,29352326.64123000,150483,1557380.91000000,14589824.95833000,0
2024-11-20,9.142,9.55,8.78,8.833,3745315.76,2024-11-20 23:59:59.999,34269996.89690000,163942,1783713.66000000,16318534.63039000,0
2024-11-21,8.837,9.479,8.666,9.223,3904655.71,2024-11-21 23:59:59.999,35513024.30596000,165537,1942657.50000000,17662844.30200000,0
2024-11-22,9.222,11.406,9.089,11.27,8729682.8,2024-11-22 23:59:59.999,88353107.82207000,370159,4600633.14000000,46649791.76930000,0
2024-11-23,11.275,12.125,10.757,11.387,8725365.17,2024-11-23 23:59:59.999,99136328.45032000,378201,4329363.26000000,49220313.05649000,0
2024-11-24,11.389,12.13,10.397,11.642,6451964.2,2024-11-24 23:59:59.999,73006515.19578000,320267,3198646.84000000,36229104.26030000,0
