Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2024-09-19,0.04088,0.04275,0.04064,0.04142,47777768.6,2024-09-19 23:59:59.999,1998966.56175200,14558,22279927.10000000,932099.82262000,0
2024-09-20,0.04142,0.045,0.04103,0.04347,94097108.6,2024-09-20 23:59:59.999,4087406.10197900,29197,50173701.40000000,2181443.09931400,0
2024-09-21,0.0435,0.04753,0.04335,0.04435,60529204.1,2024-09-21 23:59:59.999,2729425.76228700,28552,30188770.70000000,1363757.78618700,0
2024-09-22,0.04437,0.04486,0.04219,0.04361,55327460.4,2024-09-22 23:59:59.999,2407777.87035300,20155,28080656.40000000,1223441.37975500,0
2024-09-23,0.04364,0.04774,0.04269,0.04506,72333172.3,2024-09-23 23:59:59.999,3286430.12456900,25954,36161918.30000000,1645790.35940900,0
2024-09-24,0.04503,0.04608,0.04402,0.04541,37850164.9,2024-09-24 23:59:59.999,1706558.14932800,14029,18474753.00000000,833384.34996000,0
2024-09-25,0.0454,0.04634,0.0438,0.04425,27217487.0,2024-09-25 23:59:59.999,1227220.60447900,9368,10959977.50000000,494189.93588600,0
2024-09-26,0.04426,0.04601,0.0433,0.04482,25913755.2,2024-09-26 23:59:59.999,1161287.52288700,9949,12474764.70000000,559174.07803300,0
2024-09-27,0.04482,0.04559,0.0444,0.04481,24991588.4,2024-09-27 23:59:59.999,1123956.96893300,9413,11442283.70000000,514696.46039900,0
2024-09-28,0.04483,0.0455,0.04312,0.04369,16999938.6,2024-09-28 23:59:59.999,749790.51306900,7319,8167197.70000000,360140.59955000,0
2024-09-29,0.04368,0.04522,0.04313,0.04444,14986158.8,2024-09-29 23:59:59.999,663657.16733700,7641,7095303.90000000,314396.39495500,0
2024-09-30,0.04447,0.04496,0.04146,0.04196,17895350.1,2024-09-30 23:59:59.999,775629.02687200,10220,9261576.20000000,401920.94047200,0
2024-10-01,0.04196,0.04291,0.03671,0.03812,34296959.7,2024-10-01 23:59:59.999,1356590.13906400,13336,15820224.10000000,624214.23774800,0
2024-10-02,0.03811,0.03977,0.03604,0.0363,32275765.6,2024-10-02 23:59:59.999,1227295.61726200,13850,15884372.50000000,605326.25874100,0
2024-10-03,0.0363,0.03715,0.03456,0.0361,21674965.1,2024-10-03 23:59:59.999,779494.95857700,12164,9842214.90000000,354064.51939300,0
2024-10-04,0.03613,0.03764,0.03575,0.03733,8941186.8,2024-10-04 23:59:59.999,330528.91061600,4915,4263543.40000000,157719.46531800,0
2024-10-05,0.03732,0.03809,0.03661,0.0374,8503035.3,2024-10-05 23:59:59.999,318134.62611000,5219,4269843.70000000,159879.90288000,0
2024-10-06,0.0374,0.0384,0.03727,0.0384,10189924.9,2024-10-06 23:59:59.999,384851.23542100,5384,5067807.00000000,191456.98697300,0
2024-10-07,0.0384,0.03909,0.03754,0.03785,11975433.8,2024-10-07 23:59:59.999,459810.04226300,5290,5541777.10000000,212832.27768300,0
2024-10-08,0.03785,0.03879,0.03661,0.03751,20139456.7,2024-10-08 23:59:59.999,760048.33128800,7908,9773327.30000000,369075.55006200,0
2024-10-09,0.03751,0.03789,0.03533,0.03581,18973805.2,2024-10-09 23:59:59.999,692188.65274400,8693,9508408.30000000,346789.25538400,0
2024-10-10,0.03581,0.03639,0.03486,0.03614,15298738.5,2024-10-10 23:59:59.999,546444.69696000,7324,7695484.30000000,275082.48145200,0
2024-10-11,0.03615,0.03819,0.03594,0.03774,16365054.4,2024-10-11 23:59:59.999,611130.30213900,5241,8200589.10000000,305701.58302900,0
2024-10-12,0.03774,0.03869,0.03756,0.03794,12635174.5,2024-10-12 23:59:59.999,482533.70184000,5255,6935052.40000000,265345.05979600,0
2024-10-13,0.03787,0.03848,0.03718,0.0383,14301460.2,2024-10-13 23:59:59.999,539694.75641300,5837,7480180.50000000,282062.46394200,0
2024-10-14,0.0383,0.03928,0.03775,0.03894,19661598.0,2024-10-14 23:59:59.999,757596.45076600,6924,8208428.90000000,316499.35122000,0
2024-10-15,0.03903,0.03928,0.03759,0.03818,22287077.4,2024-10-15 23:59:59.999,858893.41850900,9806,11620891.30000000,448785.58143300,0
2024-10-16,0.03818,0.03855,0.03735,0.03742,10157961.7,2024-10-16 23:59:59.999,385638.22657500,5108,5228219.90000000,198488.12231200,0
2024-10-17,0.03749,0.0378,0.03599,0.03615,11521672.3,2024-10-17 23:59:59.999,424459.83694300,4959,5162945.90000000,190340.17564900,0
2024-10-18,0.03618,0.03721,0.03606,0.03685,11132256.5,2024-10-18 23:59:59.999,408625.26055800,5535,5171791.60000000,189924.59756400,0
2024-10-19,0.03687,0.0375,0.0365,0.03728,6106094.2,2024-10-19 23:59:59.999,225805.02475700,3525,3380160.10000000,124949.75671400,0
2024-10-20,0.03728,0.03909,0.03664,0.03899,15162615.3,2024-10-20 23:59:59.999,577623.36002700,6543,8003818.80000000,304960.24181800,0
2024-10-21,0.03897,0.04354,0.03784,0.0394,186156789.8,2024-10-21 23:59:59.999,7586329.48978500,52981,98080944.80000000,3994782.40352400,0
2024-10-22,0.03939,0.04116,0.03717,0.03816,54676606.6,2024-10-22 23:59:59.999,2108456.28572200,20998,23123648.30000000,891483.25459400,0
2024-10-23,0.03813,0.03817,0.03601,0.03711,23340851.9,2024-10-23 23:59:59.999,867859.90981700,8667,9016985.60000000,335094.87584900,0
2024-10-24,0.03713,0.03821,0.03677,0.03777,17410488.0,2024-10-24 23:59:59.999,654265.46440400,6033,8760776.60000000,329118.82832800,0
2024-10-25,0.0378,0.03786,0.03333,0.03444,22183453.6,2024-10-25 23:59:59.999,799766.80904000,8004,10140880.10000000,366097.19105000,0
2024-10-26,0.03449,0.03526,0.03374,0.03488,17562493.9,2024-10-26 23:59:59.999,608063.21777500,7032,8964841.00000000,310248.03284400,0
2024-10-27,0.03487,0.03584,0.03471,0.03546,14140328.4,2024-10-27 23:59:59.999,499779.41915000,5205,7624819.10000000,269488.85668600,0
2024-10-28,0.03545,0.03561,0.03376,0.03495,20322181.5,2024-10-28 23:59:59.999,705173.31305000,7588,10068111.60000000,349462.84965800,0
2024-10-29,0.03494,0.03661,0.03482,0.03596,16493304.4,2024-10-29 23:59:59.999,590356.26774400,6257,8132861.90000000,291120.24753000,0
2024-10-30,0.03596,0.03679,0.0358,0.03621,9074135.4,2024-10-30 23:59:59.999,329137.19931400,4618,4328756.90000000,157055.14227700,0
2024-10-31,0.03623,0.03638,0.03429,0.03459,15557803.0,2024-10-31 23:59:59.999,546935.07874700,5005,7917235.00000000,278683.56954500,0
2024-11-01,0.03458,0.03532,0.03318,0.03431,17231658.2,2024-11-01 23:59:59.999,592407.04484500,5233,8880854.80000000,305100.66811100,0
2024-11-02,0.03421,0.03461,0.03234,0.03251,13331913.1,2024-11-02 23:59:59.999,446799.48226900,3947,6820501.90000000,228408.17751000,0
2024-11-03,0.03252,0.03269,0.03056,0.03198,19399881.7,2024-11-03 23:59:59.999,613547.02990900,6322,9167051.50000000,289882.33242600,0
2024-11-04,0.03198,0.03281,0.03118,0.03172,21388572.7,2024-11-04 23:59:59.999,686388.48390500,7241,10705158.10000000,343776.30456000,0
2024-11-05,0.03175,0.03296,0.03139,0.03223,13413147.7,2024-11-05 23:59:59.999,432083.27257200,4524,6534220.00000000,210964.61039000,0
2024-11-06,0.03228,0.03555,0.03228,0.03547,17640769.4,2024-11-06 23:59:59.999,606011.31146400,5932,9282904.70000000,318851.15328000,0
2024-11-07,0.03544,0.03642,0.03477,0.03616,12862242.2,2024-11-07 23:59:59.999,460276.32603100,5205,6042764.60000000,216235.22422000,0
2024-11-08,0.03625,0.03651,0.03487,0.03589,14025163.1,2024-11-08 23:59:59.999,499771.14034500,5259,6493304.90000000,231753.11292100,0
2024-11-09,0.03586,0.03736,0.0356,0.03722,16799158.5,2024-11-09 23:59:59.999,614012.01827600,5238,8376764.60000000,306298.19047100,0
2024-11-10,0.03725,0.03989,0.03681,0.03886,37171612.0,2024-11-10 23:59:59.999,1440981.42466900,13646,18141206.70000000,704589.32857900,0
