Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2024-11-17,1.362,1.38,1.276,1.298,7040814.62,2024-11-17 23:59:59.999,9400333.18439000,52503,3357346.01000000,4485525.27233000,0
2024-11-18,1.299,1.407,1.287,1.391,7486141.16,2024-11-18 23:59:59.999,10133622.83522000,48154,3699359.44000000,5014014.82553000,0
2024-11-19,1.39,1.425,1.324,1.387,6332297.5,2024-11-19 23:59:59.999,8695634.45777000,46928,3205319.22000000,4404340.69736000,0
2024-11-20,1.386,1.386,1.248,1.276,6179792.89,2024-11-20 23:59:59.999,8079932.62810000,42241,3039687.97000000,3974991.33354000,0
2024-11-21,1.276,1.398,1.232,1.361,9293699.28,2024-11-21 23:59:59.999,12329093.46679000,53152,4520099.67000000,6002505.78369000,0
2024-11-22,1.361,1.487,1.323,1.485,7680243.36,2024-11-22 23:59:59.999,10573217.44235000,52714,3967687.91000000,5475193.92495000,0
2024-11-23,1.485,1.666,1.441,1.593,15348141.68,2024-11-23 23:59:59.999,23805956.59380000,98331,7489610.63000000,11629244.99968000,0
2024-11-24,1.593,1.79,1.546,1.768,18694888.85,2024-11-24 23:59:59.999,31374915.56100000,127330,9560096.75000000,16068792.82186000,0
2024-11-25,1.769,1.819,1.628,1.701,16350950.99,2024-11-25 23:59:59.999,28293687.78119000,127469,7916238.30000000,13708923.07837000,0
2024-11-26,1.701,1.749,1.597,1.675,10453011.37,2024-11-26 23:59:59.999,17456741.52025000,106029,5039153.08000000,8434701.75618000,0
2024-11-27,1.675,1.771,1.614,1.761,9195941.0,2024-11-27 23:59:59.999,15798409.68015000,100851,5041052.87000000,8673182.58789000,0
2024-11-28,1.762,1.923,1.701,1.881,8756731.33,2024-11-28 23:59:59.999,15647786.33125500,69569,4710890.60000000,8439500.72117500,0
2024-11-29,1.883,2.03,1.788,1.931,8404501.0,2024-11-29 23:59:59.999,16158318.43689200,79690,3961390.52000000,7600847.84981200,0
2024-11-30,1.931,2.034,1.899,1.975,6218341.1,2024-11-30 23:59:59.999,12234502.52915200,53760,3080825.04000000,6060698.37805200,0
2024-12-01,1.975,2.131,1.943,2.02,10153117.5,2024-12-01 23:59:59.999,20730993.94985500,99277,5031592.37000000,10287069.68312500,0
2024-12-02,2.02,2.077,1.867,2.043,9347965.66,2024-12-02 23:59:59.999,18402351.07691000,91496,4243434.73000000,8357922.32011000,0
2024-12-03,2.042,2.155,1.921,2.099,15550591.25,2024-12-03 23:59:59.999,31970995.41871000,142463,7736011.47000000,15912159.05076000,0
2024-12-04,2.099,2.25,1.984,2.082,14432541.73,2024-12-04 23:59:59.999,30890628.47390700,140815,7161116.33000000,15338219.28669700,0
2024-12-05,2.083,2.196,1.956,2.072,11861855.34,2024-12-05 23:59:59.999,24776103.72727000,121866,5934834.57000000,12406232.44914000,0
2024-12-06,2.073,2.18,2.0,2.128,8919212.21,2024-12-06 23:59:59.999,18798361.13593000,79029,4578212.64000000,9648612.65695000,0
2024-12-07,2.127,2.16,2.038,2.065,4891060.84,2024-12-07 23:59:59.999,10196611.82003000,47585,2462598.39000000,5139845.31508000,0
2024-12-08,2.066,2.088,1.983,2.071,4472015.05,2024-12-08 23:59:59.999,9104153.56526000,39413,2102782.33000000,4282785.89180000,0
2024-12-09,2.07,2.072,1.48,1.732,15706650.58,2024-12-09 23:59:59.999,28262696.48830000,124277,7464548.63000000,13429977.49545000,0
