Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2024-11-17,25.87,27.2,24.24,24.55,1757454.58,2024-11-17 23:59:59.999,45332980.84030000,168607,811429.74000000,20989422.96810000,0
2024-11-18,24.56,25.97,24.16,25.68,1654455.54,2024-11-18 23:59:59.999,41775836.55760000,132795,835985.90000000,21118490.47890000,0
2024-11-19,25.67,26.21,23.99,24.4,1346885.92,2024-11-19 23:59:59.999,33568802.20750000,112665,637598.34000000,15912951.72100000,0
2024-11-20,24.4,25.24,22.91,23.22,1478008.37,2024-11-20 23:59:59.999,35422176.43640000,142784,715692.88000000,17177137.56830000,0
2024-11-21,23.22,25.28,22.45,25.04,1761304.17,2024-11-21 23:59:59.999,42300692.63810000,145905,890553.83000000,21408630.57110000,0
2024-11-22,25.05,26.62,23.93,26.58,1808813.38,2024-11-22 23:59:59.999,45217075.47000000,161865,902277.53000000,22597209.56780000,0
2024-11-23,26.59,29.36,26.22,27.82,3493235.45,2024-11-23 23:59:59.999,98557318.21600000,336990,1765521.01000000,49819570.98380000,0
2024-11-24,27.82,28.9,25.49,28.43,2293463.74,2024-11-24 23:59:59.999,62465796.00020000,205272,1127941.22000000,30725742.17690000,0
2024-11-25,28.44,29.71,26.14,26.92,2434138.63,2024-11-25 23:59:59.999,68612100.20590000,253252,1201660.22000000,33950521.28990000,0
2024-11-26,26.91,31.1,26.43,30.81,4378362.83,2024-11-26 23:59:59.999,125737400.24650000,386035,2205600.93000000,63549940.45970000,0
2024-11-27,30.8,31.5,28.64,29.78,2147043.72,2024-11-27 23:59:59.999,64036283.74830000,176848,1079701.03000000,32216573.55000000,0
2024-11-28,29.77,30.14,28.0,29.39,1374070.77,2024-11-28 23:59:59.999,39960553.94460000,129386,649533.41000000,18930872.36060000,0
2024-11-29,29.39,30.52,29.13,30.32,1196334.09,2024-11-29 23:59:59.999,35717083.43490000,120924,624801.41000000,18661857.26110000,0
2024-11-30,30.32,31.45,29.46,31.17,1274810.41,2024-11-30 23:59:59.999,38712706.17480000,143398,659321.29000000,20041138.87640000,0
2024-12-01,31.17,31.84,29.38,29.99,1078014.01,2024-12-01 23:59:59.999,32719973.09340000,142454,482077.11000000,14645746.13430000,0
