Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2024-11-17,0.006256,0.006256,0.005585,0.005696,647663367.0,2024-11-17 23:59:59.999,3826833.05150400,41360,304336695.00000000,1799015.17281900,0
2024-11-18,0.005697,0.006595,0.005658,0.00634,889649665.0,2024-11-18 23:59:59.999,5487956.47807200,51268,435119661.00000000,2686195.78960700,0
2024-11-19,0.006339,0.00674,0.006219,0.006413,1310594320.0,2024-11-19 23:59:59.999,8501138.67086000,66561,690682842.00000000,4481635.86729300,0
2024-11-20,0.006412,0.006412,0.005897,0.006064,403357364.0,2024-11-20 23:59:59.999,2478639.94389800,22129,169545394.00000000,1041257.10828000,0
2024-11-21,0.006061,0.007111,0.005825,0.006397,1228907017.0,2024-11-21 23:59:59.999,7996442.05748300,74490,571508223.00000000,3715313.19174600,0
2024-11-22,0.006397,0.00695,0.006274,0.00677,1382510860.0,2024-11-22 23:59:59.999,9047966.13474600,66779,620072850.00000000,4063950.76574000,0
2024-11-23,0.006772,0.007164,0.006624,0.007021,1416968442.0,2024-11-23 23:59:59.999,9781111.97548800,66539,660965142.00000000,4562515.51841100,0
2024-11-24,0.007019,0.0075,0.006631,0.00745,1136583653.0,2024-11-24 23:59:59.999,8105662.62927200,58308,533079581.00000000,3804719.73980600,0
2024-11-25,0.007448,0.007784,0.007023,0.007188,1313444896.0,2024-11-25 23:59:59.999,9820327.65693200,75586,697815233.00000000,5228691.68749500,0
2024-11-26,0.007182,0.007797,0.006957,0.007677,1031026319.0,2024-11-26 23:59:59.999,7589595.39569300,63716,523705360.00000000,3857050.40750300,0
2024-11-27,0.007682,0.0083,0.007536,0.007983,1664528081.0,2024-11-27 23:59:59.999,13130764.00892000,89035,769405143.00000000,6069994.80093400,0
2024-11-28,0.007983,0.008071,0.007636,0.007991,506411683.0,2024-11-28 23:59:59.999,3966360.97267000,29015,229945916.00000000,1802838.51630800,0
2024-11-29,0.007992,0.00847,0.007687,0.008371,580599712.0,2024-11-29 23:59:59.999,4671305.08594800,35484,290755372.00000000,2341541.95740500,0
2024-11-30,0.00837,0.00876,0.008058,0.008714,739811097.0,2024-11-30 23:59:59.999,6202755.20525800,42792,380739482.00000000,3193801.96360100,0
2024-12-01,0.008713,0.009731,0.008324,0.009069,1973021334.0,2024-12-01 23:59:59.999,18032823.87092900,139784,986184626.00000000,9013901.59247900,0
2024-12-02,0.009068,0.010335,0.008699,0.009613,2583266292.0,2024-12-02 23:59:59.999,24584846.00152100,180387,1271306467.00000000,12116943.13909100,0
2024-12-03,0.009613,0.011488,0.009346,0.011463,2906083082.0,2024-12-03 23:59:59.999,29444511.60672000,214036,1417733780.00000000,14373662.41958600,0
