Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2024-11-17,0.1719,0.1721,0.1516,0.155,40691166.0,2024-11-17 23:59:59.999,6531394.46960000,29855,18825531.00000000,3023681.60500000,0
2024-11-18,0.155,0.2159,0.1533,0.1878,249513071.0,2024-11-18 23:59:59.999,46529971.55900000,219920,124329869.00000000,23154181.15460000,0
2024-11-19,0.1877,0.1947,0.1707,0.1769,87285426.0,2024-11-19 23:59:59.999,15819138.63760000,56504,41420849.00000000,7514208.28720000,0
2024-11-20,0.1769,0.1789,0.1634,0.1666,51983424.0,2024-11-20 23:59:59.999,8890567.35250000,35143,24851194.00000000,4253266.54650000,0
2024-11-21,0.1666,0.1756,0.1622,0.1723,45620693.0,2024-11-21 23:59:59.999,7769854.17520000,44494,22935828.00000000,3907528.93430000,0
2024-11-22,0.1723,0.1986,0.1689,0.198,72727394.0,2024-11-22 23:59:59.999,13349503.31080000,71410,39224295.00000000,7206480.16860000,0
2024-11-23,0.1981,0.234,0.1952,0.2154,156379034.0,2024-11-23 23:59:59.999,34159506.78120000,183015,77419615.00000000,16914620.63420000,0
2024-11-24,0.2153,0.242,0.2038,0.2357,111281002.0,2024-11-24 23:59:59.999,24701763.64080000,114782,53523178.00000000,11914717.93400000,0
2024-11-25,0.2358,0.2546,0.2207,0.2254,108952562.0,2024-11-25 23:59:59.999,25828667.40820000,132058,50292169.00000000,11943046.10350000,0
2024-11-26,0.2254,0.2335,0.2081,0.2273,61754015.0,2024-11-26 23:59:59.999,13500099.30820000,68194,30802302.00000000,6737520.71980000,0
2024-11-27,0.2273,0.2311,0.219,0.2298,38105380.0,2024-11-27 23:59:59.999,8578223.01910000,41091,19380617.00000000,4366417.54790000,0
2024-11-28,0.2297,0.2297,0.2167,0.2257,30345101.0,2024-11-28 23:59:59.999,6753185.98300000,31561,14717491.00000000,3277598.86770000,0
2024-11-29,0.2255,0.2859,0.223,0.2747,277699412.0,2024-11-29 23:59:59.999,68627634.39850000,260105,141632067.00000000,35010341.15640000,0
2024-11-30,0.2747,0.2891,0.2577,0.2745,96573713.0,2024-11-30 23:59:59.999,26315221.82520000,114118,47445834.00000000,12930321.05480000,0
2024-12-01,0.2744,0.3156,0.2613,0.3085,132666585.0,2024-12-01 23:59:59.999,38752916.11360000,172438,65897006.00000000,19266561.94180000,0
2024-12-02,0.3086,0.4011,0.3086,0.3709,391004703.0,2024-12-02 23:59:59.999,137914095.95400000,612753,199914428.00000000,70530410.50740000,0
2024-12-03,0.371,0.6,0.3684,0.4737,644733299.0,2024-12-03 23:59:59.999,321287132.19510000,1279401,322288736.00000000,160714203.63190000,0
2024-12-04,0.474,0.6328,0.4715,0.4942,338175495.0,2024-12-04 23:59:59.999,183439476.45660000,653646,170633602.00000000,92776018.67790000,0
2024-12-05,0.4945,0.5113,0.4459,0.4607,173996350.0,2024-12-05 23:59:59.999,83051782.59470000,335523,80459909.00000000,38478479.68880000,0
2024-12-06,0.4608,0.5055,0.4265,0.4893,146416305.0,2024-12-06 23:59:59.999,66285291.76590000,263330,68909595.00000000,31304766.99700000,0
2024-12-07,0.4893,0.5594,0.4641,0.4857,168756099.0,2024-12-07 23:59:59.999,84700103.13340000,322224,91134999.00000000,45962443.91180000,0
2024-12-08,0.4857,0.4931,0.4617,0.4723,59071511.0,2024-12-08 23:59:59.999,27998691.78660000,116949,27423314.00000000,13007902.79340000,0
2024-12-09,0.4723,0.4884,0.34,0.3904,223140474.0,2024-12-09 23:59:59.999,97303113.03150000,431447,106342179.00000000,46283008.36650000,0
2024-12-10,0.3902,0.3965,0.3275,0.3774,170424833.0,2024-12-10 23:59:59.999,62187288.63000000,274842,84595589.00000000,30880185.57200000,0
2024-12-11,0.3774,0.412,0.3531,0.4006,103949553.0,2024-12-11 23:59:59.999,39876277.93750000,182083,52018128.00000000,20000295.19750000,0
