Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2024-11-17,0.04286,0.04296,0.03974,0.04067,100445242.0,2024-11-17 23:59:59.999,4167765.69026000,47233,48896727.00000000,2029411.80462000,0
2024-11-18,0.04067,0.04671,0.04053,0.04403,215526216.0,2024-11-18 23:59:59.999,9497637.55255000,91227,107377909.00000000,4734929.55673000,0
2024-11-19,0.04403,0.04438,0.04135,0.04262,94634473.0,2024-11-19 23:59:59.999,4061653.12111000,39955,44764460.00000000,1922360.13277000,0
2024-11-20,0.04261,0.0431,0.0394,0.04004,146644204.0,2024-11-20 23:59:59.999,6105040.09413000,64308,70936922.00000000,2958052.96369000,0
2024-11-21,0.03999,0.04374,0.03918,0.04247,130674245.0,2024-11-21 23:59:59.999,5482192.68585000,61274,60478144.00000000,2537542.28876000,0
2024-11-22,0.04249,0.04362,0.0407,0.04325,121101042.0,2024-11-22 23:59:59.999,5100367.69778000,60639,60649893.00000000,2553774.44047000,0
2024-11-23,0.04323,0.0502,0.0428,0.04541,895430423.0,2024-11-23 23:59:59.999,40566741.72010000,302854,437627106.00000000,19885974.71022000,0
2024-11-24,0.04543,0.052,0.04278,0.04652,1054887184.0,2024-11-24 23:59:59.999,50203941.58640000,335328,561286307.00000000,26922019.10509000,0
2024-11-25,0.04649,0.04873,0.04263,0.04547,547078092.0,2024-11-25 23:59:59.999,24897564.84461000,197185,263160665.00000000,12012772.18739000,0
2024-11-26,0.04546,0.04745,0.04138,0.04391,270225512.0,2024-11-26 23:59:59.999,11852136.98273000,116303,127970426.00000000,5612507.91860000,0
2024-11-27,0.04389,0.04738,0.04289,0.04713,200255728.0,2024-11-27 23:59:59.999,9038301.09374000,84803,103286533.00000000,4666112.01462000,0
2024-11-28,0.04713,0.05,0.04438,0.04954,281689004.0,2024-11-28 23:59:59.999,13302359.36391000,116739,141083166.00000000,6659882.58485000,0
2024-11-29,0.04956,0.0506,0.04753,0.04975,220193467.0,2024-11-29 23:59:59.999,10799601.90669000,85322,112814489.00000000,5536966.24389000,0
2024-11-30,0.04973,0.0549,0.04783,0.05299,327491723.0,2024-11-30 23:59:59.999,16963257.10500000,125902,167422890.00000000,8678404.91184000,0
2024-12-01,0.05299,0.05448,0.05056,0.05336,234947813.0,2024-12-01 23:59:59.999,12324530.78304000,88623,114231666.00000000,5996599.11146000,0
2024-12-02,0.05333,0.0625,0.052,0.06046,677860252.0,2024-12-02 23:59:59.999,38345290.85417000,319093,334232789.00000000,18942451.92312000,0
2024-12-03,0.06047,0.06643,0.05802,0.06334,578746776.0,2024-12-03 23:59:59.999,36079502.70776000,317996,284382670.00000000,17725889.29031000,0
2024-12-04,0.06336,0.06537,0.06001,0.06072,348458151.0,2024-12-04 23:59:59.999,21979777.46991000,200581,167819202.00000000,10594809.94840000,0
2024-12-05,0.06073,0.06735,0.05561,0.05817,732544639.0,2024-12-05 23:59:59.999,46230896.77329000,335983,394673647.00000000,25019697.20879000,0
2024-12-06,0.05824,0.06192,0.0578,0.06083,284639871.0,2024-12-06 23:59:59.999,17070407.45490000,130671,134014385.00000000,8044974.91021000,0
2024-12-07,0.06083,0.06203,0.05891,0.05986,135784936.0,2024-12-07 23:59:59.999,8190879.29659000,71142,61274595.00000000,3697898.50099000,0
2024-12-08,0.05986,0.06072,0.05734,0.05944,115606501.0,2024-12-08 23:59:59.999,6802911.54499000,59330,52110424.00000000,3067515.22485000,0
2024-12-09,0.05945,0.0597,0.04066,0.04648,384301741.0,2024-12-09 23:59:59.999,19638032.93413000,182982,174316646.00000000,8910893.33897000,0
2024-12-10,0.04647,0.04773,0.04069,0.04543,353543904.0,2024-12-10 23:59:59.999,15664113.81364000,147148,166837338.00000000,7386543.65895000,0
2024-12-11,0.04542,0.04959,0.0441,0.04868,181211789.0,2024-12-11 23:59:59.999,8497672.94093000,69597,87386597.00000000,4106948.31911000,0
2024-12-12,0.04871,0.0518,0.0479,0.04908,169638054.0,2024-12-12 23:59:59.999,8431108.89219000,66024,81506195.00000000,4053521.05828000,0
