Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2024-11-17,0.01615,0.01642,0.0152,0.01549,108528992.5,2024-11-17 23:59:59.999,1706010.80506700,27209,54162402.80000000,853845.23703000,0
2024-11-18,0.01548,0.01583,0.01481,0.01529,82088026.5,2024-11-18 23:59:59.999,1261263.85714400,22945,37479819.70000000,576026.27532200,0
2024-11-19,0.01532,0.01533,0.01465,0.01503,61574039.6,2024-11-19 23:59:59.999,924232.14894600,18488,32108896.30000000,482433.52694100,0
2024-11-20,0.01506,0.01506,0.01348,0.01376,80227882.4,2024-11-20 23:59:59.999,1153152.25251000,27537,38754509.60000000,557925.05685800,0
2024-11-21,0.01378,0.01488,0.01333,0.01475,67485056.8,2024-11-21 23:59:59.999,962041.61918700,24728,34877153.40000000,497694.72614000,0
2024-11-22,0.01478,0.0152,0.01416,0.0152,57407048.3,2024-11-22 23:59:59.999,843084.43061200,21915,29686981.70000000,436408.13304600,0
2024-11-23,0.0152,0.01596,0.01498,0.01587,74454817.2,2024-11-23 23:59:59.999,1148477.44315000,29180,36827995.80000000,568512.68276900,0
2024-11-24,0.0159,0.01693,0.01514,0.0169,110405235.2,2024-11-24 23:59:59.999,1776481.50028700,48277,58463419.60000000,942647.97351200,0
2024-11-25,0.01688,0.01722,0.01567,0.01655,92502083.7,2024-11-25 23:59:59.999,1525728.27236100,45449,46199800.90000000,763709.71044200,0
2024-11-26,0.01655,0.01746,0.00943,0.0105,862217293.9,2024-11-26 23:59:59.999,9527943.38107100,150355,409133825.10000000,4498488.58747400,0
2024-11-27,0.01051,0.01051,0.00824,0.00859,476113591.4,2024-11-27 23:59:59.999,4306818.40344300,54083,221529944.00000000,2004397.40204700,0
2024-11-28,0.00856,0.00859,0.00703,0.00768,357158423.8,2024-11-28 23:59:59.999,2706902.13950200,34249,170248686.80000000,1290525.34154500,0
2024-11-29,0.00769,0.02631,0.00759,0.01605,7735647541.5,2024-11-29 23:59:59.999,123501987.22070100,982623,3878541325.50000000,61961856.84541800,0
2024-11-30,0.01605,0.01762,0.01331,0.01398,2073133062.0,2024-11-30 23:59:59.999,32213554.24544600,282320,1001672431.40000000,15604894.33501500,0
2024-12-01,0.01398,0.01398,0.0112,0.01259,769325303.1,2024-12-01 23:59:59.999,9692309.39248500,99070,377327640.40000000,4752589.38415400,0
2024-12-02,0.01258,0.01283,0.01007,0.0105,624403299.5,2024-12-02 23:59:59.999,6914505.92225600,71096,301395445.80000000,3341238.40834600,0
2024-12-03,0.0105,0.01093,0.00935,0.00972,532061171.3,2024-12-03 23:59:59.999,5380799.78538700,48173,258574261.20000000,2620348.82845000,0
2024-12-04,0.00969,0.00975,0.00843,0.00886,373918851.3,2024-12-04 23:59:59.999,3438412.63875900,37634,182157204.00000000,1676475.51382500,0
2024-12-05,0.00886,0.01713,0.00844,0.01088,2433445304.4,2024-12-05 23:59:59.999,31206794.17939900,236772,1213775285.80000000,15582058.46990500,0
2024-12-06,0.01088,0.012,0.00852,0.00957,750456473.2,2024-12-06 23:59:59.999,7392775.87665300,63637,390621666.70000000,3839504.28055600,0
2024-12-07,0.00958,0.01471,0.00925,0.01024,1275012246.3,2024-12-07 23:59:59.999,14817505.92070900,125425,631663352.90000000,7359488.85672900,0
2024-12-08,0.01023,0.0123,0.00926,0.01007,1042797085.5,2024-12-08 23:59:59.999,10947076.52452500,91866,506805564.40000000,5349790.91526300,0
2024-12-09,0.01007,0.01068,0.00541,0.007,645306038.9,2024-12-09 23:59:59.999,5630323.79232700,63474,319350372.80000000,2787876.27624900,0
2024-12-10,0.00696,0.00719,0.005,0.00521,118652016.0,2024-12-10 02:59:59.999,710580.52050900,7879,59982197.20000000,360155.14631900,0
