Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2024-11-17,0.02269,0.02317,0.02063,0.0211,951195209.2,2024-11-17 23:59:59.999,20868973.23309600,109099,451453797.90000000,9925247.63200500,0
2024-11-18,0.02111,0.02227,0.0207,0.02197,816147681.3,2024-11-18 23:59:59.999,17595971.18264300,90654,404721108.10000000,8733845.88345000,0
2024-11-19,0.02195,0.02244,0.02058,0.02104,727826636.6,2024-11-19 23:59:59.999,15824894.52635700,89239,374266889.80000000,8149513.01271500,0
2024-11-20,0.02103,0.02489,0.01946,0.0198,2163306814.7,2024-11-20 23:59:59.999,46971369.01830200,235347,1023143710.40000000,22198517.05802700,0
2024-11-21,0.0198,0.02105,0.01918,0.02058,877726667.8,2024-11-21 23:59:59.999,17752404.32436300,97738,413321300.10000000,8369008.49562800,0
2024-11-22,0.02058,0.02099,0.01947,0.02061,957178146.3,2024-11-22 23:59:59.999,19350029.33420900,131706,485407718.30000000,9816130.27832800,0
2024-11-23,0.02062,0.02966,0.02048,0.02591,4527452798.4,2024-11-23 23:59:59.999,114778735.15839800,618021,2298013339.50000000,58147468.56481100,0
2024-11-24,0.02592,0.02749,0.02378,0.02628,2378401098.3,2024-11-24 23:59:59.999,60980166.84976500,279494,1178689726.70000000,30237043.08669400,0
2024-11-25,0.0263,0.0265,0.0236,0.02423,1141841019.7,2024-11-25 23:59:59.999,28802959.53847200,125332,560657855.70000000,14170245.27981500,0
2024-11-26,0.02423,0.0249,0.022,0.02368,1179167412.1,2024-11-26 23:59:59.999,27690202.30746800,116945,589510254.00000000,13853784.37054400,0
2024-11-27,0.02368,0.02652,0.02323,0.02556,978892510.4,2024-11-27 23:59:59.999,24405393.32974000,101521,494446465.60000000,12335275.50050600,0
2024-11-28,0.02554,0.02613,0.02427,0.0256,710620031.5,2024-11-28 23:59:59.999,17860464.54040200,84119,349748212.50000000,8794596.43626900,0
2024-11-29,0.02561,0.028,0.02485,0.02689,1067882514.7,2024-11-29 23:59:59.999,27971516.34447400,114962,544358143.10000000,14278225.68395700,0
2024-11-30,0.02689,0.02979,0.02618,0.02908,1179791328.8,2024-11-30 23:59:59.999,32768838.15375800,137993,586939624.30000000,16346251.07932600,0
2024-12-01,0.02908,0.02991,0.02766,0.02971,960732573.8,2024-12-01 23:59:59.999,27515112.12982300,114583,491440304.90000000,14086445.03711800,0
2024-12-02,0.02971,0.0323,0.02852,0.03136,2445072085.8,2024-12-02 23:59:59.999,73979475.55583900,315816,1227851786.40000000,37185961.51563300,0
2024-12-03,0.03136,0.0433,0.03087,0.03998,5512937167.1,2024-12-03 23:59:59.999,212492372.24402390,939771,2757703207.10000000,106255301.14652790,0
2024-12-04,0.03999,0.0425,0.03796,0.03985,2151855800.0,2024-12-04 23:59:59.999,86351952.48468300,317100,1083284172.70000000,43516941.15556100,0
2024-12-05,0.03986,0.05905,0.03904,0.05807,7180788456.1,2024-12-05 23:59:59.999,363753541.73921910,1262925,3706747638.70000000,187813707.96798410,0
2024-12-06,0.05808,0.05913,0.048,0.05114,4218025203.8,2024-12-06 23:59:59.999,221102246.57050700,819536,2018448579.80000000,106041408.02101400,0
2024-12-07,0.05115,0.05193,0.04746,0.04918,1359860012.4,2024-12-07 23:59:59.999,67666628.28215200,277710,669220727.10000000,33329832.38728200,0
2024-12-08,0.0492,0.05047,0.04611,0.0501,1283522881.0,2024-12-08 23:59:59.999,61596541.25947400,246436,672194147.50000000,32318951.47273200,0
