Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2024-11-17,1.1188,1.3233,1.0893,1.1929,79638316.1,2024-11-17 23:59:59.999,97558223.67322000,398507,43275482.20000000,53016114.04899000,0
2024-11-18,1.1927,1.2319,1.1246,1.1755,42668130.1,2024-11-18 23:59:59.999,50465938.64718000,179813,21420762.50000000,25335160.14061000,0
2024-11-19,1.1757,1.1942,1.1113,1.1359,25232370.6,2024-11-19 23:59:59.999,29376721.04169000,120267,12043973.70000000,14017672.60705000,0
2024-11-20,1.1358,1.1376,1.0509,1.07,18996472.7,2024-11-20 23:59:59.999,20858836.73399000,90954,9836853.50000000,10807777.40207000,0
2024-11-21,1.0702,1.1755,1.0161,1.1311,35482684.7,2024-11-21 23:59:59.999,39110174.92594000,171058,18789966.20000000,20729384.89317000,0
2024-11-22,1.1315,1.1715,1.0774,1.1237,25604984.0,2024-11-22 23:59:59.999,28701757.24503000,110377,12995158.10000000,14587076.02852000,0
2024-11-23,1.1236,1.1986,1.094,1.1325,38248230.9,2024-11-23 23:59:59.999,43976198.62459000,159224,20077069.20000000,23074600.05559000,0
2024-11-24,1.1329,1.178,1.04,1.1277,32798076.2,2024-11-24 23:59:59.999,36474429.55936000,141814,16369363.70000000,18226691.14606000,0
2024-11-25,1.128,1.167,1.043,1.0671,32949815.7,2024-11-25 23:59:59.999,36544911.26191000,141852,16631340.90000000,18458533.59778000,0
2024-11-26,1.0668,1.1007,0.9817,1.0331,35257030.3,2024-11-26 23:59:59.999,36446000.88321000,162415,17742544.60000000,18324213.96861000,0
2024-11-27,1.033,1.13,1.0153,1.1193,27643245.6,2024-11-27 23:59:59.999,29571376.88024000,133445,14576074.10000000,15596788.21665000,0
2024-11-28,1.1191,1.1477,1.0774,1.131,28012338.8,2024-11-28 23:59:59.999,31057640.17744000,142799,14342392.90000000,15899528.68637000,0
2024-11-29,1.131,1.1984,1.1181,1.1507,33312824.8,2024-11-29 23:59:59.999,38528250.32759000,163353,17487628.40000000,20224502.15318000,0
2024-11-30,1.1507,1.1889,1.1332,1.1586,26154973.0,2024-11-30 23:59:59.999,30506069.09210000,145866,12964250.80000000,15116520.81755000,0
2024-12-01,1.159,1.269,1.1214,1.2496,38608437.8,2024-12-01 23:59:59.999,46415379.93227000,218806,20205575.80000000,24321248.77816000,0
