Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2024-11-17,0.1379,0.1411,0.1279,0.1317,45698492.5,2024-11-17 23:59:59.999,6187795.44549000,37496,23989239.20000000,3248543.49437000,0
2024-11-18,0.1317,0.1376,0.1309,0.1366,43103728.8,2024-11-18 23:59:59.999,5772060.73738000,35395,21657618.70000000,2900296.49534000,0
2024-11-19,0.1366,0.1568,0.1359,0.1491,158871812.2,2024-11-19 23:59:59.999,23500476.01506000,110006,78072072.00000000,11547569.35041000,0
2024-11-20,0.1492,0.1493,0.1391,0.1427,48868025.0,2024-11-20 23:59:59.999,7053986.45866000,38129,23351544.30000000,3371448.37017000,0
2024-11-21,0.1427,0.1503,0.1392,0.1488,56467503.4,2024-11-21 23:59:59.999,8209221.67420000,45114,28254439.30000000,4106326.47052000,0
2024-11-22,0.1489,0.1682,0.1463,0.1673,98517022.5,2024-11-22 23:59:59.999,15537786.41565000,77289,49097264.10000000,7745975.85273000,0
2024-11-23,0.1672,0.1809,0.1644,0.1739,91403940.5,2024-11-23 23:59:59.999,15760290.37450000,83487,44831302.70000000,7732734.39291000,0
2024-11-24,0.174,0.2114,0.1734,0.2095,184275615.1,2024-11-24 23:59:59.999,35727211.59259000,205228,90480949.80000000,17528196.03857000,0
2024-11-25,0.2095,0.21,0.1762,0.1838,90708469.2,2024-11-25 23:59:59.999,17627091.60944000,96902,46562128.50000000,9051632.99161000,0
2024-11-26,0.1838,0.1913,0.1723,0.1796,67501987.5,2024-11-26 23:59:59.999,12288504.45143000,69263,35530754.20000000,6468207.02803000,0
2024-11-27,0.1797,0.1906,0.1795,0.1901,79787237.5,2024-11-27 23:59:59.999,14789557.15308000,64800,41607957.60000000,7709593.56676000,0
2024-11-28,0.1902,0.195,0.1862,0.1929,42254353.1,2024-11-28 23:59:59.999,8013379.88568000,35852,20813089.30000000,3946826.53345000,0
2024-11-29,0.193,0.1969,0.1876,0.1966,35661385.0,2024-11-29 23:59:59.999,6864510.95063000,33356,17396628.30000000,3349921.28011000,0
2024-11-30,0.1965,0.2069,0.195,0.2065,43092614.5,2024-11-30 23:59:59.999,8649890.55891000,37776,21424033.00000000,4298514.66568000,0
2024-12-01,0.2066,0.2639,0.2009,0.254,200107177.2,2024-12-01 23:59:59.999,46814591.48941000,194984,99392832.90000000,23270337.20121000,0
2024-12-02,0.2541,0.425,0.2537,0.4012,614991978.4,2024-12-02 23:59:59.999,199245750.47136000,681593,300882718.40000000,97871909.37168000,0
2024-12-03,0.4012,0.42,0.2479,0.335,488759725.7,2024-12-03 23:59:59.999,165844977.54955000,621594,243262442.60000000,82694226.23907000,0
2024-12-04,0.335,0.3887,0.3168,0.346,213640223.8,2024-12-04 23:59:59.999,75482251.34858000,326077,107329157.70000000,37996419.84273000,0
2024-12-05,0.3458,0.3458,0.3109,0.3181,128857617.9,2024-12-05 23:59:59.999,42255684.29340000,221129,63741192.80000000,20906879.37482000,0
2024-12-06,0.3181,0.3444,0.3081,0.3309,115800016.1,2024-12-06 23:59:59.999,37495815.17782000,166989,57268851.40000000,18533359.18512000,0
2024-12-07,0.3308,0.3471,0.3043,0.3169,74070848.2,2024-12-07 23:59:59.999,24279134.09397000,104395,36352189.90000000,11926038.85041000,0
2024-12-08,0.3168,0.3351,0.3051,0.3221,77293239.3,2024-12-08 23:59:59.999,24716095.10131000,106620,40337464.70000000,12908526.52069000,0
2024-12-09,0.3222,0.3226,0.2297,0.2557,183315224.7,2024-12-09 23:59:59.999,51290818.78592000,243252,88605517.70000000,24707669.29408000,0
2024-12-10,0.2556,0.2732,0.2305,0.2558,164983131.4,2024-12-10 23:59:59.999,41821665.64421000,183871,83420125.70000000,21194582.64206000,0
2024-12-11,0.2557,0.2864,0.2417,0.2738,123507210.1,2024-12-11 23:59:59.999,32817845.24078000,210012,63286353.60000000,16840698.05475000,0
2024-12-12,0.2739,0.29,0.2681,0.2755,100594467.7,2024-12-12 23:59:59.999,28142192.19410000,121162,50447414.50000000,14115211.80722000,0
2024-12-13,0.2757,0.2785,0.2667,0.2738,62199737.0,2024-12-13 23:59:59.999,16981910.71006000,70417,32957381.30000000,8994716.10415000,0
2024-12-14,0.2739,0.3333,0.2702,0.2799,194884381.4,2024-12-14 23:59:59.999,56857600.99805000,190540,97613509.60000000,28490364.26383000,0
2024-12-15,0.2799,0.3133,0.2757,0.2988,195787953.3,2024-12-15 23:59:59.999,57929951.62103000,197551,93174610.20000000,27579600.13322000,0
2024-12-16,0.2987,0.3007,0.2639,0.2658,95311411.0,2024-12-16 23:59:59.999,26584246.75194000,95378,47988908.10000000,13391692.92157000,0
2024-12-17,0.2658,0.2745,0.2563,0.2613,66590966.5,2024-12-17 23:59:59.999,17732150.24199000,73691,33765203.00000000,8992387.00512000,0
2024-12-18,0.2614,0.2657,0.2334,0.2348,80998525.2,2024-12-18 23:59:59.999,20536757.29889000,79431,40062641.80000000,10164635.26198000,0
2024-12-19,0.2347,0.2452,0.2132,0.2218,103034680.5,2024-12-19 23:59:59.999,23684302.89044000,97086,52240167.10000000,12019020.74648000,0
2024-12-20,0.2218,0.2349,0.187,0.2345,166514934.3,2024-12-20 23:59:59.999,34767250.82326000,131037,79575012.50000000,16604627.79981000,0
2024-12-21,0.2346,0.2521,0.2165,0.2188,68154398.8,2024-12-21 23:59:59.999,15674253.00530000,69239,33868354.90000000,7788069.67043000,0
2024-12-22,0.2191,0.2267,0.2144,0.2204,54716575.7,2024-12-22 23:59:59.999,12095153.15377000,55430,29405580.30000000,6497010.82841000,0
2024-12-23,0.2203,0.2334,0.2144,0.23,52873850.5,2024-12-23 23:59:59.999,11702573.40028000,50115,25914420.90000000,5737435.75391000,0
2024-12-24,0.2301,0.2353,0.222,0.2331,35176779.1,2024-12-24 23:59:59.999,8030811.39846000,32916,17896640.50000000,4086919.01046000,0
2024-12-25,0.2331,0.2331,0.223,0.2262,28796217.9,2024-12-25 23:59:59.999,6560680.52608000,25492,15159181.90000000,3451011.93875000,0
2024-12-26,0.2263,0.228,0.2069,0.2098,48211949.2,2024-12-26 23:59:59.999,10356242.35571000,34476,25194340.60000000,5411732.16570000,0
2024-12-27,0.2099,0.2165,0.2022,0.207,42015824.2,2024-12-27 23:59:59.999,8830388.84880000,33341,21362527.50000000,4490423.07168000,0
2024-12-28,0.2071,0.2113,0.2022,0.2099,30848055.3,2024-12-28 23:59:59.999,6345146.09768000,23073,15674125.60000000,3224084.24996000,0
2024-12-29,0.2099,0.2114,0.1975,0.1989,34453325.7,2024-12-29 23:59:59.999,7060317.01165000,25839,16588023.80000000,3400309.00915000,0
2024-12-30,0.1988,0.2046,0.1912,0.1979,43722626.5,2024-12-30 23:59:59.999,8685810.54576000,47564,22772167.10000000,4523329.26593000,0
2024-12-31,0.1978,0.2113,0.1915,0.2011,47070614.2,2024-12-31 23:59:59.999,9410665.22717000,54058,24764447.20000000,4948151.10467000,0
2025-01-01,0.2011,0.2307,0.1972,0.2095,61464755.0,2025-01-01 23:59:59.999,12945194.85194000,62859,30845489.80000000,6499891.37178000,0
2025-01-02,0.2095,0.2225,0.2089,0.2198,52695622.9,2025-01-02 23:59:59.999,11390789.37509000,50670,25584366.40000000,5528485.81155000,0
2025-01-03,0.2198,0.2313,0.2138,0.2293,39149527.8,2025-01-03 23:59:59.999,8691572.63857000,38660,18744450.70000000,4162037.82262000,0
2025-01-04,0.2294,0.2316,0.2232,0.2272,30739221.6,2025-01-04 23:59:59.999,6995356.06262000,31418,14514260.60000000,3302574.89199000,0
2025-01-05,0.2272,0.2287,0.2197,0.2263,22061923.5,2025-01-05 23:59:59.999,4941803.57673000,27320,11445142.50000000,2562932.05034000,0
2025-01-06,0.2263,0.2398,0.2223,0.2345,44918006.8,2025-01-06 23:59:59.999,10458563.49466000,53864,22820593.50000000,5312083.01912000,0
2025-01-07,0.2344,0.2344,0.2075,0.2096,54213531.0,2025-01-07 23:59:59.999,11926493.26316000,65942,27877853.30000000,6122778.88196000,0
2025-01-08,0.2096,0.2137,0.1897,0.2048,74770442.0,2025-01-08 23:59:59.999,15105107.16999000,91702,35423538.20000000,7166265.56096000,0
2025-01-09,0.2047,0.2159,0.1972,0.2136,82127127.9,2025-01-09 23:59:59.999,16961928.36823000,98354,41069367.90000000,8482368.92303000,0
2025-01-10,0.2136,0.2229,0.2044,0.2131,59328728.0,2025-01-10 23:59:59.999,12625193.21189000,80732,27928980.80000000,5941641.74399000,0
2025-01-11,0.2131,0.2179,0.208,0.2152,24088879.3,2025-01-11 23:59:59.999,5113594.54376000,34526,11322971.00000000,2402922.66707000,0
2025-01-12,0.2153,0.2166,0.2054,0.2089,22211123.3,2025-01-12 23:59:59.999,4701020.87237000,28913,11219892.70000000,2372864.44294000,0
2025-01-13,0.209,0.2132,0.1898,0.2061,64646065.6,2025-01-13 23:59:59.999,12902454.16463000,83591,32592460.40000000,6512152.74724000,0
