Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2024-09-19,0.3306,0.4277,0.329,0.3897,72770679.2,2024-09-19 23:59:59.999,28392611.79945000,172289,38090719.10000000,14869332.63921000,0
2024-09-20,0.3897,0.4124,0.3722,0.3787,29691539.2,2024-09-20 23:59:59.999,11743551.71781000,70334,14952396.40000000,5931621.05275000,0
2024-09-21,0.3786,0.3921,0.3616,0.3898,8841612.4,2024-09-21 23:59:59.999,3320160.62263000,26026,3489286.00000000,1309028.96867000,0
2024-09-22,0.3898,0.3899,0.3628,0.3733,7981087.5,2024-09-22 23:59:59.999,3006557.48091000,24710,3052361.90000000,1149320.81707000,0
2024-09-23,0.3734,0.3812,0.3636,0.3773,7922285.9,2024-09-23 23:59:59.999,2969712.69793000,25204,3634138.90000000,1361952.39024000,0
2024-09-24,0.3774,0.3878,0.3712,0.3835,10241929.6,2024-09-24 23:59:59.999,3886457.45417000,29528,5316814.80000000,2017809.92238000,0
2024-09-25,0.3836,0.3932,0.3769,0.3788,18250605.1,2024-09-25 23:59:59.999,7025332.26649000,43044,8828142.20000000,3397009.10628000,0
2024-09-26,0.3787,0.3926,0.3729,0.3869,16168421.6,2024-09-26 23:59:59.999,6249003.54922000,32540,8519889.00000000,3292176.34623000,0
2024-09-27,0.3868,0.3999,0.3817,0.3985,12311139.9,2024-09-27 23:59:59.999,4849315.17054000,29869,6500076.60000000,2560788.33947000,0
2024-09-28,0.3983,0.404,0.3768,0.3998,8191723.9,2024-09-28 23:59:59.999,3214144.79243000,21924,3638062.10000000,1428956.03008000,0
2024-09-29,0.3997,0.402,0.3829,0.3895,9112421.6,2024-09-29 23:59:59.999,3557102.00170000,22302,4982187.10000000,1943323.80923000,0
2024-09-30,0.3895,0.3897,0.3576,0.3618,10465265.7,2024-09-30 23:59:59.999,3943010.25905000,27052,4324016.40000000,1625489.13180000,0
2024-10-01,0.3616,0.374,0.324,0.3342,24532630.7,2024-10-01 23:59:59.999,8856813.35125000,45756,11563491.80000000,4170246.83239000,0
2024-10-02,0.3342,0.3469,0.3142,0.3196,14777079.3,2024-10-02 23:59:59.999,4862476.30594000,31896,6615677.40000000,2170618.24104000,0
2024-10-03,0.3196,0.3339,0.3018,0.3106,11500597.7,2024-10-03 23:59:59.999,3693926.53673000,37210,6292466.40000000,2025326.59512000,0
2024-10-04,0.3105,0.3363,0.3088,0.336,5115282.3,2024-10-04 23:59:59.999,1652452.94410000,16932,2562102.40000000,826628.57634000,0
2024-10-05,0.3359,0.3427,0.3262,0.3311,8221973.1,2024-10-05 23:59:59.999,2781479.27260000,14010,4163809.80000000,1408641.94152000,0
2024-10-06,0.3311,0.3441,0.3298,0.3438,1650663.8,2024-10-06 23:59:59.999,557323.97988000,5431,749551.60000000,252954.63533000,0
2024-10-07,0.3435,0.3498,0.3348,0.3355,16853597.9,2024-10-07 23:59:59.999,5801253.14830000,25118,8163478.10000000,2807050.69696000,0
2024-10-08,0.3359,0.3405,0.3255,0.3302,27550162.9,2024-10-08 23:59:59.999,9159278.14035000,30180,13605110.40000000,4518078.55690000,0
2024-10-09,0.3303,0.3373,0.3245,0.3282,22109287.7,2024-10-09 23:59:59.999,7313155.80364000,29618,11440388.00000000,3784458.88536000,0
2024-10-10,0.3283,0.3407,0.3108,0.3241,20255533.7,2024-10-10 23:59:59.999,6694090.17948000,34422,9573990.10000000,3168128.31436000,0
2024-10-11,0.324,0.3589,0.3216,0.3441,31026430.5,2024-10-11 23:59:59.999,10707028.33555000,61554,16070629.80000000,5541124.44703000,0
2024-10-12,0.3442,0.3588,0.3411,0.348,21929964.9,2024-10-12 23:59:59.999,7717285.26632000,31640,11017049.00000000,3876420.81031000,0
2024-10-13,0.348,0.3483,0.3308,0.3418,8705649.9,2024-10-13 23:59:59.999,2977668.90275000,16562,4163635.40000000,1423293.58668000,0
2024-10-14,0.3417,0.3619,0.3377,0.3596,6993882.2,2024-10-14 23:59:59.999,2457845.59734000,17489,3516293.70000000,1237383.63566000,0
2024-10-15,0.36,0.3921,0.3477,0.3811,47919147.6,2024-10-15 23:59:59.999,17916020.37088000,77967,25467965.20000000,9524897.63458000,0
2024-10-16,0.381,0.3821,0.3638,0.369,10253195.0,2024-10-16 23:59:59.999,3810649.44645000,27543,5042671.00000000,1873475.79616000,0
2024-10-17,0.369,0.3711,0.3482,0.3609,6774871.8,2024-10-17 23:59:59.999,2434681.55084000,17954,2976081.90000000,1069391.82835000,0
2024-10-18,0.3608,0.3685,0.355,0.3663,4216790.4,2024-10-18 23:59:59.999,1528212.25799000,13459,1920744.70000000,696926.28891000,0
2024-10-19,0.3663,0.3736,0.3629,0.3683,4163010.1,2024-10-19 23:59:59.999,1534687.70536000,13047,2040067.50000000,752373.04597000,0
2024-10-20,0.3685,0.3916,0.3685,0.3842,18189067.9,2024-10-20 23:59:59.999,6902849.27101000,52431,9663527.80000000,3669166.35250000,0
2024-10-21,0.3841,0.386,0.3639,0.3664,15278565.9,2024-10-21 23:59:59.999,5672082.38161000,28479,6975302.40000000,2587068.99075000,0
2024-10-22,0.3664,0.3722,0.3563,0.3658,5660911.6,2024-10-22 23:59:59.999,2050767.98390000,13890,2589256.70000000,937754.54718000,0
2024-10-23,0.3657,0.3664,0.336,0.3489,13233268.1,2024-10-23 23:59:59.999,4710704.53999000,22690,5460317.20000000,1942111.71548000,0
2024-10-24,0.3491,0.3535,0.3378,0.3511,10390421.7,2024-10-24 23:59:59.999,3577757.62007000,17132,4960605.30000000,1709077.80180000,0
2024-10-25,0.3514,0.3537,0.3058,0.3232,6039579.5,2024-10-25 23:59:59.999,2005928.57262000,20052,2982233.10000000,990713.27031000,0
2024-10-26,0.3231,0.3288,0.3146,0.3223,4313984.4,2024-10-26 23:59:59.999,1395939.20930000,13423,2228191.10000000,721148.89182000,0
2024-10-27,0.3225,0.333,0.3187,0.3289,4882251.2,2024-10-27 23:59:59.999,1600173.24296000,12187,2754078.40000000,903035.70807000,0
2024-10-28,0.3291,0.3319,0.3112,0.3272,14287681.2,2024-10-28 23:59:59.999,4632934.40987000,23607,6475121.80000000,2099396.87252000,0
2024-10-29,0.3273,0.3502,0.3263,0.3478,11081776.8,2024-10-29 23:59:59.999,3767175.97695000,22208,5827998.40000000,1980316.57211000,0
2024-10-30,0.3479,0.3617,0.3423,0.351,8822410.8,2024-10-30 23:59:59.999,3108782.85060000,22529,4314791.00000000,1521779.94109000,0
2024-10-31,0.351,0.3517,0.3206,0.3274,5558527.8,2024-10-31 23:59:59.999,1853870.15647000,16348,2648388.20000000,880005.64607000,0
