Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2024-09-19,0.133,0.136,0.1324,0.1351,19242260.0,2024-09-19 23:59:59.999,2588792.56602000,21432,8656175.20000000,1164905.03116000,0
2024-09-20,0.1351,0.1394,0.1329,0.1368,25604826.8,2024-09-20 23:59:59.999,3495051.99446000,31720,13544219.90000000,1850445.00022000,0
2024-09-21,0.1368,0.139,0.1344,0.1388,10705436.7,2024-09-21 23:59:59.999,1464043.28955000,14803,5236418.00000000,715623.20784000,0
2024-09-22,0.1388,0.1388,0.132,0.1342,8819381.7,2024-09-22 23:59:59.999,1193613.33921000,13019,3986794.90000000,538591.55527000,0
2024-09-23,0.1343,0.1385,0.1326,0.1362,12491884.3,2024-09-23 23:59:59.999,1702948.80367000,18372,5462118.20000000,743846.72207000,0
2024-09-24,0.1362,0.1373,0.1336,0.1369,12444401.7,2024-09-24 23:59:59.999,1688419.32223000,16376,6142420.20000000,833244.76448000,0
2024-09-25,0.1369,0.1382,0.1347,0.1351,16050792.5,2024-09-25 23:59:59.999,2196953.65822000,23739,7718152.30000000,1056228.03153000,0
2024-09-26,0.1351,0.1405,0.1328,0.1391,22905438.8,2024-09-26 23:59:59.999,3124317.10393000,28560,11299465.40000000,1539316.09946000,0
2024-09-27,0.1391,0.1468,0.1386,0.1455,21099709.1,2024-09-27 23:59:59.999,2991858.88096000,29274,9245575.10000000,1310203.98951000,0
2024-09-28,0.1456,0.1498,0.1425,0.1456,22177514.5,2024-09-28 23:59:59.999,3238664.98326000,28469,11179368.10000000,1632038.46092000,0
2024-09-29,0.1456,0.1461,0.1413,0.1436,12468122.1,2024-09-29 23:59:59.999,1790256.05892000,17540,5973465.10000000,857443.20475000,0
2024-09-30,0.1437,0.145,0.1336,0.1346,24010919.3,2024-09-30 23:59:59.999,3361377.32745000,31858,12046752.90000000,1685326.83067000,0
2024-10-01,0.1345,0.1381,0.1235,0.1263,28611704.0,2024-10-01 23:59:59.999,3734776.44143000,40259,15884734.60000000,2074084.02298000,0
