Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2024-11-17,22.06,23.16,20.26,20.53,306263.593,2024-11-17 23:59:59.999,6696322.55315000,54711,144176.43800000,3161447.06153000,0
2024-11-18,20.53,22.56,20.43,22.03,246026.882,2024-11-18 23:59:59.999,5346790.91607000,42527,119697.94500000,2603429.36620000,0
2024-11-19,22.03,22.19,20.44,21.05,188130.731,2024-11-19 23:59:59.999,4004210.30946000,27296,93708.96000000,1995628.95302000,0
2024-11-20,21.05,21.39,19.63,20.01,166493.264,2024-11-20 23:59:59.999,3423059.61323000,27468,87389.89300000,1798216.36639000,0
2024-11-21,20.02,21.63,19.45,20.86,181158.706,2024-11-21 23:59:59.999,3751247.94218000,26278,87822.85300000,1813248.17564000,0
2024-11-22,20.87,23.47,20.54,23.42,330619.83,2024-11-22 23:59:59.999,7141848.46913000,43859,176285.55700000,3814271.32779000,0
2024-11-23,23.42,52.2,23.09,51.45,5628350.992,2024-11-23 23:59:59.999,217621138.20428000,1036583,2882916.73400000,111928170.47890000,0
2024-11-24,51.37,53.5,37.73,40.77,3696774.354,2024-11-24 23:59:59.999,161975885.95432000,694072,1793626.27300000,78677060.46531000,0
2024-11-25,40.79,40.85,37.09,40.12,980862.419,2024-11-25 23:59:59.999,38611158.46335000,189304,481814.43000000,18973301.73108000,0
2024-11-26,40.12,47.3,34.37,36.2,1282477.79,2024-11-26 23:59:59.999,50588435.76626000,225668,621588.39800000,24545540.41822000,0
2024-11-27,36.2,38.64,35.37,37.45,568527.446,2024-11-27 23:59:59.999,21133186.50214000,93475,259645.64000000,9657179.32469000,0
2024-11-28,37.44,37.96,35.69,36.79,278049.698,2024-11-28 23:59:59.999,10267235.78820000,56485,130705.81000000,4829177.38827000,0
2024-11-29,36.8,44.28,36.64,42.17,872228.655,2024-11-29 23:59:59.999,35215596.64819000,174704,443493.95100000,17903720.15220000,0
2024-11-30,42.16,43.72,39.86,41.22,540252.708,2024-11-30 23:59:59.999,22392007.44183000,137707,246750.28400000,10238299.85926000,0
2024-12-01,41.24,44.07,40.01,41.61,458478.088,2024-12-01 23:59:59.999,19071330.26115000,119464,216322.13000000,9016512.25977000,0
2024-12-02,41.61,42.74,37.98,41.9,695402.059,2024-12-02 23:59:59.999,27977956.49500000,167626,338015.83400000,13612426.07048000,0
2024-12-03,41.93,45.72,40.23,44.99,1043591.912,2024-12-03 23:59:59.999,45169790.42521000,238548,519203.79800000,22469651.73846000,0
2024-12-04,45.0,49.99,43.41,45.57,724981.205,2024-12-04 23:59:59.999,33852277.88220000,170547,357870.91000000,16740417.64336000,0
2024-12-05,45.59,46.7,43.06,44.8,430819.445,2024-12-05 23:59:59.999,19372159.65756000,105980,212801.54900000,9575397.97252000,0
2024-12-06,44.83,48.0,43.81,47.3,354397.411,2024-12-06 23:59:59.999,16317129.81554000,92270,175011.28200000,8064591.66190000,0
2024-12-07,47.29,47.51,44.91,44.98,255055.39,2024-12-07 23:59:59.999,11754988.78035000,61385,120482.51100000,5550512.76513000,0
2024-12-08,44.96,46.05,43.55,45.47,182849.933,2024-12-08 23:59:59.999,8202749.10059000,45212,79825.01200000,3581561.33628000,0
2024-12-09,45.48,45.51,30.7,36.73,558650.817,2024-12-09 23:59:59.999,21784009.89059000,144059,257649.57700000,10012689.40543000,0
2024-12-10,36.75,37.37,31.9,35.62,518983.695,2024-12-10 23:59:59.999,18099621.37330000,100241,251498.80800000,8771483.07932000,0
2024-12-11,35.63,38.87,33.89,38.12,535630.503,2024-12-11 23:59:59.999,19713145.41043000,115198,289941.29300000,10660241.44233000,0
2024-12-12,38.13,41.12,37.8,39.39,319327.103,2024-12-12 23:59:59.999,12686109.64917000,72932,155787.74900000,6189212.78670000,0
2024-12-13,39.4,39.96,37.8,39.45,190249.902,2024-12-13 23:59:59.999,7408635.84034000,45254,95066.21100000,3704865.48527000,0
2024-12-14,39.45,39.91,36.63,37.44,119423.27,2024-12-14 23:59:59.999,4535641.52955000,25954,56593.39500000,2150458.91005000,0
