Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2025-02-11,0.2,1.5,0.2,1.0544,338624481.56,2025-02-11 23:59:59.999,341266345.50403500,1208763,163147479.44000000,164407980.29102500,0
2025-02-12,1.0532,1.5242,0.9031,0.9866,296805123.08,2025-02-12 23:59:59.999,341664559.39861500,2042064,151573411.47000000,174884133.63847200,0
2025-02-13,0.9858,1.0287,0.8081,0.8346,71398603.12,2025-02-13 23:59:59.999,63299263.83127200,391551,34535819.51000000,30663257.79008700,0
2025-02-14,0.8345,0.9039,0.7781,0.8036,58481115.06,2025-02-14 23:59:59.999,47925574.56225800,339049,28020936.20000000,22974355.06650100,0
2025-02-15,0.8037,0.8784,0.7175,0.7477,51591037.36,2025-02-15 23:59:59.999,41345164.66310900,212318,24788551.75000000,20012952.17166500,0
2025-02-16,0.7484,0.7796,0.712,0.7447,20178013.94,2025-02-16 23:59:59.999,14906621.91765700,77302,8742804.07000000,6465360.07112100,0
2025-02-17,0.7438,0.7441,0.6776,0.7026,16763811.12,2025-02-17 23:59:59.999,11811894.71506900,63677,6773892.53000000,4776933.36388000,0
2025-02-18,0.7028,0.7113,0.5971,0.6233,21030041.27,2025-02-18 23:59:59.999,13431848.25603700,75926,9773448.77000000,6252728.41451900,0
2025-02-19,0.6236,0.6718,0.6079,0.6368,16887585.95,2025-02-19 23:59:59.999,10734357.99237400,63093,7812083.88000000,4973166.70928600,0
2025-02-20,0.6365,0.7678,0.6245,0.7474,47673202.22,2025-02-20 23:59:59.999,33047371.68878600,183736,23065599.36000000,15999638.27257400,0
2025-02-21,0.7474,0.7803,0.6804,0.6857,31746844.86,2025-02-21 23:59:59.999,23043821.69618000,188579,14410332.29000000,10472397.96171200,0
2025-02-22,0.6858,0.7049,0.651,0.6818,13359783.62,2025-02-22 23:59:59.999,9040375.68454900,85595,5513607.90000000,3734045.02090300,0
2025-02-23,0.6819,0.714,0.6423,0.6712,12883068.27,2025-02-23 23:59:59.999,8680715.69607900,68534,5162595.83000000,3484712.96832100,0
2025-02-24,0.6716,0.7197,0.6333,0.6836,29062709.36,2025-02-24 23:59:59.999,19844272.91311700,164119,12660636.31000000,8655536.01809900,0
2025-02-25,0.6834,0.7544,0.6277,0.7047,52436572.78,2025-02-25 23:59:59.999,36943082.01329000,519939,22795686.07000000,16051980.85739400,0
2025-02-26,0.7048,0.7931,0.7028,0.7727,37409080.89,2025-02-26 23:59:59.999,28162755.59998800,477360,16866597.81000000,12694507.68662900,0
2025-02-27,0.7726,0.8239,0.7362,0.7967,26967982.49,2025-02-27 23:59:59.999,21055784.75728300,380239,12606920.33000000,9845134.24942700,0
2025-02-28,0.7966,0.8763,0.7244,0.8312,39800868.41,2025-02-28 23:59:59.999,31602065.60541100,496185,17840826.96000000,14114656.07666500,0
2025-03-01,0.8314,0.8673,0.7805,0.8135,22033116.8,2025-03-01 23:59:59.999,18054994.45938300,244234,9063106.26000000,7426231.16811900,0
2025-03-02,0.8135,0.9111,0.7979,0.8709,33096372.71,2025-03-02 23:59:59.999,28675520.78873300,373324,14421121.35000000,12523206.69915500,0
2025-03-03,0.8709,1.103,0.8388,0.9363,63530048.56,2025-03-03 23:59:59.999,62049607.12070000,933490,30009952.77000000,29355800.34252000,0
2025-03-04,0.9362,1.032,0.8505,0.9353,53759765.95,2025-03-04 23:59:59.999,50100966.32584800,915991,24784314.29000000,23093735.66578200,0
2025-03-05,0.9355,1.0,0.8791,0.9786,22532483.71,2025-03-05 23:59:59.999,20748614.78860800,319476,10094494.93000000,9302592.82195200,0
2025-03-06,0.9788,1.0989,0.8326,0.849,43220911.24,2025-03-06 23:59:59.999,41628965.73993000,451275,24359868.70000000,23572624.28023300,0
2025-03-07,0.8489,0.8526,0.7612,0.7749,23644030.07,2025-03-07 23:59:59.999,18924088.58073400,257817,12023609.09000000,9622987.88370800,0
2025-03-08,0.7748,0.7982,0.7348,0.7906,10831006.78,2025-03-08 23:59:59.999,8249070.19191100,92765,5208886.65000000,3966527.57606400,0
2025-03-09,0.7905,0.8328,0.7694,0.7897,19644682.27,2025-03-09 23:59:59.999,15755731.11840500,193572,9200694.17000000,7380980.51204900,0
2025-03-10,0.7902,0.8991,0.7586,0.8515,27654676.78,2025-03-10 23:59:59.999,23103432.44029100,282415,13482993.02000000,11265295.88061600,0
2025-03-11,0.8516,0.947,0.8417,0.9216,23525842.13,2025-03-11 23:59:59.999,21019486.03627800,294836,11432445.87000000,10213033.57682300,0
2025-03-12,0.9213,1.0815,0.8991,1.0607,29198940.24,2025-03-12 23:59:59.999,28746077.45517500,381944,13964452.06000000,13756472.89230000,0
2025-03-13,1.0605,1.2431,1.0362,1.205,44372907.53,2025-03-13 23:59:59.999,50833129.40714900,620401,21637613.29000000,24826710.84089600,0
2025-03-14,1.2049,1.2947,1.04,1.2196,30514866.05,2025-03-14 23:59:59.999,36799139.14986300,412888,13903714.02000000,16805550.86181600,0
2025-03-15,1.2194,1.2468,1.1442,1.1592,13304662.9,2025-03-15 23:59:59.999,15691633.87926400,230573,6848512.41000000,8075186.12646900,0
2025-03-16,1.1591,1.2444,1.1137,1.1857,18357613.59,2025-03-16 23:59:59.999,21743518.20654500,338408,9386145.69000000,11119611.54293300,0
2025-03-17,1.1855,1.1989,1.0976,1.1091,10082659.5,2025-03-17 23:59:59.999,11447609.45052000,177316,5089547.11000000,5778984.44042200,0
2025-03-18,1.1091,1.1109,0.9735,0.9925,14486081.83,2025-03-18 23:59:59.999,14654471.31425600,174599,6915471.51000000,6998854.04381200,0
2025-03-19,0.9929,1.0543,0.9173,0.9578,15353420.08,2025-03-19 23:59:59.999,14815433.25504600,146649,7503741.34000000,7263736.76647900,0
2025-03-20,0.9575,1.0821,0.936,1.0659,14020566.61,2025-03-20 23:59:59.999,14144674.67326200,119058,7191019.12000000,7250760.71052300,0
2025-03-21,1.066,1.2817,1.0473,1.1876,47610719.47,2025-03-21 23:59:59.999,55961055.59349600,350521,25881508.12000000,30499772.75116200,0
2025-03-22,1.1882,1.2701,1.0691,1.0748,28589739.88,2025-03-22 23:59:59.999,33569832.25993900,274298,15042445.00000000,17705551.29309100,0
2025-03-23,1.0747,1.1143,0.994,1.0375,20967484.7,2025-03-23 23:59:59.999,21884084.33731700,188200,9334867.31000000,9756036.03168000,0
2025-03-24,1.0373,1.1721,1.0092,1.1442,22363205.07,2025-03-24 23:59:59.999,24240573.65301200,208103,9764142.22000000,10610007.73407500,0
2025-03-25,1.1447,1.4508,1.1348,1.377,45700167.86,2025-03-25 23:59:59.999,60838692.13083800,504326,21511639.87000000,28619412.21883200,0
2025-03-26,1.3769,1.4955,1.355,1.4471,24887047.17,2025-03-26 23:59:59.999,35083128.86282000,325422,12229485.90000000,17264818.27298000,0
2025-03-27,1.4471,1.505,1.2492,1.302,28102876.59,2025-03-27 23:59:59.999,38117843.69420500,326371,12653569.82000000,17164104.44654400,0
2025-03-28,1.3022,1.3596,1.2228,1.3177,19970017.89,2025-03-28 23:59:59.999,26015375.75706900,230044,9105488.85000000,11861377.59164400,0
2025-03-29,1.3176,1.4786,1.256,1.4269,24691277.14,2025-03-29 23:59:59.999,34441656.57462800,295967,11282665.55000000,15721875.05447400,0
2025-03-30,1.4269,1.5713,1.3741,1.4762,24629908.1,2025-03-30 23:59:59.999,36029660.00979500,291990,10787092.36000000,15797830.80334500,0
2025-03-31,1.4771,1.4982,1.3067,1.4517,17940585.87,2025-03-31 23:59:59.999,25051547.50096400,234513,8587357.32000000,12005466.54627100,0
2025-04-01,1.4508,1.565,1.4327,1.5049,20845102.28,2025-04-01 23:59:59.999,31492640.67388900,272520,9137812.22000000,13808633.76183000,0
2025-04-02,1.5047,1.5106,1.335,1.3474,15347587.64,2025-04-02 23:59:59.999,21906292.17186300,208812,7202493.28000000,10283724.60392600,0
2025-04-03,1.3475,1.5276,1.3475,1.4244,14856671.62,2025-04-03 23:59:59.999,21708040.30667500,200318,6117693.15000000,8937957.79231100,0
