Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2024-11-17,1.22,1.243,1.134,1.157,18919377.22,2024-11-17 23:59:59.999,22386755.00496000,142306,8646380.43000000,10238140.30284000,0
2024-11-18,1.158,1.271,1.155,1.263,27818016.43,2024-11-18 23:59:59.999,33840438.37165000,215312,13860839.64000000,16873276.56365000,0
2024-11-19,1.264,1.272,1.152,1.183,17208213.85,2024-11-19 23:59:59.999,20627084.57627000,112930,8362391.80000000,10026502.38429000,0
2024-11-20,1.184,1.197,1.086,1.113,18224397.21,2024-11-20 23:59:59.999,20894025.69659000,114536,8628237.12000000,9905201.79307000,0
2024-11-21,1.114,1.269,1.078,1.217,38792397.09,2024-11-21 23:59:59.999,46699253.91113000,191621,19297112.79000000,23267528.11710000,0
2024-11-22,1.217,1.262,1.18,1.259,24641356.85,2024-11-22 23:59:59.999,30059249.01379000,131397,12474318.17000000,15231959.44861000,0
2024-11-23,1.26,1.418,1.243,1.352,48198508.75,2024-11-23 23:59:59.999,63886658.28023000,294507,25758925.32000000,34161819.35099000,0
2024-11-24,1.352,1.491,1.271,1.458,46325933.82,2024-11-24 23:59:59.999,64039426.48247000,307112,23198195.18000000,32101752.59571000,0
2024-11-25,1.459,1.784,1.401,1.649,71407064.58,2024-11-25 23:59:59.999,115492255.97886000,447483,35131016.00000000,56754847.38229000,0
2024-11-26,1.649,1.697,1.515,1.61,35941919.19,2024-11-26 23:59:59.999,57631463.03104000,202201,18117195.73000000,29079821.62526000,0
2024-11-27,1.61,1.85,1.578,1.794,43350362.13,2024-11-27 23:59:59.999,74804589.69194000,249794,22169648.90000000,38270277.95002000,0
2024-11-28,1.795,1.852,1.636,1.711,26784350.63,2024-11-28 23:59:59.999,46042612.83939000,157620,13328030.14000000,22929506.15995000,0
2024-11-29,1.711,1.775,1.692,1.747,14787515.85,2024-11-29 23:59:59.999,25582269.40450000,114509,7229697.03000000,12516130.14127000,0
2024-11-30,1.747,1.885,1.732,1.827,19251805.29,2024-11-30 23:59:59.999,34899860.65680000,156850,9765255.02000000,17699788.68412000,0
2024-12-01,1.826,1.851,1.74,1.823,17295284.93,2024-12-01 23:59:59.999,31071660.58432000,128155,8500125.17000000,15285669.92713000,0
2024-12-02,1.822,1.86,1.655,1.86,32507981.95,2024-12-02 23:59:59.999,57425939.55208000,238402,15719550.93000000,27787472.28504000,0
2024-12-03,1.86,2.08,1.804,2.012,41900280.3,2024-12-03 23:59:59.999,81097764.02136000,292658,20979998.02000000,40617343.55921000,0
2024-12-04,2.013,2.256,2.001,2.089,34701093.32,2024-12-04 23:59:59.999,73342856.73216000,269621,16923477.25000000,35804952.46611000,0
2024-12-05,2.09,2.266,1.963,2.05,30308583.22,2024-12-05 23:59:59.999,64054290.02626000,229899,14418614.38000000,30460789.61632000,0
2024-12-06,2.051,2.371,2.033,2.257,26639086.21,2024-12-06 23:59:59.999,58885508.89214000,254053,14246418.47000000,31467402.48794000,0
2024-12-07,2.258,2.308,2.131,2.166,15471940.34,2024-12-07 23:59:59.999,34019895.44375000,92178,6776188.65000000,14943432.07426000,0
2024-12-08,2.166,2.188,2.086,2.163,8827638.53,2024-12-08 23:59:59.999,18910101.94332000,65687,4293571.30000000,9202143.80489000,0
2024-12-09,2.164,2.174,1.433,1.829,33523601.91,2024-12-09 23:59:59.999,63435334.34559000,237728,15310439.92000000,28929982.55589000,0
2024-12-10,1.83,1.909,1.659,1.842,24897786.99,2024-12-10 23:59:59.999,44436975.26128000,205732,11991341.78000000,21415150.06096000,0
2024-12-11,1.842,1.938,1.756,1.907,13257156.97,2024-12-11 23:59:59.999,24748575.25513000,92107,6643833.27000000,12414222.75091000,0
2024-12-12,1.906,2.379,1.89,2.252,45780411.04,2024-12-12 23:59:59.999,100781781.43513000,331219,22816644.68000000,50232485.87396000,0
2024-12-13,2.252,2.355,2.14,2.207,21042369.49,2024-12-13 23:59:59.999,46835929.85342000,187123,10571004.47000000,23556099.00999000,0
2024-12-14,2.208,2.332,2.159,2.214,18248023.45,2024-12-14 23:59:59.999,40852304.66687000,164842,9058481.53000000,20290966.77262000,0
2024-12-15,2.215,2.433,2.158,2.382,24735978.88,2024-12-15 23:59:59.999,56407869.01380000,224640,12759896.48000000,29125154.46042000,0
2024-12-16,2.382,2.49,2.17,2.234,28553470.18,2024-12-16 23:59:59.999,65614026.75206000,258454,14785348.61000000,34019809.43022000,0
2024-12-17,2.234,2.318,2.055,2.094,19419497.72,2024-12-17 23:59:59.999,42446233.87793000,187755,9275090.05000000,20296310.01310000,0
2024-12-18,2.095,2.101,1.852,1.873,23358523.67,2024-12-18 23:59:59.999,46726771.39255000,169956,10909457.32000000,21836685.10226000,0
2024-12-19,1.872,1.912,1.525,1.606,43345747.48,2024-12-19 23:59:59.999,73790646.07098000,259876,20544864.79000000,34922417.03350000,0
2024-12-20,1.606,1.741,1.396,1.732,33810159.94,2024-12-20 23:59:59.999,52693097.49766000,179366,16559492.03000000,25910956.02128000,0
2024-12-21,1.732,1.857,1.64,1.676,15733561.01,2024-12-21 23:59:59.999,27509970.81677000,98466,7528168.13000000,13205418.70749000,0
2024-12-22,1.678,1.779,1.643,1.719,11998910.93,2024-12-22 23:59:59.999,20554146.20484000,72062,5956049.13000000,10209404.28900000,0
2024-12-23,1.719,1.85,1.665,1.804,16454463.12,2024-12-23 23:59:59.999,28614197.03904000,97347,8132788.05000000,14165385.01027000,0
2024-12-24,1.804,2.013,1.765,1.958,14941699.36,2024-12-24 23:59:59.999,27907142.40248000,98558,7670448.02000000,14365702.09441000,0
2024-12-25,1.959,1.973,1.852,1.92,8612100.8,2024-12-25 23:59:59.999,16370649.31720000,58133,4055493.66000000,7710726.02322000,0
2024-12-26,1.921,1.936,1.747,1.775,11304875.65,2024-12-26 23:59:59.999,20756882.84590000,86463,5261649.85000000,9653132.74062000,0
2024-12-27,1.775,2.005,1.759,1.901,17561503.8,2024-12-27 23:59:59.999,33529503.24268000,133248,8769481.37000000,16751509.02705000,0
2024-12-28,1.902,1.944,1.808,1.895,8676111.52,2024-12-28 23:59:59.999,16069073.96272000,70754,4516576.20000000,8370318.43860000,0
2024-12-29,1.896,1.912,1.753,1.782,6229444.6,2024-12-29 23:59:59.999,11307921.02536000,47379,2745550.61000000,4984908.90896000,0
2024-12-30,1.782,1.946,1.774,1.879,14891065.99,2024-12-30 23:59:59.999,27846293.20915000,96356,7686784.16000000,14379425.91774000,0
2024-12-31,1.88,1.905,1.736,1.745,14316538.4,2024-12-31 23:59:59.999,26011990.09585000,79599,7037061.91000000,12773485.39596000,0
2025-01-01,1.746,1.853,1.711,1.806,9766378.08,2025-01-01 23:59:59.999,17155134.09688000,60726,4618505.16000000,8119215.10655000,0
2025-01-02,1.807,1.95,1.803,1.883,10655303.9,2025-01-02 23:59:59.999,20041329.38972000,81087,4881915.57000000,9183201.28841000,0
2025-01-03,1.885,2.01,1.812,2.01,10842291.0,2025-01-03 23:59:59.999,20738409.20190000,78805,5720292.50000000,10956205.88927000,0
2025-01-04,2.009,2.097,1.971,2.06,10891303.05,2025-01-04 23:59:59.999,22141661.30771000,75025,5144392.99000000,10482875.61899000,0
2025-01-05,2.061,2.145,2.006,2.09,8729641.57,2025-01-05 23:59:59.999,17995722.47533000,65751,4481734.36000000,9245198.61129000,0
2025-01-06,2.09,2.119,2.001,2.019,11344863.08,2025-01-06 23:59:59.999,23406368.72441000,76073,5446168.76000000,11242810.30020000,0
2025-01-07,2.019,2.037,1.767,1.768,16320057.46,2025-01-07 23:59:59.999,31200048.00823000,93850,7020262.16000000,13439315.83925000,0
2025-01-08,1.767,1.799,1.575,1.651,17142979.81,2025-01-08 23:59:59.999,28935137.77352000,88393,8300945.79000000,14039415.26427000,0
2025-01-09,1.651,1.689,1.551,1.589,11307232.31,2025-01-09 23:59:59.999,18373825.95099000,64511,5724013.32000000,9308326.14656000,0
2025-01-10,1.589,1.702,1.567,1.624,10947267.36,2025-01-10 23:59:59.999,17822485.62774000,62100,4937711.98000000,8044074.32516000,0
2025-01-11,1.624,1.637,1.572,1.592,4327375.58,2025-01-11 23:59:59.999,6935953.95084000,26389,1997634.71000000,3204799.23125000,0
2025-01-12,1.593,1.608,1.537,1.561,5363848.88,2025-01-12 23:59:59.999,8464073.00139000,34926,2460377.08000000,3885778.43409000,0
2025-01-13,1.561,1.653,1.4,1.623,24158686.74,2025-01-13 23:59:59.999,36632198.11321000,146203,10837882.23000000,16494459.30991000,0
2025-01-14,1.624,1.889,1.61,1.845,16159376.75,2025-01-14 23:59:59.999,27747030.90198000,88918,7964631.17000000,13700082.74802000,0
2025-01-15,1.846,2.1,1.783,2.081,16618595.73,2025-01-15 23:59:59.999,31621312.39599000,162960,7867163.22000000,14991181.71162000,0
2025-01-16,2.081,2.136,1.938,1.966,16644874.07,2025-01-16 23:59:59.999,33953665.23590000,120920,7729753.05000000,15753592.21236000,0
2025-01-17,1.967,2.035,1.956,1.994,8292380.94,2025-01-17 23:59:59.999,16639529.76805000,62875,4317272.14000000,8671696.21422000,0
2025-01-18,1.994,2.023,1.718,1.771,14908468.85,2025-01-18 23:59:59.999,27138386.21147000,91664,7098858.63000000,12878277.55949000,0
2025-01-19,1.771,1.834,1.577,1.621,33512374.76,2025-01-19 23:59:59.999,57321769.13038000,197290,16963330.51000000,29109776.20229000,0
2025-01-20,1.621,1.953,1.555,1.823,45103237.03,2025-01-20 23:59:59.999,80695498.91735000,306935,23370220.34000000,41909352.35786000,0
2025-01-21,1.822,1.999,1.72,1.903,29144984.66,2025-01-21 23:59:59.999,54232060.74145000,159818,14769891.47000000,27455316.54222000,0
2025-01-22,1.903,2.046,1.834,1.856,22231006.9,2025-01-22 23:59:59.999,42826085.65617000,236106,11443458.15000000,22105899.10331000,0
2025-01-23,1.857,1.861,1.71,1.822,16841630.42,2025-01-23 23:59:59.999,29886184.73230000,197866,7636794.15000000,13544922.17416000,0
2025-01-24,1.823,2.114,1.791,2.003,34410550.28,2025-01-24 23:59:59.999,69321681.80296000,328654,18333645.54000000,36951772.98260000,0
2025-01-25,2.003,2.034,1.919,1.996,11812112.94,2025-01-25 23:59:59.999,23406500.01795000,144334,5721773.66000000,11349287.08309000,0
2025-01-26,1.995,2.227,1.982,2.086,24351404.76,2025-01-26 23:59:59.999,51732556.23212000,243822,12609476.53000000,26770103.65254000,0
2025-01-27,2.086,2.117,1.816,1.917,31927864.98,2025-01-27 23:59:59.999,62268588.19166000,318527,15484536.31000000,30215561.47358000,0
2025-01-28,1.917,1.973,1.755,1.779,15134980.01,2025-01-28 23:59:59.999,28392988.49983000,164309,7408787.73000000,13912156.54023000,0
2025-01-29,1.78,2.0,1.766,1.897,15884398.89,2025-01-29 23:59:59.999,29643699.20815000,202464,7900827.74000000,14730489.80478000,0
2025-01-30,1.898,2.186,1.859,2.099,23712920.15,2025-01-30 23:59:59.999,48210026.64254000,244882,12531228.84000000,25486009.79350000,0
2025-01-31,2.098,2.45,2.029,2.302,43163274.34,2025-01-31 23:59:59.999,98983557.37424000,490776,23021741.12000000,52843780.03156000,0
2025-02-01,2.302,2.349,2.035,2.038,22934003.68,2025-02-01 23:59:59.999,50595271.83068000,314125,10827029.96000000,23942196.70740000,0
2025-02-02,2.038,2.096,1.784,1.905,50417070.25,2025-02-02 23:59:59.999,98070964.95799000,640561,25104457.14000000,48920901.05053000,0
2025-02-03,1.906,1.944,1.493,1.859,101973709.71,2025-02-03 23:59:59.999,173189567.08305000,1148695,49562904.96000000,84261234.47046000,0
2025-02-04,1.859,1.927,1.627,1.708,46392518.81,2025-02-04 23:59:59.999,82849235.68991000,476795,22214068.41000000,39702726.69545000,0
2025-02-05,1.709,1.858,1.661,1.692,33115100.05,2025-02-05 23:59:59.999,58316490.94022000,319036,16116609.23000000,28425404.87915000,0
2025-02-06,1.692,1.88,1.651,1.672,29353066.66,2025-02-06 23:59:59.999,51855863.24812000,320181,14631599.23000000,25867908.82859000,0
2025-02-07,1.673,1.799,1.515,1.562,30026144.71,2025-02-07 23:59:59.999,49987715.06825000,300418,14203662.56000000,23729559.56948000,0
2025-02-08,1.562,1.592,1.466,1.528,20531051.16,2025-02-08 23:59:59.999,31099822.08410000,163537,9280678.41000000,14066144.12841000,0
2025-02-09,1.527,1.6,1.414,1.5,23651474.29,2025-02-09 23:59:59.999,35641028.89725000,187087,10289693.21000000,15588097.56878000,0
2025-02-10,1.499,1.604,1.455,1.582,19708888.16,2025-02-10 23:59:59.999,30192796.38580000,196022,10221385.55000000,15666051.26801000,0
2025-02-11,1.583,1.697,1.554,1.587,21760390.81,2025-02-11 23:59:59.999,35355758.60492000,187147,10569944.36000000,17208827.68596000,0
2025-02-12,1.586,1.822,1.461,1.744,31159434.55,2025-02-12 23:59:59.999,50392285.55833000,327797,16289868.51000000,26390208.48114000,0
2025-02-13,1.745,1.845,1.633,1.684,27289820.64,2025-02-13 23:59:59.999,47239056.78742000,272910,12435646.89000000,21526798.32270000,0
2025-02-14,1.685,1.923,1.676,1.858,22675586.23,2025-02-14 23:59:59.999,41373036.70736000,245752,11677538.58000000,21329862.27743000,0
2025-02-15,1.859,1.898,1.785,1.812,10731772.15,2025-02-15 23:59:59.999,19694728.45198000,126109,5816013.37000000,10682421.71470000,0
2025-02-16,1.812,1.864,1.762,1.785,7363764.24,2025-02-16 23:59:59.999,13281804.67687000,98625,3518375.35000000,6350133.18274000,0
2025-02-17,1.785,1.959,1.778,1.867,22657254.79,2025-02-17 23:59:59.999,42388069.74449000,271409,11270208.89000000,21075781.81217000,0
2025-02-18,1.867,1.916,1.689,1.749,21366517.15,2025-02-18 23:59:59.999,38379115.83086000,247603,9876108.78000000,17762081.33242000,0
2025-02-19,1.749,1.826,1.694,1.719,17547970.8,2025-02-19 23:59:59.999,30573534.46851000,207953,9171115.09000000,16001464.21186000,0
2025-02-20,1.719,1.816,1.687,1.779,23913312.02,2025-02-20 23:59:59.999,41820808.90935000,225426,11038901.54000000,19342826.92799000,0
2025-02-21,1.779,1.875,1.563,1.606,35047418.76,2025-02-21 23:59:59.999,60601263.52417000,347041,16238357.91000000,28176962.21990000,0
2025-02-22,1.605,1.758,1.586,1.689,17250367.61,2025-02-22 23:59:59.999,28795227.34374000,173376,7807990.31000000,13043625.45175000,0
2025-02-23,1.689,1.732,1.656,1.698,9434476.24,2025-02-23 23:59:59.999,15948932.94021000,121370,4612442.28000000,7801071.05533000,0
2025-02-24,1.699,1.726,1.396,1.411,22393016.35,2025-02-24 23:59:59.999,34812291.61056000,282098,9834339.36000000,15306085.81416000,0
2025-02-25,1.411,1.451,1.281,1.409,35229033.06,2025-02-25 23:59:59.999,48382178.16167000,419023,17534435.62000000,24105542.90418000,0
2025-02-26,1.409,1.436,1.284,1.349,21421804.62,2025-02-26 23:59:59.999,29076328.23836000,207915,10020472.36000000,13620282.58533000,0
2025-02-27,1.349,1.413,1.304,1.351,14066218.17,2025-02-27 23:59:59.999,19186129.94559000,144775,6758731.31000000,9221723.77020000,0
2025-02-28,1.351,1.356,1.171,1.27,30848904.4,2025-02-28 23:59:59.999,38208846.07616000,217833,15560071.41000000,19299035.16848000,0
2025-03-01,1.271,1.282,1.186,1.249,11897193.78,2025-03-01 23:59:59.999,14717852.92366000,101711,5968279.07000000,7385801.82624000,0
2025-03-02,1.25,1.403,1.208,1.374,25333258.63,2025-03-02 23:59:59.999,33334363.79038000,256887,13002977.21000000,17119680.32079000,0
2025-03-03,1.375,1.377,1.096,1.1,25339022.83,2025-03-03 23:59:59.999,31418190.21981000,279728,11691445.32000000,14497180.10915000,0
2025-03-04,1.101,1.112,0.962,1.082,39894561.28,2025-03-04 23:59:59.999,41556131.75424000,336432,19995708.62000000,20872291.71660000,0
2025-03-05,1.082,1.187,1.078,1.177,13824225.7,2025-03-05 23:59:59.999,15754521.10500000,105707,7101069.27000000,8097635.63044000,0
2025-03-06,1.176,1.229,1.147,1.149,11329809.79,2025-03-06 23:59:59.999,13438260.96187000,102830,5193849.33000000,6173725.66001000,0
2025-03-07,1.149,1.175,1.062,1.069,20282529.75,2025-03-07 23:59:59.999,22747805.27263000,170149,9535758.88000000,10695483.11022000,0
2025-03-08,1.069,1.087,1.032,1.07,9764637.15,2025-03-08 23:59:59.999,10334109.86901000,64342,5033689.57000000,5329271.27167000,0
2025-03-09,1.069,1.076,0.982,0.99,13688168.05,2025-03-09 23:59:59.999,14046064.36390000,82242,6961307.32000000,7145766.64298000,0
2025-03-10,0.991,1.056,0.87,0.894,24520529.54,2025-03-10 23:59:59.999,23410137.31502000,160309,12772211.21000000,12218054.22034000,0
2025-03-11,0.894,0.976,0.811,0.924,50393440.71,2025-03-11 23:59:59.999,45028852.20851000,237418,25960959.20000000,23235287.47915000,0
2025-03-12,0.924,0.96,0.872,0.92,25773832.29,2025-03-12 23:59:59.999,23591629.01025000,119104,12508411.17000000,11474804.00452000,0
2025-03-13,0.921,0.927,0.86,0.901,15036532.67,2025-03-13 23:59:59.999,13445126.85990000,79861,7560070.82000000,6767891.81693000,0
2025-03-14,0.901,0.962,0.899,0.952,16113151.69,2025-03-14 23:59:59.999,15032234.92434000,71068,7725394.46000000,7222164.74513000,0
2025-03-15,0.952,0.979,0.941,0.963,6522200.7,2025-03-15 23:59:59.999,6245219.89581000,33365,3394668.46000000,3250154.99902000,0
2025-03-16,0.963,0.964,0.903,0.922,7031944.71,2025-03-16 23:59:59.999,6524304.33688000,42798,3334052.71000000,3094563.22422000,0
2025-03-17,0.922,0.998,0.921,0.962,14620836.32,2025-03-17 23:59:59.999,14034531.28205000,68768,7407529.06000000,7113892.75647000,0
2025-03-18,0.962,0.964,0.898,0.949,10950731.23,2025-03-18 23:59:59.999,10161247.64724000,55490,5778216.54000000,5360337.93624000,0
2025-03-19,0.95,1.065,0.941,1.039,23480397.54,2025-03-19 23:59:59.999,23903426.94045000,133532,12135046.24000000,12367712.59763000,0
2025-03-20,1.039,1.044,0.988,1.02,10862844.37,2025-03-20 23:59:59.999,10982178.99631000,68180,4815026.02000000,4872591.55988000,0
2025-03-21,1.02,1.03,0.975,0.992,5766762.47,2025-03-21 23:59:59.999,5762328.67234000,41108,2984763.67000000,2984973.68642000,0
2025-03-22,0.992,1.039,0.99,1.015,5929089.24,2025-03-22 23:59:59.999,6038851.94820000,43342,2789272.54000000,2837791.26209000,0
2025-03-23,1.015,1.057,1.011,1.04,5774918.6,2025-03-23 23:59:59.999,5968623.55359000,43421,3080996.83000000,3184971.38203000,0
2025-03-24,1.039,1.09,1.016,1.074,10331965.41,2025-03-24 23:59:59.999,11012444.29607000,73817,4943338.30000000,5268710.15443000,0
2025-03-25,1.074,1.1,1.046,1.06,8517413.26,2025-03-25 23:59:59.999,9061666.80804000,60069,3984095.76000000,4242627.51202000,0
2025-03-26,1.06,1.089,1.004,1.022,8999679.61,2025-03-26 23:59:59.999,9453098.09101000,55502,4361526.89000000,4582393.62001000,0
2025-03-27,1.023,1.064,1.012,1.015,6286860.79,2025-03-27 23:59:59.999,6515686.41571000,54866,3050346.21000000,3162009.94102000,0
2025-03-28,1.014,1.03,0.906,0.928,10937098.86,2025-03-28 23:59:59.999,10398366.39012000,67543,5085523.04000000,4829190.53852000,0
2025-03-29,0.928,0.956,0.855,0.873,11245890.13,2025-03-29 23:59:59.999,10192263.89116000,61843,5258146.50000000,4761073.51262000,0
2025-03-30,0.873,0.884,0.843,0.858,6365419.95,2025-03-30 23:59:59.999,5521043.16513000,40647,3113037.57000000,2702533.67247000,0
2025-03-31,0.859,0.882,0.838,0.874,8787698.78,2025-03-31 23:59:59.999,7573557.87155000,53808,4731211.91000000,4083686.47508000,0
2025-04-01,0.873,0.92,0.871,0.899,8911202.49,2025-04-01 23:59:59.999,7988263.33334000,60805,4407403.68000000,3953671.58648000,0
2025-04-02,0.9,0.906,0.804,0.811,13609677.37,2025-04-02 23:59:59.999,11801699.39799000,100841,6529666.54000000,5656907.50967000,0
2025-04-03,0.81,0.846,0.777,0.833,10309812.21,2025-04-03 23:59:59.999,8385842.55899000,63110,4778614.27000000,3887532.79126000,0
2025-04-04,0.833,0.858,0.801,0.838,10878175.73,2025-04-04 23:59:59.999,9057468.37476000,68586,5255811.62000000,4377151.60057000,0
2025-04-05,0.838,0.848,0.815,0.826,3190810.93,2025-04-05 23:59:59.999,2653296.64694000,20703,1531069.26000000,1275180.78275000,0
2025-04-06,0.826,0.829,0.671,0.693,14690950.68,2025-04-06 23:59:59.999,10852126.81390000,82271,6334582.73000000,4673983.82539000,0
2025-04-07,0.694,0.743,0.617,0.693,33959572.55,2025-04-07 23:59:59.999,23088327.32897000,180235,17104090.30000000,11647159.66899000,0
2025-04-08,0.693,0.716,0.616,0.63,22513990.07,2025-04-08 23:59:59.999,14804278.28067000,88659,9953423.00000000,6523288.23428000,0
2025-04-09,0.63,0.741,0.611,0.74,29247907.97,2025-04-09 23:59:59.999,19747672.51044000,124637,14956113.05000000,10080838.72190000,0
2025-04-10,0.74,0.741,0.689,0.713,12144383.1,2025-04-10 23:59:59.999,8710508.37997000,53108,5865694.86000000,4212669.03772000,0
2025-04-11,0.713,0.741,0.705,0.732,9820627.92,2025-04-11 23:59:59.999,7118176.06594000,39846,5197249.15000000,3768633.34655000,0
2025-04-12,0.731,0.77,0.72,0.757,6979036.46,2025-04-12 23:59:59.999,5234382.90851000,37203,3349079.84000000,2511548.97331000,0
2025-04-13,0.757,0.775,0.703,0.721,11912708.2,2025-04-13 23:59:59.999,8791906.38390000,61625,5331239.84000000,3934990.04345000,0
2025-04-14,0.721,0.79,0.702,0.706,17317779.91,2025-04-14 23:59:59.999,12899116.17744000,103496,8810401.75000000,6571933.25135000,0
2025-04-15,0.707,0.732,0.677,0.685,12754874.81,2025-04-15 23:59:59.999,8959346.25839000,67711,6374515.09000000,4482305.11576000,0
2025-04-16,0.685,0.7,0.656,0.686,12442830.25,2025-04-16 23:59:59.999,8441500.85471000,74568,6303938.83000000,4277710.72477000,0
2025-04-17,0.685,0.71,0.67,0.683,7324595.53,2025-04-17 23:59:59.999,5052819.28894000,43013,3502664.70000000,2416832.23816000,0
2025-04-18,0.683,0.701,0.674,0.699,4971723.33,2025-04-18 23:59:59.999,3434558.12885000,24703,2415821.55000000,1669440.56414000,0
2025-04-19,0.699,0.721,0.692,0.71,5564520.79,2025-04-19 23:59:59.999,3921058.65898000,23015,2944039.67000000,2074640.57316000,0
2025-04-20,0.71,0.727,0.699,0.716,5673224.25,2025-04-20 23:59:59.999,4042019.68653000,31950,2925572.08000000,2085340.90281000,0
2025-04-21,0.716,0.752,0.704,0.713,12685045.8,2025-04-21 23:59:59.999,9309614.17347000,70985,5955768.43000000,4371057.46666000,0
2025-04-22,0.713,0.787,0.694,0.783,16693209.84,2025-04-22 23:59:59.999,12343306.04058000,94685,8548367.49000000,6321721.62396000,0
2025-04-23,0.783,0.828,0.779,0.813,19573653.75,2025-04-23 23:59:59.999,15806319.29699000,113889,9698868.93000000,7832127.80887000,0
2025-04-24,0.812,0.852,0.783,0.837,14705149.93,2025-04-24 23:59:59.999,12052856.60027000,102092,7481020.59000000,6136055.66772000,0
2025-04-25,0.837,0.868,0.812,0.854,14554744.81,2025-04-25 23:59:59.999,12336974.28262000,93633,7378755.86000000,6251450.42443000,0
2025-04-26,0.854,0.887,0.84,0.87,10550415.45,2025-04-26 23:59:59.999,9111526.54372000,78352,5100821.20000000,4407713.09407000,0
2025-04-27,0.869,0.901,0.832,0.835,9763662.55,2025-04-27 23:59:59.999,8426586.32928000,70205,4967930.01000000,4297998.31720000,0
2025-04-28,0.836,0.876,0.812,0.839,13588105.41,2025-04-28 23:59:59.999,11487490.30113000,98085,6837382.06000000,5801745.09519000,0
2025-04-29,0.839,0.868,0.815,0.827,10143606.77,2025-04-29 23:59:59.999,8599833.00354000,65858,4967610.07000000,4215579.48796000,0
2025-04-30,0.827,0.849,0.79,0.83,8591830.11,2025-04-30 23:59:59.999,7046951.05670000,61559,4349760.17000000,3570276.32693000,0
2025-05-01,0.831,0.875,0.83,0.858,9383061.51,2025-05-01 23:59:59.999,8021785.50798000,69440,4692191.90000000,4014631.40052000,0
2025-05-02,0.857,0.878,0.841,0.86,8531164.41,2025-05-02 23:59:59.999,7324387.79141000,62665,4201635.11000000,3609957.29779000,0
2025-05-03,0.86,0.862,0.802,0.822,6349283.1,2025-05-03 23:59:59.999,5266939.96413000,36814,2735662.32000000,2269716.57086000,0
2025-05-04,0.823,0.833,0.794,0.799,7397912.92,2025-05-04 23:59:59.999,6019981.63319000,47940,3535343.32000000,2876856.78409000,0
2025-05-05,0.799,0.828,0.773,0.785,7707153.64,2025-05-05 23:59:59.999,6152114.13080000,52767,4042114.63000000,3227461.61833000,0
2025-05-06,0.785,0.789,0.741,0.778,12176587.77,2025-05-06 23:59:59.999,9285823.78446000,69488,6091306.28000000,4646534.83045000,0
2025-05-07,0.778,0.801,0.754,0.78,10829318.92,2025-05-07 23:59:59.999,8430872.82834000,61391,5093460.53000000,3969593.39252000,0
2025-05-08,0.78,0.967,0.78,0.965,21440107.28,2025-05-08 23:59:59.999,18943093.40216000,147825,10885934.07000000,9610469.93523000,0
2025-05-09,0.965,1.07,0.95,1.031,27495130.06,2025-05-09 23:59:59.999,27841623.21057000,218651,13404843.76000000,13593374.19147000,0
2025-05-10,1.031,1.179,1.014,1.164,17330174.6,2025-05-10 23:59:59.999,18680471.76118000,161748,8776376.19000000,9466146.22775000,0
2025-05-11,1.164,1.179,1.073,1.098,12850802.97,2025-05-11 23:59:59.999,14396267.34509000,136741,5810201.40000000,6519618.76362000,0
2025-05-12,1.098,1.166,1.027,1.079,20046401.23,2025-05-12 23:59:59.999,22002946.44774000,197817,9373926.54000000,10309590.20671000,0
2025-05-13,1.079,1.169,1.01,1.152,18518643.12,2025-05-13 23:59:59.999,20264653.08550000,158656,9561048.72000000,10479779.73649000,0
2025-05-14,1.151,1.177,1.051,1.061,14524343.21,2025-05-14 23:59:59.999,16118784.85562000,117943,6844199.02000000,7592763.71188000,0
2025-05-15,1.061,1.078,0.968,0.989,14144882.07,2025-05-15 23:59:59.999,14303575.76756000,109798,7314566.70000000,7397045.69754000,0
