Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2024-11-17,14.53,14.9,13.56,13.78,4925533.75,2024-11-17 23:59:59.999,69837527.86800000,336676,2425259.69000000,34412888.01190000,0
2024-11-18,13.79,16.0,13.75,15.26,8507217.52,2024-11-18 23:59:59.999,127404266.56973000,469174,4338921.43000000,64997556.07503000,0
2024-11-19,15.27,15.43,14.33,14.62,4551823.82,2024-11-19 23:59:59.999,67448092.52470000,323785,2177767.91000000,32278918.48640000,0
2024-11-20,14.62,15.32,14.03,14.24,5709847.39,2024-11-20 23:59:59.999,83253123.15800000,302734,2752776.49000000,40159911.49750000,0
2024-11-21,14.24,15.38,13.83,14.89,6056901.96,2024-11-21 23:59:59.999,89308487.91300000,380364,2710652.36000000,39971634.12120000,0
2024-11-22,14.89,16.59,14.72,16.57,10260318.34,2024-11-22 23:59:59.999,158160391.76448000,602597,5252070.02000000,81139472.31878000,0
2024-11-23,16.57,18.39,16.3,17.38,11533900.71,2024-11-23 23:59:59.999,198484986.16767000,661875,5607128.18000000,96648131.78867000,0
2024-11-24,17.39,18.34,16.1,17.91,8358817.85,2024-11-24 23:59:59.999,144372803.71860000,576726,4006484.07000000,69223856.60310000,0
2024-11-25,17.91,19.06,17.14,17.34,10299574.1,2024-11-25 23:59:59.999,187158991.52597000,644341,4837280.56000000,88120636.88177000,0
2024-11-26,17.34,17.84,16.18,17.34,6811917.35,2024-11-26 23:59:59.999,116079140.69820000,477412,3212215.25000000,54735937.01890000,0
2024-11-27,17.34,19.0,16.96,18.66,7273824.08,2024-11-27 23:59:59.999,131293904.85810000,451445,3576659.27000000,64640690.58590000,0
2024-11-28,18.66,18.69,17.48,17.93,4613852.6,2024-11-28 23:59:59.999,82881000.50000000,331632,1993208.12000000,35847053.87010000,0
2024-11-29,17.94,18.41,17.52,18.24,3855567.29,2024-11-29 23:59:59.999,69377841.03610000,322158,1715027.95000000,30882931.68710000,0
2024-11-30,18.25,19.441,17.93,19.0,5052772.3,2024-11-30 23:59:59.999,94295089.27637000,378345,2546173.32000000,47593997.48067000,0
2024-12-01,19.0,19.11,18.43,18.92,4149445.38,2024-12-01 23:59:59.999,77778793.47940000,310427,2077298.30000000,38942036.03490000,0
2024-12-02,18.91,26.9,18.57,25.23,36222747.77,2024-12-02 23:59:59.999,794939892.02905000,2043248,18208605.24000000,400363522.45415000,0
2024-12-03,25.22,26.32,22.54,24.09,22028330.36,2024-12-03 23:59:59.999,539645955.98690000,1376487,10754737.26000000,263599969.71370000,0
2024-12-04,24.1,26.59,23.6,24.07,14113341.66,2024-12-04 23:59:59.999,349634191.76280000,890306,6514601.91000000,161797554.83470000,0
2024-12-05,24.07,24.82,22.41,23.15,9709163.86,2024-12-05 23:59:59.999,231864607.38150000,882039,4423174.09000000,105704671.73370000,0
2024-12-06,23.15,25.94,22.75,25.87,8541586.87,2024-12-06 23:59:59.999,206332081.72440000,770425,4229017.50000000,102366497.91510000,0
2024-12-07,25.88,26.89,24.44,24.79,6873804.42,2024-12-07 23:59:59.999,175519398.50780000,607308,3149221.26000000,80639570.86510000,0
2024-12-08,24.79,27.41,24.68,26.09,9422038.91,2024-12-08 23:59:59.999,245095876.22351000,993975,4739054.24000000,123366096.50421000,0
2024-12-09,26.09,27.36,19.56,22.25,19183245.38,2024-12-09 23:59:59.999,463136992.43490000,1644636,9348241.98000000,226178424.62690000,0
2024-12-10,22.24,23.78,20.27,22.12,15548546.65,2024-12-10 23:59:59.999,342699534.09200000,1193530,7562855.80000000,166874038.58250000,0
2024-12-11,22.11,24.33,21.14,24.07,7801029.71,2024-12-11 23:59:59.999,179963149.49070000,596727,3674677.52000000,84844945.07120000,0
2024-12-12,24.06,29.45,23.87,29.13,21001352.82,2024-12-12 23:59:59.999,583651247.24604000,1465965,10448464.91000000,290434359.28084000,0
2024-12-13,29.14,30.94,27.53,28.99,14381820.64,2024-12-13 23:59:59.999,417184765.98709000,878756,7219266.57000000,209933857.64439000,0
2024-12-14,28.99,30.77,28.71,29.12,10705069.13,2024-12-14 23:59:59.999,318524375.77640000,947124,5353052.55000000,159419778.38440000,0
2024-12-15,29.13,29.88,28.02,29.26,7150900.76,2024-12-15 23:59:59.999,207187309.30590000,559121,3504512.17000000,101580723.24700000,0
2024-12-16,29.25,30.85,28.41,28.73,11253244.27,2024-12-16 23:59:59.999,333800200.39800000,988783,5445279.81000000,161620525.06900000,0
2024-12-17,28.74,29.07,27.3,27.86,8162177.01,2024-12-17 23:59:59.999,230177861.20480000,786313,3726039.30000000,105168319.10330000,0
