Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2024-11-17,0.203,0.2114,0.1917,0.1999,12890037.6,2024-11-17 23:59:59.999,2627714.87204000,32453,6250448.00000000,1275746.59460000,0
2024-11-18,0.1997,0.207,0.195,0.206,10635103.9,2024-11-18 23:59:59.999,2148626.75760000,36120,4751998.10000000,961275.65523000,0
2024-11-19,0.2059,0.2078,0.1928,0.2002,7825113.3,2024-11-19 23:59:59.999,1579546.12104000,28620,3772864.20000000,760986.36508000,0
2024-11-20,0.2001,0.2001,0.183,0.1863,7562847.0,2024-11-20 23:59:59.999,1459794.41915000,26097,3579289.60000000,691494.74303000,0
2024-11-21,0.1861,0.2002,0.1785,0.197,9158490.1,2024-11-21 23:59:59.999,1750603.37253000,24504,4296999.50000000,821492.29105000,0
2024-11-22,0.1972,0.2025,0.1902,0.2024,6640438.6,2024-11-22 23:59:59.999,1303092.25656000,26425,3290675.10000000,646233.26199000,0
2024-11-23,0.2023,0.2259,0.2002,0.2188,14568984.3,2024-11-23 23:59:59.999,3131825.37786000,48845,7387359.90000000,1589809.29829000,0
2024-11-24,0.2188,0.2505,0.2101,0.2489,24336372.9,2024-11-24 23:59:59.999,5604186.44654000,71760,12703976.50000000,2930208.05051000,0
2024-11-25,0.2493,0.2555,0.2283,0.2347,17705375.2,2024-11-25 23:59:59.999,4301137.59617000,56978,8369376.40000000,2034388.63083000,0
2024-11-26,0.2345,0.2448,0.2115,0.2227,10857411.7,2024-11-26 23:59:59.999,2440144.06445000,40347,5255090.10000000,1179294.65568000,0
2024-11-27,0.2226,0.244,0.2184,0.2397,10354466.1,2024-11-27 23:59:59.999,2404441.70514000,38377,5043035.80000000,1173298.92972000,0
2024-11-28,0.2397,0.2491,0.2325,0.2434,8571824.8,2024-11-28 23:59:59.999,2056377.36841000,27049,4257967.70000000,1022800.70441000,0
2024-11-29,0.2438,0.2511,0.2344,0.2481,6631424.3,2024-11-29 23:59:59.999,1620691.12934000,19587,3291306.80000000,804264.32318000,0
2024-11-30,0.2479,0.2648,0.244,0.2611,9336572.1,2024-11-30 23:59:59.999,2398229.09773000,32327,4722372.70000000,1213778.37644000,0
2024-12-01,0.2609,0.2708,0.254,0.2639,7259692.7,2024-12-01 23:59:59.999,1906302.42308000,25339,3491619.50000000,917109.26867000,0
2024-12-02,0.2641,0.2733,0.2463,0.2732,11640714.3,2024-12-02 23:59:59.999,3022829.38298000,45593,5703197.90000000,1482908.88015000,0
2024-12-03,0.2731,0.2964,0.2599,0.2939,15409364.0,2024-12-03 23:59:59.999,4318099.82519000,60535,7990711.50000000,2241220.07505000,0
2024-12-04,0.2938,0.3069,0.2853,0.297,13834930.2,2024-12-04 23:59:59.999,4122671.72169000,53774,7084185.40000000,2111187.64074000,0
2024-12-05,0.2972,0.3068,0.2797,0.2988,13067573.7,2024-12-05 23:59:59.999,3890610.68812000,61467,6247554.90000000,1859248.85558000,0
2024-12-06,0.2986,0.3205,0.2923,0.311,14094946.4,2024-12-06 23:59:59.999,4349943.18561000,47091,7027671.60000000,2170014.10283000,0
2024-12-07,0.3112,0.3164,0.3,0.3034,5654682.5,2024-12-07 23:59:59.999,1743295.34292000,24087,2403669.10000000,741460.45365000,0
2024-12-08,0.3029,0.3457,0.2939,0.3342,35641949.7,2024-12-08 23:59:59.999,11613126.14203000,100369,18904432.10000000,6157923.89898000,0
2024-12-09,0.3345,0.3396,0.245,0.2776,32636224.2,2024-12-09 23:59:59.999,10006470.14960000,93688,15651486.50000000,4816346.04775000,0
2024-12-10,0.2773,0.2958,0.2516,0.2792,14905293.6,2024-12-10 23:59:59.999,4108808.16912000,59074,6972712.50000000,1923914.22219000,0
2024-12-11,0.2791,0.2944,0.2651,0.2897,10730974.7,2024-12-11 23:59:59.999,3043564.96632000,46502,4953334.50000000,1404625.88223000,0
2024-12-12,0.2897,0.3053,0.2863,0.3,7858999.0,2024-12-12 23:59:59.999,2340877.13684000,43363,3857160.10000000,1148810.40254000,0
2024-12-13,0.3001,0.3188,0.2916,0.3111,10700298.3,2024-12-13 23:59:59.999,3293570.22701000,50437,5416693.60000000,1667739.09373000,0
2024-12-14,0.3111,0.3169,0.283,0.2902,6708603.9,2024-12-14 23:59:59.999,2016858.19923000,32213,3214940.20000000,966110.68347000,0
2024-12-15,0.2902,0.3002,0.2787,0.2994,5007766.9,2024-12-15 23:59:59.999,1448331.07772000,24602,2385112.00000000,690453.19562000,0
2024-12-16,0.2992,0.3068,0.2769,0.2827,5188635.9,2024-12-16 23:59:59.999,1500490.90551000,27237,2239472.50000000,646500.20803000,0
2024-12-17,0.2827,0.2883,0.2625,0.2655,5409891.0,2024-12-17 23:59:59.999,1503019.62813000,22372,2675840.70000000,743539.79916000,0
2024-12-18,0.2657,0.2673,0.2233,0.2316,13113105.5,2024-12-18 23:59:59.999,3188678.08353000,49118,6650139.50000000,1621725.78357000,0
2024-12-19,0.2314,0.2362,0.2007,0.2101,12036862.0,2024-12-19 23:59:59.999,2649332.34744000,44175,5934592.00000000,1305231.29849000,0
2024-12-20,0.2102,0.2252,0.1873,0.2236,14418419.8,2024-12-20 23:59:59.999,3011063.38041000,42778,7264209.30000000,1519691.97293000,0
2024-12-21,0.2236,0.2416,0.2066,0.2102,11399086.6,2024-12-21 23:59:59.999,2542067.86402000,35737,5734905.50000000,1278162.74189000,0
2024-12-22,0.2105,0.215,0.1985,0.2049,7447974.8,2024-12-22 23:59:59.999,1557193.65970000,27160,3643626.70000000,762113.99802000,0
2024-12-23,0.2048,0.2259,0.1992,0.2223,6939430.7,2024-12-23 23:59:59.999,1469307.91541000,24637,3366619.80000000,711943.06679000,0
2024-12-24,0.2222,0.2367,0.216,0.2328,6127815.7,2024-12-24 23:59:59.999,1380011.33785000,19433,2782727.20000000,625857.60754000,0
2024-12-25,0.2326,0.2361,0.2249,0.2294,3931754.5,2024-12-25 23:59:59.999,908705.11434000,15746,1959885.00000000,453234.48906000,0
2024-12-26,0.2294,0.2308,0.2088,0.2127,4115668.9,2024-12-26 23:59:59.999,893465.99102000,11113,1943589.60000000,422137.12711000,0
2024-12-27,0.2125,0.2273,0.2107,0.2195,5524640.2,2024-12-27 23:59:59.999,1211659.94944000,15254,2848019.60000000,624199.40142000,0
2024-12-28,0.2194,0.2321,0.217,0.2303,13514063.6,2024-12-28 23:59:59.999,3035347.12240000,24808,6281367.20000000,1414376.98301000,0
2024-12-29,0.2305,0.233,0.2194,0.2225,3038640.8,2024-12-29 23:59:59.999,691869.62904000,7987,1382848.30000000,315832.86834000,0
