Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2024-11-17,0.1731,0.2174,0.1616,0.1729,212198769.0,2024-11-17 23:59:59.999,40171979.37200000,227099,102410674.00000000,19413341.04320000,0
2024-11-18,0.173,0.214,0.1726,0.1886,136695029.0,2024-11-18 23:59:59.999,26328511.14290000,148149,66014441.00000000,12726481.20870000,0
2024-11-19,0.1886,0.1909,0.1759,0.1802,34931820.0,2024-11-19 23:59:59.999,6422658.94100000,39658,14137822.00000000,2603946.05720000,0
2024-11-20,0.1803,0.1803,0.1673,0.1723,21377865.0,2024-11-20 23:59:59.999,3730788.44650000,31033,10220211.00000000,1785232.31890000,0
2024-11-21,0.1724,0.1863,0.1678,0.1819,30890250.0,2024-11-21 23:59:59.999,5495604.91730000,45979,14614922.00000000,2605202.85010000,0
2024-11-22,0.182,0.1899,0.1748,0.1893,26795051.0,2024-11-22 23:59:59.999,4863344.75280000,34175,13459622.00000000,2446446.24480000,0
2024-11-23,0.1894,0.2119,0.1865,0.2069,54874393.0,2024-11-23 23:59:59.999,11017995.64320000,69693,26387166.00000000,5297118.49860000,0
2024-11-24,0.2068,0.2635,0.2051,0.2344,163079623.0,2024-11-24 23:59:59.999,37946366.48140000,209702,83312361.00000000,19410362.89880000,0
2024-11-25,0.2346,0.2376,0.2149,0.22,58278130.0,2024-11-25 23:59:59.999,13266166.03900000,73462,27500053.00000000,6268161.18700000,0
2024-11-26,0.2199,0.2285,0.2035,0.2153,48313156.0,2024-11-26 23:59:59.999,10338971.15360000,60676,23296547.00000000,4984572.02540000,0
2024-11-27,0.2149,0.2375,0.2111,0.2365,41003383.0,2024-11-27 23:59:59.999,9149062.04100000,53378,20797244.00000000,4636677.31110000,0
2024-11-28,0.2365,0.2395,0.2237,0.233,40304022.0,2024-11-28 23:59:59.999,9333747.81170000,49280,19797409.00000000,4584428.06120000,0
2024-11-29,0.2332,0.2419,0.2256,0.2404,23375322.0,2024-11-29 23:59:59.999,5466348.31850000,29977,11460531.00000000,2680587.70820000,0
2024-11-30,0.2404,0.2522,0.2337,0.2456,66028943.0,2024-11-30 23:59:59.999,15956903.98440000,101232,32594509.00000000,7888286.70350000,0
2024-12-01,0.2457,0.2475,0.2356,0.2419,37844412.0,2024-12-01 23:59:59.999,9161941.76340000,56792,18802400.00000000,4554428.53590000,0
2024-12-02,0.2421,0.2566,0.2248,0.2555,95964083.0,2024-12-02 23:59:59.999,22804768.09050000,135610,47438218.00000000,11287013.23700000,0
2024-12-03,0.2555,0.3,0.252,0.2951,107892637.0,2024-12-03 23:59:59.999,29244161.46790000,157502,53900531.00000000,14620886.14090000,0
2024-12-04,0.2953,0.3338,0.2846,0.3155,111429054.0,2024-12-04 23:59:59.999,34461227.45500000,162651,55785133.00000000,17252909.09980000,0
2024-12-05,0.3156,0.3263,0.2977,0.3108,66785544.0,2024-12-05 23:59:59.999,20650995.94390000,113090,31521275.00000000,9749540.39230000,0
2024-12-06,0.3107,0.3284,0.3009,0.3197,56864417.0,2024-12-06 23:59:59.999,17998108.90050000,104291,28706305.00000000,9093951.14400000,0
