Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2024-11-17,0.00011656,0.00011695,0.0001062,0.0001079,235659595769.02,2024-11-17 23:59:59.999,26228612.43902032,255114,114177239106.16000000,12718905.81646180,0
2024-11-18,0.00010789,0.0001129,0.00010687,0.00011252,152596191301.11,2024-11-18 23:59:59.999,16808253.68354710,134859,75280073292.21000000,8299982.73140498,0
2024-11-19,0.00011252,0.00011256,0.00010549,0.00010848,121134758606.36,2024-11-19 23:59:59.999,13182305.17169705,111988,52892575819.43000000,5762332.08692046,0
2024-11-20,0.00010849,0.00010882,0.00010219,0.00010381,111871612835.74,2024-11-20 23:59:59.999,11838995.88597480,120017,52199641149.59000000,5525416.60359361,0
2024-11-21,0.00010381,0.00011356,0.00010121,0.00011021,170616136836.69,2024-11-21 23:59:59.999,18465612.46672098,155117,84301978123.48000000,9122662.97306156,0
2024-11-22,0.00011029,0.00011848,0.00010921,0.00011728,280644780920.59,2024-11-22 23:59:59.999,31834783.49919484,238940,131909254351.58000000,14986428.72141198,0
2024-11-23,0.00011738,0.00012393,0.0001148,0.00012144,265757196006.02,2024-11-23 23:59:59.999,31718070.70458100,248167,131278059707.76000000,15687554.74513044,0
2024-11-24,0.00012147,0.00012945,0.00011464,0.00012548,283106730867.42,2024-11-24 23:59:59.999,34702726.95401863,300793,141008146313.52000000,17299757.17197456,0
2024-11-25,0.00012549,0.00012689,0.0001155,0.00011753,189624126473.68,2024-11-25 23:59:59.999,23205124.33481102,189771,90796294117.27000000,11120376.82527881,0
2024-11-26,0.00011754,0.00012138,0.00011043,0.00011648,149306734439.69,2024-11-26 23:59:59.999,17226691.08800690,155632,71232250188.77000000,8223634.32153211,0
2024-11-27,0.00011648,0.00012262,0.00011455,0.00012212,98224587182.73,2024-11-27 23:59:59.999,11626643.52037254,98312,47231113775.81000000,5592895.32153923,0
2024-11-28,0.00012212,0.00012392,0.00011551,0.00012114,123427395429.88,2024-11-28 23:59:59.999,14799025.70491854,120942,62316425905.20000000,7475124.45107784,0
2024-11-29,0.00012116,0.00012665,0.00011825,0.00012523,135812288966.16,2024-11-29 23:59:59.999,16684922.40051551,120882,66404565518.48000000,8168776.62910944,0
2024-11-30,0.00012518,0.00013748,0.000122,0.00013391,279540205164.78,2024-11-30 23:59:59.999,36378942.45684281,278786,142921464983.54000000,18643312.72134138,0
2024-12-01,0.00013391,0.00013962,0.00012905,0.00013226,232474562282.27,2024-12-01 23:59:59.999,31107393.06284654,225593,110955243453.21000000,14862534.86654214,0
2024-12-02,0.00013224,0.00014861,0.0001246,0.00014269,367253277944.97,2024-12-02 23:59:59.999,49621029.64784672,397540,184568478449.09000000,24983770.33337302,0
2024-12-03,0.00014273,0.000168,0.00014048,0.00016266,617502371365.16,2024-12-03 23:59:59.999,95967164.89802926,667140,310415004348.23000000,48336790.01133567,0
2024-12-04,0.00016274,0.0001798,0.0001568,0.00016275,353717624641.43,2024-12-04 23:59:59.999,59333771.97675120,478064,175796086753.47000000,29528410.79503880,0
