Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2024-11-17,0.4358,0.4363,0.3826,0.392,38537963.0,2024-11-17 23:59:59.999,15546787.44930000,74139,17843101.00000000,7191555.68820000,0
2024-11-18,0.3918,0.4295,0.387,0.4151,34779903.0,2024-11-18 23:59:59.999,14297843.65860000,71143,16754493.00000000,6891582.99200000,0
2024-11-19,0.4152,0.4218,0.3929,0.4084,17613554.0,2024-11-19 23:59:59.999,7151589.15290000,38947,8368948.00000000,3400127.48380000,0
2024-11-20,0.4082,0.4167,0.3817,0.3957,19813890.0,2024-11-20 23:59:59.999,7896759.14150000,45679,9600505.00000000,3827683.19850000,0
2024-11-21,0.3956,0.4152,0.3842,0.4138,24944026.0,2024-11-21 23:59:59.999,10033649.35190000,60724,11637413.00000000,4681484.05550000,0
2024-11-22,0.4139,0.4562,0.4043,0.4537,42024970.0,2024-11-22 23:59:59.999,17979255.52490000,90906,22087055.00000000,9467744.43570000,0
2024-11-23,0.4537,0.5566,0.4484,0.5274,101742302.0,2024-11-23 23:59:59.999,51174607.57880000,285411,50695084.00000000,25511789.56750000,0
2024-11-24,0.5273,0.7756,0.5168,0.7263,296125807.0,2024-11-24 23:59:59.999,191725422.52600000,973807,149297432.00000000,96737393.23010000,0
2024-11-25,0.7266,0.782,0.6155,0.6291,186091594.0,2024-11-25 23:59:59.999,128964716.76230000,540748,92797419.00000000,64396717.37050000,0
2024-11-26,0.6288,0.6399,0.5617,0.5844,68172058.0,2024-11-26 23:59:59.999,40594241.74160000,207336,32845731.00000000,19560647.46740000,0
2024-11-27,0.5842,0.6248,0.5627,0.6088,51310166.0,2024-11-27 23:59:59.999,30570229.87630000,150139,23815000.00000000,14197585.39360000,0
2024-11-28,0.6089,0.6248,0.5784,0.6198,31778541.0,2024-11-28 23:59:59.999,18982458.13280000,80281,15450151.00000000,9231046.30930000,0
2024-11-29,0.6198,0.6524,0.6077,0.6428,52969392.0,2024-11-29 23:59:59.999,33492068.65410000,131387,26270614.00000000,16615403.63420000,0
2024-11-30,0.6427,0.6677,0.6205,0.6505,43587624.0,2024-11-30 23:59:59.999,28071693.66840000,112332,20683840.00000000,13328718.82320000,0
2024-12-01,0.6506,0.6597,0.6176,0.6513,33286486.0,2024-12-01 23:59:59.999,21309200.21780000,86927,16276911.00000000,10423883.76190000,0
2024-12-02,0.6513,0.6834,0.596,0.6724,61373963.0,2024-12-02 23:59:59.999,38947172.38460000,177785,29393023.00000000,18635517.41570000,0
2024-12-03,0.6725,0.7726,0.6264,0.6992,135814787.0,2024-12-03 23:59:59.999,95311677.75150000,413444,68322641.00000000,48002264.61510000,0
2024-12-04,0.6994,0.8556,0.6832,0.7798,172846474.0,2024-12-04 23:59:59.999,134620986.09120000,539678,87029442.00000000,67830654.83380000,0
2024-12-05,0.7796,0.7961,0.7258,0.7415,81710640.0,2024-12-05 23:59:59.999,62578862.35950000,294762,39377736.00000000,30189411.31780000,0
2024-12-06,0.7416,0.7831,0.7167,0.7736,50897330.0,2024-12-06 23:59:59.999,38402986.06920000,184311,25052013.00000000,18920224.98140000,0
2024-12-07,0.7736,0.7815,0.7361,0.7551,26584711.0,2024-12-07 23:59:59.999,20122953.65860000,96129,12687269.00000000,9603446.04000000,0
2024-12-08,0.7555,0.7736,0.7231,0.7407,23830092.0,2024-12-08 23:59:59.999,17742992.76500000,84078,11417694.00000000,8508748.64860000,0
2024-12-09,0.7407,0.7407,0.5236,0.6026,65151532.0,2024-12-09 23:59:59.999,41845388.21850000,235463,32160082.00000000,20652514.86230000,0
2024-12-10,0.6025,0.6208,0.5291,0.5928,55233151.0,2024-12-10 23:59:59.999,31913691.71020000,166976,27213513.00000000,15726530.91550000,0
2024-12-11,0.5928,0.668,0.5666,0.6541,31301655.0,2024-12-11 23:59:59.999,19408301.57840000,105113,15491509.00000000,9611563.05620000,0
2024-12-12,0.654,0.6881,0.6283,0.6406,30105858.0,2024-12-12 23:59:59.999,19795222.03870000,108087,15033031.00000000,9892396.04590000,0
2024-12-13,0.6405,0.652,0.6203,0.6445,20453312.0,2024-12-13 23:59:59.999,13041950.53710000,69158,10173613.00000000,6487860.78710000,0
2024-12-14,0.6445,0.6509,0.5948,0.607,14944703.0,2024-12-14 23:59:59.999,9255612.68670000,52668,7291045.00000000,4520757.14140000,0
2024-12-15,0.607,0.6416,0.5946,0.6314,15879481.0,2024-12-15 23:59:59.999,9859509.55120000,55778,7944524.00000000,4931123.03490000,0
2024-12-16,0.6315,0.645,0.5876,0.6025,19189263.0,2024-12-16 23:59:59.999,11752556.70600000,64765,9531136.00000000,5836513.05360000,0
2024-12-17,0.6025,0.6159,0.5661,0.5743,17375018.0,2024-12-17 23:59:59.999,10326995.07600000,58622,8261918.00000000,4909995.60220000,0
2024-12-18,0.5743,0.5804,0.51,0.5185,29327197.0,2024-12-18 23:59:59.999,16165261.91060000,100851,14809863.00000000,8161933.28770000,0
2024-12-19,0.5184,0.5376,0.4618,0.4817,39703762.0,2024-12-19 23:59:59.999,19803521.32560000,122382,20113141.00000000,10037377.71030000,0
2024-12-20,0.482,0.5114,0.4159,0.5053,44765235.0,2024-12-20 23:59:59.999,20741453.69710000,127865,23118287.00000000,10738051.44010000,0
