Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2024-11-17,3.053,3.053,2.82,2.88,2893513.3,2024-11-17 23:59:59.999,8397641.81640000,46620,1335094.00000000,3874620.50730000,0
2024-11-18,2.878,3.015,2.847,2.964,3024111.8,2024-11-18 23:59:59.999,8898922.57480000,42792,1429605.00000000,4208249.13710000,0
2024-11-19,2.965,3.099,2.921,2.98,3296867.6,2024-11-19 23:59:59.999,9884952.26180000,46484,1638570.80000000,4917706.04470000,0
2024-11-20,2.977,3.22,2.811,2.911,8012932.1,2024-11-20 23:59:59.999,24134112.75450000,102837,3955868.30000000,11946445.61400000,0
2024-11-21,2.911,3.006,2.77,2.992,3387266.2,2024-11-21 23:59:59.999,9840653.83650000,40398,1325711.00000000,3853468.62190000,0
2024-11-22,2.99,3.106,2.867,3.103,3566927.7,2024-11-22 23:59:59.999,10639026.07940000,48295,1732160.80000000,5176569.56200000,0
2024-11-23,3.104,3.223,2.9,3.197,9713496.9,2024-11-23 23:59:59.999,30140432.49870000,118491,4833617.80000000,15023345.61430000,0
2024-11-24,3.198,3.424,3.026,3.316,8356670.2,2024-11-24 23:59:59.999,26970581.59520000,100785,3826066.30000000,12361930.46410000,0
2024-11-25,3.318,3.346,3.076,3.158,5181876.2,2024-11-25 23:59:59.999,16828974.46900000,63162,2473661.00000000,8030832.27650000,0
2024-11-26,3.156,3.435,3.016,3.382,6033650.9,2024-11-26 23:59:59.999,19402962.56630000,79255,3022550.60000000,9748351.98510000,0
2024-11-27,3.38,3.783,3.261,3.53,15592609.0,2024-11-27 23:59:59.999,54971797.57810000,206132,7878318.20000000,27792323.53560000,0
2024-11-28,3.531,3.724,3.396,3.695,6061505.6,2024-11-28 23:59:59.999,21706958.92990000,83159,3054197.90000000,10952673.77250000,0
2024-11-29,3.696,3.853,3.545,3.736,3924993.5,2024-11-29 23:59:59.999,14473368.32220000,52714,1782100.90000000,6574506.81990000,0
2024-11-30,3.737,3.887,3.62,3.728,4384442.8,2024-11-30 23:59:59.999,16385805.06500000,60872,2142994.50000000,8011673.76500000,0
2024-12-01,3.728,3.96,3.615,3.824,4871840.1,2024-12-01 23:59:59.999,18625356.84680000,69181,2308406.60000000,8829377.03210000,0
2024-12-02,3.823,3.873,3.461,3.775,6142229.9,2024-12-02 23:59:59.999,22389830.95780000,82594,2936406.40000000,10692934.15470000,0
2024-12-03,3.776,4.199,3.744,4.177,10132519.1,2024-12-03 23:59:59.999,39863848.86400000,178344,4817486.60000000,18961082.26310000,0
2024-12-04,4.178,4.314,4.037,4.169,6803677.6,2024-12-04 23:59:59.999,28318167.69680000,100267,3479254.10000000,14487812.06660000,0
2024-12-05,4.17,4.255,3.924,4.069,6014021.5,2024-12-05 23:59:59.999,24628877.83570000,93439,3002949.70000000,12303226.62370000,0
2024-12-06,4.068,4.419,3.998,4.321,5427088.4,2024-12-06 23:59:59.999,22811301.65090000,106373,2836672.50000000,11930239.87320000,0
2024-12-07,4.322,4.466,4.253,4.401,3051103.2,2024-12-07 23:59:59.999,13254045.23470000,61471,1534111.20000000,6666469.94600000,0
2024-12-08,4.402,4.402,4.166,4.281,1700816.4,2024-12-08 23:59:59.999,7217316.44920000,39597,840577.20000000,3564849.76150000,0
2024-12-09,4.282,4.283,2.8,3.399,7911499.3,2024-12-09 23:59:59.999,28317204.32430000,148662,4147876.80000000,14771131.55230000,0
2024-12-10,3.4,3.45,3.116,3.42,5970603.7,2024-12-10 23:59:59.999,19469403.60880000,98802,2991135.20000000,9767825.33980000,0
2024-12-11,3.416,3.883,3.278,3.877,5424621.5,2024-12-11 23:59:59.999,19186661.68900000,75847,2833304.20000000,10032930.96240000,0
2024-12-12,3.876,4.345,3.827,4.283,11324985.7,2024-12-12 23:59:59.999,46828085.64440000,220883,5869940.90000000,24297480.98490000,0
2024-12-13,4.283,4.727,4.09,4.574,10389161.5,2024-12-13 23:59:59.999,45915952.52090000,206762,5497177.10000000,24311482.56680000,0
2024-12-14,4.574,4.748,3.745,3.829,12887222.5,2024-12-14 23:59:59.999,54940042.77580000,211488,6708830.60000000,28555578.18150000,0
2024-12-15,3.828,3.833,3.51,3.678,13743992.7,2024-12-15 23:59:59.999,50357104.84400000,205635,6378564.00000000,23385910.72970000,0
2024-12-16,3.679,3.707,3.527,3.556,6768725.9,2024-12-16 23:59:59.999,24251725.37210000,105168,2752803.50000000,9868989.09820000,0
2024-12-17,3.556,3.678,3.248,3.327,5595931.6,2024-12-17 23:59:59.999,19712084.55230000,94950,2741355.90000000,9672915.46910000,0
2024-12-18,3.328,3.463,3.177,3.193,6398325.4,2024-12-18 23:59:59.999,21110353.24620000,115970,3199252.60000000,10560112.90060000,0
2024-12-19,3.194,3.329,2.867,2.94,7693095.6,2024-12-19 23:59:59.999,23746486.65110000,131423,3776636.30000000,11667809.33370000,0
2024-12-20,2.94,3.106,2.562,3.101,6475190.8,2024-12-20 23:59:59.999,18266095.79620000,101018,3135612.70000000,8863250.94530000,0
2024-12-21,3.1,3.265,2.96,3.028,3075174.3,2024-12-21 23:59:59.999,9486590.87810000,56955,1641284.50000000,5065462.10210000,0
2024-12-22,3.029,3.15,2.929,3.012,2361126.4,2024-12-22 23:59:59.999,7146727.75400000,46887,1153097.60000000,3491748.18550000,0
2024-12-23,3.011,3.214,2.933,3.166,2381342.3,2024-12-23 23:59:59.999,7275600.37860000,40419,1200947.00000000,3670277.35840000,0
2024-12-24,3.167,3.274,3.079,3.242,2838322.3,2024-12-24 23:59:59.999,9052963.95880000,42794,1421078.60000000,4532482.50570000,0
2024-12-25,3.241,3.31,3.131,3.158,1409386.8,2024-12-25 23:59:59.999,4535132.30330000,27983,765368.30000000,2465030.78940000,0
2024-12-26,3.159,3.188,2.896,2.939,1438221.2,2024-12-26 23:59:59.999,4327343.62490000,27068,738219.00000000,2222425.35730000,0
2024-12-27,2.94,3.121,2.915,2.986,1648076.4,2024-12-27 23:59:59.999,4955417.94380000,38414,822058.20000000,2472193.24340000,0
2024-12-28,2.986,3.098,2.955,3.079,1118743.6,2024-12-28 23:59:59.999,3374855.38240000,26555,543649.00000000,1641205.50580000,0
2024-12-29,3.08,3.088,2.938,2.973,676470.2,2024-12-29 23:59:59.999,2041334.99530000,15190,355661.00000000,1072986.77810000,0
2024-12-30,2.973,3.065,2.842,2.904,1347018.8,2024-12-30 23:59:59.999,3988406.25160000,29575,657564.20000000,1945251.00410000,0
2024-12-31,2.904,3.058,2.825,3.018,1199766.2,2024-12-31 23:59:59.999,3539911.12710000,24629,650725.80000000,1919507.18930000,0
2025-01-01,3.017,3.125,2.815,2.991,2380496.0,2025-01-01 23:59:59.999,7088226.68930000,48778,1182383.40000000,3526132.84190000,0
2025-01-02,2.991,3.083,2.981,3.052,1186031.8,2025-01-02 23:59:59.999,3591833.89790000,24989,577124.70000000,1748724.27760000,0
2025-01-03,3.052,3.206,2.998,3.199,1226674.7,2025-01-03 23:59:59.999,3814522.65360000,30286,602796.20000000,1876740.23840000,0
2025-01-04,3.2,3.24,3.115,3.175,1397755.7,2025-01-04 23:59:59.999,4441581.36890000,27399,664286.30000000,2114135.36410000,0
2025-01-05,3.175,3.219,3.112,3.2,846488.8,2025-01-05 23:59:59.999,2679324.21480000,22371,492706.20000000,1560096.12150000,0
2025-01-06,3.201,3.289,3.143,3.209,1074362.5,2025-01-06 23:59:59.999,3453587.36840000,23542,619172.30000000,1990546.38120000,0
2025-01-07,3.209,3.209,2.841,2.844,2008062.5,2025-01-07 23:59:59.999,6064222.21270000,39990,1002828.80000000,3024728.80820000,0
2025-01-08,2.845,2.878,2.653,2.78,1529997.8,2025-01-08 23:59:59.999,4216315.62310000,37222,791556.60000000,2181249.21540000,0
2025-01-09,2.78,2.878,2.718,2.802,1754650.1,2025-01-09 23:59:59.999,4936740.26820000,39557,858510.60000000,2417698.66920000,0
2025-01-10,2.801,2.849,2.703,2.817,1269776.7,2025-01-10 23:59:59.999,3529128.59410000,25876,615958.50000000,1712635.22070000,0
2025-01-11,2.816,2.823,2.735,2.781,1229355.9,2025-01-11 23:59:59.999,3416663.07140000,32846,515894.70000000,1432233.08650000,0
