Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2024-09-19,0.4418,0.4791,0.4418,0.4626,13382188.9,2024-09-19 23:59:59.999,6246963.02609000,42240,6891783.40000000,3219654.13356000,0
2024-09-20,0.4626,0.4975,0.4626,0.4877,10378603.0,2024-09-20 23:59:59.999,4972226.60135000,31988,5178624.20000000,2479178.35358000,0
2024-09-21,0.4877,0.504,0.4767,0.4988,5915116.8,2024-09-21 23:59:59.999,2889700.15773000,20912,2845210.00000000,1392256.34522000,0
2024-09-22,0.4984,0.5129,0.4676,0.4804,7407754.3,2024-09-22 23:59:59.999,3606240.03950000,25037,3524448.70000000,1721517.80927000,0
2024-09-23,0.4807,0.4985,0.4711,0.4903,6196329.4,2024-09-23 23:59:59.999,3031877.18098000,21837,2884341.70000000,1410453.01789000,0
2024-09-24,0.4904,0.5393,0.4812,0.5323,8680330.4,2024-09-24 23:59:59.999,4400998.66894000,34023,4662200.80000000,2371747.14515000,0
2024-09-25,0.5323,0.57,0.531,0.5337,14940503.7,2024-09-25 23:59:59.999,8209426.02723000,63273,6991565.50000000,3846488.95482000,0
2024-09-26,0.5339,0.5564,0.519,0.5484,8741390.3,2024-09-26 23:59:59.999,4725604.58189000,37345,4246424.10000000,2295329.08598000,0
2024-09-27,0.548,0.5629,0.5397,0.5505,7654552.5,2024-09-27 23:59:59.999,4214409.65161000,34546,3491875.30000000,1923546.81080000,0
2024-09-28,0.5502,0.5521,0.5254,0.5435,4513927.8,2024-09-28 23:59:59.999,2436387.07829000,19710,1963185.00000000,1059620.29219000,0
2024-09-29,0.5436,0.6453,0.531,0.6123,30353466.0,2024-09-29 23:59:59.999,18323371.89532000,112911,15927076.50000000,9625590.22896000,0
2024-09-30,0.6124,0.62,0.5512,0.5574,17582149.4,2024-09-30 23:59:59.999,10401447.00143000,64106,7719020.40000000,4571162.58205000,0
2024-10-01,0.5573,0.5961,0.4975,0.5133,15252429.0,2024-10-01 23:59:59.999,8385833.82385000,62615,7381131.10000000,4067820.99201000,0
2024-10-02,0.513,0.5606,0.4957,0.5078,10506846.3,2024-10-02 23:59:59.999,5529468.42164000,49340,5062924.50000000,2665132.29460000,0
2024-10-03,0.5078,0.5231,0.4702,0.4871,10090408.8,2024-10-03 23:59:59.999,4952369.47479000,43434,4729322.10000000,2324733.93570000,0
2024-10-04,0.4872,0.5324,0.4812,0.5193,6660339.5,2024-10-04 23:59:59.999,3392594.10965000,28080,3264871.00000000,1661718.59076000,0
2024-10-05,0.5192,0.539,0.5073,0.5186,5536191.6,2024-10-05 23:59:59.999,2884092.62052000,22854,2590392.20000000,1351487.95241000,0
2024-10-06,0.5189,0.5385,0.5135,0.5313,4847534.0,2024-10-06 23:59:59.999,2559289.43928000,25691,2359238.70000000,1246382.22083000,0
2024-10-07,0.5315,0.5569,0.5212,0.5289,10459617.6,2024-10-07 23:59:59.999,5641217.17758000,55897,5184305.20000000,2798584.63525000,0
2024-10-08,0.5295,0.5421,0.5177,0.5223,6552379.3,2024-10-08 23:59:59.999,3468414.35273000,30581,3125134.90000000,1655049.94124000,0
2024-10-09,0.5222,0.5294,0.482,0.4906,7016370.6,2024-10-09 23:59:59.999,3548535.19851000,31106,3520863.30000000,1782359.35902000,0
2024-10-10,0.4906,0.5063,0.4777,0.4962,7057469.8,2024-10-10 23:59:59.999,3480275.59889000,33365,3624750.50000000,1788308.15810000,0
2024-10-11,0.496,0.5236,0.49,0.5142,5871092.2,2024-10-11 23:59:59.999,2989368.84282000,20208,2719136.30000000,1382647.26876000,0
2024-10-12,0.5142,0.5415,0.5136,0.5364,9017339.5,2024-10-12 23:59:59.999,4790090.13791000,32885,4345958.00000000,2309091.65725000,0
2024-10-13,0.5366,0.6017,0.5366,0.5757,34001201.7,2024-10-13 23:59:59.999,19554901.80212000,135083,17687707.40000000,10174484.61456000,0
2024-10-14,0.5759,0.6128,0.5693,0.5923,20630288.7,2024-10-14 23:59:59.999,12211480.95479000,90229,10233960.90000000,6055249.27027000,0
2024-10-15,0.5922,0.5926,0.5507,0.5728,14441060.2,2024-10-15 23:59:59.999,8269904.58670000,67993,7134077.10000000,4088240.90335000,0
2024-10-16,0.5725,0.5786,0.5539,0.5711,7149960.2,2024-10-16 23:59:59.999,4041570.42515000,44455,3285526.60000000,1858202.03674000,0
2024-10-17,0.571,0.5839,0.5518,0.5572,9514159.1,2024-10-17 23:59:59.999,5410851.67109000,48520,4542179.10000000,2586425.25139000,0
2024-10-18,0.5572,0.5747,0.5523,0.5704,7780498.9,2024-10-18 23:59:59.999,4389250.42202000,35999,3555176.00000000,2007073.81407000,0
2024-10-19,0.5704,0.5821,0.5658,0.5755,7253936.0,2024-10-19 23:59:59.999,4161442.77530000,30271,3800207.30000000,2180161.15786000,0
2024-10-20,0.5758,0.6221,0.5656,0.6126,14584553.0,2024-10-20 23:59:59.999,8752861.80905000,54557,7478259.80000000,4490905.27415000,0
2024-10-21,0.6125,0.6739,0.5987,0.6065,35080605.5,2024-10-21 23:59:59.999,22204172.88334000,143730,15931234.60000000,10062145.22466000,0
2024-10-22,0.6067,0.6144,0.567,0.5802,19318241.0,2024-10-22 23:59:59.999,11291138.60968000,54689,10414170.00000000,6074087.28845000,0
2024-10-23,0.5797,0.5813,0.54,0.5543,8510141.3,2024-10-23 23:59:59.999,4742151.77584000,32450,4186264.20000000,2334303.92197000,0
2024-10-24,0.5544,0.5729,0.5439,0.5648,9941295.1,2024-10-24 23:59:59.999,5565133.82573000,31771,5122504.40000000,2871898.58076000,0
2024-10-25,0.5649,0.569,0.4829,0.506,12939981.9,2024-10-25 23:59:59.999,6899921.54262000,46168,5947858.80000000,3174112.38600000,0
2024-10-26,0.506,0.5155,0.4979,0.514,7407365.0,2024-10-26 23:59:59.999,3770874.02546000,24614,3609388.20000000,1837834.61226000,0
2024-10-27,0.5141,0.5332,0.5116,0.5266,7060830.7,2024-10-27 23:59:59.999,3688203.94265000,19874,3064273.20000000,1600242.29442000,0
2024-10-28,0.5267,0.5336,0.4989,0.5242,11611035.6,2024-10-28 23:59:59.999,5990008.42687000,32942,5228432.20000000,2697258.02723000,0
2024-10-29,0.5244,0.553,0.5222,0.551,10363300.3,2024-10-29 23:59:59.999,5612735.37408000,35881,4850042.90000000,2627616.82845000,0
2024-10-30,0.551,0.5632,0.5415,0.558,9352124.8,2024-10-30 23:59:59.999,5185856.29885000,34580,4368251.60000000,2423314.73449000,0
2024-10-31,0.558,0.5586,0.5218,0.5241,7791607.5,2024-10-31 23:59:59.999,4194019.57197000,23185,3592409.70000000,1933269.12584000,0
2024-11-01,0.5243,0.5358,0.5067,0.5133,8406939.7,2024-11-01 23:59:59.999,4383415.87840000,25683,4227037.80000000,2205405.85764000,0
2024-11-02,0.5129,0.5186,0.4902,0.4952,5849950.0,2024-11-02 23:59:59.999,2943260.21181000,19673,2975887.50000000,1498376.45821000,0
2024-11-03,0.4953,0.4974,0.4561,0.4717,10175628.0,2024-11-03 23:59:59.999,4807460.44359000,30537,4899864.30000000,2311860.03746000,0
2024-11-04,0.4717,0.4773,0.4431,0.4526,7290867.3,2024-11-04 23:59:59.999,3374528.67516000,26203,3620110.10000000,1676310.91026000,0
2024-11-05,0.4524,0.4858,0.4503,0.4788,8398947.6,2024-11-05 23:59:59.999,3952479.33099000,24205,4707144.10000000,2212113.57697000,0
2024-11-06,0.4788,0.5414,0.4785,0.5313,29490089.5,2024-11-06 23:59:59.999,15335873.24601000,74988,13926348.30000000,7232201.17813000,0
2024-11-07,0.5314,0.5487,0.5133,0.5355,14213014.9,2024-11-07 23:59:59.999,7538939.84262000,39767,6908797.30000000,3666281.19209000,0
2024-11-08,0.5358,0.5456,0.5153,0.5354,10328769.3,2024-11-08 23:59:59.999,5479386.82053000,31027,5276409.10000000,2800417.00498000,0
2024-11-09,0.5355,0.5744,0.5287,0.5704,14149056.5,2024-11-09 23:59:59.999,7804852.90923000,44912,7448749.60000000,4109172.82966000,0
2024-11-10,0.5705,0.6172,0.5524,0.5957,23997839.4,2024-11-10 23:59:59.999,14180036.60060000,76950,11063204.30000000,6536221.14354000,0
2024-11-11,0.596,0.65,0.5874,0.6492,35605033.2,2024-11-11 23:59:59.999,22129640.84451000,108620,17627888.90000000,10963910.62025000,0
2024-11-12,0.6495,0.675,0.5965,0.6571,35623915.8,2024-11-12 23:59:59.999,22914059.66879000,125251,15923882.90000000,10228574.32519000,0
2024-11-13,0.6571,0.6824,0.5893,0.6536,31231823.1,2024-11-13 23:59:59.999,19984731.56046000,125195,13895467.10000000,8878503.10743000,0
2024-11-14,0.6537,0.6699,0.5948,0.6048,16640406.6,2024-11-14 23:59:59.999,10609006.04641000,72801,8262414.70000000,5269602.82409000,0
2024-11-15,0.6045,0.6383,0.5804,0.6306,11317216.4,2024-11-15 23:59:59.999,6936609.48950000,46473,5673693.80000000,3476734.76868000,0
2024-11-16,0.6302,0.7207,0.6243,0.7038,28363959.2,2024-11-16 23:59:59.999,19173541.02630000,107740,14447747.10000000,9759730.78812000,0
