Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2024-09-19,0.938,0.99,0.933,0.973,2228947.5,2024-09-19 23:59:59.999,2141276.67640000,20484,1181892.80000000,1136782.37880000,0
2024-09-20,0.973,1.065,0.962,1.045,5588695.2,2024-09-20 23:59:59.999,5745424.93340000,54095,3013914.00000000,3103206.46880000,0
2024-09-21,1.044,1.134,1.02,1.133,4849507.2,2024-09-21 23:59:59.999,5207777.98130000,48806,2567058.20000000,2766070.49290000,0
2024-09-22,1.134,1.15,1.027,1.059,3337079.8,2024-09-22 23:59:59.999,3634235.41840000,35570,1499995.20000000,1638750.01490000,0
2024-09-23,1.06,1.095,1.039,1.074,1327806.3,2024-09-23 23:59:59.999,1424508.72770000,14884,622824.40000000,668465.54250000,0
2024-09-24,1.076,1.095,1.04,1.092,1642268.8,2024-09-24 23:59:59.999,1747168.43430000,17713,693232.00000000,738317.53700000,0
2024-09-25,1.092,1.097,1.062,1.072,996717.3,2024-09-25 23:59:59.999,1078817.08680000,13172,487428.90000000,528151.91570000,0
2024-09-26,1.071,1.101,1.048,1.095,1414698.9,2024-09-26 23:59:59.999,1530452.09600000,17629,696639.30000000,754821.81510000,0
2024-09-27,1.096,1.114,1.08,1.105,1241435.3,2024-09-27 23:59:59.999,1367811.24480000,14968,616661.30000000,679749.55180000,0
2024-09-28,1.106,1.112,1.056,1.08,1002296.5,2024-09-28 23:59:59.999,1086469.24670000,11743,480282.70000000,520743.44920000,0
2024-09-29,1.079,1.093,1.052,1.078,1133637.4,2024-09-29 23:59:59.999,1213211.26030000,13163,599827.00000000,641434.24590000,0
2024-09-30,1.078,1.08,0.997,1.003,1229272.2,2024-09-30 23:59:59.999,1279371.89610000,13680,566531.30000000,590323.48140000,0
2024-10-01,1.003,1.047,0.929,0.945,2437415.6,2024-10-01 23:59:59.999,2388089.75290000,27186,1322480.30000000,1291791.95490000,0
2024-10-02,0.945,0.978,0.906,0.915,1293331.5,2024-10-02 23:59:59.999,1226070.30790000,17577,738762.80000000,700850.23760000,0
2024-10-03,0.915,0.938,0.875,0.907,1134563.2,2024-10-03 23:59:59.999,1021196.40130000,11607,540031.70000000,486311.14800000,0
2024-10-04,0.907,0.939,0.9,0.938,830286.7,2024-10-04 23:59:59.999,764896.63050000,8675,497348.10000000,458656.31090000,0
2024-10-05,0.939,0.964,0.931,0.963,690929.1,2024-10-05 23:59:59.999,655122.38120000,5652,383827.60000000,364050.60500000,0
2024-10-06,0.963,0.98,0.945,0.974,942245.7,2024-10-06 23:59:59.999,904608.63010000,8793,474322.50000000,455918.12460000,0
2024-10-07,0.974,0.992,0.947,0.952,996009.9,2024-10-07 23:59:59.999,970031.40580000,8521,515179.90000000,502232.76840000,0
2024-10-08,0.954,1.007,0.946,0.966,2043768.3,2024-10-08 23:59:59.999,1994335.38620000,16562,1058067.10000000,1034077.95320000,0
2024-10-09,0.966,0.976,0.909,0.922,1505000.9,2024-10-09 23:59:59.999,1425167.25100000,14007,747279.00000000,709320.23360000,0
