Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2024-09-19,4.253,4.585,4.253,4.363,18642626.1,2024-09-19 23:59:59.999,83335683.97790000,281469,9699822.60000000,43374963.31960000,0
2024-09-20,4.364,4.511,4.256,4.386,14666623.0,2024-09-20 23:59:59.999,64518385.12960000,266607,7835985.70000000,34471953.22500000,0
2024-09-21,4.386,4.692,4.286,4.666,9815495.1,2024-09-21 23:59:59.999,43873779.05140000,207611,5332040.90000000,23842325.20550000,0
2024-09-22,4.666,4.686,4.382,4.524,11244659.5,2024-09-22 23:59:59.999,50886057.02360000,253897,5568443.10000000,25180458.44340000,0
2024-09-23,4.525,5.277,4.398,5.177,27906349.7,2024-09-23 23:59:59.999,137320077.66470000,684947,14731456.40000000,72563392.39590000,0
2024-09-24,5.177,5.399,5.055,5.346,15683352.9,2024-09-24 23:59:59.999,81954801.28550000,407482,7958866.50000000,41610844.35720000,0
2024-09-25,5.346,5.46,5.108,5.144,10455830.7,2024-09-25 23:59:59.999,55099695.67860000,294478,4954562.00000000,26137373.51910000,0
2024-09-26,5.144,5.871,5.117,5.547,21618348.1,2024-09-26 23:59:59.999,120032408.73760000,610043,10349249.50000000,57460634.05620000,0
2024-09-27,5.548,5.755,5.36,5.457,15082575.5,2024-09-27 23:59:59.999,83451702.58820000,417897,7573310.90000000,41922507.83090000,0
2024-09-28,5.457,5.578,5.333,5.561,7851563.8,2024-09-28 23:59:59.999,42954529.28690000,265645,3827875.30000000,20947812.62890000,0
2024-09-29,5.562,5.628,5.352,5.504,8040873.7,2024-09-29 23:59:59.999,44079079.00660000,274758,3874612.50000000,21247018.92080000,0
2024-09-30,5.504,5.516,5.22,5.288,12703934.8,2024-09-30 23:59:59.999,67988724.23480000,741643,6790129.70000000,36350563.00200000,0
2024-10-01,5.287,5.565,4.594,4.839,21076537.6,2024-10-01 23:59:59.999,107003710.71500000,611481,10178955.90000000,51724100.18590000,0
2024-10-02,4.839,5.005,4.522,4.626,14261015.6,2024-10-02 23:59:59.999,68232244.74500000,440871,6618798.70000000,31685996.65510000,0
2024-10-03,4.626,4.771,4.418,4.641,11191187.2,2024-10-03 23:59:59.999,51222090.30800000,370595,5762814.40000000,26375455.75230000,0
2024-10-04,4.642,4.862,4.591,4.831,10144358.1,2024-10-04 23:59:59.999,48023568.51590000,292748,4970257.70000000,23531642.82990000,0
2024-10-05,4.83,4.869,4.634,4.777,7439096.1,2024-10-05 23:59:59.999,35267379.95390000,170827,3566458.70000000,16902218.07490000,0
2024-10-06,4.778,4.968,4.716,4.95,5151207.3,2024-10-06 23:59:59.999,24889602.14730000,150506,2539905.80000000,12274967.43640000,0
2024-10-07,4.95,5.327,4.917,5.046,15311582.6,2024-10-07 23:59:59.999,79296733.89720000,400268,7267277.60000000,37636117.40150000,0
2024-10-08,5.046,5.161,4.855,4.894,9675865.2,2024-10-08 23:59:59.999,48375817.02510000,203376,4834790.10000000,24179502.15540000,0
2024-10-09,4.893,4.987,4.552,4.609,9417638.1,2024-10-09 23:59:59.999,44930023.42020000,130521,4780997.70000000,22787286.44000000,0
2024-10-10,4.609,4.684,4.423,4.594,7949110.7,2024-10-10 23:59:59.999,36219102.41680000,119845,3716726.10000000,16939384.33820000,0
2024-10-11,4.595,4.808,4.545,4.737,9795820.0,2024-10-11 23:59:59.999,46211927.65070000,221263,5201080.10000000,24544240.38510000,0
2024-10-12,4.737,4.922,4.677,4.846,8456267.1,2024-10-12 23:59:59.999,40730179.57560000,121367,4256234.90000000,20497975.62160000,0
2024-10-13,4.846,4.875,4.561,4.704,8045364.5,2024-10-13 23:59:59.999,37865781.99560000,119336,3625990.80000000,17060205.42350000,0
2024-10-14,4.704,5.079,4.626,5.026,13263598.6,2024-10-14 23:59:59.999,64782686.96120000,192944,6968785.10000000,34072869.12580000,0
2024-10-15,5.026,5.282,4.865,5.065,20120073.0,2024-10-15 23:59:59.999,101374196.16620000,297583,10048605.10000000,50658191.97990000,0
2024-10-16,5.065,5.081,4.885,4.945,10887686.2,2024-10-16 23:59:59.999,54145498.42730000,135797,5260846.00000000,26177878.03940000,0
2024-10-17,4.946,5.037,4.651,4.769,9548768.2,2024-10-17 23:59:59.999,46020210.78000000,121117,4740981.70000000,22842126.21530000,0
2024-10-18,4.769,4.945,4.729,4.894,7755289.6,2024-10-18 23:59:59.999,37489340.13780000,93756,3937337.60000000,19032638.10990000,0
2024-10-19,4.896,4.944,4.759,4.818,4603652.9,2024-10-19 23:59:59.999,22361979.30970000,70432,2237820.90000000,10867299.04020000,0
2024-10-20,4.817,5.017,4.711,4.979,6928687.5,2024-10-20 23:59:59.999,33614410.65800000,102712,3604288.70000000,17477831.69710000,0
2024-10-21,4.98,5.06,4.753,4.782,7660342.6,2024-10-21 23:59:59.999,37653058.02100000,122461,3755588.90000000,18468307.96860000,0
2024-10-22,4.782,4.844,4.621,4.682,8983774.1,2024-10-22 23:59:59.999,42329053.57460000,117760,4622228.60000000,21784671.69370000,0
2024-10-23,4.682,4.692,4.447,4.652,6722652.7,2024-10-23 23:59:59.999,30854886.99810000,114143,3210603.70000000,14743431.53170000,0
2024-10-24,4.652,4.78,4.541,4.719,5902466.4,2024-10-24 23:59:59.999,27533087.58090000,98778,2851658.70000000,13305953.68280000,0
2024-10-25,4.719,4.739,3.97,4.172,15306071.3,2024-10-25 23:59:59.999,67225876.84630000,222543,7369087.70000000,32361501.78080000,0
2024-10-26,4.172,4.276,4.099,4.237,9209428.4,2024-10-26 23:59:59.999,38709460.47970000,114552,4853658.70000000,20405930.23570000,0
2024-10-27,4.237,4.382,4.188,4.308,3958252.6,2024-10-27 23:59:59.999,16893538.52860000,66527,1921112.10000000,8199766.94370000,0
2024-10-28,4.308,4.359,4.072,4.297,8012576.4,2024-10-28 23:59:59.999,33841755.85350000,112295,3946080.70000000,16669303.78230000,0
2024-10-29,4.298,4.519,4.287,4.438,9853036.6,2024-10-29 23:59:59.999,43727773.87150000,143132,4982201.50000000,22115674.90630000,0
2024-10-30,4.438,4.44,4.266,4.31,8690766.6,2024-10-30 23:59:59.999,37868086.15540000,132321,4595910.20000000,20024615.40800000,0
2024-10-31,4.31,4.332,4.019,4.054,9182088.3,2024-10-31 23:59:59.999,38305142.59820000,114268,4445947.60000000,18532666.55720000,0
2024-11-01,4.054,4.162,3.86,3.93,10892960.1,2024-11-01 23:59:59.999,43682213.30710000,122202,5307241.50000000,21276978.29860000,0
2024-11-02,3.93,3.989,3.768,3.809,5644166.6,2024-11-02 23:59:59.999,21928065.67510000,73111,2757994.50000000,10724606.44990000,0
2024-11-03,3.81,3.839,3.554,3.688,10892724.8,2024-11-03 23:59:59.999,39927614.81360000,133950,5210751.50000000,19092270.99050000,0
2024-11-04,3.688,3.758,3.506,3.619,9450378.2,2024-11-04 23:59:59.999,34466910.16250000,99107,4694742.80000000,17127391.61450000,0
2024-11-05,3.62,3.938,3.61,3.81,7911670.7,2024-11-05 23:59:59.999,30007866.81790000,101704,3945547.30000000,14961398.99300000,0
2024-11-06,3.81,4.29,3.808,4.233,18677712.1,2024-11-06 23:59:59.999,76983172.18320000,218324,9328032.00000000,38453419.22350000,0
2024-11-07,4.233,4.351,4.084,4.231,11220555.7,2024-11-07 23:59:59.999,47299929.97420000,153022,5618951.00000000,23706347.48400000,0
2024-11-08,4.231,4.393,4.152,4.332,14150062.7,2024-11-08 23:59:59.999,60295654.65440000,162263,7204768.30000000,30713268.22190000,0
2024-11-09,4.332,4.694,4.24,4.639,13389510.3,2024-11-09 23:59:59.999,59253773.77500000,192504,7019242.80000000,31053570.07920000,0
2024-11-10,4.641,4.949,4.437,4.723,24307076.2,2024-11-10 23:59:59.999,115344536.88480000,364040,12309386.90000000,58456659.10430000,0
2024-11-11,4.723,5.583,4.699,5.562,40642954.2,2024-11-11 23:59:59.999,213973344.16960000,685581,20885777.00000000,109965002.89550000,0
2024-11-12,5.561,5.756,4.945,5.338,41496973.5,2024-11-12 23:59:59.999,222202022.34630000,654622,20397536.70000000,109287040.41750000,0
2024-11-13,5.34,5.547,4.96,5.169,32524801.9,2024-11-13 23:59:59.999,170937565.26910000,493120,16045608.20000000,84312783.92770000,0
2024-11-14,5.171,5.651,5.013,5.415,26483365.0,2024-11-14 23:59:59.999,140950096.98630000,408767,13391726.40000000,71348937.52510000,0
2024-11-15,5.415,5.678,5.173,5.558,24531488.0,2024-11-15 23:59:59.999,134159212.36810000,348081,12477209.80000000,68259562.13950000,0
2024-11-16,5.558,6.389,5.455,5.945,31037180.2,2024-11-16 23:59:59.999,186771850.16540000,465090,15586279.20000000,93829354.11370000,0
2024-11-17,5.947,6.157,5.604,5.705,20411166.9,2024-11-17 23:59:59.999,120461735.89900000,324869,9621818.70000000,56829470.52700000,0
2024-11-18,5.705,6.306,5.648,6.021,20607194.5,2024-11-18 23:59:59.999,122883662.73100000,329886,10357942.50000000,61815831.85750000,0
2024-11-19,6.021,6.102,5.613,5.783,17167730.7,2024-11-19 23:59:59.999,100374608.60750000,279414,8135651.70000000,47573738.57490000,0
2024-11-20,5.782,5.847,5.336,5.477,16319400.9,2024-11-20 23:59:59.999,91611637.28460000,274767,7636373.60000000,42876263.94560000,0
2024-11-21,5.477,5.86,5.3,5.79,22046172.1,2024-11-21 23:59:59.999,123844395.50490000,384634,10831173.40000000,60946063.52690000,0
2024-11-22,5.79,6.183,5.484,6.136,23941761.2,2024-11-22 23:59:59.999,137556617.39770000,422760,12375244.90000000,71176859.38870000,0
2024-11-23,6.136,6.579,6.014,6.191,33032970.6,2024-11-23 23:59:59.999,206297812.49490000,569262,16188619.10000000,101179650.24370000,0
2024-11-24,6.192,7.004,6.007,6.873,35291880.8,2024-11-24 23:59:59.999,228883682.49030000,601762,17518061.40000000,113836335.61000000,0
2024-11-25,6.873,7.251,6.351,6.46,32364140.4,2024-11-25 23:59:59.999,220358305.28790000,564226,14842279.00000000,101323866.11010000,0
2024-11-26,6.459,6.669,5.956,6.518,26485869.4,2024-11-26 23:59:59.999,165664654.92490000,399093,12022743.40000000,75268323.28350000,0
2024-11-27,6.518,6.881,6.393,6.817,18576207.9,2024-11-27 23:59:59.999,124146200.92750000,337893,9116787.90000000,60973895.99220000,0
2024-11-28,6.816,7.17,6.46,7.015,15395042.7,2024-11-28 23:59:59.999,104024650.13690000,288408,7711210.30000000,52211907.13440000,0
2024-11-29,7.015,7.041,6.778,6.963,11539336.3,2024-11-29 23:59:59.999,79653569.60850000,222009,5982360.50000000,41298462.77960000,0
2024-11-30,6.962,7.237,6.782,7.007,15870378.0,2024-11-30 23:59:59.999,111303157.29350000,251487,7685122.50000000,53937083.86990000,0
2024-12-01,7.007,7.164,6.772,6.915,12250046.2,2024-12-01 23:59:59.999,84910052.59830000,242119,6208341.60000000,43060335.15770000,0
2024-12-02,6.915,7.5,6.413,7.48,27186869.4,2024-12-02 23:59:59.999,186921703.25240000,440950,13668910.00000000,94358377.64390000,0
2024-12-03,7.48,7.627,6.736,7.387,32513551.2,2024-12-03 23:59:59.999,235253514.93060000,598788,15512156.60000000,112244906.40150000,0
2024-12-04,7.388,7.71,7.153,7.47,24592321.2,2024-12-04 23:59:59.999,183446249.39390000,468294,12451712.70000000,92959464.19210000,0
2024-12-05,7.471,8.025,7.033,7.617,27609202.5,2024-12-05 23:59:59.999,210832238.07180000,582028,13630861.80000000,104282785.08240000,0
2024-12-06,7.617,8.244,7.516,8.02,21439811.5,2024-12-06 23:59:59.999,169743696.58140000,493675,10439266.70000000,82654362.47680000,0
2024-12-07,8.021,8.055,7.656,7.723,11484036.5,2024-12-07 23:59:59.999,89640477.66680000,248548,5352861.20000000,41795396.89480000,0
2024-12-08,7.724,7.863,7.454,7.824,11619577.4,2024-12-08 23:59:59.999,88829819.97800000,227732,5609182.40000000,42902343.97220000,0
2024-12-09,7.825,7.84,5.901,6.503,29091894.6,2024-12-09 23:59:59.999,197837940.42740000,634051,14589052.10000000,98968724.53390000,0
2024-12-10,6.504,6.83,5.933,6.423,30837652.6,2024-12-10 23:59:59.999,196394842.40730000,590554,15498250.70000000,98645661.40100000,0
2024-12-11,6.425,6.928,6.148,6.85,12535582.7,2024-12-11 23:59:59.999,83065428.43950000,200304,6258255.30000000,41434569.07100000,0
2024-12-12,6.849,7.325,6.779,6.913,15609721.7,2024-12-12 23:59:59.999,110367787.20680000,291362,7691631.50000000,54425700.55940000,0
2024-12-13,6.913,7.077,6.727,6.936,11007149.1,2024-12-13 23:59:59.999,75921845.26280000,200742,5309478.50000000,36628271.19320000,0
2024-12-14,6.938,7.042,6.494,6.684,8149872.1,2024-12-14 23:59:59.999,54876046.63800000,145267,3823521.50000000,25760211.77520000,0
2024-12-15,6.684,6.907,6.467,6.859,6675687.8,2024-12-15 23:59:59.999,44838495.60750000,140154,3356724.50000000,22545243.17930000,0
2024-12-16,6.86,7.054,6.525,6.616,9933167.2,2024-12-16 23:59:59.999,67107393.33190000,206946,5008708.60000000,33849041.28940000,0
2024-12-17,6.616,7.01,6.329,6.384,19119594.2,2024-12-17 23:59:59.999,127864784.64400000,313811,9468545.80000000,63350530.38350000,0
2024-12-18,6.384,6.43,5.672,5.687,23573355.9,2024-12-18 23:59:59.999,143302378.24370000,356279,11993181.70000000,72885243.16060000,0
2024-12-19,5.687,5.874,4.99,5.201,37100381.3,2024-12-19 23:59:59.999,201559388.03830000,571990,18114658.40000000,98549597.89970000,0
2024-12-20,5.201,5.462,4.536,5.354,41119697.3,2024-12-20 23:59:59.999,204354131.13980000,485443,20108720.40000000,99906794.82010000,0
2024-12-21,5.353,5.661,4.928,5.024,16609392.1,2024-12-21 23:59:59.999,87168426.89110000,211587,8122003.10000000,42648968.13440000,0
2024-12-22,5.024,5.14,4.837,5.038,14809904.1,2024-12-22 23:59:59.999,74318726.40520000,232942,6742776.50000000,33879216.53500000,0
2024-12-23,5.039,5.703,4.914,5.439,15810699.7,2024-12-23 23:59:59.999,82655966.36080000,252107,8129711.20000000,42572163.85380000,0
2024-12-24,5.44,5.662,5.288,5.552,12441713.1,2024-12-24 23:59:59.999,68329601.93980000,185648,6108017.30000000,33543083.67160000,0
2024-12-25,5.552,5.648,5.357,5.447,8010692.4,2024-12-25 23:59:59.999,44123505.27670000,127405,4033089.60000000,22217870.54310000,0
2024-12-26,5.447,5.499,5.0,5.086,8348417.2,2024-12-26 23:59:59.999,43115171.68320000,152869,3811273.50000000,19696754.59130000,0
