Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2024-09-19,9.54,9.82,9.52,9.75,221675.63,2024-09-19 23:59:59.999,2146801.53050000,12758,106995.29000000,1036042.67450000,0
2024-09-20,9.76,10.5,9.65,10.11,478904.9,2024-09-20 23:59:59.999,4808700.19980000,21579,260757.10000000,2617267.75180000,0
2024-09-21,10.1,10.61,10.07,10.44,492062.19,2024-09-21 23:59:59.999,5101115.59440000,24279,254431.12000000,2640060.90180000,0
2024-09-22,10.43,10.47,9.79,10.08,214580.73,2024-09-22 23:59:59.999,2160194.25800000,11945,97275.50000000,978679.68680000,0
2024-09-23,10.08,10.29,9.86,10.04,291062.16,2024-09-23 23:59:59.999,2935937.39910000,19192,120640.40000000,1217321.07140000,0
2024-09-24,10.05,10.8,9.96,10.57,574905.43,2024-09-24 23:59:59.999,5965353.60120000,32618,267437.08000000,2774348.94250000,0
2024-09-25,10.58,10.64,10.23,10.32,264335.71,2024-09-25 23:59:59.999,2757422.12040000,15740,114607.52000000,1196338.86250000,0
2024-09-26,10.32,10.96,10.1,10.92,314326.98,2024-09-26 23:59:59.999,3355339.33200000,18342,160472.75000000,1714415.33180000,0
2024-09-27,10.91,11.17,10.87,10.94,377502.5,2024-09-27 23:59:59.999,4159814.06560000,20234,188112.01000000,2073577.00350000,0
2024-09-28,10.95,11.21,10.68,10.88,303214.81,2024-09-28 23:59:59.999,3327826.26310000,16507,148142.31000000,1628093.92930000,0
2024-09-29,10.88,11.0,10.62,10.82,203453.02,2024-09-29 23:59:59.999,2205154.03890000,10976,111005.47000000,1204374.53680000,0
2024-09-30,10.83,11.73,10.51,10.61,1133799.76,2024-09-30 23:59:59.999,12700810.79120000,56778,557002.36000000,6253443.58030000,0
2024-10-01,10.61,10.9,9.48,9.83,597246.19,2024-10-01 23:59:59.999,6083568.88420000,26643,271436.11000000,2760070.94620000,0
2024-10-02,9.82,10.46,9.55,9.67,597830.96,2024-10-02 23:59:59.999,6015034.04500000,25836,301882.00000000,3037730.29270000,0
2024-10-03,9.66,9.82,9.35,9.65,315435.76,2024-10-03 23:59:59.999,3027171.32390000,14265,156646.08000000,1503993.74870000,0
2024-10-04,9.65,9.99,9.53,9.97,188812.0,2024-10-04 23:59:59.999,1847513.10570000,9373,91195.80000000,893019.15030000,0
2024-10-05,9.97,10.09,9.77,9.93,104123.23,2024-10-05 23:59:59.999,1033940.12930000,5925,47559.77000000,472475.55260000,0
2024-10-06,9.94,10.36,9.91,10.36,278188.21,2024-10-06 23:59:59.999,2813896.52610000,11325,144408.75000000,1459686.92780000,0
2024-10-07,10.35,10.6,10.17,10.18,222634.83,2024-10-07 23:59:59.999,2314094.45240000,15272,100565.47000000,1045724.94950000,0
2024-10-08,10.2,10.57,10.06,10.28,321392.9,2024-10-08 23:59:59.999,3322749.80090000,15953,164384.58000000,1702604.17830000,0
2024-10-09,10.29,10.44,9.85,10.0,176810.13,2024-10-09 23:59:59.999,1792510.79160000,9107,84571.17000000,857920.10500000,0
2024-10-10,10.0,10.37,9.88,10.16,293328.28,2024-10-10 23:59:59.999,2965006.90940000,11769,153347.25000000,1551876.47490000,0
2024-10-11,10.16,10.7,10.16,10.7,187899.3,2024-10-11 23:59:59.999,1960160.22370000,8935,94341.17000000,984820.11810000,0
2024-10-12,10.69,11.01,10.58,10.61,266502.82,2024-10-12 23:59:59.999,2870158.24970000,13109,123262.43000000,1328137.37110000,0
2024-10-13,10.62,10.68,10.23,10.42,173709.18,2024-10-13 23:59:59.999,1811392.61340000,9381,77233.94000000,805440.65670000,0
2024-10-14,10.42,10.89,10.26,10.82,264236.13,2024-10-14 23:59:59.999,2795337.18290000,13322,122357.83000000,1296032.50550000,0
2024-10-15,10.83,10.89,10.27,10.69,388169.79,2024-10-15 23:59:59.999,4128273.22590000,18804,190676.58000000,2028104.75540000,0
2024-10-16,10.69,10.81,10.47,10.62,231133.71,2024-10-16 23:59:59.999,2459371.95540000,13318,122840.49000000,1306425.59660000,0
2024-10-17,10.62,10.73,10.27,10.38,199770.88,2024-10-17 23:59:59.999,2084283.82340000,10159,110042.85000000,1147783.98660000,0
2024-10-18,10.37,10.59,10.31,10.57,118282.94,2024-10-18 23:59:59.999,1237712.61050000,7496,50883.62000000,532392.97930000,0
2024-10-19,10.57,10.79,10.49,10.65,193329.74,2024-10-19 23:59:59.999,2053519.10960000,12159,94796.15000000,1006616.19270000,0
2024-10-20,10.65,10.99,10.48,10.97,265027.43,2024-10-20 23:59:59.999,2851439.88400000,13434,131396.69000000,1414673.64180000,0
2024-10-21,10.98,11.09,10.47,10.56,269653.61,2024-10-21 23:59:59.999,2899144.22580000,12338,135276.20000000,1454937.58160000,0
2024-10-22,10.55,10.68,10.33,10.46,268296.88,2024-10-22 23:59:59.999,2819126.36580000,11653,115869.09000000,1216375.17100000,0
2024-10-23,10.47,10.49,9.87,10.11,234170.93,2024-10-23 23:59:59.999,2374901.01860000,11067,108646.96000000,1102373.53200000,0
2024-10-24,10.11,10.24,9.93,10.14,190149.04,2024-10-24 23:59:59.999,1918727.73800000,10842,86839.34000000,875666.13840000,0
2024-10-25,10.14,10.18,9.07,9.42,307281.3,2024-10-25 23:59:59.999,2990581.94450000,14764,158519.03000000,1544836.36760000,0
2024-10-26,9.41,9.56,9.23,9.4,195484.66,2024-10-26 23:59:59.999,1841110.68360000,10091,97666.47000000,919811.79520000,0
2024-10-27,9.41,9.62,9.39,9.56,102050.34,2024-10-27 23:59:59.999,971247.96620000,5028,57152.75000000,544152.22230000,0
2024-10-28,9.55,9.74,9.33,9.71,189952.94,2024-10-28 23:59:59.999,1810478.02660000,11144,85097.38000000,810634.71690000,0
2024-10-29,9.7,10.25,9.69,10.23,268240.43,2024-10-29 23:59:59.999,2687003.35920000,14470,140066.58000000,1403790.48350000,0
2024-10-30,10.23,10.28,10.01,10.04,201169.77,2024-10-30 23:59:59.999,2040822.59840000,8612,80886.14000000,821316.14660000,0
2024-10-31,10.05,10.07,9.43,9.53,287497.61,2024-10-31 23:59:59.999,2787245.13380000,13072,149620.49000000,1449970.07540000,0
2024-11-01,9.52,9.62,9.23,9.35,224300.29,2024-11-01 23:59:59.999,2112220.25690000,9393,118566.88000000,1116039.75980000,0
2024-11-02,9.37,9.49,9.18,9.28,141482.45,2024-11-02 23:59:59.999,1316747.96230000,5052,64354.87000000,599600.87960000,0
2024-11-03,9.27,9.32,8.81,9.06,413015.6,2024-11-03 23:59:59.999,3763148.58790000,14889,228516.53000000,2086290.37440000,0
2024-11-04,9.06,9.18,8.62,8.82,220745.87,2024-11-04 23:59:59.999,1966096.91320000,8427,105796.54000000,944211.32980000,0
2024-11-05,8.84,9.31,8.83,9.26,233164.39,2024-11-05 23:59:59.999,2125435.37660000,8400,123520.01000000,1125772.52270000,0
2024-11-06,9.26,10.08,9.24,10.04,568255.56,2024-11-06 23:59:59.999,5532274.33990000,23060,286402.88000000,2789578.57140000,0
2024-11-07,10.03,10.39,9.99,10.31,385354.09,2024-11-07 23:59:59.999,3929920.19400000,13751,181621.71000000,1853817.99010000,0
2024-11-08,10.31,10.44,10.05,10.35,279865.6,2024-11-08 23:59:59.999,2861200.21400000,12532,132744.42000000,1356838.20700000,0
2024-11-09,10.34,10.69,10.13,10.67,374262.43,2024-11-09 23:59:59.999,3867374.94940000,14331,174156.45000000,1801877.92630000,0
2024-11-10,10.68,11.92,10.48,11.48,1230950.53,2024-11-10 23:59:59.999,13954653.34680000,47232,633761.04000000,7185123.92120000,0
2024-11-11,11.49,12.39,11.3,12.35,982277.1,2024-11-11 23:59:59.999,11505508.30610000,40243,488484.39000000,5728449.49750000,0
2024-11-12,12.34,12.72,11.04,11.49,1501224.35,2024-11-12 23:59:59.999,17753074.57590000,73174,697837.66000000,8271555.18830000,0
2024-11-13,11.48,11.7,10.56,11.22,816485.2,2024-11-13 23:59:59.999,9080065.73460000,39913,391939.41000000,4358559.33550000,0
2024-11-14,11.23,11.99,10.73,11.09,1340903.51,2024-11-14 23:59:59.999,15241997.98660000,64995,660975.69000000,7528746.87710000,0
2024-11-15,11.09,11.62,10.81,11.61,625255.16,2024-11-15 23:59:59.999,7015159.76560000,28172,282887.33000000,3175211.61730000,0
2024-11-16,11.62,13.14,11.53,12.93,1359758.7,2024-11-16 23:59:59.999,16967168.70660000,54111,702945.44000000,8784534.95940000,0
2024-11-17,12.93,13.43,11.8,12.06,830531.22,2024-11-17 23:59:59.999,10386814.01400000,32781,387664.66000000,4855231.12670000,0
2024-11-18,12.07,13.09,11.98,12.98,716009.4,2024-11-18 23:59:59.999,9066317.89780000,32116,358633.67000000,4544323.18760000,0
2024-11-19,12.97,13.86,12.41,12.79,919862.83,2024-11-19 23:59:59.999,11991246.79920000,45838,466039.48000000,6087946.77740000,0
2024-11-20,12.79,12.83,12.05,12.29,537984.7,2024-11-20 23:59:59.999,6686550.99850000,30213,256910.10000000,3193550.54880000,0
2024-11-21,12.29,14.03,11.92,13.26,1610838.49,2024-11-21 23:59:59.999,20942288.92540000,81503,818774.08000000,10640521.29020000,0
2024-11-22,13.26,13.86,12.93,13.85,1091193.67,2024-11-22 23:59:59.999,14545391.42160000,48086,514541.97000000,6863689.42420000,0
2024-11-23,13.86,15.23,13.71,14.4,1781965.36,2024-11-23 23:59:59.999,25937041.37810000,94451,906390.88000000,13205930.67600000,0
2024-11-24,14.39,16.08,13.65,15.4,2257515.88,2024-11-24 23:59:59.999,33651478.49650000,119660,1138199.13000000,16952213.92720000,0
2024-11-25,15.4,15.49,13.96,14.32,1132801.73,2024-11-25 23:59:59.999,16901048.18930000,59846,529188.36000000,7900630.54650000,0
2024-11-26,14.31,14.68,13.25,14.13,924238.13,2024-11-26 23:59:59.999,12869474.17980000,56986,439511.49000000,6117756.85320000,0
2024-11-27,14.12,15.12,13.8,15.11,611027.69,2024-11-27 23:59:59.999,8778968.00760000,41603,318843.44000000,4582720.82240000,0
2024-11-28,15.1,15.35,14.34,14.8,688950.75,2024-11-28 23:59:59.999,10197356.06890000,43977,335458.30000000,4969200.89660000,0
2024-11-29,14.8,15.94,14.43,15.71,849406.17,2024-11-29 23:59:59.999,12897859.05590000,50867,444666.18000000,6753665.19210000,0
2024-11-30,15.71,16.33,15.46,16.01,1214532.41,2024-11-30 23:59:59.999,19315086.21640000,75668,627384.14000000,9984633.13890000,0
2024-12-01,16.0,16.54,15.47,16.33,800765.57,2024-12-01 23:59:59.999,12779194.97370000,43479,413197.20000000,6595720.00110000,0
2024-12-02,16.32,18.84,15.72,18.04,3781021.1,2024-12-02 23:59:59.999,64757517.51430000,198186,1963656.80000000,33664610.25030000,0
2024-12-03,18.03,26.21,17.81,26.09,7517706.42,2024-12-03 23:59:59.999,155462888.68720000,477080,3851812.85000000,79803286.74490000,0
2024-12-04,26.09,26.13,21.29,22.03,4744074.2,2024-12-04 23:59:59.999,110882954.74390000,303324,2311813.35000000,54029484.07540000,0
2024-12-05,22.03,22.46,20.0,21.08,2145769.54,2024-12-05 23:59:59.999,45695499.98890000,148075,1045362.80000000,22280803.09220000,0
2024-12-06,21.09,21.75,19.89,21.52,1636332.66,2024-12-06 23:59:59.999,34340717.94790000,99222,794176.54000000,16681517.03060000,0
2024-12-07,21.52,22.31,20.53,21.2,958139.76,2024-12-07 23:59:59.999,20549033.94280000,63062,443573.25000000,9529374.90610000,0
2024-12-08,21.2,21.52,20.41,21.28,584162.1,2024-12-08 23:59:59.999,12256701.83240000,39760,278343.86000000,5842526.84770000,0
2024-12-09,21.28,21.49,14.66,17.15,2067322.96,2024-12-09 23:59:59.999,37934284.30010000,137126,1006416.94000000,18391504.66480000,0
2024-12-10,17.16,17.65,15.29,16.88,1609254.68,2024-12-10 23:59:59.999,26700046.64400000,73958,764301.47000000,12697432.41140000,0
2024-12-11,16.88,18.63,16.05,18.19,1046124.1,2024-12-11 23:59:59.999,18335000.32300000,60635,519352.40000000,9116076.23960000,0
2024-12-12,18.2,19.68,17.8,18.54,1167065.79,2024-12-12 23:59:59.999,22082924.03660000,76192,542032.62000000,10264331.21340000,0
2024-12-13,18.54,19.07,17.91,18.79,710959.07,2024-12-13 23:59:59.999,13133678.67910000,46309,365457.70000000,6756003.38450000,0
2024-12-14,18.81,18.89,17.3,17.83,537116.73,2024-12-14 23:59:59.999,9678313.43210000,34704,240127.14000000,4327680.46860000,0
2024-12-15,17.82,18.55,17.23,18.48,449679.54,2024-12-15 23:59:59.999,8063579.46370000,29634,247808.85000000,4446358.44090000,0
2024-12-16,18.49,18.94,17.05,17.92,579400.07,2024-12-16 23:59:59.999,10452237.47620000,40989,291629.30000000,5264166.78530000,0
2024-12-17,17.92,18.38,16.95,17.22,606560.43,2024-12-17 23:59:59.999,10728135.92900000,41355,301781.81000000,5343148.24060000,0
2024-12-18,17.23,17.33,15.21,15.47,886940.52,2024-12-18 23:59:59.999,14498495.11470000,68554,433694.57000000,7092971.25200000,0
2024-12-19,15.46,15.81,13.62,14.05,1209780.32,2024-12-19 23:59:59.999,17859966.24480000,75507,609648.61000000,8998973.40250000,0
2024-12-20,14.06,14.84,12.55,14.62,1254797.02,2024-12-20 23:59:59.999,17188288.05120000,63361,645581.69000000,8836215.26030000,0
2024-12-21,14.61,15.49,13.58,13.75,580324.41,2024-12-21 23:59:59.999,8352184.90320000,35534,279420.64000000,4021721.34020000,0
2024-12-22,13.75,14.68,13.51,13.98,517063.6,2024-12-22 23:59:59.999,7263427.28200000,25001,269198.35000000,3779112.78830000,0
2024-12-23,13.99,15.09,13.55,14.9,481882.22,2024-12-23 23:59:59.999,6878645.17080000,30158,241035.39000000,3444328.80690000,0
2024-12-24,14.89,15.75,14.57,15.37,452846.89,2024-12-24 23:59:59.999,6883241.14850000,26491,221664.94000000,3369226.60740000,0
2024-12-25,15.37,15.6,14.64,14.84,440723.37,2024-12-25 23:59:59.999,6671724.26390000,31074,190525.82000000,2890591.70280000,0
2024-12-26,14.84,14.99,13.69,13.88,353223.47,2024-12-26 23:59:59.999,5008658.29600000,23178,193488.70000000,2743720.07540000,0
2024-12-27,13.89,14.66,13.75,13.94,367288.1,2024-12-27 23:59:59.999,5194546.99350000,21646,173387.52000000,2459053.40330000,0
2024-12-28,13.94,14.83,13.83,14.77,369024.03,2024-12-28 23:59:59.999,5297072.80120000,20480,202499.56000000,2907241.33470000,0
2024-12-29,14.77,14.77,13.82,14.0,317790.55,2024-12-29 23:59:59.999,4542901.00810000,17745,144744.49000000,2066506.82240000,0
2024-12-30,14.0,14.43,13.52,13.9,376362.57,2024-12-30 23:59:59.999,5256648.84660000,18588,180254.91000000,2521646.48920000,0
2024-12-31,13.91,14.2,13.36,13.55,349387.74,2024-12-31 23:59:59.999,4800711.15800000,19951,149174.95000000,2050835.99760000,0
2025-01-01,13.55,14.68,13.28,14.36,513733.23,2025-01-01 23:59:59.999,7213155.23070000,28243,279580.28000000,3926166.65910000,0
2025-01-02,14.36,14.8,14.34,14.62,441656.43,2025-01-02 23:59:59.999,6446299.62460000,30900,226350.48000000,3304795.52640000,0
2025-01-03,14.62,16.39,14.37,16.15,633477.17,2025-01-03 23:59:59.999,9771754.85610000,41829,329501.56000000,5073939.84130000,0
2025-01-04,16.15,16.39,15.71,15.92,367832.8,2025-01-04 23:59:59.999,5898252.75050000,30048,177772.63000000,2852398.74070000,0
2025-01-05,15.92,16.08,15.57,15.96,280000.5,2025-01-05 23:59:59.999,4431464.17160000,20118,137622.83000000,2179557.74050000,0
2025-01-06,15.97,17.1,15.69,16.52,557326.29,2025-01-06 23:59:59.999,9173442.10060000,44574,276661.76000000,4552983.53690000,0
2025-01-07,16.51,16.51,14.69,14.74,678464.96,2025-01-07 23:59:59.999,10531188.62550000,43241,298007.32000000,4633482.79000000,0
2025-01-08,14.74,14.96,13.79,14.58,845021.14,2025-01-08 23:59:59.999,12205344.10880000,42052,434279.24000000,6284686.74640000,0
2025-01-09,14.57,15.3,14.32,14.91,1366735.63,2025-01-09 23:59:59.999,20325537.66910000,57012,675348.15000000,10046300.43550000,0
2025-01-10,14.9,15.49,14.43,15.14,811169.02,2025-01-10 23:59:59.999,12130979.53320000,45179,397457.48000000,5946616.13810000,0
2025-01-11,15.15,15.94,14.73,15.3,588564.12,2025-01-11 23:59:59.999,8990056.34610000,37758,300561.10000000,4599756.41150000,0
2025-01-12,15.3,15.41,14.53,14.81,358936.01,2025-01-12 23:59:59.999,5381021.07860000,21603,171245.99000000,2567928.85870000,0
2025-01-13,14.81,15.94,13.24,14.37,1434329.19,2025-01-13 23:59:59.999,20636694.37680000,77659,731584.85000000,10540761.41120000,0
2025-01-14,14.39,15.06,14.21,14.88,700879.42,2025-01-14 23:59:59.999,10333042.64860000,35030,343615.70000000,5067885.70980000,0
2025-01-15,14.88,16.29,14.7,16.13,784315.53,2025-01-15 23:59:59.999,12056054.79120000,48567,390156.81000000,5996317.97930000,0
2025-01-16,16.13,16.74,15.81,16.13,875751.24,2025-01-16 23:59:59.999,14261351.86470000,46153,431728.15000000,7035223.38870000,0
2025-01-17,16.15,17.29,16.14,16.94,800269.49,2025-01-17 23:59:59.999,13420643.14810000,42977,412390.40000000,6917582.95890000,0
2025-01-18,16.96,17.08,15.45,15.78,685920.83,2025-01-18 23:59:59.999,10954139.93360000,33776,307745.13000000,4913138.40120000,0
2025-01-19,15.77,16.08,13.94,14.15,1298545.37,2025-01-19 23:59:59.999,19411752.13760000,72059,614734.56000000,9184838.39360000,0
2025-01-20,14.16,15.73,13.74,14.38,1200087.09,2025-01-20 23:59:59.999,17511040.55010000,71083,591689.99000000,8637486.83750000,0
2025-01-21,14.4,15.15,13.78,14.57,764180.15,2025-01-21 23:59:59.999,11078227.93300000,42837,374541.08000000,5430019.23030000,0
2025-01-22,14.57,14.82,14.09,14.19,309415.53,2025-01-22 23:59:59.999,4473415.04880000,18845,155423.21000000,2246727.49310000,0
2025-01-23,14.19,14.39,13.66,14.14,488453.91,2025-01-23 23:59:59.999,6836157.87180000,27530,225870.12000000,3162606.96680000,0
2025-01-24,14.13,14.5,13.66,13.75,404242.78,2025-01-24 23:59:59.999,5704827.73030000,17814,186616.41000000,2636186.39380000,0
2025-01-25,13.75,14.12,13.58,13.97,226318.97,2025-01-25 23:59:59.999,3141584.39950000,10699,103398.59000000,1435866.73510000,0
2025-01-26,13.96,14.46,13.63,13.64,310813.08,2025-01-26 23:59:59.999,4394664.19500000,14856,147032.64000000,2078288.72240000,0
2025-01-27,13.65,13.77,12.46,13.62,729556.88,2025-01-27 23:59:59.999,9556748.76650000,33203,348473.21000000,4564821.99740000,0
