Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2024-11-17,1.256,1.268,1.207,1.227,2010017.64,2024-11-17 23:59:59.999,2491938.86211000,31580,1017053.13000000,1261094.45652000,0
2024-11-18,1.226,1.26,1.213,1.255,2715662.06,2024-11-18 23:59:59.999,3363405.35293000,32987,1289229.16000000,1596191.39603000,0
2024-11-19,1.255,1.259,1.217,1.241,1919607.93,2024-11-19 23:59:59.999,2370841.29889000,24945,1000697.56000000,1236497.29777000,0
2024-11-20,1.241,1.262,1.21,1.225,2597798.05,2024-11-20 23:59:59.999,3202285.94785000,29945,1318114.76000000,1625715.84995000,0
2024-11-21,1.225,1.308,1.21,1.289,3437943.08,2024-11-21 23:59:59.999,4365360.79094000,43172,1725938.86000000,2191402.09381000,0
2024-11-22,1.29,1.34,1.282,1.325,3022359.62,2024-11-22 23:59:59.999,3968792.93541000,43678,1639335.92000000,2152408.58944000,0
2024-11-23,1.325,1.403,1.314,1.364,3361400.9,2024-11-23 23:59:59.999,4560279.12540000,42419,1750638.10000000,2377775.52985000,0
2024-11-24,1.364,1.39,1.298,1.351,1957781.12,2024-11-24 23:59:59.999,2630142.83502000,34842,953736.04000000,1284577.36428000,0
2024-11-25,1.351,1.429,1.322,1.35,2882853.38,2024-11-25 23:59:59.999,3976808.86688000,63559,1439139.00000000,1986186.52283000,0
2024-11-26,1.35,1.445,1.285,1.345,3080537.93,2024-11-26 23:59:59.999,4117082.61389000,67277,1625193.01000000,2173181.42758000,0
2024-11-27,1.346,1.449,1.328,1.436,2423335.65,2024-11-27 23:59:59.999,3412846.63267000,45524,1199123.28000000,1689485.15184000,0
2024-11-28,1.436,1.44,1.387,1.408,1199993.27,2024-11-28 23:59:59.999,1688666.18472000,30220,616576.99000000,867999.12214000,0
2024-11-29,1.408,1.466,1.389,1.447,2306702.49,2024-11-29 23:59:59.999,3302997.46913000,49992,1275177.25000000,1826993.93114000,0
2024-11-30,1.446,1.496,1.429,1.477,2162526.21,2024-11-30 23:59:59.999,3175113.71808000,37644,1049289.26000000,1541714.30172000,0
2024-12-01,1.477,1.497,1.442,1.457,2682975.12,2024-12-01 23:59:59.999,3928189.21129000,42654,1397732.80000000,2047471.04658000,0
2024-12-02,1.457,1.48,1.4,1.447,3705128.49,2024-12-02 23:59:59.999,5346527.32603000,67672,2102828.20000000,3038285.00101000,0
2024-12-03,1.446,1.491,1.42,1.469,3408780.03,2024-12-03 23:59:59.999,4990534.28030000,56546,1859977.76000000,2723245.48889000,0
2024-12-04,1.469,1.529,1.456,1.504,3716699.86,2024-12-04 23:59:59.999,5563954.27410000,60139,1859001.04000000,2782101.13155000,0
2024-12-05,1.505,1.546,1.423,1.45,3642578.9,2024-12-05 23:59:59.999,5481807.23852000,69336,1888896.75000000,2845464.26049000,0
2024-12-06,1.449,1.555,1.445,1.534,2433746.24,2024-12-06 23:59:59.999,3667207.10614000,39473,1152060.90000000,1738482.79297000,0
2024-12-07,1.534,1.549,1.502,1.524,1544024.09,2024-12-07 23:59:59.999,2348170.47805000,28693,777033.69000000,1182338.21500000,0
2024-12-08,1.523,1.537,1.48,1.525,1618430.45,2024-12-08 23:59:59.999,2436833.87473000,25710,791456.08000000,1192195.02278000,0
2024-12-09,1.526,1.58,1.3,1.384,4403362.91,2024-12-09 23:59:59.999,6399307.38574000,67943,2246472.53000000,3270063.34537000,0
2024-12-10,1.382,1.504,1.326,1.436,3547875.82,2024-12-10 23:59:59.999,5027393.81066000,55110,1765335.39000000,2501085.14241000,0
2024-12-11,1.437,1.523,1.407,1.482,2114160.17,2024-12-11 23:59:59.999,3119855.85807000,31981,1103099.33000000,1628327.64616000,0
2024-12-12,1.481,1.526,1.472,1.498,1749715.61,2024-12-12 23:59:59.999,2621618.79540000,29687,866639.17000000,1298965.58910000,0
2024-12-13,1.498,1.516,1.465,1.496,1431264.62,2024-12-13 23:59:59.999,2137670.23917000,27655,727992.48000000,1087710.11033000,0
2024-12-14,1.496,1.51,1.44,1.476,1431690.29,2024-12-14 23:59:59.999,2104752.86221000,25413,737239.22000000,1084380.53582000,0
2024-12-15,1.476,1.512,1.448,1.498,1510819.06,2024-12-15 23:59:59.999,2228843.14002000,25806,731397.92000000,1080260.84408000,0
2024-12-16,1.499,1.517,1.457,1.473,1862899.67,2024-12-16 23:59:59.999,2777558.03918000,36659,954817.53000000,1424474.70580000,0
2024-12-17,1.472,1.512,1.457,1.476,1552069.77,2024-12-17 23:59:59.999,2306364.87321000,32848,771428.80000000,1147226.80214000,0
2024-12-18,1.475,1.48,1.367,1.368,1403521.93,2024-12-18 23:59:59.999,2008345.75191000,28853,716635.60000000,1025546.12037000,0
2024-12-19,1.367,1.422,1.292,1.349,2647306.89,2024-12-19 23:59:59.999,3606476.73780000,47721,1446959.14000000,1974732.15863000,0
