Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2024-11-17,0.0792,0.0847,0.0758,0.079,43110586.0,2024-11-17 23:59:59.999,3476058.18040000,38752,19792967.00000000,1596814.69730000,0
2024-11-18,0.0791,0.0891,0.0784,0.0867,59036014.0,2024-11-18 23:59:59.999,4958062.93830000,46338,29632674.00000000,2494548.87760000,0
2024-11-19,0.0867,0.0867,0.0814,0.084,23010762.0,2024-11-19 23:59:59.999,1938798.66170000,19750,10040333.00000000,845839.75890000,0
2024-11-20,0.0839,0.0839,0.0765,0.0784,33225562.0,2024-11-20 23:59:59.999,2675196.90770000,23536,15146598.00000000,1220666.29940000,0
2024-11-21,0.0783,0.0946,0.0762,0.09,87321251.0,2024-11-21 23:59:59.999,7659354.40430000,66674,46058516.00000000,4038889.09350000,0
2024-11-22,0.0899,0.0987,0.0874,0.0986,65289058.0,2024-11-22 23:59:59.999,6033564.75340000,53840,33606687.00000000,3112359.57930000,0
2024-11-23,0.0985,0.1085,0.0919,0.1032,63319518.0,2024-11-23 23:59:59.999,6502356.44830000,57087,30120449.00000000,3095085.57760000,0
2024-11-24,0.1033,0.113,0.1002,0.1123,47440722.0,2024-11-24 23:59:59.999,5064263.70360000,53129,22297330.00000000,2383317.39050000,0
2024-11-25,0.1124,0.1132,0.1022,0.1039,32723292.0,2024-11-25 23:59:59.999,3563260.64020000,37025,15331099.00000000,1669444.25410000,0
2024-11-26,0.104,0.1092,0.0982,0.104,30290396.0,2024-11-26 23:59:59.999,3121472.26290000,36372,14590696.00000000,1503414.99480000,0
2024-11-27,0.104,0.1145,0.1014,0.1117,27310204.0,2024-11-27 23:59:59.999,2980268.54690000,25677,13104736.00000000,1428757.67110000,0
2024-11-28,0.1118,0.1119,0.1055,0.1101,24744740.0,2024-11-28 23:59:59.999,2692157.41350000,23743,12380675.00000000,1347069.24990000,0
2024-11-29,0.1101,0.1132,0.1071,0.1125,18759989.0,2024-11-29 23:59:59.999,2074885.34940000,19626,8979833.00000000,994279.02920000,0
2024-11-30,0.1126,0.1206,0.1101,0.1174,28912689.0,2024-11-30 23:59:59.999,3378872.14770000,30553,14230800.00000000,1663413.63810000,0
2024-12-01,0.1174,0.1178,0.1108,0.1139,35606980.0,2024-12-01 23:59:59.999,4072658.53890000,32869,18358074.00000000,2100232.60590000,0
2024-12-02,0.1139,0.12,0.1065,0.1189,39007989.0,2024-12-02 23:59:59.999,4417306.63440000,43296,18786110.00000000,2130280.56910000,0
2024-12-03,0.1188,0.1316,0.1138,0.1312,66867226.0,2024-12-03 23:59:59.999,8233017.82070000,68081,31984305.00000000,3940470.78780000,0
2024-12-04,0.1312,0.1391,0.1276,0.1345,50090289.0,2024-12-04 23:59:59.999,6716131.10080000,62622,24337969.00000000,3267569.40760000,0
2024-12-05,0.1346,0.1424,0.1277,0.1368,54471733.0,2024-12-05 23:59:59.999,7462415.67510000,63714,26268054.00000000,3599741.71690000,0
2024-12-06,0.1368,0.1447,0.1311,0.1382,41024920.0,2024-12-06 23:59:59.999,5696127.10840000,49394,20271762.00000000,2815091.46500000,0
2024-12-07,0.1382,0.1397,0.1309,0.1316,26198543.0,2024-12-07 23:59:59.999,3535634.76500000,31912,13075002.00000000,1766279.84790000,0
2024-12-08,0.1317,0.1353,0.1278,0.135,19086337.0,2024-12-08 23:59:59.999,2509135.43740000,29102,9548435.00000000,1256373.28730000,0
2024-12-09,0.1349,0.135,0.097,0.1097,55325294.0,2024-12-09 23:59:59.999,6406635.11740000,70928,27956153.00000000,3227224.47610000,0
2024-12-10,0.1097,0.113,0.0974,0.108,44520326.0,2024-12-10 23:59:59.999,4735173.57790000,44358,21972797.00000000,2338437.30750000,0
