Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2024-11-17,0.007704,0.007778,0.007045,0.007553,5969642542.0,2024-11-17 23:59:59.999,44333182.77416300,259933,2870832672.00,21315942.57825800,0
2024-11-18,0.007552,0.007941,0.007328,0.007785,5553868130.0,2024-11-18 23:59:59.999,42395584.83361400,223602,2731809820.00,20869017.60940400,0
2024-11-19,0.007786,0.00815,0.007212,0.007421,6152452461.0,2024-11-19 23:59:59.999,47142534.35866700,234769,3080111164.00,23624688.41632200,0
2024-11-20,0.007421,0.00755,0.006812,0.006925,4477598601.0,2024-11-20 23:59:59.999,32145970.16871700,171435,2276872405.00,16375310.89786800,0
2024-11-21,0.006927,0.007433,0.006624,0.007405,4922047899.0,2024-11-21 23:59:59.999,35073164.07073200,168192,2496479521.00,17789332.28081900,0
2024-11-22,0.007406,0.007447,0.006952,0.007303,3772076678.0,2024-11-22 23:59:59.999,27172091.85293400,138097,1801512002.00,12981590.87462600,0
2024-11-23,0.007306,0.008489,0.00726,0.008034,9881255963.0,2024-11-23 23:59:59.999,78153447.55231900,377059,5020968085.00,39720454.25209200,0
2024-11-24,0.008033,0.010429,0.007702,0.009398,24443409032.0,2024-11-24 23:59:59.999,220780611.13188900,950262,12491346334.00,112784804.84351300,0
2024-11-25,0.009404,0.009412,0.008357,0.008762,9123225951.0,2024-11-25 23:59:59.999,80452530.16066100,352215,4357785041.00,38448937.39718700,0
2024-11-26,0.008761,0.009205,0.007986,0.008316,7750805941.0,2024-11-26 23:59:59.999,66158619.61139400,274454,3780986281.00,32300581.61096200,0
2024-11-27,0.008311,0.008775,0.008081,0.00867,5461437445.0,2024-11-27 23:59:59.999,45919970.74520800,178154,2752807557.00,23146388.42288900,0
2024-11-28,0.008669,0.00893,0.008454,0.008798,4599010591.0,2024-11-28 23:59:59.999,39882571.26752500,162428,2264580013.00,19640701.76275400,0
2024-11-29,0.008799,0.009119,0.008587,0.009027,3685096480.0,2024-11-29 23:59:59.999,32564865.85085900,140653,1770155009.00,15650355.26814700,0
2024-11-30,0.009026,0.009392,0.008782,0.009245,4357444016.0,2024-11-30 23:59:59.999,39677571.15345000,206005,2144606459.00,19532149.96498600,0
2024-12-01,0.009246,0.00929,0.008809,0.008946,3763411741.0,2024-12-01 23:59:59.999,34111614.74896000,144521,1831316236.00,16610895.06322800,0
2024-12-02,0.008947,0.009178,0.008009,0.008694,6476398280.0,2024-12-02 23:59:59.999,55219994.38016800,259708,3142513905.00,26792075.18998300,0
2024-12-03,0.008694,0.009584,0.00825,0.009482,9598049946.0,2024-12-03 23:59:59.999,86332715.32642700,443307,4856045715.00,43673231.02292000,0
2024-12-04,0.009483,0.009887,0.009104,0.009401,7426109456.0,2024-12-04 23:59:59.999,70903210.61754400,299070,3737340822.00,35704887.79851800,0
2024-12-05,0.009402,0.009845,0.008777,0.00947,7016354435.0,2024-12-05 23:59:59.999,66402480.50092200,288880,3582945284.00,33943693.11767400,0
2024-12-06,0.009473,0.010141,0.009294,0.009662,5799203321.0,2024-12-06 23:59:59.999,56312119.02279200,251346,2878511318.00,27983891.36174000,0
2024-12-07,0.009663,0.010443,0.009538,0.009897,5999272943.0,2024-12-07 23:59:59.999,60005310.35734900,207698,2802468782.00,28055132.15931800,0
2024-12-08,0.009897,0.010092,0.009529,0.009881,3334726919.0,2024-12-08 23:59:59.999,32735554.30450800,132219,1671429227.00,16409327.56247900,0
2024-12-09,0.009883,0.009909,0.006156,0.007591,11574402678.0,2024-12-09 23:59:59.999,96706915.27915700,442053,5494302389.00,45826790.89603300,0
2024-12-10,0.007589,0.0078,0.006707,0.007424,10362039120.0,2024-12-10 23:59:59.999,75131850.29050000,307934,5253699195.00,38133159.92649200,0
2024-12-11,0.007425,0.0085,0.007154,0.008337,6598654585.0,2024-12-11 23:59:59.999,52353331.18707600,194588,3457151763.00,27409800.50772900,0
2024-12-12,0.008338,0.008784,0.008201,0.008335,4224256336.0,2024-12-12 23:59:59.999,35823111.51741700,146043,1961117833.00,16638701.50860800,0
2024-12-13,0.008337,0.008447,0.008028,0.008253,3414196631.0,2024-12-13 23:59:59.999,27995340.80261500,105546,1621745060.00,13301069.66538400,0
2024-12-14,0.008252,0.00838,0.007704,0.007919,2051394125.0,2024-12-14 23:59:59.999,16366540.71413900,68765,980380369.00,7830634.36662900,0
2024-12-15,0.007923,0.008206,0.007663,0.008164,1790223383.0,2024-12-15 23:59:59.999,14257690.76788600,69268,850118422.00,6772054.06610000,0
2024-12-16,0.008165,0.008356,0.007673,0.007875,2865524381.0,2024-12-16 23:59:59.999,22876410.65258600,93481,1344109071.00,10731132.19113200,0
2024-12-17,0.007875,0.007935,0.007352,0.007458,2619762123.0,2024-12-17 23:59:59.999,20154204.16900700,85818,1313194442.00,10103518.73426000,0
2024-12-18,0.007458,0.00752,0.006692,0.00682,5186624989.0,2024-12-18 23:59:59.999,36899456.70276200,185615,2509913937.00,17883455.58818500,0
2024-12-19,0.006815,0.006965,0.006,0.006242,6590877002.0,2024-12-19 23:59:59.999,42610190.10488100,255526,3447725312.00,22367343.61693100,0
2024-12-20,0.006243,0.006642,0.005574,0.006608,5056724115.0,2024-12-20 23:59:59.999,30821136.68526500,185473,2428040948.00,14823985.75338800,0
2024-12-21,0.006612,0.00705,0.006115,0.006253,2183937044.0,2024-12-21 23:59:59.999,14247482.54641900,85379,1017855646.00,6643632.13839900,0
2024-12-22,0.00626,0.006513,0.006082,0.006242,1582409184.0,2024-12-22 23:59:59.999,9960638.23323900,64459,798223304.00,5029767.69661100,0
2024-12-23,0.006245,0.006752,0.006104,0.006649,2004632905.0,2024-12-23 23:59:59.999,12818486.81377400,75731,935031588.00,5977952.77481000,0
2024-12-24,0.006649,0.006936,0.006469,0.006872,2149050919.0,2024-12-24 23:59:59.999,14422576.76970000,110890,1085688139.00,7287461.72255700,0
2024-12-25,0.006869,0.006961,0.006631,0.006733,1160108868.0,2024-12-25 23:59:59.999,7890231.96102300,45987,546352021.00,3717133.17950600,0
2024-12-26,0.006732,0.006812,0.006189,0.006274,1676282010.0,2024-12-26 23:59:59.999,10702550.90328500,55529,755967131.00,4834928.17941700,0
2024-12-27,0.006275,0.00672,0.006236,0.006408,1416732685.0,2024-12-27 23:59:59.999,9182161.05469900,60378,697663630.00,4520172.65039000,0
2024-12-28,0.006407,0.006575,0.006276,0.006521,1282295994.0,2024-12-28 23:59:59.999,8194281.65426000,55289,606894734.00,3880484.34353900,0
2024-12-29,0.006522,0.006556,0.006183,0.006244,758865529.0,2024-12-29 23:59:59.999,4846432.46339300,33997,374054032.00,2388207.63975500,0
2024-12-30,0.006244,0.00647,0.006058,0.006235,1330851680.0,2024-12-30 23:59:59.999,8359009.08608900,50666,677090890.00,4253430.21677200,0
2024-12-31,0.006234,0.006458,0.00606,0.006303,1017078468.0,2024-12-31 23:59:59.999,6389459.65909400,42532,480152324.00,3016767.60308100,0
2025-01-01,0.006302,0.006482,0.006193,0.006437,1105172026.0,2025-01-01 23:59:59.999,7019667.98262200,40838,534987807.00,3398674.65702900,0
2025-01-02,0.006438,0.006692,0.006429,0.006573,1404021470.0,2025-01-02 23:59:59.999,9257243.92969700,59873,649826529.00,4286807.20361700,0
2025-01-03,0.006577,0.006928,0.006468,0.006851,1254564485.0,2025-01-03 23:59:59.999,8435980.39281600,51487,615283545.00,4136352.59881500,0
2025-01-04,0.00685,0.006918,0.006681,0.006792,1089944311.0,2025-01-04 23:59:59.999,7419024.19496900,44486,515976376.00,3513808.99281600,0
2025-01-05,0.006792,0.006889,0.006621,0.006833,845584067.0,2025-01-05 23:59:59.999,5710736.36027400,35863,446700499.00,3018511.32344000,0
2025-01-06,0.006834,0.00706,0.006682,0.006836,1550843911.0,2025-01-06 23:59:59.999,10652327.93873700,57531,800882815.00,5505759.06025100,0
2025-01-07,0.006836,0.006872,0.00608,0.006091,2442815172.0,2025-01-07 23:59:59.999,15671426.85928900,114716,1203066290.00,7712040.57463000,0
2025-01-08,0.006091,0.006141,0.005561,0.005854,2332386862.0,2025-01-08 23:59:59.999,13686053.13695300,81781,1120143842.00,6572894.42929000,0
2025-01-09,0.005853,0.005956,0.005603,0.005775,1506155995.0,2025-01-09 23:59:59.999,8700939.61472900,59662,686610213.00,3970163.07876400,0
2025-01-10,0.005774,0.006535,0.005774,0.006532,3346255584.0,2025-01-10 23:59:59.999,20470202.91586300,103044,1764903771.00,10812949.35722600,0
2025-01-11,0.006531,0.006683,0.006311,0.006536,4217514774.0,2025-01-11 23:59:59.999,27429914.09696100,127208,2113981817.00,13755891.79328800,0
2025-01-12,0.006535,0.006573,0.006278,0.006331,1298156226.0,2025-01-12 23:59:59.999,8369278.22044100,50030,639289819.00,4124157.02751200,0
2025-01-13,0.006333,0.006467,0.005689,0.006273,3105173151.0,2025-01-13 23:59:59.999,18819438.45652200,112885,1473789513.00,8929078.53856500,0
2025-01-14,0.006274,0.006381,0.006079,0.006273,1633568327.0,2025-01-14 23:59:59.999,10152785.61046500,56573,876068321.00,5444519.18325600,0
2025-01-15,0.006275,0.006655,0.0061,0.006551,2472436586.0,2025-01-15 23:59:59.999,15873627.64528000,92526,1281676838.00,8230631.76920200,0
