Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2024-11-17,0.3388,0.3982,0.3187,0.3275,30157918.0,2024-11-17 23:59:59.999,10794672.95680000,116116,14666755.00000000,5261085.78140000,0
2024-11-18,0.3278,0.3525,0.3218,0.3513,13126523.0,2024-11-18 23:59:59.999,4389293.88450000,55869,6231284.00000000,2085302.28680000,0
2024-11-19,0.3513,0.3535,0.3287,0.3394,5604372.0,2024-11-19 23:59:59.999,1922306.25160000,33278,2508563.00000000,860159.44740000,0
2024-11-20,0.339,0.3409,0.315,0.3196,3895234.0,2024-11-20 23:59:59.999,1280631.84760000,23994,1981666.00000000,652232.41070000,0
2024-11-21,0.3198,0.3422,0.3084,0.3411,7416418.0,2024-11-21 23:59:59.999,2451480.46830000,48058,3763205.00000000,1246332.22720000,0
2024-11-22,0.341,0.346,0.3221,0.345,6173715.0,2024-11-22 23:59:59.999,2065975.31910000,38649,3088271.00000000,1032515.43230000,0
2024-11-23,0.3449,0.3758,0.3422,0.3727,10365670.0,2024-11-23 23:59:59.999,3746946.30250000,62466,5307372.00000000,1921530.62280000,0
2024-11-24,0.3729,0.3928,0.3526,0.3828,8996506.0,2024-11-24 23:59:59.999,3380012.03760000,64450,4634825.00000000,1742179.27280000,0
2024-11-25,0.3828,0.3891,0.3563,0.3655,8403948.0,2024-11-25 23:59:59.999,3172767.29170000,64494,4231984.00000000,1598057.86720000,0
2024-11-26,0.3652,0.3712,0.3327,0.357,6793674.0,2024-11-26 23:59:59.999,2375466.17910000,52658,3335863.00000000,1165922.84850000,0
2024-11-27,0.3564,0.3912,0.3499,0.3841,8951868.0,2024-11-27 23:59:59.999,3369666.66760000,51582,4153208.00000000,1563350.87330000,0
2024-11-28,0.3841,0.39,0.371,0.3824,5245186.0,2024-11-28 23:59:59.999,2005534.82710000,40356,2439222.00000000,932985.55200000,0
2024-11-29,0.3825,0.4043,0.3708,0.4009,5434099.0,2024-11-29 23:59:59.999,2116859.82370000,34539,2843547.00000000,1107937.16220000,0
2024-11-30,0.4007,0.4195,0.3951,0.409,6651566.0,2024-11-30 23:59:59.999,2736967.72010000,41218,3042367.00000000,1252092.99430000,0
2024-12-01,0.409,0.4405,0.3979,0.4315,8018148.0,2024-12-01 23:59:59.999,3377325.87290000,57712,4126321.00000000,1740360.25000000,0
2024-12-02,0.4317,0.4546,0.4138,0.4512,13171412.0,2024-12-02 23:59:59.999,5722732.88440000,90887,6426739.00000000,2795318.42260000,0
2024-12-03,0.4513,0.598,0.4455,0.5493,37111300.0,2024-12-03 23:59:59.999,19270534.14850000,252212,19121261.00000000,9923927.08480000,0
2024-12-04,0.5494,0.5949,0.5247,0.5683,20975370.0,2024-12-04 23:59:59.999,11721837.31060000,186298,10481871.00000000,5863693.93350000,0
2024-12-05,0.5686,0.627,0.5375,0.563,17049639.0,2024-12-05 23:59:59.999,9973188.37400000,154664,8509249.00000000,4987028.72410000,0
2024-12-06,0.563,0.5996,0.5293,0.552,6741698.0,2024-12-06 23:59:59.999,3798476.57330000,60507,3253166.00000000,1834133.23170000,0
2024-12-07,0.552,0.565,0.5384,0.5423,4543302.0,2024-12-07 23:59:59.999,2515554.48560000,41303,2231693.00000000,1236139.23150000,0
2024-12-08,0.5425,0.5621,0.5,0.5594,5792091.0,2024-12-08 23:59:59.999,3109275.77160000,49571,2619753.00000000,1407466.20870000,0
2024-12-09,0.5594,0.5595,0.42,0.4759,9190842.0,2024-12-09 23:59:59.999,4480455.45840000,92297,4569048.00000000,2220031.88670000,0
2024-12-10,0.4759,0.5193,0.4393,0.4714,13654138.0,2024-12-10 23:59:59.999,6641833.75450000,146195,6824178.00000000,3322728.86650000,0
2024-12-11,0.4717,0.5412,0.4513,0.5369,5514117.0,2024-12-11 23:59:59.999,2764235.34270000,73004,2620651.00000000,1317120.04880000,0
2024-12-12,0.5367,0.5764,0.5231,0.5328,7833296.0,2024-12-12 23:59:59.999,4308514.17620000,96495,3763240.00000000,2072064.51000000,0
2024-12-13,0.5329,0.5773,0.5095,0.5217,9624544.0,2024-12-13 23:59:59.999,5193324.88240000,114662,4692015.00000000,2534695.22110000,0
