Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2024-09-19,0.0901,0.0928,0.0888,0.0914,23752184.0,2024-09-19 23:59:59.999,2157652.50540000,10532,12625659.00000000,1147908.37200000,0
2024-09-20,0.0916,0.0946,0.0895,0.0919,31981063.0,2024-09-20 23:59:59.999,2937810.79120000,14214,16109142.00000000,1479465.05230000,0
2024-09-21,0.0919,0.0941,0.0907,0.0934,10310808.0,2024-09-21 23:59:59.999,948672.57180000,5825,5803195.00000000,534047.08560000,0
2024-09-22,0.0934,0.0936,0.087,0.0898,10886083.0,2024-09-22 23:59:59.999,984473.06700000,6157,5232070.00000000,472944.30170000,0
2024-09-23,0.0898,0.0939,0.0879,0.0929,13086636.0,2024-09-23 23:59:59.999,1210317.08760000,8882,7120212.00000000,658925.14310000,0
2024-09-24,0.093,0.0941,0.0906,0.0934,24878503.0,2024-09-24 23:59:59.999,2295086.63550000,13479,11973524.00000000,1105578.37770000,0
2024-09-25,0.0934,0.0956,0.09,0.0906,14623725.0,2024-09-25 23:59:59.999,1364360.73650000,8286,6865801.00000000,641355.68840000,0
2024-09-26,0.0906,0.0981,0.0894,0.0959,26057292.0,2024-09-26 23:59:59.999,2456050.57800000,12956,15392570.00000000,1455363.37340000,0
2024-09-27,0.0959,0.0985,0.0933,0.097,27616512.0,2024-09-27 23:59:59.999,2652720.28070000,14138,10775635.00000000,1037139.73710000,0
2024-09-28,0.097,0.099,0.0925,0.0945,10730649.0,2024-09-28 23:59:59.999,1021176.43880000,6066,4918080.00000000,467954.34290000,0
2024-09-29,0.0945,0.0972,0.0936,0.0954,15401142.0,2024-09-29 23:59:59.999,1469399.51980000,9910,8063686.00000000,769676.71200000,0
2024-09-30,0.0956,0.0961,0.088,0.089,15145274.0,2024-09-30 23:59:59.999,1399375.40330000,12610,7417287.00000000,685233.43100000,0
2024-10-01,0.089,0.0928,0.0792,0.0809,27827235.0,2024-10-01 23:59:59.999,2399022.44150000,18160,14868005.00000000,1281336.05870000,0
2024-10-02,0.0808,0.0848,0.0772,0.0795,19553168.0,2024-10-02 23:59:59.999,1591474.16770000,11161,10519452.00000000,855948.41670000,0
2024-10-03,0.0794,0.0808,0.075,0.0784,19248407.0,2024-10-03 23:59:59.999,1493899.02350000,10483,9387916.00000000,729037.64080000,0
2024-10-04,0.0784,0.0829,0.0764,0.0817,26145418.0,2024-10-04 23:59:59.999,2080492.95790000,13275,12741982.00000000,1016063.34880000,0
2024-10-05,0.0817,0.0833,0.0798,0.0815,8162435.0,2024-10-05 23:59:59.999,666511.27370000,6047,3493191.00000000,285280.72990000,0
2024-10-06,0.0815,0.0841,0.0806,0.084,9246060.0,2024-10-06 23:59:59.999,760975.74970000,6394,4735439.00000000,389770.84170000,0
2024-10-07,0.0841,0.0859,0.0824,0.0825,12289574.0,2024-10-07 23:59:59.999,1038401.06530000,8010,4944223.00000000,417903.22830000,0
2024-10-08,0.0825,0.0842,0.0809,0.0821,10061334.0,2024-10-08 23:59:59.999,831815.40910000,5343,4004374.00000000,331126.24470000,0
2024-10-09,0.0822,0.0833,0.0787,0.0802,7107333.0,2024-10-09 23:59:59.999,576589.77560000,4313,3215041.00000000,260994.92280000,0
2024-10-10,0.0801,0.0814,0.0764,0.0798,7633665.0,2024-10-10 23:59:59.999,603255.96210000,5166,3757110.00000000,296541.14040000,0
2024-10-11,0.0797,0.0847,0.0793,0.084,9645637.0,2024-10-11 23:59:59.999,796424.69070000,5250,5687904.00000000,470670.81470000,0
2024-10-12,0.0842,0.0858,0.0838,0.0845,7003582.0,2024-10-12 23:59:59.999,593228.14880000,4912,2719334.00000000,230488.28260000,0
2024-10-13,0.0845,0.0849,0.0823,0.0849,5248836.0,2024-10-13 23:59:59.999,439852.27500000,4145,2412168.00000000,202329.60000000,0
