Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2025-04-11,0.7056,0.9287,0.7056,0.8938,19980553.1,2025-04-11 23:59:59.999,17965044.48501000,87805,10429719.10000000,9385165.59617000,0
2025-04-12,0.8939,0.9267,0.8644,0.9052,18083429.6,2025-04-12 23:59:59.999,16218840.28002000,89539,8474831.30000000,7599417.27007000,0
2025-04-13,0.9053,0.9274,0.8384,0.8476,14710010.1,2025-04-13 23:59:59.999,12996916.50846000,82076,7374744.10000000,6531662.06125000,0
2025-04-14,0.8476,0.9136,0.8449,0.8757,18385716.5,2025-04-14 23:59:59.999,16239073.92126000,88305,8989573.10000000,7941115.22390000,0
2025-04-15,0.8758,0.91,0.8278,0.8321,17129634.3,2025-04-15 23:59:59.999,14866486.52842000,85809,8124961.80000000,7059127.22483000,0
2025-04-16,0.832,0.8443,0.8022,0.8194,15545902.8,2025-04-16 23:59:59.999,12824203.84755000,87943,7818500.10000000,6456267.34849000,0
2025-04-17,0.8193,0.8516,0.8174,0.8291,11785441.5,2025-04-17 23:59:59.999,9866265.67055000,70413,6431156.80000000,5386484.59514000,0
2025-04-18,0.8292,0.8382,0.8218,0.8308,6526474.7,2025-04-18 23:59:59.999,5415931.48940000,49362,3700760.00000000,3071722.91371000,0
2025-04-19,0.8306,0.8586,0.8288,0.8549,6507379.2,2025-04-19 23:59:59.999,5504439.07007000,50812,3858791.30000000,3264782.48490000,0
2025-04-20,0.855,0.8628,0.8199,0.8382,7426152.4,2025-04-20 23:59:59.999,6238382.97853000,43021,3606625.20000000,3028564.63573000,0
2025-04-21,0.8382,0.8917,0.8357,0.8513,16587273.9,2025-04-21 23:59:59.999,14386928.60385000,97478,8037374.80000000,6968923.86220000,0
2025-04-22,0.851,0.9222,0.8365,0.9151,21074238.9,2025-04-22 23:59:59.999,18542103.62907000,140658,10083621.50000000,8873807.79986000,0
2025-04-23,0.9151,0.9532,0.9033,0.9154,25649355.3,2025-04-23 23:59:59.999,23828735.19732000,198993,12751808.20000000,11849363.27037000,0
2025-04-24,0.9154,1.05,0.8663,0.9792,52022166.3,2025-04-24 23:59:59.999,50052977.66622000,407049,25337001.10000000,24332192.00036000,0
2025-04-25,0.9791,1.0376,0.9429,0.9897,49864155.1,2025-04-25 23:59:59.999,49653068.98626000,323165,25623160.90000000,25527927.01058000,0
2025-04-26,0.99,1.05,0.9841,0.9946,26739632.4,2025-04-26 23:59:59.999,27046927.00671000,176283,13177189.20000000,13334564.01765000,0
2025-04-27,0.9947,1.0073,0.9349,0.9445,28465802.6,2025-04-27 23:59:59.999,27356392.91286000,136668,14780745.30000000,14204979.88120000,0
2025-04-28,0.9445,0.9962,0.9139,0.9733,42768819.9,2025-04-28 23:59:59.999,41256824.10017000,251844,22669303.30000000,21868530.48819000,0
2025-04-29,0.9734,0.9912,0.9184,0.9295,24108907.5,2025-04-29 23:59:59.999,23199346.05250000,154113,13133872.20000000,12637685.84461000,0
2025-04-30,0.9296,0.9434,0.8741,0.9073,24589074.2,2025-04-30 23:59:59.999,22421040.33828000,157032,12168105.90000000,11095645.87905000,0
2025-05-01,0.9073,0.9367,0.9028,0.914,25603898.1,2025-05-01 23:59:59.999,23516447.98991000,145779,12728968.90000000,11689946.32496000,0
2025-05-02,0.9142,0.9279,0.8911,0.9222,13933115.5,2025-05-02 23:59:59.999,12710097.90016000,99015,6707938.20000000,6119979.22176000,0
2025-05-03,0.9221,0.9224,0.8681,0.8747,10910551.9,2025-05-03 23:59:59.999,9714634.30230000,81386,5434094.50000000,4838144.13177000,0
2025-05-04,0.8747,0.8876,0.8513,0.8587,10660116.6,2025-05-04 23:59:59.999,9231584.58631000,79125,4982678.80000000,4318824.71301000,0
2025-05-05,0.8586,0.8912,0.8514,0.8676,13135662.8,2025-05-05 23:59:59.999,11426786.92780000,92730,6623801.20000000,5763576.08810000,0
2025-05-06,0.8678,0.8711,0.8285,0.8676,12787538.2,2025-05-06 23:59:59.999,10883678.75355000,93502,6237201.50000000,5309706.68447000,0
2025-05-07,0.8677,0.8832,0.8463,0.8725,13783527.2,2025-05-07 23:59:59.999,11932253.75208000,107953,7023442.80000000,6086284.54590000,0
2025-05-08,0.8725,0.9861,0.8716,0.9757,31170063.2,2025-05-08 23:59:59.999,29121193.82024000,195234,15978007.20000000,14943444.09838000,0
2025-05-09,0.9756,1.062,0.9641,1.0056,37323363.6,2025-05-09 23:59:59.999,37793127.28852000,319668,19311659.40000000,19550364.91504000,0
2025-05-10,1.0057,1.1081,0.9931,1.1018,31238667.6,2025-05-10 23:59:59.999,32589403.07761000,274008,16353829.60000000,17070142.93554000,0
2025-05-11,1.1017,1.11,1.0067,1.039,29436566.2,2025-05-11 23:59:59.999,30795943.02718000,239791,16182616.40000000,16906710.95069000,0
2025-05-12,1.0391,1.1104,0.9743,1.0293,39641485.4,2025-05-12 23:59:59.999,41605368.43036000,353984,19902088.60000000,20893949.30112000,0
2025-05-13,1.0293,1.0786,0.9724,1.044,32545095.0,2025-05-13 23:59:59.999,33307400.22990000,281190,17872864.80000000,18306482.23069000,0
2025-05-14,1.0439,1.144,0.9966,1.0086,56439272.0,2025-05-14 23:59:59.999,59165734.71585000,421750,29828504.30000000,31311646.80215000,0
2025-05-15,1.0087,1.0317,0.9513,0.971,41739888.0,2025-05-15 23:59:59.999,41061309.45198000,308257,21482837.50000000,21151385.75621000,0
