Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2024-09-19,0.01243,0.01316,0.01243,0.01281,135995817.5,2024-09-19 23:59:59.999,1751853.78852200,16094,65372558.90000000,842542.34589700,0
2024-09-20,0.01282,0.0136,0.01265,0.01345,112946644.9,2024-09-20 23:59:59.999,1499583.90308400,13259,58977740.60000000,782745.90812000,0
2024-09-21,0.01344,0.01449,0.01314,0.01407,155364035.5,2024-09-21 23:59:59.999,2153132.17528300,18510,77227090.20000000,1070343.54065100,0
2024-09-22,0.01407,0.01407,0.01309,0.01364,106497550.2,2024-09-22 23:59:59.999,1447085.20404700,12819,52692021.70000000,716647.03587500,0
2024-09-23,0.01365,0.01439,0.01336,0.01417,183001699.7,2024-09-23 23:59:59.999,2568800.07481900,31350,69742052.30000000,979235.94246000,0
2024-09-24,0.01416,0.01442,0.01375,0.01427,126204350.1,2024-09-24 23:59:59.999,1785687.75498400,17497,60252215.90000000,853305.80556300,0
2024-09-25,0.01427,0.01468,0.0139,0.01401,122995210.4,2024-09-25 23:59:59.999,1751428.30199700,15495,59332559.70000000,845733.95011400,0
2024-09-26,0.01402,0.01489,0.01381,0.01445,136764860.8,2024-09-26 23:59:59.999,1973322.30527900,16320,69036171.60000000,996028.72065800,0
2024-09-27,0.01445,0.01521,0.01441,0.01506,115849398.2,2024-09-27 23:59:59.999,1724855.16366300,14604,61852078.20000000,921628.37480600,0
2024-09-28,0.01506,0.01537,0.01428,0.01462,95402028.4,2024-09-28 23:59:59.999,1416309.12086800,12465,43951138.70000000,652851.06401400,0
2024-09-29,0.01461,0.015,0.01416,0.01468,85876814.5,2024-09-29 23:59:59.999,1247083.79883800,12813,41892169.60000000,609548.66882000,0
2024-09-30,0.01469,0.01479,0.01334,0.01346,141107490.7,2024-09-30 23:59:59.999,1985113.11101500,21113,71521137.20000000,1006275.06274500,0
2024-10-01,0.01344,0.01411,0.01181,0.01213,214438859.4,2024-10-01 23:59:59.999,2748029.32870700,26889,99397967.20000000,1279957.17516300,0
2024-10-02,0.01213,0.01274,0.01155,0.01195,166257112.6,2024-10-02 23:59:59.999,2025757.63465600,20660,81914500.30000000,1000331.83790400,0
2024-10-03,0.01193,0.01221,0.01125,0.01166,125420836.3,2024-10-03 23:59:59.999,1467586.84356300,14996,61765166.10000000,723144.23483300,0
2024-10-04,0.01167,0.01244,0.01155,0.01242,97081408.9,2024-10-04 23:59:59.999,1167572.87594800,12481,55172236.10000000,663767.44760400,0
2024-10-05,0.01242,0.01248,0.01184,0.01212,52141007.7,2024-10-05 23:59:59.999,635821.19332400,6700,23361370.40000000,285086.09300200,0
2024-10-06,0.01211,0.0127,0.01205,0.01269,69903370.3,2024-10-06 23:59:59.999,870173.49179200,9386,34886696.80000000,433962.54382300,0
2024-10-07,0.0127,0.01345,0.01263,0.013,133166152.2,2024-10-07 23:59:59.999,1737123.21224600,18348,54966171.00000000,716956.19532900,0
2024-10-08,0.01301,0.01331,0.01264,0.013,84205169.3,2024-10-08 23:59:59.999,1090081.94023000,10893,41905822.70000000,542609.52605900,0
2024-10-09,0.013,0.01326,0.01208,0.01224,102846237.5,2024-10-09 23:59:59.999,1307719.83876500,13108,51941768.40000000,660414.51683100,0
2024-10-10,0.01223,0.01242,0.01177,0.01223,106031503.7,2024-10-10 23:59:59.999,1282405.06670700,13383,51204405.10000000,619462.64621000,0
2024-10-11,0.01221,0.0127,0.01211,0.01255,94141428.2,2024-10-11 23:59:59.999,1171944.50251900,11865,53693621.50000000,668419.69700200,0
2024-10-12,0.01256,0.01362,0.01256,0.01332,200210986.5,2024-10-12 23:59:59.999,2644120.48568700,21578,98127981.00000000,1297490.31016600,0
2024-10-13,0.01333,0.0136,0.01276,0.0131,113571907.7,2024-10-13 23:59:59.999,1500020.96077500,11984,46704704.90000000,617331.31991200,0
2024-10-14,0.0131,0.014,0.01291,0.01384,115178570.3,2024-10-14 23:59:59.999,1574472.97981700,12729,56659344.00000000,775476.47461800,0
2024-10-15,0.01385,0.01442,0.01347,0.01389,162882893.2,2024-10-15 23:59:59.999,2269385.42291900,19045,76416871.40000000,1065873.02434100,0
2024-10-16,0.01389,0.01403,0.01324,0.0137,213088325.7,2024-10-16 23:59:59.999,2895645.88179200,21522,114323768.70000000,1556128.94447700,0
2024-10-17,0.01369,0.01393,0.01287,0.01336,109755448.8,2024-10-17 23:59:59.999,1459371.13416200,12897,57748302.20000000,767938.24092300,0
2024-10-18,0.01337,0.01416,0.01333,0.01403,91499610.1,2024-10-18 23:59:59.999,1266511.83714900,12164,38877716.30000000,539098.76150100,0
2024-10-19,0.01402,0.01458,0.01388,0.0142,110274516.4,2024-10-19 23:59:59.999,1564329.75285400,12510,55554806.30000000,787863.96964100,0
2024-10-20,0.0142,0.01527,0.0139,0.01524,205733985.9,2024-10-20 23:59:59.999,3024215.10276500,21915,103920100.20000000,1528738.55991800,0
2024-10-21,0.01525,0.01532,0.01417,0.01418,133889801.1,2024-10-21 23:59:59.999,1955955.45383800,13179,56527696.20000000,827276.24907000,0
