Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2024-11-17,0.2322,0.2323,0.2102,0.215,17934754.0,2024-11-17 23:59:59.999,3967410.37320000,28181,8403512.00000000,1860716.70360000,0
2024-11-18,0.215,0.2358,0.2128,0.2301,15371860.0,2024-11-18 23:59:59.999,3463307.09140000,24804,6929660.00000000,1561827.45090000,0
2024-11-19,0.2301,0.2402,0.219,0.2274,15719077.0,2024-11-19 23:59:59.999,3609976.94800000,29145,7725329.00000000,1778440.75630000,0
2024-11-20,0.2274,0.2323,0.2113,0.2147,10343131.0,2024-11-20 23:59:59.999,2276405.92020000,18777,4785634.00000000,1053774.44350000,0
2024-11-21,0.2148,0.233,0.2083,0.2327,17119608.0,2024-11-21 23:59:59.999,3857099.75560000,29667,8348378.00000000,1883311.94580000,0
2024-11-22,0.2329,0.2433,0.2265,0.2433,15216535.0,2024-11-22 23:59:59.999,3557987.01800000,26126,7244381.00000000,1695448.79670000,0
2024-11-23,0.2432,0.2614,0.2396,0.2505,28331523.0,2024-11-23 23:59:59.999,7133520.75060000,48540,14687678.00000000,3699301.92820000,0
2024-11-24,0.2501,0.2784,0.2374,0.2619,30933332.0,2024-11-24 23:59:59.999,7985790.46710000,57624,15445982.00000000,3995701.57950000,0
2024-11-25,0.2621,0.2725,0.2495,0.2569,18319248.0,2024-11-25 23:59:59.999,4793077.93700000,38845,8916795.00000000,2333119.79710000,0
2024-11-26,0.2568,0.2732,0.2434,0.2643,22216847.0,2024-11-26 23:59:59.999,5739011.82210000,46613,11433430.00000000,2952702.36730000,0
2024-11-27,0.2643,0.274,0.2589,0.2739,16859435.0,2024-11-27 23:59:59.999,4487623.55760000,30946,8494410.00000000,2261714.91300000,0
2024-11-28,0.274,0.2754,0.2622,0.2695,9827374.0,2024-11-28 23:59:59.999,2632648.29740000,20833,4954139.00000000,1328162.18070000,0
2024-11-29,0.2696,0.2858,0.2621,0.2843,12456378.0,2024-11-29 23:59:59.999,3405506.17390000,26578,5987907.00000000,1635390.58640000,0
2024-11-30,0.2843,0.2929,0.2764,0.289,13523896.0,2024-11-30 23:59:59.999,3843621.63500000,29578,6665528.00000000,1894757.85070000,0
2024-12-01,0.2886,0.2977,0.2789,0.295,10839051.0,2024-12-01 23:59:59.999,3112816.01480000,24766,5277429.00000000,1517307.24530000,0
2024-12-02,0.2949,0.3145,0.2797,0.3101,31517696.0,2024-12-02 23:59:59.999,9384553.47090000,67409,15103925.00000000,4494832.34110000,0
2024-12-03,0.31,0.3954,0.2979,0.3954,68544481.0,2024-12-03 23:59:59.999,23101302.88840000,152150,33751295.00000000,11411426.81740000,0
2024-12-04,0.3951,0.3967,0.3474,0.3553,36954894.0,2024-12-04 23:59:59.999,13606002.97550000,81080,17583165.00000000,6476462.94770000,0
2024-12-05,0.3554,0.3627,0.333,0.3452,26840547.0,2024-12-05 23:59:59.999,9436511.85570000,63959,13705037.00000000,4819608.87390000,0
2024-12-06,0.3454,0.3579,0.325,0.3519,16532740.0,2024-12-06 23:59:59.999,5696188.41840000,44042,7985844.00000000,2753934.78350000,0
2024-12-07,0.3519,0.3598,0.3439,0.3464,11974859.0,2024-12-07 23:59:59.999,4220978.52120000,30662,5735911.00000000,2021733.82300000,0
2024-12-08,0.346,0.3537,0.3366,0.3518,7485101.0,2024-12-08 23:59:59.999,2587951.93890000,26130,3692554.00000000,1277140.32770000,0
2024-12-09,0.3519,0.354,0.25,0.2821,18052760.0,2024-12-09 23:59:59.999,5547436.89100000,58342,9423056.00000000,2892536.77970000,0
2024-12-10,0.2819,0.2865,0.2442,0.2712,17582541.0,2024-12-10 23:59:59.999,4736265.00360000,43909,8273684.00000000,2230701.94290000,0
2024-12-11,0.2711,0.2923,0.2596,0.2883,15794878.0,2024-12-11 23:59:59.999,4353821.42790000,38609,7515417.00000000,2075128.60310000,0
2024-12-12,0.2882,0.3027,0.283,0.2919,14895782.0,2024-12-12 23:59:59.999,4381455.98780000,38287,7139728.00000000,2101873.19360000,0
2024-12-13,0.292,0.2946,0.2819,0.2921,10018964.0,2024-12-13 23:59:59.999,2899879.64390000,26030,4951613.00000000,1434315.58870000,0
2024-12-14,0.292,0.2945,0.2682,0.2746,8130975.0,2024-12-14 23:59:59.999,2279790.78050000,21166,3946515.00000000,1105504.19530000,0
2024-12-15,0.2746,0.2856,0.2678,0.2845,9826903.0,2024-12-15 23:59:59.999,2721023.34760000,27312,5036975.00000000,1395470.76250000,0
2024-12-16,0.2846,0.2878,0.2652,0.2768,13970900.0,2024-12-16 23:59:59.999,3902737.73350000,34549,7012778.00000000,1960957.75130000,0
2024-12-17,0.2768,0.2778,0.2475,0.2612,12798339.0,2024-12-17 23:59:59.999,3457319.33580000,30606,6128669.00000000,1654579.16240000,0
2024-12-18,0.2612,0.2625,0.23,0.2332,15548065.0,2024-12-18 23:59:59.999,3844095.98400000,36144,7935569.00000000,1962059.14670000,0
2024-12-19,0.2331,0.2388,0.2092,0.2155,18926272.0,2024-12-19 23:59:59.999,4230072.20620000,35320,8842766.00000000,1979030.12680000,0
2024-12-20,0.2156,0.2319,0.1943,0.2302,19607446.0,2024-12-20 23:59:59.999,4183085.23420000,37282,9491552.00000000,2024352.49960000,0
