Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2024-11-17,1.778,1.822,1.646,1.678,36881303.46,2024-11-17 23:59:59.999,64103255.56648000,346621,18260679.76000000,31769610.83079000,0
2024-11-18,1.678,1.845,1.663,1.832,39220912.32,2024-11-18 23:59:59.999,68408244.41288000,375661,20219474.95000000,35294957.54680000,0
2024-11-19,1.832,1.849,1.688,1.76,21361501.97,2024-11-19 23:59:59.999,37513602.81348000,238279,10141782.43000000,17830352.32162000,0
2024-11-20,1.761,1.806,1.622,1.649,25334487.27,2024-11-20 23:59:59.999,43643711.38919000,255442,12364436.11000000,21308991.08191000,0
2024-11-21,1.65,2.22,1.601,2.083,95643587.96,2024-11-21 23:59:59.999,190382687.85776000,1041711,47975072.50000000,95578482.22520000,0
2024-11-22,2.083,2.35,2.007,2.209,83094713.85,2024-11-22 23:59:59.999,178190611.64824000,716100,41649733.49000000,89280007.54496000,0
2024-11-23,2.209,2.336,2.153,2.205,62820496.13,2024-11-23 23:59:59.999,140359164.87467000,629832,29945308.09000000,66927539.00504000,0
2024-11-24,2.205,2.345,2.032,2.201,43040629.58,2024-11-24 23:59:59.999,94175716.63363000,583265,21170159.08000000,46260052.79006000,0
2024-11-25,2.202,2.439,2.106,2.299,68063868.57,2024-11-25 23:59:59.999,155362116.11539000,594862,33939468.76000000,77618908.21858000,0
2024-11-26,2.299,2.361,2.103,2.203,44535908.83,2024-11-26 23:59:59.999,98619804.40534000,302900,22365871.36000000,49508156.96625000,0
2024-11-27,2.204,2.51,2.155,2.507,42706050.06,2024-11-27 23:59:59.999,99078469.99312000,294132,21745541.54000000,50488200.61791000,0
2024-11-28,2.507,2.624,2.288,2.36,40029356.88,2024-11-28 23:59:59.999,96192050.69085000,262992,19098255.81000000,45935528.29721000,0
2024-11-29,2.36,2.412,2.302,2.383,20226170.52,2024-11-29 23:59:59.999,47700270.77334000,170706,9415535.92000000,22216363.79428000,0
2024-11-30,2.383,2.499,2.347,2.449,25630559.53,2024-11-30 23:59:59.999,62269543.12207000,226883,12469361.98000000,30307702.59663000,0
2024-12-01,2.449,2.547,2.375,2.467,27675151.88,2024-12-01 23:59:59.999,67799848.46036000,224091,13777800.21000000,33782324.09933000,0
2024-12-02,2.466,2.575,2.281,2.56,44080168.38,2024-12-02 23:59:59.999,106560633.03779000,383362,21767694.48000000,52671584.38678000,0
2024-12-03,2.559,2.598,2.321,2.55,42207153.19,2024-12-03 23:59:59.999,105107497.08889000,336674,20917909.28000000,52132934.44959000,0
2024-12-04,2.551,2.763,2.503,2.546,62520201.31,2024-12-04 23:59:59.999,163912591.88374000,458320,29026960.22000000,76149535.88619000,0
