Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2024-09-19,2577.0,2597.0,2553.0,2590.0,1494.7555,2024-09-19 23:59:59.999,3851929.75730000,30248,738.87390000,1907268.45760000,0
2024-09-20,2589.0,2630.0,2587.0,2625.0,1117.0716,2024-09-20 23:59:59.999,2917437.66140000,21362,592.61420000,1547988.25240000,0
2024-09-21,2625.0,2633.0,2613.0,2631.0,479.4791,2024-09-21 23:59:59.999,1256817.81550000,14619,231.44010000,606844.75750000,0
2024-09-22,2631.0,2632.0,2611.0,2622.0,620.1021,2024-09-22 23:59:59.999,1624692.25840000,19585,307.79430000,806815.61220000,0
2024-09-23,2621.0,2636.0,2611.0,2627.0,807.8861,2024-09-23 23:59:59.999,2120602.09900000,16175,380.96550000,1000344.11670000,0
2024-09-24,2627.0,2660.0,2622.0,2652.0,980.8769,2024-09-24 23:59:59.999,2591381.73130000,23772,541.80480000,1432137.55200000,0
2024-09-25,2652.0,2667.0,2648.0,2653.0,992.2143,2024-09-25 23:59:59.999,2635280.68220000,18249,535.50150000,1422386.63480000,0
2024-09-26,2652.0,2678.0,2648.0,2660.0,1153.0467,2024-09-26 23:59:59.999,3067943.52060000,32396,565.82260000,1506164.62320000,0
2024-09-27,2661.0,2673.0,2645.0,2651.0,1159.6696,2024-09-27 23:59:59.999,3082525.24480000,17352,485.07950000,1289580.24090000,0
2024-09-28,2650.0,2663.0,2648.0,2659.0,382.9569,2024-09-28 23:59:59.999,1016907.26360000,12815,203.93950000,541669.79240000,0
2024-09-29,2659.0,2670.0,2653.0,2662.0,428.7361,2024-09-29 23:59:59.999,1140698.49330000,17194,244.99460000,651927.72240000,0
2024-09-30,2663.0,2665.0,2619.0,2636.0,1597.7968,2024-09-30 23:59:59.999,4220021.66710000,30793,793.31070000,2096568.54130000,0
2024-10-01,2637.0,2700.0,2635.0,2678.0,3649.949,2024-10-01 23:59:59.999,9744712.51250000,62112,2114.81130000,5647834.06320000,0
2024-10-02,2681.0,2699.0,2650.0,2669.0,1875.7616,2024-10-02 23:59:59.999,5003109.82330000,37294,943.72030000,2520318.12130000,0
2024-10-03,2669.0,2677.0,2649.0,2666.0,1184.9667,2024-10-03 23:59:59.999,3154994.09950000,16646,561.54920000,1496532.35170000,0
2024-10-04,2663.0,2691.0,2648.0,2661.0,1387.7385,2024-10-04 23:59:59.999,3700119.02140000,18116,722.81610000,1929521.83740000,0
2024-10-05,2661.0,2711.0,2654.0,2684.0,1624.3167,2024-10-05 23:59:59.999,4359487.49680000,17143,886.51580000,2379551.29390000,0
2024-10-06,2685.0,2692.0,2671.0,2678.0,505.8534,2024-10-06 23:59:59.999,1356525.79010000,10205,250.02490000,670786.74960000,0
2024-10-07,2679.0,2691.0,2653.0,2657.0,1526.51,2024-10-07 23:59:59.999,4074591.27480000,19315,697.68190000,1862805.63380000,0
2024-10-08,2657.0,2668.0,2611.0,2633.0,1460.6902,2024-10-08 23:59:59.999,3854027.22110000,19711,594.20570000,1569328.22380000,0
2024-10-09,2635.0,2644.0,2617.0,2622.0,653.9647,2024-10-09 23:59:59.999,1720426.28780000,14647,277.00800000,729205.38350000,0
2024-10-10,2624.0,2647.0,2616.0,2644.0,890.5919,2024-10-10 23:59:59.999,2344041.34080000,16137,438.98020000,1155773.70760000,0
2024-10-11,2645.0,2672.0,2643.0,2670.0,861.2119,2024-10-11 23:59:59.999,2291892.81920000,19905,458.85410000,1221231.39360000,0
2024-10-12,2670.0,2676.0,2657.0,2659.0,389.8729,2024-10-12 23:59:59.999,1038981.22600000,16000,172.13750000,458971.85320000,0
2024-10-13,2660.0,2677.0,2658.0,2661.0,515.3638,2024-10-13 23:59:59.999,1374883.15980000,15122,305.80530000,816024.63610000,0
2024-10-14,2662.0,2678.0,2659.0,2660.0,881.4059,2024-10-14 23:59:59.999,2351440.18890000,19056,457.77840000,1221594.97030000,0
2024-10-15,2660.0,2673.0,2651.0,2671.0,992.9948,2024-10-15 23:59:59.999,2644108.45860000,17600,456.89860000,1217201.99640000,0
2024-10-16,2671.0,2688.0,2668.0,2678.0,986.7014,2024-10-16 23:59:59.999,2644088.27950000,23400,508.03960000,1361796.41790000,0
2024-10-17,2679.0,2710.0,2678.0,2705.0,1326.1891,2024-10-17 23:59:59.999,3572706.37130000,23093,724.26440000,1952194.60020000,0
