Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2024-11-17,5.434,5.534,5.097,5.166,5887070.9,2024-11-17 23:59:59.999,31293055.07910000,149260,3215489.50000000,17107447.67110000,0
2024-11-18,5.165,5.47,5.112,5.437,4919614.2,2024-11-18 23:59:59.999,26023574.56170000,116014,2468628.20000000,13052599.37210000,0
2024-11-19,5.436,5.487,4.964,5.077,4665237.4,2024-11-19 23:59:59.999,24187373.84410000,141776,2320444.80000000,12037671.55430000,0
2024-11-20,5.077,5.159,4.804,4.892,4091082.2,2024-11-20 23:59:59.999,20368590.39990000,117353,2015188.90000000,10036892.08170000,0
2024-11-21,4.893,5.382,4.723,5.211,5999789.7,2024-11-21 23:59:59.999,30564116.07870000,169532,2943435.20000000,15007494.31990000,0
2024-11-22,5.212,5.305,4.888,5.157,4782095.4,2024-11-22 23:59:59.999,24287341.75270000,129049,2341234.40000000,11891801.55380000,0
2024-11-23,5.157,5.561,5.106,5.359,6194630.3,2024-11-23 23:59:59.999,33031346.55070000,174859,3267453.10000000,17419431.04410000,0
2024-11-24,5.359,5.593,4.958,5.415,7484194.6,2024-11-24 23:59:59.999,39485057.16010000,182999,3824628.40000000,20174495.30960000,0
2024-11-25,5.417,5.713,5.14,5.234,8280830.5,2024-11-25 23:59:59.999,45026237.24790000,219981,4268096.10000000,23229833.00950000,0
2024-11-26,5.232,5.347,4.755,5.014,8519923.5,2024-11-26 23:59:59.999,42472743.81530000,213493,4099647.50000000,20439931.19100000,0
2024-11-27,5.014,5.654,4.944,5.64,8883415.9,2024-11-27 23:59:59.999,47975426.69520000,227143,4495670.60000000,24278854.16170000,0
2024-11-28,5.64,5.655,5.294,5.487,5515961.2,2024-11-28 23:59:59.999,30235206.12910000,159934,2590320.60000000,14199780.21300000,0
2024-11-29,5.49,5.635,5.401,5.624,3591764.9,2024-11-29 23:59:59.999,19812438.99610000,105371,1643281.00000000,9066959.08190000,0
2024-11-30,5.625,5.897,5.501,5.753,5419651.2,2024-11-30 23:59:59.999,31100471.60070000,133500,2801463.50000000,16076094.10790000,0
2024-12-01,5.754,5.924,5.587,5.847,4747490.6,2024-12-01 23:59:59.999,27442527.13290000,121319,2540524.60000000,14689926.22850000,0
