Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2024-12-17,0.003375,0.07,0.003375,0.02865,12877737215.0,2024-12-17 23:59:59.999,510559404.40558900,1730676,5926171527.00000000,233529207.64791100,0
2024-12-18,0.02865,0.0395,0.0262,0.035593,14586458581.0,2024-12-18 23:59:59.999,490497084.34544300,2097232,7291652247.00000000,245478903.88073300,0
2024-12-19,0.035593,0.036959,0.026831,0.028612,8742584654.0,2024-12-19 23:59:59.999,272897113.77852600,1107186,4128850723.00000000,129056273.76990300,0
2024-12-20,0.028617,0.02996,0.022654,0.027829,6588627345.0,2024-12-20 23:59:59.999,174301022.34804200,850278,3084632782.00000000,81563636.34715800,0
2024-12-21,0.027834,0.032307,0.027354,0.028633,4975769822.0,2024-12-21 23:59:59.999,150396520.99402300,593702,2493560220.00000000,75426484.47309000,0
2024-12-22,0.02862,0.028625,0.025394,0.025989,2795269834.0,2024-12-22 23:59:59.999,74466955.72444400,423164,1493891224.00000000,39812579.17343700,0
2024-12-23,0.025991,0.030964,0.025185,0.03024,3435500675.0,2024-12-23 23:59:59.999,95423507.30754700,498167,1756502230.00000000,48881720.73626400,0
2024-12-24,0.030246,0.03762,0.028033,0.035874,8963693083.0,2024-12-24 23:59:59.999,305425296.39522800,1209340,4706086123.00000000,160578566.61587000,0
2024-12-25,0.035873,0.039488,0.034344,0.037742,5647550961.0,2024-12-25 23:59:59.999,207602388.13460200,909667,2786075457.00000000,102531465.25720000,0
2024-12-26,0.037743,0.0435,0.036131,0.038156,7717305970.0,2024-12-26 23:59:59.999,303212224.95362300,1722020,3786806036.00000000,149064076.09666500,0
2024-12-27,0.038157,0.038233,0.033256,0.033915,3421025241.0,2024-12-27 23:59:59.999,121294133.89314600,880769,1639153193.00000000,58103402.38994400,0
2024-12-28,0.033916,0.036972,0.033158,0.036052,2788344794.0,2024-12-28 23:59:59.999,97849867.52415900,705267,1342143362.00000000,47150366.15960900,0
2024-12-29,0.03606,0.036538,0.0315,0.031915,1891169595.0,2024-12-29 23:59:59.999,64425392.86100100,545625,951603823.00000000,32371611.07477000,0
2024-12-30,0.031916,0.033099,0.03002,0.031008,1928305219.0,2024-12-30 23:59:59.999,61041045.08788000,534009,938909427.00000000,29756897.43483400,0
2024-12-31,0.031006,0.034371,0.0296,0.033326,2362685107.0,2024-12-31 23:59:59.999,75926260.94565000,629184,1193123858.00000000,38388429.12342200,0
2025-01-01,0.033322,0.0401,0.032896,0.03925,3987871883.0,2025-01-01 23:59:59.999,144198296.05884800,529089,2066001502.00000000,74904645.25357500,0
2025-01-02,0.039255,0.040916,0.036857,0.037228,3133466955.0,2025-01-02 23:59:59.999,120854665.10938500,447053,1535067555.00000000,59231719.25060300,0
2025-01-03,0.037229,0.037674,0.034036,0.037215,2768521925.0,2025-01-03 23:59:59.999,99500958.46525100,584935,1350692668.00000000,48637453.19624200,0
2025-01-04,0.037215,0.042251,0.03558,0.040512,3932685624.0,2025-01-04 23:59:59.999,153403508.96527100,904971,2098557051.00000000,81933622.33181800,0
2025-01-05,0.040517,0.044478,0.039752,0.040054,4539230813.0,2025-01-05 23:59:59.999,189473863.38901100,738256,2220559334.00000000,92822376.95406700,0
2025-01-06,0.040049,0.046966,0.039428,0.04303,4619265354.0,2025-01-06 23:59:59.999,201675078.46125400,1108330,2338906030.00000000,102088758.85705900,0
2025-01-07,0.043026,0.043799,0.037171,0.037307,3191928985.0,2025-01-07 23:59:59.999,129374899.55178200,689043,1542296887.00000000,62609317.80368900,0
2025-01-08,0.03731,0.038032,0.032686,0.035903,3739834473.0,2025-01-08 23:59:59.999,132768512.95265600,777065,1803910653.00000000,64095571.58268300,0
2025-01-09,0.035898,0.037349,0.031378,0.033294,3961768720.0,2025-01-09 23:59:59.999,134956999.29572500,918775,1994800033.00000000,67968955.16917100,0
2025-01-10,0.033301,0.035828,0.03229,0.033487,2612463350.0,2025-01-10 23:59:59.999,88904714.86008900,413286,1326213414.00000000,45174203.85658300,0
2025-01-11,0.03349,0.03381,0.031618,0.032972,1327020750.0,2025-01-11 23:59:59.999,43533591.91668000,342206,663631271.00000000,21774243.23138900,0
2025-01-12,0.032971,0.034139,0.03147,0.032509,1376674885.0,2025-01-12 23:59:59.999,45226903.53784500,227277,662051335.00000000,21765404.28200300,0
2025-01-13,0.032502,0.034248,0.02801,0.031361,3734231535.0,2025-01-13 23:59:59.999,112356311.12662700,518621,1872579964.00000000,56367736.62756100,0
2025-01-14,0.031362,0.033597,0.030977,0.032046,1967288290.0,2025-01-14 23:59:59.999,63455463.25115400,315899,998336282.00000000,32229401.70073900,0
2025-01-15,0.032046,0.036113,0.03018,0.035532,2675371590.0,2025-01-15 23:59:59.999,89884279.67770100,402941,1240628080.00000000,41662619.25255100,0
2025-01-16,0.035541,0.035606,0.03188,0.032686,1706305534.0,2025-01-16 23:59:59.999,56966821.91212200,284180,855514308.00000000,28566091.40764300,0
2025-01-17,0.032693,0.03408,0.031479,0.032476,1625063684.0,2025-01-17 23:59:59.999,53451269.67987600,266064,787685007.00000000,25891883.24524600,0
2025-01-18,0.032481,0.033076,0.026542,0.029554,4151927766.0,2025-01-18 23:59:59.999,118499635.07868300,546356,2105112484.00000000,59951937.77766900,0
2025-01-19,0.029555,0.032888,0.024927,0.025326,5769378054.0,2025-01-19 23:59:59.999,159289350.54604500,914047,2834248139.00000000,78447044.93159100,0
2025-01-20,0.025327,0.027377,0.02231,0.024676,5599265837.0,2025-01-20 23:59:59.999,137583004.04339300,934689,2721916213.00000000,66855355.22282400,0
2025-01-21,0.024684,0.02507,0.022345,0.023586,3836791818.0,2025-01-21 23:59:59.999,90473264.10574700,577827,2057120814.00000000,48387761.12066000,0
2025-01-22,0.023589,0.026692,0.022926,0.024254,3470366811.0,2025-01-22 23:59:59.999,86040001.68758300,524325,1730612885.00000000,42888411.33284900,0
2025-01-23,0.024251,0.02608,0.023094,0.023895,3535442079.0,2025-01-23 23:59:59.999,87489873.79664100,679903,1662657079.00000000,41185743.55414500,0
2025-01-24,0.023896,0.025759,0.022658,0.02274,1881595871.0,2025-01-24 23:59:59.999,46153883.74620300,395595,924695194.00000000,22700229.88651300,0
2025-01-25,0.022738,0.023369,0.021735,0.023031,1549095506.0,2025-01-25 23:59:59.999,34873898.91796000,390295,786669715.00000000,17720174.68116500,0
2025-01-26,0.023034,0.027398,0.022923,0.024749,3483617990.0,2025-01-26 23:59:59.999,88958319.06837600,408051,1772694495.00000000,45271156.09471200,0
2025-01-27,0.024744,0.025052,0.020674,0.021258,4275224437.0,2025-01-27 23:59:59.999,95226983.18718400,490744,2266026498.00000000,50354452.36998900,0
2025-01-28,0.021257,0.021802,0.015315,0.015531,8172062653.0,2025-01-28 23:59:59.999,146255844.80067000,843228,4064153718.00000000,72563656.92351700,0
2025-01-29,0.015525,0.016997,0.014963,0.015079,5459118328.0,2025-01-29 23:59:59.999,87219553.82611400,717208,2770053382.00000000,44289821.31669700,0
2025-01-30,0.01508,0.015901,0.014416,0.014698,4979994001.0,2025-01-30 23:59:59.999,75587133.56920700,493589,2507212017.00000000,38080607.51879400,0
2025-01-31,0.014699,0.015879,0.013813,0.014784,5575055230.0,2025-01-31 23:59:59.999,82006080.71359200,594030,2820736182.00000000,41529122.14205300,0
2025-02-01,0.014788,0.017139,0.013266,0.013563,6892874629.0,2025-02-01 23:59:59.999,106281118.66648900,731304,3381949203.00000000,52119154.78331300,0
2025-02-02,0.013563,0.014488,0.01204,0.013042,5512063725.0,2025-02-02 23:59:59.999,73409755.47231200,818773,2795816381.00000000,37250783.76830000,0
2025-02-03,0.013043,0.013951,0.009461,0.013561,8598224058.0,2025-02-03 23:59:59.999,102263979.01666900,1243542,4321244100.00000000,51431970.38526900,0
2025-02-04,0.013561,0.013811,0.011965,0.013086,3854280956.0,2025-02-04 23:59:59.999,49517911.84802400,600505,1941072590.00000000,24926417.24910200,0
2025-02-05,0.013091,0.014023,0.011518,0.011674,3544385008.0,2025-02-05 23:59:59.999,45566162.43820000,560143,1850561610.00000000,23822110.94537600,0
2025-02-06,0.011675,0.012086,0.010556,0.010672,3051846999.0,2025-02-06 23:59:59.999,34720478.47356900,513994,1532631145.00000000,17463635.04202800,0
2025-02-07,0.010671,0.012678,0.009717,0.010147,4335275922.0,2025-02-07 23:59:59.999,47084726.59289900,624547,2259663108.00000000,24551617.46940700,0
2025-02-08,0.010146,0.010844,0.010058,0.010559,2040106687.0,2025-02-08 23:59:59.999,21312386.86214500,288407,1023945054.00000000,10692438.01471200,0
2025-02-09,0.010558,0.01089,0.00928,0.010036,2625621710.0,2025-02-09 23:59:59.999,26695216.21797400,322588,1303544091.00000000,13257617.74837500,0
2025-02-10,0.010039,0.010804,0.009528,0.010037,2287663027.0,2025-02-10 23:59:59.999,23356189.64912900,329182,1169802782.00000000,11945658.43826500,0
2025-02-11,0.010035,0.011106,0.009765,0.010014,2054442916.0,2025-02-11 23:59:59.999,21453243.73496300,297156,1028707972.00000000,10745033.95593900,0
2025-02-12,0.010014,0.010609,0.00926,0.010572,3295410897.0,2025-02-12 23:59:59.999,32483117.28214400,412342,1720986348.00000000,16983374.34934400,0
2025-02-13,0.010573,0.011394,0.00941,0.010143,5734467273.0,2025-02-13 23:59:59.999,58759949.86001700,499846,2947394468.00000000,30214638.33268000,0
2025-02-14,0.010143,0.011562,0.010075,0.010777,3555075924.0,2025-02-14 23:59:59.999,38434346.86739100,455949,1861351718.00000000,20132074.25388300,0
2025-02-15,0.010778,0.011085,0.009845,0.010108,1870831223.0,2025-02-15 23:59:59.999,19339223.14630200,236757,907475971.00000000,9372750.24736000,0
2025-02-16,0.010107,0.010204,0.009566,0.009657,1392198883.0,2025-02-16 23:59:59.999,13707901.98274100,203863,681198395.00000000,6717248.29468600,0
2025-02-17,0.009657,0.010014,0.00905,0.009241,2354508843.0,2025-02-17 23:59:59.999,22362759.12107700,268603,1156822070.00000000,10997323.49188900,0
2025-02-18,0.009241,0.009322,0.007802,0.008257,3086864071.0,2025-02-18 23:59:59.999,26243511.33889100,256530,1632528711.00000000,13860138.98661200,0
2025-02-19,0.008258,0.008414,0.007842,0.00799,1825221850.0,2025-02-19 23:59:59.999,14926882.89908800,199780,934947841.00000000,7651907.78999700,0
2025-02-20,0.007991,0.008791,0.007933,0.00868,2208571590.0,2025-02-20 23:59:59.999,18516423.08640300,248318,1109345029.00000000,9307760.21711500,0
2025-02-21,0.008679,0.009565,0.008258,0.008402,3018899549.0,2025-02-21 23:59:59.999,26885513.03610900,357566,1516799565.00000000,13510379.31516100,0
2025-02-22,0.008402,0.009331,0.008225,0.008931,2066202069.0,2025-02-22 23:59:59.999,18191878.13349400,248997,1031094470.00000000,9076473.05444000,0
2025-02-23,0.008931,0.008961,0.008214,0.008648,1535926236.0,2025-02-23 23:59:59.999,13192546.57452400,183865,774984614.00000000,6658016.98164000,0
2025-02-24,0.008643,0.00899,0.007012,0.007226,4015095304.0,2025-02-24 23:59:59.999,32649217.23518300,419197,1912750210.00000000,15552775.56681500,0
2025-02-25,0.007223,0.00855,0.006714,0.00806,6148059662.0,2025-02-25 23:59:59.999,46255710.12271000,531030,3098998522.00000000,23391814.94168500,0
2025-02-26,0.00806,0.008521,0.00787,0.008338,3790136607.0,2025-02-26 23:59:59.999,31151116.59172700,357689,1845650476.00000000,15178784.99108700,0
2025-02-27,0.008339,0.008877,0.007998,0.008101,2977922946.0,2025-02-27 23:59:59.999,25012540.42141700,248605,1477909155.00000000,12415181.06225100,0
2025-02-28,0.008102,0.009524,0.007593,0.009092,4711613156.0,2025-02-28 23:59:59.999,40154980.01342100,464322,2351738529.00000000,20039896.41503400,0
2025-03-01,0.009094,0.009329,0.008656,0.00876,1987324638.0,2025-03-01 23:59:59.999,17877978.35808900,216142,983542206.00000000,8854505.81982900,0
2025-03-02,0.00876,0.009379,0.008491,0.009244,2507608017.0,2025-03-02 23:59:59.999,22657638.64927000,311374,1225844995.00000000,11086066.95086900,0
2025-03-03,0.009244,0.009266,0.006925,0.007107,3190755733.0,2025-03-03 23:59:59.999,25615528.70099200,352911,1444227051.00000000,11574942.31278600,0
2025-03-04,0.007106,0.007177,0.00624,0.006729,4814806506.0,2025-03-04 23:59:59.999,32186421.19063200,366220,2494080288.00000000,16675158.23011300,0
2025-03-05,0.006727,0.00682,0.006355,0.006569,1963107212.0,2025-03-05 23:59:59.999,12939254.99766100,141139,1001067568.00000000,6601747.12189800,0
2025-03-06,0.00657,0.006694,0.006014,0.006211,2516583929.0,2025-03-06 23:59:59.999,15935175.39938900,158288,1278464935.00000000,8106189.16918300,0
2025-03-07,0.006212,0.006943,0.005905,0.006393,5314473428.0,2025-03-07 23:59:59.999,34249871.21953400,274324,2667460421.00000000,17216525.43204100,0
2025-03-08,0.006394,0.006567,0.005903,0.006079,2724151833.0,2025-03-08 23:59:59.999,16956711.44987800,153994,1187235294.00000000,7426065.74936500,0
2025-03-09,0.006079,0.006261,0.005289,0.00552,2597331771.0,2025-03-09 23:59:59.999,14745820.69128200,155138,1330123046.00000000,7549556.86000900,0
