Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2024-09-19,0.06062,0.06538,0.0606,0.06353,606191685.4,2024-09-19 23:59:59.999,38209637.27864100,127851,309353139.90000000,19501400.47259600,0
2024-09-20,0.06352,0.06693,0.06095,0.06432,481828181.3,2024-09-20 23:59:59.999,30905896.42599900,239687,249265785.60000000,15996843.05989500,0
2024-09-21,0.06434,0.06475,0.06123,0.06406,242620908.4,2024-09-21 23:59:59.999,15281112.36976200,51142,118481638.60000000,7468041.08393200,0
2024-09-22,0.06406,0.06496,0.06038,0.0637,423164618.7,2024-09-22 23:59:59.999,26593711.55438200,94134,208591532.10000000,13131289.76830400,0
2024-09-23,0.06371,0.0692,0.06199,0.06473,583344146.7,2024-09-23 23:59:59.999,38611177.34128700,132585,294744380.20000000,19509754.10775800,0
2024-09-24,0.06473,0.06798,0.0618,0.06725,552202996.8,2024-09-24 23:59:59.999,35784628.89040300,122012,282178497.30000000,18280883.52895000,0
2024-09-25,0.0673,0.07158,0.06566,0.06888,563499978.4,2024-09-25 23:59:59.999,38500303.44855800,131792,286987932.20000000,19625648.05046800,0
2024-09-26,0.0689,0.07563,0.06759,0.07329,786526695.6,2024-09-26 23:59:59.999,57463291.92576900,227067,401121850.50000000,29304005.75347000,0
2024-09-27,0.07327,0.08483,0.073,0.08143,819300888.2,2024-09-27 23:59:59.999,64672770.01249000,214027,422752345.80000000,33332623.93774700,0
2024-09-28,0.08144,0.0873,0.07825,0.08,650936483.0,2024-09-28 23:59:59.999,53414595.14406000,181860,315899129.10000000,25917657.16570900,0
2024-09-29,0.08001,0.08113,0.07562,0.0804,525297208.3,2024-09-29 23:59:59.999,41071802.85781500,145238,259474717.60000000,20295789.24263600,0
2024-09-30,0.0804,0.08114,0.0761,0.07793,542237205.2,2024-09-30 23:59:59.999,42649052.15383400,179382,264869842.00000000,20848747.72392600,0
2024-10-01,0.07792,0.0835,0.0656,0.06737,997123261.4,2024-10-01 23:59:59.999,73427949.14004400,690315,471853878.20000000,34784860.05366600,0
2024-10-02,0.06736,0.06995,0.06051,0.06182,968120509.0,2024-10-02 23:59:59.999,63590744.98883200,791121,432497225.80000000,28413261.17361700,0
2024-10-03,0.06182,0.0645,0.05766,0.06022,585997387.1,2024-10-03 23:59:59.999,35711614.78876900,372523,291004438.60000000,17752182.04961800,0
2024-10-04,0.06019,0.06853,0.05947,0.06703,560821485.8,2024-10-04 23:59:59.999,35817181.00750800,238224,269915910.20000000,17249468.47510100,0
2024-10-05,0.06703,0.07095,0.06703,0.06975,473253604.4,2024-10-05 23:59:59.999,32756451.05793100,122915,227019254.30000000,15718682.34418900,0
2024-10-06,0.06976,0.07477,0.06877,0.07337,529589351.3,2024-10-06 23:59:59.999,38016915.74132600,128502,263323691.10000000,18900626.51975400,0
2024-10-07,0.07334,0.08131,0.07286,0.07738,902236963.2,2024-10-07 23:59:59.999,69249639.23982500,566193,452751392.20000000,34748334.43182700,0
2024-10-08,0.07739,0.07976,0.07259,0.07547,695470631.4,2024-10-08 23:59:59.999,52769161.75913600,272100,337340062.50000000,25602690.95231800,0
2024-10-09,0.07547,0.0783,0.06981,0.07044,605116396.8,2024-10-09 23:59:59.999,44705198.35905100,158985,288045632.30000000,21293983.46673200,0
