Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2024-11-17,2.129e-05,2.258e-05,1.943e-05,2.121e-05,48865012016577.0,2024-11-17 23:59:59.999,1033642171.16311186,3677628,23423269016517.00,496635469.43492249,0
2024-11-18,2.121e-05,2.277e-05,1.959e-05,2.048e-05,46185103558075.0,2024-11-18 23:59:59.999,971848981.51864517,3576042,22996254196656.00,484497161.35031710,0
2024-11-19,2.047e-05,2.122e-05,1.892e-05,1.968e-05,40112058690216.0,2024-11-19 23:59:59.999,809866507.65157185,2638319,19796089375128.00,400105650.60407557,0
2024-11-20,1.969e-05,2.059e-05,1.83e-05,1.876e-05,40535014911691.0,2024-11-20 23:59:59.999,794088490.24928804,3464956,20061563584478.00,393861307.14839785,0
2024-11-21,1.877e-05,2.17e-05,1.804e-05,2.07e-05,53875208166057.0,2024-11-21 23:59:59.999,1087630214.05419462,3999966,26279113419288.00,530581542.91445302,0
2024-11-22,2.07e-05,2.184e-05,1.977e-05,2.064e-05,33959201755388.0,2024-11-22 23:59:59.999,703565812.26454708,2352546,16305444107010.00,338175666.84919742,0
2024-11-23,2.064e-05,2.234e-05,1.968e-05,2.049e-05,47710744809661.0,2024-11-23 23:59:59.999,1008843149.77030787,2650867,23762447781443.00,502982326.80742782,0
2024-11-24,2.05e-05,2.122e-05,1.904e-05,2.02e-05,28260883140421.0,2024-11-24 23:59:59.999,565679222.88827052,1758416,13516071814076.00,270373719.15590385,0
2024-11-25,2.021e-05,2.076e-05,1.834e-05,1.897e-05,30831062926904.0,2024-11-25 23:59:59.999,605931111.61603240,2364180,14705028355514.00,289200399.58139390,0
2024-11-26,1.897e-05,1.947e-05,1.729e-05,1.828e-05,29739168819244.0,2024-11-26 23:59:59.999,541269786.17397637,2577697,14087793606873.00,256530729.54193209,0
2024-11-27,1.829e-05,2.014e-05,1.788e-05,1.974e-05,26345770608857.0,2024-11-27 23:59:59.999,500944379.59944942,2109969,13515616329881.00,257064641.66592543,0
2024-11-28,1.974e-05,2.033e-05,1.894e-05,1.985e-05,20507953884290.0,2024-11-28 23:59:59.999,401679597.22134261,1830672,9993630768735.00,195926237.42959546,0
2024-11-29,1.986e-05,2.13e-05,1.95e-05,2.046e-05,27827773634963.0,2024-11-29 23:59:59.999,567277799.61972230,1857650,14422710903614.00,294188090.77604566,0
2024-11-30,2.047e-05,2.165e-05,2.009e-05,2.02e-05,20867699497576.0,2024-11-30 23:59:59.999,430277516.47627602,1516099,10389596388115.00,214365947.30928095,0
2024-12-01,2.02e-05,2.333e-05,2.006e-05,2.226e-05,40062629234881.0,2024-12-01 23:59:59.999,870209378.07763645,2249127,20652368602295.00,448846298.27733251,0
2024-12-02,2.225e-05,2.285e-05,1.952e-05,2.043e-05,41755718391846.0,2024-12-02 23:59:59.999,861921598.83906482,3042918,20188512428753.00,416717922.29547757,0
2024-12-03,2.043e-05,2.108e-05,1.885e-05,2.025e-05,32157526543298.0,2024-12-03 23:59:59.999,644278513.85372702,2395883,15600672229631.00,312932156.33630697,0
2024-12-04,2.026e-05,2.209e-05,2.019e-05,2.179e-05,38658071348223.0,2024-12-04 23:59:59.999,814479173.40801341,2615275,19550306395119.00,412550450.89835271,0
2024-12-05,2.179e-05,2.29e-05,2.032e-05,2.118e-05,40285168050511.0,2024-12-05 23:59:59.999,871600218.77607095,3193790,19928504335026.00,431663752.04099220,0
2024-12-06,2.119e-05,2.223e-05,2.034e-05,2.155e-05,26596100280809.0,2024-12-06 23:59:59.999,571424985.32750666,1752313,13358267427454.00,287115318.97660809,0
2024-12-07,2.155e-05,2.694e-05,2.11e-05,2.489e-05,50539372914667.0,2024-12-07 23:59:59.999,1213664369.07831074,4008688,26473500745494.00,635236159.59233091,0
2024-12-08,2.49e-05,2.717e-05,2.418e-05,2.642e-05,42593220595135.0,2024-12-08 23:59:59.999,1095379502.94260650,4865915,21674808192986.00,558223478.39622571,0
2024-12-09,2.642e-05,2.836e-05,2.333e-05,2.649e-05,82932866321320.0,2024-12-09 23:59:59.999,2175923644.17719495,9943996,41736713265629.00,1096575146.12392524,0
2024-12-10,2.65e-05,2.723e-05,2.209e-05,2.348e-05,73552507106171.0,2024-12-10 23:59:59.999,1771233439.33267714,6388278,36393013101574.00,877906240.52153950,0
2024-12-11,2.348e-05,2.548e-05,2.162e-05,2.512e-05,37832623045386.0,2024-12-11 23:59:59.999,899431769.50682819,3096026,19428341283033.00,461501927.04723603,0
