Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2024-09-19,0.618,0.6596,0.6173,0.657,2206545.31,2024-09-19 23:59:59.999,1407972.69104700,11320,1149499.61000000,734456.60928400,0
2024-09-20,0.6586,0.6991,0.6416,0.6569,2810944.95,2024-09-20 23:59:59.999,1880066.61190700,13514,1368488.10000000,916501.99102700,0
2024-09-21,0.6564,0.673,0.6419,0.6721,1366365.68,2024-09-21 23:59:59.999,901150.09677700,7502,606959.69000000,399837.85312300,0
2024-09-22,0.6714,0.6722,0.6184,0.6384,1936560.92,2024-09-22 23:59:59.999,1240273.03954600,9569,809984.69000000,517583.74626200,0
2024-09-23,0.6385,0.6863,0.6252,0.6757,2430102.36,2024-09-23 23:59:59.999,1624273.31672700,13292,1226127.05000000,819533.02415800,0
2024-09-24,0.6759,0.708,0.6664,0.6943,2789936.75,2024-09-24 23:59:59.999,1921880.33237800,16165,1334619.49000000,920067.49192400,0
2024-09-25,0.6945,0.7083,0.6798,0.687,1850753.94,2024-09-25 23:59:59.999,1287029.64241400,10220,897290.83000000,623941.26118100,0
2024-09-26,0.6868,0.7168,0.6752,0.7012,1769066.96,2024-09-26 23:59:59.999,1241986.71087700,11038,847872.15000000,595527.41779000,0
2024-09-27,0.7012,0.7226,0.6903,0.7181,1948835.86,2024-09-27 23:59:59.999,1381561.88209000,10995,940778.42000000,667627.56945800,0
2024-09-28,0.7189,0.7286,0.6817,0.6948,1255851.32,2024-09-28 23:59:59.999,881082.13569400,8427,553895.71000000,388673.67371000,0
2024-09-29,0.6946,0.7224,0.6858,0.7066,1331355.22,2024-09-29 23:59:59.999,937702.68222200,9296,616309.30000000,434348.13120300,0
2024-09-30,0.7067,0.7104,0.6496,0.6551,2170715.45,2024-09-30 23:59:59.999,1478846.65687200,12978,1028082.52000000,699639.70695000,0
2024-10-01,0.6551,0.6788,0.55,0.5512,5118300.05,2024-10-01 23:59:59.999,3109798.36905800,30962,2500443.15000000,1514321.02272900,0
2024-10-02,0.5512,0.581,0.5234,0.5373,5597448.25,2024-10-02 23:59:59.999,3125123.19937200,39013,2924299.76000000,1631951.52521800,0
2024-10-03,0.5372,0.5451,0.5069,0.5139,2784989.29,2024-10-03 23:59:59.999,1461742.05382900,18271,1162347.25000000,610703.06326200,0
2024-10-04,0.5138,0.5648,0.5112,0.5591,2646834.75,2024-10-04 23:59:59.999,1431077.33993300,14672,1320052.62000000,715343.95998600,0
2024-10-05,0.5595,0.5744,0.5408,0.553,1568576.93,2024-10-05 23:59:59.999,879844.79068100,10339,764577.54000000,429326.28659500,0
2024-10-06,0.5531,0.5908,0.5496,0.5883,2108877.47,2024-10-06 23:59:59.999,1209534.76464500,13418,1046920.17000000,600356.86772300,0
2024-10-07,0.5886,0.6011,0.566,0.5702,2319367.41,2024-10-07 23:59:59.999,1351932.54299800,14224,1161573.28000000,676960.81972000,0
2024-10-08,0.5703,0.5911,0.5648,0.5792,2976947.99,2024-10-08 23:59:59.999,1720617.96510700,16472,1477835.60000000,854553.44448600,0
2024-10-09,0.579,0.5904,0.5471,0.5587,2024898.11,2024-10-09 23:59:59.999,1153763.18876500,12892,958635.08000000,546551.43649500,0
2024-10-10,0.5589,0.5824,0.5467,0.5731,2483814.15,2024-10-10 23:59:59.999,1408353.10837400,15217,1246794.27000000,707062.40543700,0
2024-10-11,0.5732,0.5964,0.5702,0.5911,1292921.04,2024-10-11 23:59:59.999,757733.04196300,8367,580141.29000000,339848.87078200,0
2024-10-12,0.5912,0.6226,0.5911,0.6036,1424817.02,2024-10-12 23:59:59.999,867607.60417300,10426,680409.81000000,414277.66562200,0
2024-10-13,0.6039,0.6054,0.5768,0.5987,1046579.61,2024-10-13 23:59:59.999,617313.32723300,9921,537822.35000000,317304.90110100,0
2024-10-14,0.5987,0.6461,0.589,0.6425,2435852.73,2024-10-14 23:59:59.999,1518826.62042700,15888,1254073.32000000,781765.67221600,0
2024-10-15,0.6423,0.6526,0.6061,0.6353,2560267.85,2024-10-15 23:59:59.999,1618241.04554000,17056,1198233.55000000,757122.29635300,0
2024-10-16,0.6357,0.6383,0.6088,0.6177,1233221.41,2024-10-16 23:59:59.999,767205.92276000,9351,610827.79000000,379861.68443700,0
2024-10-17,0.6172,0.6297,0.5932,0.6135,1278219.37,2024-10-17 23:59:59.999,781249.35734300,10347,633912.27000000,387625.11802300,0
2024-10-18,0.6134,0.638,0.61,0.6365,1637744.91,2024-10-18 23:59:59.999,1027297.09220900,10702,821080.93000000,515071.89883400,0
2024-10-19,0.6365,0.6501,0.6109,0.6282,1377470.53,2024-10-19 23:59:59.999,865119.17629700,8024,695728.48000000,437011.66396500,0
2024-10-20,0.6285,0.7403,0.6161,0.7277,6981484.6,2024-10-20 23:59:59.999,4760025.72112700,47066,3721378.28000000,2536241.04912400,0
2024-10-21,0.7277,0.95,0.7156,0.7505,53144119.58,2024-10-21 23:59:59.999,44022281.06113800,343108,26210724.82000000,21714583.34624900,0
2024-10-22,0.7509,0.7798,0.7025,0.714,5919828.75,2024-10-22 23:59:59.999,4404961.78415400,40862,2753614.15000000,2053504.10595900,0
2024-10-23,0.7142,0.7215,0.6735,0.6905,3185319.77,2024-10-23 23:59:59.999,2228247.54320000,21108,1484856.05000000,1038377.47061400,0
2024-10-24,0.6907,0.7084,0.6717,0.6853,2789813.63,2024-10-24 23:59:59.999,1926755.05916000,16396,1393337.68000000,963129.07651000,0
2024-10-25,0.6854,0.6982,0.5953,0.6266,5083288.3,2024-10-25 23:59:59.999,3387144.12533100,33891,2365144.52000000,1579891.86793500,0
2024-10-26,0.6263,0.6502,0.6117,0.6357,1651079.55,2024-10-26 23:59:59.999,1041586.44627700,11025,818096.97000000,516016.18300600,0
2024-10-27,0.6363,0.6441,0.6224,0.633,1659584.61,2024-10-27 23:59:59.999,1046367.19812800,9999,913747.19000000,576219.31441000,0
2024-10-28,0.6338,0.635,0.5848,0.6276,2842038.17,2024-10-28 23:59:59.999,1742219.61913600,20675,1394496.75000000,854544.99872300,0
2024-10-29,0.6284,0.6686,0.6242,0.6627,3117285.34,2024-10-29 23:59:59.999,2018454.27214800,21277,1556348.91000000,1007764.34647500,0
2024-10-30,0.6625,0.6799,0.6482,0.66,3127675.53,2024-10-30 23:59:59.999,2076876.12589300,19823,1516560.67000000,1008316.40930300,0
2024-10-31,0.6602,0.662,0.621,0.6285,2403526.85,2024-10-31 23:59:59.999,1548435.42378900,16611,1132262.10000000,730241.66357900,0
2024-11-01,0.6281,0.651,0.6068,0.6182,2234970.22,2024-11-01 23:59:59.999,1397923.67044900,15348,1149232.60000000,718523.63704300,0
2024-11-02,0.6178,0.6275,0.5909,0.5937,1244841.07,2024-11-02 23:59:59.999,755573.62655900,8705,590046.71000000,357976.73874400,0
2024-11-03,0.5942,0.5987,0.5447,0.5795,2430674.47,2024-11-03 23:59:59.999,1388762.08696400,18643,1231780.64000000,703586.21348800,0
2024-11-04,0.5803,0.5913,0.5471,0.562,3129182.31,2024-11-04 23:59:59.999,1795874.32611600,23237,1571621.67000000,902549.15302700,0
2024-11-05,0.5619,0.5972,0.5606,0.5794,2889169.02,2024-11-05 23:59:59.999,1673232.91178900,20293,1364050.60000000,788713.23586500,0
2024-11-06,0.5791,0.659,0.5744,0.6513,5776549.58,2024-11-06 23:59:59.999,3626992.07381400,46632,2743192.57000000,1722102.30967900,0
2024-11-07,0.6518,0.6744,0.6435,0.6552,3241258.14,2024-11-07 23:59:59.999,2132727.40695300,23391,1602659.65000000,1055061.99774200,0
2024-11-08,0.6556,0.6661,0.6283,0.6581,2613079.96,2024-11-08 23:59:59.999,1691700.98911700,18678,1339037.88000000,867503.31954700,0
2024-11-09,0.6586,0.7007,0.648,0.6982,3344200.81,2024-11-09 23:59:59.999,2247189.68687000,23977,1644662.15000000,1105360.39123500,0
