Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2024-09-19,0.2043,0.2211,0.2043,0.2186,2514436.0,2024-09-19 23:59:59.999,539518.56200000,15174,1356054.00000000,291132.41890000,0
2024-09-20,0.2187,0.227,0.2134,0.2265,2867854.0,2024-09-20 23:59:59.999,638207.15900000,14016,1528277.00000000,340285.19370000,0
2024-09-21,0.2264,0.2304,0.2222,0.2303,1679436.0,2024-09-21 23:59:59.999,380569.84480000,12073,809618.00000000,183747.28040000,0
2024-09-22,0.23,0.2312,0.2171,0.2236,1286245.0,2024-09-22 23:59:59.999,288558.80690000,10291,644775.00000000,144699.82010000,0
2024-09-23,0.2234,0.2305,0.2198,0.2247,1233166.0,2024-09-23 23:59:59.999,279026.69510000,9598,573209.00000000,129756.50040000,0
2024-09-24,0.2248,0.2312,0.2201,0.2288,1156947.0,2024-09-24 23:59:59.999,261378.95110000,8820,620033.00000000,140154.63270000,0
2024-09-25,0.2288,0.231,0.2247,0.226,1107604.0,2024-09-25 23:59:59.999,253005.28940000,8593,543590.00000000,124419.76830000,0
2024-09-26,0.226,0.2304,0.221,0.2258,1656668.0,2024-09-26 23:59:59.999,374411.29060000,13120,822359.00000000,186007.35810000,0
2024-09-27,0.2256,0.2341,0.2248,0.2319,2243324.0,2024-09-27 23:59:59.999,517750.75420000,12835,1120523.00000000,259156.34040000,0
2024-09-28,0.2317,0.2363,0.2203,0.2207,1434854.0,2024-09-28 23:59:59.999,328247.38110000,10254,646732.00000000,148260.87450000,0
2024-09-29,0.2205,0.2303,0.2185,0.2288,1291077.0,2024-09-29 23:59:59.999,288961.76590000,10193,649177.00000000,145364.47280000,0
2024-09-30,0.2286,0.2295,0.2106,0.2145,2151849.0,2024-09-30 23:59:59.999,464749.13820000,13712,1047828.00000000,226012.45200000,0
2024-10-01,0.2147,0.2204,0.184,0.1888,3042030.0,2024-10-01 23:59:59.999,616641.61400000,15658,1391597.00000000,280169.27410000,0
2024-10-02,0.1889,0.2,0.1851,0.188,2001385.0,2024-10-02 23:59:59.999,384503.28070000,10662,989494.00000000,190246.34800000,0
2024-10-03,0.1881,0.1916,0.1812,0.184,1304547.0,2024-10-03 23:59:59.999,243703.80880000,7967,565038.00000000,105476.45080000,0
2024-10-04,0.1837,0.1931,0.1835,0.1911,1125386.0,2024-10-04 23:59:59.999,212489.18460000,6864,635137.00000000,120135.47110000,0
2024-10-05,0.1912,0.1953,0.1857,0.19,1219860.0,2024-10-05 23:59:59.999,232306.28520000,7030,567092.00000000,108094.29790000,0
2024-10-06,0.1899,0.2018,0.1878,0.2007,2080660.0,2024-10-06 23:59:59.999,410159.15050000,9642,1029926.00000000,202897.65560000,0
2024-10-07,0.2008,0.2067,0.1917,0.1961,2453012.0,2024-10-07 23:59:59.999,495068.54620000,12600,1232057.00000000,249338.20580000,0
2024-10-08,0.1961,0.2075,0.1956,0.2001,6605321.0,2024-10-08 23:59:59.999,1337712.57820000,19237,3312041.00000000,672089.97710000,0
2024-10-09,0.2001,0.2031,0.1902,0.1947,4792896.0,2024-10-09 23:59:59.999,943220.88010000,16007,2384042.00000000,469597.14290000,0
2024-10-10,0.1949,0.1958,0.1868,0.1936,1766562.0,2024-10-10 23:59:59.999,339090.17800000,8928,859727.00000000,165166.60200000,0
2024-10-11,0.1934,0.205,0.1924,0.2019,1991812.0,2024-10-11 23:59:59.999,398454.99550000,10565,984926.00000000,197050.52450000,0
2024-10-12,0.2019,0.2125,0.2016,0.2061,2430867.0,2024-10-12 23:59:59.999,505132.37260000,12152,1149017.00000000,238690.10670000,0
2024-10-13,0.2062,0.2125,0.2008,0.2084,2660709.0,2024-10-13 23:59:59.999,549121.77560000,12632,1389775.00000000,286829.11890000,0
2024-10-14,0.2084,0.2189,0.205,0.2183,2184744.0,2024-10-14 23:59:59.999,467650.52120000,11174,1057070.00000000,226408.69420000,0
2024-10-15,0.2182,0.219,0.2059,0.2114,2390320.0,2024-10-15 23:59:59.999,509897.72380000,11460,1159143.00000000,246644.13970000,0
