Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2024-11-17,1.6868,1.8874,1.4564,1.7907,352946180.6,2024-11-17 23:59:59.999,576877717.52396000,1558348,175114716.60000000,287060942.83278000,0
2024-11-18,1.791,1.9414,1.5345,1.5989,277212754.5,2024-11-18 23:59:59.999,466064421.61523000,1299952,135583466.40000000,228321652.13190000,0
2024-11-19,1.599,1.874,1.5,1.7012,354916101.0,2024-11-19 23:59:59.999,597150028.22751000,1827545,176072035.70000000,297084289.82975000,0
2024-11-20,1.7015,1.7265,1.41,1.4272,251712346.5,2024-11-20 23:59:59.999,391594775.92369000,1243523,119408468.60000000,185763833.36572000,0
2024-11-21,1.427,1.5399,1.2593,1.3488,468313670.4,2024-11-21 23:59:59.999,645703954.84617000,1802608,238143900.80000000,328650280.14869000,0
2024-11-22,1.3487,1.3631,1.0414,1.1295,428623827.2,2024-11-22 23:59:59.999,515083432.75150000,1397643,207291962.10000000,249011695.43889000,0
2024-11-23,1.1293,1.2854,1.06,1.1161,394363714.8,2024-11-23 23:59:59.999,466892680.58643000,1420244,202123932.90000000,239456833.10172000,0
2024-11-24,1.1165,1.2761,1.0668,1.1678,350211848.9,2024-11-24 23:59:59.999,412270840.26613000,1244649,177283852.90000000,209008105.51257000,0
2024-11-25,1.1677,1.4169,1.0812,1.1298,417973038.7,2024-11-25 23:59:59.999,511241146.49035000,1542023,208410378.80000000,255251487.98641000,0
2024-11-26,1.1295,1.222,1.0289,1.0841,261707881.0,2024-11-26 23:59:59.999,288831904.30189000,1035179,127311036.20000000,140584827.65338000,0
2024-11-27,1.0841,1.1663,1.0,1.0924,341000192.8,2024-11-27 23:59:59.999,367603730.89774000,1162860,166202825.10000000,179506572.52441000,0
2024-11-28,1.0924,1.186,1.0652,1.1018,202406887.6,2024-11-28 23:59:59.999,226747812.33408000,805787,99844203.60000000,111938431.87190000,0
2024-11-29,1.1014,1.3679,1.1014,1.2835,423363784.8,2024-11-29 23:59:59.999,522918569.70862000,1422403,214434971.10000000,264540978.54642000,0
2024-11-30,1.2834,1.2835,1.1762,1.1869,191045728.8,2024-11-30 23:59:59.999,234266407.25809000,761612,92826348.00000000,113862434.53469000,0
2024-12-01,1.1872,1.2829,1.1242,1.2132,204186834.9,2024-12-01 23:59:59.999,245424157.15732000,868949,103487874.20000000,124495460.39757000,0
2024-12-02,1.2133,1.3669,1.0477,1.3106,389951828.9,2024-12-02 23:59:59.999,465912995.92786000,1399278,192928137.80000000,230672139.10967000,0
