Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2024-11-17,0.4248,0.4425,0.391,0.4004,161506723.8,2024-11-17 23:59:59.999,67561011.24319000,222990,82124542.10000000,34402804.13428000,0
2024-11-18,0.4004,0.4731,0.3955,0.4572,180801094.8,2024-11-18 23:59:59.999,78637064.13305000,268240,89429334.80000000,38951245.57171000,0
2024-11-19,0.4573,0.459,0.4243,0.4328,103811535.6,2024-11-19 23:59:59.999,45473261.47103000,172001,52466805.20000000,22968706.03729000,0
2024-11-20,0.4328,0.4646,0.4208,0.4314,161121500.2,2024-11-20 23:59:59.999,71187187.27337000,245879,81382748.50000000,35934249.55747000,0
2024-11-21,0.4315,0.46,0.4173,0.4532,132923037.3,2024-11-21 23:59:59.999,58726713.56343000,207627,68229617.40000000,30148961.38194000,0
2024-11-22,0.4533,0.4949,0.4454,0.4949,173762390.7,2024-11-22 23:59:59.999,81063069.75793000,302574,88552708.70000000,41324616.65340000,0
2024-11-23,0.4949,0.6127,0.489,0.5708,329070223.2,2024-11-23 23:59:59.999,182383014.28424000,592657,162179465.00000000,89842775.51675000,0
2024-11-24,0.5709,0.6047,0.5212,0.5754,191217655.6,2024-11-24 23:59:59.999,107290450.44562000,359217,98020885.90000000,55034826.92164000,0
2024-11-25,0.5754,0.622,0.535,0.5473,193582228.7,2024-11-25 23:59:59.999,110955795.46295000,371611,96109044.90000000,55160666.21858000,0
2024-11-26,0.5471,0.5635,0.4902,0.5283,172848781.5,2024-11-26 23:59:59.999,91181839.41116000,281044,84448741.50000000,44591875.71970000,0
2024-11-27,0.5282,0.5842,0.5148,0.5806,112628081.2,2024-11-27 23:59:59.999,62317378.51997000,197102,56953396.40000000,31519139.70951000,0
2024-11-28,0.5806,0.5809,0.547,0.5634,75782626.6,2024-11-28 23:59:59.999,42460816.72673000,152703,36850862.00000000,20652041.44229000,0
2024-11-29,0.5634,0.5874,0.5569,0.5833,66788959.3,2024-11-29 23:59:59.999,38052982.70573000,138421,33046531.20000000,18833196.39513000,0
2024-11-30,0.5834,0.6192,0.5726,0.597,94651805.2,2024-11-30 23:59:59.999,56160709.91278000,195146,49315630.30000000,29264719.65343000,0
2024-12-01,0.5971,0.6133,0.578,0.603,94204760.3,2024-12-01 23:59:59.999,55925636.25547000,217862,48745994.90000000,28939661.06343000,0
2024-12-02,0.6028,0.6572,0.5709,0.6567,239778178.0,2024-12-02 23:59:59.999,147457802.35575000,558446,121966160.80000000,75058719.81859000,0
2024-12-03,0.6568,0.7685,0.6018,0.7007,355942445.9,2024-12-03 23:59:59.999,250237477.63351000,846864,180452640.20000000,126880652.19104000,0
2024-12-04,0.7007,0.75,0.6968,0.7088,194565453.1,2024-12-04 23:59:59.999,140119060.30360000,453799,98886395.10000000,71206966.79099000,0
2024-12-05,0.7086,0.7229,0.6623,0.6804,153221447.5,2024-12-05 23:59:59.999,106979353.22537000,351980,75127050.70000000,52469530.95064000,0
2024-12-06,0.6803,0.7252,0.6595,0.7132,112669426.9,2024-12-06 23:59:59.999,78279056.42902000,258200,56302253.50000000,39102004.58845000,0
2024-12-07,0.7133,0.7174,0.6939,0.6999,51237541.9,2024-12-07 23:59:59.999,36057551.68234000,138586,25448243.80000000,17907562.36166000,0
2024-12-08,0.6999,0.7078,0.677,0.7029,49637670.8,2024-12-08 23:59:59.999,34566021.21255000,120916,24532626.50000000,17082688.75652000,0
2024-12-09,0.7029,0.7029,0.5184,0.582,173589708.7,2024-12-09 23:59:59.999,107214132.57544000,416239,83663821.50000000,51747645.11976000,0
2024-12-10,0.5819,0.6035,0.5275,0.5802,161410220.1,2024-12-10 23:59:59.999,91467001.10091000,299674,77965053.10000000,44171357.82546000,0
2024-12-11,0.5803,0.6366,0.5545,0.63,86727661.7,2024-12-11 23:59:59.999,52008077.43746000,174110,41187490.50000000,24692480.23169000,0
2024-12-12,0.6301,0.67,0.6165,0.6241,80912144.6,2024-12-12 23:59:59.999,52041903.30107000,171875,40604938.60000000,26122145.14415000,0
2024-12-13,0.6241,0.6316,0.6082,0.6218,56613201.2,2024-12-13 23:59:59.999,35084995.02490000,116814,28862156.90000000,17890165.30927000,0
2024-12-14,0.6218,0.6288,0.5847,0.6012,38587319.3,2024-12-14 23:59:59.999,23370653.25916000,87699,18905992.70000000,11458726.00318000,0
2024-12-15,0.6013,0.6198,0.5835,0.6168,39554227.5,2024-12-15 23:59:59.999,23800692.26903000,88541,20252625.20000000,12190753.45395000,0
2024-12-16,0.6169,0.6284,0.5855,0.5929,53983211.6,2024-12-16 23:59:59.999,32592091.68625000,113894,26712371.80000000,16125768.47624000,0
2024-12-17,0.5929,0.6003,0.5587,0.5665,61045097.9,2024-12-17 23:59:59.999,35658252.88240000,115321,29558885.70000000,17270737.27685000,0
2024-12-18,0.5668,0.5689,0.505,0.5161,85986528.3,2024-12-18 23:59:59.999,46552407.44508000,164504,42875455.50000000,23199318.16053000,0
2024-12-19,0.5161,0.5277,0.4585,0.4752,132132378.7,2024-12-19 23:59:59.999,65177274.38001000,222416,64204504.30000000,31651043.07370000,0
2024-12-20,0.4752,0.5043,0.412,0.4993,140494825.4,2024-12-20 23:59:59.999,63861713.75274000,213429,69180192.50000000,31431443.13012000,0
2024-12-21,0.4993,0.5231,0.4639,0.4734,56687431.0,2024-12-21 23:59:59.999,27787111.76257000,104722,27428366.20000000,13449056.93311000,0
2024-12-22,0.4735,0.4909,0.461,0.4736,47729993.9,2024-12-22 23:59:59.999,22786639.19673000,82465,23074498.10000000,11008687.03484000,0
2024-12-23,0.4737,0.5067,0.4615,0.5014,56884898.5,2024-12-23 23:59:59.999,27328768.28950000,101347,27474296.70000000,13200690.94937000,0
2024-12-24,0.5014,0.5339,0.4898,0.5285,50326463.1,2024-12-24 23:59:59.999,25910074.33865000,87646,25030744.00000000,12884349.40811000,0
2024-12-25,0.5284,0.5286,0.5038,0.5152,25570761.3,2024-12-25 23:59:59.999,13239837.25185000,55025,12394575.70000000,6418903.39735000,0
2024-12-26,0.5152,0.5205,0.4716,0.4765,31764593.1,2024-12-26 23:59:59.999,15493545.41284000,63911,15435546.60000000,7539969.33998000,0
2024-12-27,0.4765,0.5009,0.4718,0.4801,36969684.8,2024-12-27 23:59:59.999,17927228.89263000,72426,17779741.70000000,8622673.77963000,0
2024-12-28,0.4802,0.4938,0.4735,0.489,24434223.1,2024-12-28 23:59:59.999,11755996.09202000,62288,10701184.90000000,5151175.04657000,0
2024-12-29,0.489,0.4901,0.4615,0.4661,17171670.2,2024-12-29 23:59:59.999,8206351.04879000,42134,8544320.30000000,4082968.03638000,0
2024-12-30,0.466,0.4791,0.4502,0.4615,37804212.1,2024-12-30 23:59:59.999,17601321.50501000,78059,17452166.00000000,8125258.80970000,0
2024-12-31,0.4615,0.4763,0.4495,0.4524,36125080.0,2024-12-31 23:59:59.999,16660885.07968000,76119,15388680.30000000,7096958.23625000,0
2025-01-01,0.4523,0.4788,0.4456,0.4735,28011189.5,2025-01-01 23:59:59.999,12901391.93669000,59790,12634369.20000000,5820738.62218000,0
2025-01-02,0.4735,0.4962,0.472,0.4847,30781062.1,2025-01-02 23:59:59.999,14948656.75096000,68734,15200203.00000000,7380839.65221000,0
2025-01-03,0.4847,0.5234,0.4799,0.5192,34540751.1,2025-01-03 23:59:59.999,17402771.42764000,79639,17118448.50000000,8630928.96234000,0
2025-01-04,0.5192,0.5299,0.5117,0.5234,29520496.7,2025-01-04 23:59:59.999,15398085.92434000,73027,15255512.30000000,7959323.87607000,0
2025-01-05,0.5236,0.5262,0.506,0.5167,20758168.8,2025-01-05 23:59:59.999,10698837.00108000,45444,9525100.90000000,4909484.30263000,0
2025-01-06,0.5169,0.5386,0.508,0.5248,30319182.5,2025-01-06 23:59:59.999,15877425.20310000,68962,14671648.90000000,7683857.64733000,0
2025-01-07,0.5247,0.5268,0.4667,0.4697,51371701.8,2025-01-07 23:59:59.999,25373895.03482000,110815,26553499.70000000,13095955.66246000,0
2025-01-08,0.4698,0.4759,0.4385,0.4638,46981083.8,2025-01-08 23:59:59.999,21565091.01585000,95795,22308652.50000000,10249776.88655000,0
2025-01-09,0.4638,0.4672,0.439,0.4489,32432403.1,2025-01-09 23:59:59.999,14757090.67508000,71141,14003023.80000000,6367738.47704000,0
2025-01-10,0.4489,0.4647,0.445,0.4578,25176427.9,2025-01-10 23:59:59.999,11467362.98674000,59849,11983086.40000000,5453719.11269000,0
2025-01-11,0.4577,0.4646,0.4507,0.4596,13704557.4,2025-01-11 23:59:59.999,6258587.79977000,33743,6637670.50000000,3032638.91758000,0
2025-01-12,0.4597,0.4635,0.445,0.4504,12049324.9,2025-01-12 23:59:59.999,5486288.10429000,28736,5768011.90000000,2627021.06189000,0
2025-01-13,0.4505,0.4601,0.4093,0.439,48889438.7,2025-01-13 23:59:59.999,20950872.54299000,99316,21893207.50000000,9389925.51007000,0
2025-01-14,0.4392,0.4584,0.4368,0.4556,19301167.5,2025-01-14 23:59:59.999,8665092.32328000,45818,9220412.60000000,4139372.56019000,0
2025-01-15,0.4556,0.4888,0.447,0.4874,37790749.6,2025-01-15 23:59:59.999,17712244.41748000,82027,17008964.60000000,7979019.35455000,0
2025-01-16,0.4874,0.4891,0.4673,0.4736,38812129.7,2025-01-16 23:59:59.999,18589770.55015000,80594,17873870.50000000,8563026.91004000,0
2025-01-17,0.4737,0.517,0.4737,0.5076,44121683.3,2025-01-17 23:59:59.999,22166958.80720000,91828,22198331.20000000,11155325.73627000,0
