Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2024-11-17,0.01203,0.0179,0.01155,0.01425,1907173368.0,2024-11-17 23:59:59.999,27845723.51748000,223515,934403244.00000000,13617324.95640000,0
2024-11-18,0.01424,0.0236,0.01401,0.01894,6736554821.89,2024-11-18 23:59:59.999,132230346.67195120,937309,3369230915.06000000,66215808.79125690,0
2024-11-19,0.01894,0.01899,0.0159,0.01634,798141798.0,2024-11-19 23:59:59.999,13561387.52465000,96018,369989457.00000000,6290902.48984000,0
2024-11-20,0.01634,0.01895,0.0157,0.01702,716267802.0,2024-11-20 23:59:59.999,12503297.28716000,88014,361842667.00000000,6327670.77631000,0
2024-11-21,0.01702,0.01896,0.01584,0.01669,569928242.0,2024-11-21 23:59:59.999,9868931.55288000,70245,286328626.00000000,4960304.68116000,0
2024-11-22,0.01666,0.0182,0.01628,0.01775,496724517.0,2024-11-22 23:59:59.999,8711159.30937000,52632,263103586.00000000,4619275.89514000,0
2024-11-23,0.01775,0.01842,0.01693,0.01746,434333561.0,2024-11-23 23:59:59.999,7650696.78340000,53766,218302654.00000000,3854745.02516000,0
2024-11-24,0.01746,0.01817,0.0163,0.01741,238732458.0,2024-11-24 23:59:59.999,4155520.89699000,32746,112534891.00000000,1962114.45919000,0
2024-11-25,0.01741,0.01878,0.01661,0.01701,290734010.0,2024-11-25 23:59:59.999,5138582.68147000,37075,142654140.00000000,2526735.17017000,0
2024-11-26,0.01699,0.02245,0.01681,0.02116,1341573035.0,2024-11-26 23:59:59.999,26418654.31857000,178696,683373137.00000000,13478164.29749000,0
2024-11-27,0.02116,0.02203,0.01874,0.02038,823029634.0,2024-11-27 23:59:59.999,16660096.84508000,128883,409288487.00000000,8288255.05693000,0
2024-11-28,0.02035,0.02175,0.01923,0.01972,276841800.0,2024-11-28 23:59:59.999,5654962.06533000,47365,129394706.00000000,2640316.49747000,0
2024-11-29,0.01972,0.02011,0.01928,0.01972,172512731.0,2024-11-29 23:59:59.999,3393457.05513000,32045,84750765.00000000,1668001.16371000,0
2024-11-30,0.01969,0.02041,0.01929,0.01987,172818077.0,2024-11-30 23:59:59.999,3435272.10073000,27379,83174654.00000000,1653997.16841000,0
2024-12-01,0.01988,0.02032,0.01926,0.01969,127878254.0,2024-12-01 23:59:59.999,2532892.79547000,22050,63675437.00000000,1261511.15233000,0
2024-12-02,0.0197,0.02019,0.01798,0.02002,186901160.0,2024-12-02 23:59:59.999,3564161.93063000,32666,89395460.00000000,1705471.66367000,0
2024-12-03,0.02,0.02239,0.01956,0.02113,389243514.0,2024-12-03 23:59:59.999,8208884.48497000,65544,197192574.00000000,4159697.29360000,0
2024-12-04,0.02111,0.02298,0.02038,0.02215,355816934.0,2024-12-04 23:59:59.999,7605912.48743000,62173,177333940.00000000,3795566.97326000,0
2024-12-05,0.02214,0.02759,0.02156,0.0241,1268908668.76,2024-12-05 23:59:59.999,31978790.92423790,220303,625136283.57000000,15782087.04641730,0
2024-12-06,0.0241,0.0266,0.02283,0.02548,321154319.0,2024-12-06 23:59:59.999,7804100.62776000,56632,163304420.00000000,3971893.36352000,0
2024-12-07,0.02548,0.028,0.02484,0.02554,290130740.22,2024-12-07 23:59:59.999,7567395.65700920,57428,142632882.22000000,3726820.64788920,0
2024-12-08,0.02554,0.0256,0.02418,0.02509,89811528.0,2024-12-08 23:59:59.999,2228975.96384000,21829,43462988.00000000,1079845.59279000,0
2024-12-09,0.02512,0.02512,0.02037,0.02148,191755753.0,2024-12-09 23:59:59.999,4369676.89746000,41767,88264685.00000000,2013018.54816000,0
2024-12-10,0.02147,0.02209,0.01827,0.01993,186416434.0,2024-12-10 23:59:59.999,3744972.10315000,49739,88483608.00000000,1777540.36477000,0
2024-12-11,0.01996,0.02188,0.0193,0.02089,165444192.0,2024-12-11 23:59:59.999,3377000.74121000,34853,77987580.00000000,1597068.96626000,0
2024-12-12,0.02089,0.02522,0.02007,0.02393,385675874.0,2024-12-12 23:59:59.999,8836212.84343000,59615,206247799.00000000,4728509.57619000,0
2024-12-13,0.02393,0.02626,0.02252,0.02307,403827363.0,2024-12-13 23:59:59.999,9898537.20097000,76553,197854381.00000000,4863066.65029000,0
2024-12-14,0.02307,0.02377,0.02266,0.02273,173317989.0,2024-12-14 23:59:59.999,3998861.71122000,29131,88146693.00000000,2033340.85969000,0
2024-12-15,0.02272,0.02514,0.0223,0.02351,400746790.0,2024-12-15 23:59:59.999,9515327.71992000,63023,194453778.00000000,4608938.04572000,0
2024-12-16,0.02353,0.0237,0.02172,0.02298,89696775.0,2024-12-16 23:59:59.999,2048117.15384000,22758,44643679.00000000,1020602.64688000,0
2024-12-17,0.02297,0.02457,0.02148,0.02187,188599622.0,2024-12-17 23:59:59.999,4431447.21167000,38363,92946775.00000000,2186888.05717000,0
2024-12-18,0.02189,0.02309,0.02043,0.02055,133381558.0,2024-12-18 23:59:59.999,2914733.38279000,27735,61833575.00000000,1351865.09808000,0
2024-12-19,0.02057,0.02077,0.0175,0.0183,157527398.0,2024-12-19 23:59:59.999,3010545.34205000,31015,72945292.00000000,1398090.48131000,0
2024-12-20,0.01827,0.01916,0.01555,0.01839,158633953.0,2024-12-20 23:59:59.999,2763778.51926000,31855,75620699.00000000,1321239.81553000,0
2024-12-21,0.01836,0.0189,0.01732,0.01776,84151110.0,2024-12-21 23:59:59.999,1525070.95387000,22214,43194675.00000000,783970.63717000,0
