Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2024-11-17,0.2541,0.2542,0.2331,0.2384,9330050.0,2024-11-17 23:59:59.999,2265074.86910000,22894,4123407.00000000,1000278.13220000,0
2024-11-18,0.2382,0.2632,0.2365,0.2582,12514550.0,2024-11-18 23:59:59.999,3149346.51410000,30557,5478178.00000000,1380007.91300000,0
2024-11-19,0.2584,0.3093,0.2566,0.2632,60228185.0,2024-11-19 23:59:59.999,16841600.92640000,129173,30119658.00000000,8413120.54500000,0
2024-11-20,0.2629,0.2629,0.2406,0.248,12007250.0,2024-11-20 23:59:59.999,3000181.82820000,27124,5947714.00000000,1483982.34910000,0
2024-11-21,0.2478,0.2584,0.2408,0.2566,8266350.0,2024-11-21 23:59:59.999,2069879.33720000,19971,3444075.00000000,863362.92000000,0
2024-11-22,0.2564,0.269,0.2521,0.2685,10112288.0,2024-11-22 23:59:59.999,2620306.19760000,26579,5187520.00000000,1344660.42610000,0
2024-11-23,0.2689,0.2825,0.265,0.2776,13054944.0,2024-11-23 23:59:59.999,3569638.33920000,40396,6050584.00000000,1654289.76450000,0
2024-11-24,0.2775,0.295,0.2614,0.2911,18207123.0,2024-11-24 23:59:59.999,5101936.66390000,56687,8310011.00000000,2325361.93020000,0
2024-11-25,0.2912,0.33,0.2885,0.2966,51067556.0,2024-11-25 23:59:59.999,15804736.70170000,152078,26244799.00000000,8125422.67820000,0
2024-11-26,0.2965,0.42,0.2903,0.3169,146840966.0,2024-11-26 23:59:59.999,52188314.16210000,336579,72921428.00000000,25927577.96000000,0
2024-11-27,0.3167,0.38,0.3071,0.3341,70794248.0,2024-11-27 23:59:59.999,24016974.34620000,138145,35113061.00000000,11933434.49550000,0
2024-11-28,0.3341,0.3341,0.3113,0.3194,28553577.0,2024-11-28 23:59:59.999,9114187.13150000,51277,11929120.00000000,3809985.51090000,0
2024-11-29,0.3197,0.3297,0.3092,0.3293,16664913.0,2024-11-29 23:59:59.999,5334513.89240000,30559,8204908.00000000,2627769.86550000,0
2024-11-30,0.3293,0.3329,0.3198,0.3307,16546343.0,2024-11-30 23:59:59.999,5395231.62990000,31548,8007216.00000000,2614070.30220000,0
2024-12-01,0.3306,0.3326,0.3154,0.3299,13172593.0,2024-12-01 23:59:59.999,4280317.38980000,29585,6161582.00000000,2002789.77170000,0
2024-12-02,0.33,0.3397,0.3,0.3308,32798226.0,2024-12-02 23:59:59.999,10473885.37820000,69530,15560860.00000000,4964985.71830000,0
2024-12-03,0.331,0.3486,0.3011,0.3474,39757724.0,2024-12-03 23:59:59.999,12967799.81060000,87123,19031835.00000000,6222087.64330000,0
2024-12-04,0.3475,0.362,0.3349,0.3526,29133109.0,2024-12-04 23:59:59.999,10150550.87620000,63768,14030826.00000000,4890815.35010000,0
2024-12-05,0.3528,0.3547,0.3251,0.3365,21485206.0,2024-12-05 23:59:59.999,7344343.14120000,64083,10384747.00000000,3550342.22620000,0
2024-12-06,0.3365,0.3569,0.33,0.3514,20170785.0,2024-12-06 23:59:59.999,6966877.76330000,51714,10342514.00000000,3568167.32520000,0
2024-12-07,0.3514,0.3798,0.3487,0.3653,53998990.0,2024-12-07 23:59:59.999,19857095.53290000,114718,29810239.00000000,10969938.90160000,0
2024-12-08,0.3653,0.3653,0.3461,0.3602,10502284.0,2024-12-08 23:59:59.999,3727523.26950000,28830,4489609.00000000,1593745.40800000,0
2024-12-09,0.3601,0.3744,0.2609,0.2952,30436292.0,2024-12-09 23:59:59.999,9867631.55290000,75706,15261427.00000000,4967511.31040000,0
2024-12-10,0.2953,0.3013,0.2528,0.2795,30435728.0,2024-12-10 23:59:59.999,8503519.07100000,61687,14506983.00000000,4055168.66350000,0
