Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2024-09-19,5.18,5.559,5.178,5.473,110026.88,2024-09-19 23:59:59.999,596298.49976000,23507,55111.61000000,298509.69307000,0
2024-09-20,5.478,5.641,5.376,5.593,124173.39,2024-09-20 23:59:59.999,688979.09112000,29474,65362.97000000,363101.83064000,0
2024-09-21,5.593,5.714,5.5,5.638,82532.24,2024-09-21 23:59:59.999,464042.98947000,22983,42306.45000000,237860.81985000,0
2024-09-22,5.638,5.662,5.367,5.558,81905.92,2024-09-22 23:59:59.999,450256.73710000,14497,43442.47000000,239500.78592000,0
2024-09-23,5.551,5.761,5.48,5.746,78660.92,2024-09-23 23:59:59.999,445249.03451000,19432,32585.94000000,184963.75629000,0
2024-09-24,5.741,5.78,5.608,5.705,108689.3,2024-09-24 23:59:59.999,621715.06890000,35565,48243.24000000,276265.39882000,0
2024-09-25,5.705,5.811,5.582,5.617,54737.9,2024-09-25 23:59:59.999,313141.12808000,12397,26906.06000000,153882.35726000,0
2024-09-26,5.619,5.924,5.488,5.744,125082.5,2024-09-26 23:59:59.999,723674.26385000,25877,61989.89000000,359255.81266000,0
2024-09-27,5.744,5.963,5.74,5.917,62370.53,2024-09-27 23:59:59.999,365163.69672000,12015,31546.97000000,184771.22331000,0
2024-09-28,5.924,6.02,5.66,5.708,54911.83,2024-09-28 23:59:59.999,320179.63917000,13180,25946.18000000,151395.45338000,0
2024-09-29,5.714,6.05,5.661,5.95,65012.13,2024-09-29 23:59:59.999,379866.88457000,18004,34663.64000000,202681.23961000,0
2024-09-30,5.951,5.961,5.523,5.582,69159.22,2024-09-30 23:59:59.999,393308.55390000,14725,33481.07000000,190172.68894000,0
2024-10-01,5.583,5.898,5.132,5.199,128849.34,2024-10-01 23:59:59.999,714718.97199000,21910,67789.98000000,378542.44103000,0
2024-10-02,5.203,5.408,4.848,4.901,177847.88,2024-10-02 23:59:59.999,916449.93815000,28241,93006.27000000,481200.77921000,0
