Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2024-11-17,0.4317,0.4502,0.408,0.4167,122949761.1,2024-11-17 23:59:59.999,52970440.00569000,169311,65919727.00000000,28461349.02797000,0
2024-11-18,0.4167,0.4275,0.3991,0.4192,81072058.7,2024-11-18 23:59:59.999,33592532.41002000,115370,43292157.90000000,17956899.74962000,0
2024-11-19,0.4192,0.4218,0.4001,0.4084,52510026.5,2024-11-19 23:59:59.999,21620760.63480000,73123,25684825.80000000,10590304.24814000,0
2024-11-20,0.4084,0.4233,0.389,0.4111,80983977.3,2024-11-20 23:59:59.999,33218599.94347000,99217,35245184.90000000,14476981.02016000,0
2024-11-21,0.4113,0.4269,0.3879,0.4169,66708441.0,2024-11-21 23:59:59.999,27298222.82820000,96224,35364465.80000000,14473347.24488000,0
2024-11-22,0.4169,0.4169,0.3909,0.4139,57984343.8,2024-11-22 23:59:59.999,23417016.74551000,74403,31707093.30000000,12811130.79173000,0
2024-11-23,0.414,0.438,0.4032,0.4142,105889583.9,2024-11-23 23:59:59.999,44211673.50433000,151603,53984479.20000000,22561662.51948000,0
2024-11-24,0.4144,0.455,0.397,0.4386,115873055.0,2024-11-24 23:59:59.999,49368867.98244000,157584,62095942.80000000,26499959.86015000,0
2024-11-25,0.4388,0.4694,0.4268,0.4463,106022887.7,2024-11-25 23:59:59.999,47633901.38550000,150782,52172976.70000000,23455863.28966000,0
2024-11-26,0.4461,0.4609,0.4051,0.4269,72530724.7,2024-11-26 23:59:59.999,31029576.83426000,120389,34252443.80000000,14703982.60287000,0
2024-11-27,0.4269,0.4764,0.4151,0.4727,53469194.7,2024-11-27 23:59:59.999,23611977.61526000,89767,26845803.60000000,11883953.86652000,0
2024-11-28,0.4728,0.4915,0.4574,0.4792,95325918.5,2024-11-28 23:59:59.999,45193838.54689000,171472,48147383.00000000,22837942.34884000,0
2024-11-29,0.4793,0.4945,0.4653,0.4834,55751100.0,2024-11-29 23:59:59.999,26723058.15112000,89435,27401655.80000000,13147462.08506000,0
2024-11-30,0.4835,0.5032,0.4689,0.4962,45590418.1,2024-11-30 23:59:59.999,22222762.75104000,98450,22461543.80000000,10960804.54945000,0
2024-12-01,0.4963,0.5293,0.4765,0.5074,51520695.5,2024-12-01 23:59:59.999,26088789.07922000,85209,25333110.90000000,12845542.09640000,0
2024-12-02,0.5076,0.5174,0.4576,0.5161,61587861.3,2024-12-02 23:59:59.999,29822471.69237000,109004,30146330.90000000,14610681.61273000,0
2024-12-03,0.5161,0.5533,0.4805,0.5262,98594388.2,2024-12-03 23:59:59.999,50922410.05633000,168145,50233262.00000000,25966264.29192000,0
2024-12-04,0.5261,0.5529,0.508,0.5187,83537376.1,2024-12-04 23:59:59.999,44689100.91011000,135615,45063563.90000000,24129636.01185000,0
2024-12-05,0.5186,0.5353,0.485,0.506,81095260.7,2024-12-05 23:59:59.999,41614141.65007000,137324,39788741.10000000,20437516.94908000,0
2024-12-06,0.5063,0.535,0.4956,0.5177,53018275.5,2024-12-06 23:59:59.999,27441894.68861000,96941,26441440.60000000,13681239.36082000,0
2024-12-07,0.5177,0.5388,0.5088,0.5226,38062849.8,2024-12-07 23:59:59.999,20054674.02768000,63573,20109727.00000000,10603342.58856000,0
2024-12-08,0.5225,0.5271,0.4987,0.5142,30522322.9,2024-12-08 23:59:59.999,15644468.46178000,55430,15461107.40000000,7922852.06311000,0
2024-12-09,0.5144,0.5144,0.3573,0.4198,111510281.7,2024-12-09 23:59:59.999,49622639.03883000,211322,52488985.10000000,23220178.05367000,0
2024-12-10,0.42,0.4255,0.3711,0.4105,96539821.8,2024-12-10 23:59:59.999,38567792.64785000,158557,48146260.00000000,19228515.64002000,0
2024-12-11,0.4106,0.447,0.3922,0.4388,44954976.7,2024-12-11 23:59:59.999,18974447.32098000,81361,23252267.60000000,9819547.53851000,0
