Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2024-09-19,73.2,75.6,71.9,73.9,33890.102,2024-09-19 23:59:59.999,2496587.29180000,11972,16572.11400000,1218780.43320000,0
2024-09-20,73.9,77.3,73.3,76.9,24300.008,2024-09-20 23:59:59.999,1846857.22370000,11581,10951.38900000,831897.24100000,0
2024-09-21,76.9,77.5,73.9,75.0,18849.645,2024-09-21 23:59:59.999,1416932.14910000,8775,6473.16200000,487788.20260000,0
2024-09-22,75.0,75.2,72.4,73.8,17869.848,2024-09-22 23:59:59.999,1321344.13790000,9505,8508.00700000,628733.59310000,0
2024-09-23,73.9,79.2,72.5,78.1,29605.137,2024-09-23 23:59:59.999,2261455.67650000,14295,15243.93000000,1164458.22170000,0
2024-09-24,78.2,78.9,76.1,77.6,25366.987,2024-09-24 23:59:59.999,1965426.36090000,11101,12187.95700000,944206.23450000,0
2024-09-25,77.7,80.3,76.8,78.0,21122.051,2024-09-25 23:59:59.999,1666533.99270000,11707,10452.69300000,824388.81060000,0
2024-09-26,78.1,80.8,77.1,79.3,21579.012,2024-09-26 23:59:59.999,1712924.05940000,11469,10453.38300000,829300.17970000,0
2024-09-27,79.2,80.9,77.1,78.5,35126.134,2024-09-27 23:59:59.999,2782309.54830000,14562,13585.83800000,1078906.82040000,0
2024-09-28,78.5,79.6,76.1,77.2,18004.884,2024-09-28 23:59:59.999,1395056.69600000,9500,9505.38800000,736205.00720000,0
2024-09-29,77.2,78.0,74.8,76.1,23317.835,2024-09-29 23:59:59.999,1774359.70550000,10160,11924.17000000,907341.96840000,0
2024-09-30,76.0,76.3,72.2,73.0,25672.078,2024-09-30 23:59:59.999,1907910.01250000,11713,12829.89400000,953757.26380000,0
2024-10-01,73.1,74.7,67.8,68.6,52687.69,2024-10-01 23:59:59.999,3744838.56000000,20780,26348.43400000,1873897.33850000,0
2024-10-02,68.5,70.5,66.4,67.1,32358.745,2024-10-02 23:59:59.999,2215258.32740000,13028,16223.49100000,1110979.54930000,0
2024-10-03,67.1,69.6,66.7,68.1,25766.312,2024-10-03 23:59:59.999,1757247.25660000,11211,13115.88000000,895408.86120000,0
2024-10-04,68.1,70.6,67.3,70.4,24130.639,2024-10-04 23:59:59.999,1673463.12980000,7880,12511.51100000,867512.45640000,0
2024-10-05,70.5,72.5,68.2,68.7,26488.107,2024-10-05 23:59:59.999,1873626.56000000,11060,12866.99600000,910626.30470000,0
2024-10-06,68.7,70.0,68.0,69.7,18852.885,2024-10-06 23:59:59.999,1300811.70870000,8127,9996.07500000,689189.74890000,0
2024-10-07,69.7,71.1,67.1,67.4,27989.276,2024-10-07 23:59:59.999,1930521.20910000,9458,14099.76000000,971804.12840000,0
2024-10-08,67.4,68.5,65.8,66.6,26005.511,2024-10-08 23:59:59.999,1744745.16310000,8945,13188.99900000,885131.30000000,0
2024-10-09,66.7,67.4,64.5,65.8,46193.513,2024-10-09 23:59:59.999,3057996.72390000,14850,22414.23400000,1484349.39790000,0
2024-10-10,65.8,67.3,64.4,66.0,17455.554,2024-10-10 23:59:59.999,1151094.60570000,7177,9121.30800000,601718.49270000,0
2024-10-11,66.1,67.9,65.5,66.6,21939.04,2024-10-11 23:59:59.999,1466523.04720000,7626,10159.63100000,680478.46580000,0
2024-10-12,66.7,67.9,66.2,66.5,17048.111,2024-10-12 23:59:59.999,1140773.83810000,6960,8979.00900000,601083.03950000,0
2024-10-13,66.6,66.9,64.1,64.8,28415.27,2024-10-13 23:59:59.999,1862169.40820000,8953,13343.75300000,873688.05720000,0
2024-10-14,64.9,68.4,64.5,68.1,46013.55,2024-10-14 23:59:59.999,3087544.34840000,12840,23059.46000000,1546039.41430000,0
2024-10-15,68.1,68.8,65.7,67.2,47234.36,2024-10-15 23:59:59.999,3167315.60210000,16050,21397.54100000,1436953.45270000,0
2024-10-16,67.2,67.3,66.0,66.1,18390.106,2024-10-16 23:59:59.999,1221650.58530000,6910,8424.69100000,560014.02470000,0
2024-10-17,66.1,66.5,64.2,64.5,24786.421,2024-10-17 23:59:59.999,1617076.05010000,7202,11617.25800000,759392.04540000,0
2024-10-18,64.6,66.4,64.2,66.4,20322.541,2024-10-18 23:59:59.999,1328142.69730000,6921,9574.86600000,625828.12840000,0
2024-10-19,66.4,66.9,64.8,65.7,14766.267,2024-10-19 23:59:59.999,971557.75700000,5662,6855.20200000,450632.25820000,0
2024-10-20,65.7,67.3,64.4,67.2,24058.744,2024-10-20 23:59:59.999,1590702.41860000,11504,11898.64800000,787390.93500000,0
2024-10-21,67.3,68.1,64.8,65.2,32680.814,2024-10-21 23:59:59.999,2168756.84880000,11693,14693.95600000,976466.94840000,0
2024-10-22,65.3,66.3,64.5,64.9,28670.553,2024-10-22 23:59:59.999,1873862.81410000,8426,12953.44300000,846683.55980000,0
2024-10-23,64.9,65.4,61.7,63.1,33030.458,2024-10-23 23:59:59.999,2101762.63530000,12987,15731.21400000,1003082.70190000,0
2024-10-24,63.1,64.5,62.3,63.8,19229.48,2024-10-24 23:59:59.999,1218533.34240000,7334,9766.85500000,618817.21140000,0
2024-10-25,63.8,64.2,58.0,58.9,45060.461,2024-10-25 23:59:59.999,2767951.30370000,14638,19583.98300000,1200666.63460000,0
2024-10-26,58.9,61.7,58.5,61.7,41004.06,2024-10-26 23:59:59.999,2444129.01830000,12056,20479.46900000,1219967.24360000,0
2024-10-27,61.7,62.2,60.9,61.5,17062.391,2024-10-27 23:59:59.999,1048897.34870000,5090,7072.77000000,434740.16870000,0
2024-10-28,61.6,62.9,59.9,61.2,47324.977,2024-10-28 23:59:59.999,2903986.47610000,16211,21197.55000000,1301120.57710000,0
2024-10-29,61.2,63.3,60.9,62.2,58324.204,2024-10-29 23:59:59.999,3622677.56310000,17157,31458.14300000,1954472.72290000,0
2024-10-30,62.2,63.0,60.9,61.3,35304.992,2024-10-30 23:59:59.999,2185406.55690000,10926,16055.42800000,994344.41730000,0
2024-10-31,61.3,61.6,58.7,59.1,48525.079,2024-10-31 23:59:59.999,2918955.93290000,13270,25108.80800000,1511680.44380000,0
2024-11-01,59.1,59.8,57.2,58.2,46450.127,2024-11-01 23:59:59.999,2712649.12290000,11275,21386.62400000,1249818.21180000,0
2024-11-02,58.2,59.1,56.1,57.5,23443.62,2024-11-02 23:59:59.999,1347021.01520000,7002,11781.53300000,676164.23780000,0
2024-11-03,57.6,57.8,54.4,56.1,33864.898,2024-11-03 23:59:59.999,1895103.85200000,10608,17087.42800000,956565.71930000,0
2024-11-04,56.2,57.5,55.1,56.2,36838.639,2024-11-04 23:59:59.999,2081640.07850000,7317,16997.53800000,961288.90050000,0
2024-11-05,56.2,57.9,56.1,56.9,32304.461,2024-11-05 23:59:59.999,1836029.45850000,8043,17076.65100000,969913.52470000,0
2024-11-06,57.0,62.4,56.8,61.9,75689.634,2024-11-06 23:59:59.999,4607948.74860000,18036,38550.70900000,2349585.25860000,0
2024-11-07,61.8,63.6,61.0,62.1,52786.746,2024-11-07 23:59:59.999,3287999.04990000,13621,24431.57000000,1522895.95320000,0
2024-11-08,62.3,62.7,58.7,61.5,45347.758,2024-11-08 23:59:59.999,2764549.21360000,11996,19762.73000000,1206230.75190000,0
2024-11-09,61.5,63.9,60.8,63.7,44062.185,2024-11-09 23:59:59.999,2746840.50330000,13987,21731.25900000,1357210.60070000,0
2024-11-10,63.7,70.0,62.9,67.4,92326.066,2024-11-10 23:59:59.999,6184153.21610000,27520,48297.51700000,3232211.17940000,0
2024-11-11,67.5,70.6,65.4,70.3,77946.19,2024-11-11 23:59:59.999,5313520.64250000,24337,36019.79400000,2457222.62220000,0
2024-11-12,70.4,70.5,61.1,62.9,155874.368,2024-11-12 23:59:59.999,10213176.10600000,46457,71397.97800000,4673611.39070000,0
2024-11-13,62.9,64.1,58.7,62.0,119434.668,2024-11-13 23:59:59.999,7331541.11840000,43263,56554.26400000,3470258.34030000,0
2024-11-14,62.1,64.3,59.6,61.4,80251.829,2024-11-14 23:59:59.999,4967478.99500000,31864,34817.24400000,2154146.24400000,0
2024-11-15,61.5,66.5,60.1,66.0,86030.366,2024-11-15 23:59:59.999,5395925.97070000,29090,41499.31500000,2601868.87670000,0
2024-11-16,66.1,95.4,65.0,87.5,552808.66,2024-11-16 23:59:59.999,46750750.14330000,224503,285705.57000000,24138741.85750000,0
2024-11-17,87.6,87.6,77.5,79.6,188124.934,2024-11-17 23:59:59.999,15396742.85390000,64354,87218.06100000,7142517.31510000,0
2024-11-18,79.7,93.7,79.3,87.4,195489.853,2024-11-18 23:59:59.999,17220432.89620000,68837,92107.58800000,8105564.83310000,0
2024-11-19,87.4,97.6,86.6,91.9,148390.091,2024-11-19 23:59:59.999,13508216.18800000,63798,74359.49800000,6780307.01010000,0
2024-11-20,92.0,92.6,83.9,87.9,81559.277,2024-11-20 23:59:59.999,7143053.24340000,36653,40136.33400000,3508798.27480000,0
2024-11-21,87.9,90.1,84.7,86.5,72346.166,2024-11-21 23:59:59.999,6325593.14870000,32412,34561.85900000,3022986.01390000,0
2024-11-22,86.5,94.5,82.7,92.1,178697.531,2024-11-22 23:59:59.999,15745827.39070000,70602,84691.17500000,7479032.58610000,0
2024-11-23,92.1,108.6,91.7,99.4,219772.513,2024-11-23 23:59:59.999,21956482.93300000,101479,111435.19400000,11129668.62970000,0
2024-11-24,99.3,104.3,92.0,98.2,123406.858,2024-11-24 23:59:59.999,11911201.87060000,63951,59022.29200000,5697550.17210000,0
2024-11-25,98.1,103.3,93.8,96.0,100478.025,2024-11-25 23:59:59.999,9880215.02440000,49016,49335.57900000,4855516.95510000,0
2024-11-26,96.0,102.0,90.6,93.9,93055.668,2024-11-26 23:59:59.999,8861946.24350000,50742,43143.02100000,4107862.85240000,0
2024-11-27,93.8,96.7,91.5,96.2,90756.852,2024-11-27 23:59:59.999,8568826.37750000,42998,46298.01400000,4370074.65350000,0
2024-11-28,96.1,96.1,90.7,94.4,65265.521,2024-11-28 23:59:59.999,6095785.38260000,26021,32219.41300000,3010680.57910000,0
2024-11-29,94.3,99.1,91.9,98.0,90956.467,2024-11-29 23:59:59.999,8635452.46300000,34951,43164.59000000,4101251.27360000,0
2024-11-30,98.0,101.4,94.2,99.2,106568.25,2024-11-30 23:59:59.999,10503149.08000000,44060,51290.95700000,5055695.23830000,0
2024-12-01,99.2,111.1,96.2,110.6,149895.061,2024-12-01 23:59:59.999,15580764.53290000,69104,79527.76200000,8280966.03180000,0
2024-12-02,110.6,138.8,108.0,129.1,531301.698,2024-12-02 23:59:59.999,65472643.73410000,289303,266476.94000000,32830162.91950000,0
2024-12-03,129.1,149.3,125.8,142.3,379242.932,2024-12-03 23:59:59.999,53124490.96260000,241784,184818.70500000,25898068.96950000,0
2024-12-04,142.3,163.9,140.7,148.8,238029.833,2024-12-04 23:59:59.999,36325007.46490000,144411,118306.60100000,18065343.94450000,0
2024-12-05,148.9,149.7,135.9,139.8,139062.184,2024-12-05 23:59:59.999,20037678.81910000,79195,62819.40100000,9060218.08450000,0
2024-12-06,139.9,162.5,137.8,160.6,126658.346,2024-12-06 23:59:59.999,18736265.06000000,75967,65825.69800000,9740860.57170000,0
2024-12-07,160.6,171.7,150.9,165.9,186372.948,2024-12-07 23:59:59.999,30472237.97560000,130243,91367.76900000,14918453.51630000,0
2024-12-08,165.8,170.0,159.4,160.7,84795.554,2024-12-08 23:59:59.999,13876640.23890000,65671,42424.07900000,6954084.70850000,0
2024-12-09,160.7,162.5,119.1,137.2,182964.718,2024-12-09 23:59:59.999,26319099.22350000,126351,85354.08000000,12249949.73940000,0
2024-12-10,137.0,147.3,125.3,138.3,144546.235,2024-12-10 23:59:59.999,19740096.00160000,78286,70067.10100000,9586856.41280000,0
2024-12-11,138.4,153.3,130.6,142.8,100842.606,2024-12-11 23:59:59.999,14258028.25210000,63195,50020.67500000,7086922.41600000,0
2024-12-12,142.8,147.0,136.7,140.0,78100.741,2024-12-12 23:59:59.999,11079619.57520000,48376,38653.63600000,5485683.48220000,0
2024-12-13,140.0,143.6,137.1,142.6,79974.44,2024-12-13 23:59:59.999,11248345.94080000,49721,38533.21400000,5419986.71220000,0
2024-12-14,142.7,144.4,134.4,138.9,50853.242,2024-12-14 23:59:59.999,7135800.28950000,35862,25032.38000000,3518554.68390000,0
2024-12-15,138.9,142.1,133.1,140.4,44606.375,2024-12-15 23:59:59.999,6127246.56360000,31434,21486.23800000,2952229.79560000,0
2024-12-16,140.6,142.5,132.0,133.1,57302.688,2024-12-16 23:59:59.999,7806950.77880000,46822,27527.98300000,3751036.52310000,0
2024-12-17,133.2,135.4,127.0,127.5,67691.17,2024-12-17 23:59:59.999,8940167.44800000,48039,32625.49000000,4312782.07770000,0
2024-12-18,127.8,128.6,112.5,114.5,106543.263,2024-12-18 23:59:59.999,12941602.95940000,65632,49882.98100000,6066202.58450000,0
2024-12-19,114.5,121.1,105.1,109.2,140057.053,2024-12-19 23:59:59.999,15776795.39040000,92393,67325.59200000,7601519.77000000,0
2024-12-20,109.3,112.9,94.8,111.7,129638.548,2024-12-20 23:59:59.999,13575463.24880000,69758,62966.37300000,6586760.14600000,0
2024-12-21,111.7,120.5,105.9,107.4,69717.701,2024-12-21 23:59:59.999,7859018.22480000,30110,31246.46500000,3535879.78310000,0
2024-12-22,107.5,110.1,102.2,104.9,49558.768,2024-12-22 23:59:59.999,5279485.44080000,27962,23342.68300000,2489826.47040000,0
2024-12-23,104.8,117.5,102.1,116.9,65211.067,2024-12-23 23:59:59.999,7101120.53700000,37623,33109.36700000,3616864.91810000,0
2024-12-24,116.9,122.5,115.0,121.0,59688.137,2024-12-24 23:59:59.999,7089568.51540000,30057,31014.75400000,3687310.03210000,0
2024-12-25,121.0,124.2,117.5,119.2,27384.458,2024-12-25 23:59:59.999,3308877.37260000,14243,13095.13600000,1582862.97140000,0
2024-12-26,119.1,120.0,110.1,111.7,27939.708,2024-12-26 23:59:59.999,3166663.07280000,13295,13253.37000000,1503723.38710000,0
2024-12-27,111.7,119.3,110.6,115.7,36518.16,2024-12-27 23:59:59.999,4232735.10780000,16975,20007.02900000,2320777.71980000,0
2024-12-28,115.8,117.9,110.3,117.3,29170.709,2024-12-28 23:59:59.999,3319523.21260000,18048,14937.40600000,1702235.63090000,0
2024-12-29,117.3,119.0,111.8,113.8,36013.954,2024-12-29 23:59:59.999,4161031.71420000,18733,18517.82400000,2140540.35860000,0
2024-12-30,113.8,117.7,105.6,107.4,33592.725,2024-12-30 23:59:59.999,3708271.11800000,17478,14571.33900000,1605488.22780000,0
2024-12-31,107.3,111.0,103.9,106.5,38525.477,2024-12-31 23:59:59.999,4110036.34210000,17712,21273.93400000,2269858.03630000,0
2025-01-01,106.4,118.2,104.8,115.9,34929.262,2025-01-01 23:59:59.999,3911223.19330000,21648,18833.10200000,2104792.03960000,0
2025-01-02,115.9,119.4,112.5,113.5,54781.845,2025-01-02 23:59:59.999,6343322.42960000,33824,22132.55600000,2562650.99220000,0
2025-01-03,113.5,122.4,113.3,120.8,39995.364,2025-01-03 23:59:59.999,4710966.92500000,26211,19622.83300000,2317077.97510000,0
2025-01-04,120.9,121.1,117.3,118.2,29526.268,2025-01-04 23:59:59.999,3514266.37160000,18772,14994.38600000,1784630.67220000,0
2025-01-05,118.2,120.6,115.5,118.7,24608.818,2025-01-05 23:59:59.999,2909948.05280000,16196,12462.03500000,1474651.04750000,0
2025-01-06,118.7,120.8,115.7,116.6,36963.831,2025-01-06 23:59:59.999,4369149.92650000,24149,17152.56500000,2028577.80530000,0
2025-01-07,116.5,118.3,107.1,107.8,47355.284,2025-01-07 23:59:59.999,5329700.28910000,35064,22828.02900000,2565972.69440000,0
2025-01-08,107.8,109.7,101.0,105.9,45846.735,2025-01-08 23:59:59.999,4823564.65460000,33923,23871.95000000,2513496.97680000,0
